C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,C21001B_001M,C21001B_001EA,C21001B_001MA,C21001B_002M,C21001B_002EA,C21001B_002MA,C21001B_003M,C21001B_003EA,C21001B_003MA,C21001B_004M,C21001B_004EA,C21001B_004MA,C21001B_005M,C21001B_005EA,C21001B_005MA,C21001B_006M,C21001B_006EA,C21001B_006MA,C21001B_007M,C21001B_007EA,C21001B_007MA,C21001B_008M,C21001B_008EA,C21001B_008MA,C21001B_009M,C21001B_009EA,C21001B_009MA,C21001B_010M,C21001B_010EA,C21001B_010MA,C21001B_011M,C21001B_011EA,C21001B_011MA,C21001B_012M,C21001B_012EA,C21001B_012MA,C21001B_013M,C21001B_013EA,C21001B_013MA,C21001B_014M,C21001B_014EA,C21001B_014MA,C21001B_015M,C21001B_015EA,C21001B_015MA,state
217108,3458,110904,2393,103884,2422,4075,1109,99809,2613,7020,664,2209,770,4811,656,106204,2252,96455,2424,656,373,95799,2421,9749,866,0,149,9749,866,3458,null,null,2393,null,null,2422,null,null,1109,null,null,2613,null,null,664,null,null,770,null,null,656,null,null,2252,null,null,2424,null,null,373,null,null,2421,null,null,866,null,null,149,null,null,866,null,null,27
821494,4476,372489,2850,323535,3216,28688,2646,294847,3838,48954,1494,11554,1658,37400,2112,449005,2995,378944,2995,6206,1383,372738,3201,70061,1189,336,283,69725,1245,4476,null,null,2850,null,null,3216,null,null,2646,null,null,3838,null,null,1494,null,null,1658,null,null,2112,null,null,2995,null,null,2995,null,null,1383,null,null,3201,null,null,1189,null,null,283,null,null,1245,null,null,28
515715,4303,239791,3312,209843,3244,20695,2318,189148,3655,29948,1114,14065,1465,15883,1486,275924,2817,230013,2860,4746,1222,225267,3341,45911,1055,653,463,45258,1166,4303,null,null,3312,null,null,3244,null,null,2318,null,null,3655,null,null,1114,null,null,1465,null,null,1486,null,null,2817,null,null,2860,null,null,1222,null,null,3341,null,null,1055,null,null,463,null,null,1166,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
61855,1924,31374,1514,28517,1458,3340,887,25177,1773,2857,379,1190,334,1667,446,30481,1154,26614,1145,935,538,25679,1183,3867,275,67,97,3800,290,1924,null,null,1514,null,null,1458,null,null,887,null,null,1773,null,null,379,null,null,334,null,null,446,null,null,1154,null,null,1145,null,null,538,null,null,1183,null,null,275,null,null,97,null,null,290,null,null,31
192197,3352,95388,2090,83008,1995,9566,1601,73442,2697,12380,459,6592,908,5788,894,96809,2207,81841,2063,1810,738,80031,2216,14968,646,176,182,14792,650,3352,null,null,2090,null,null,1995,null,null,1601,null,null,2697,null,null,459,null,null,908,null,null,894,null,null,2207,null,null,2063,null,null,738,null,null,2216,null,null,646,null,null,182,null,null,650,null,null,32
12490,1261,7144,1033,6509,934,859,573,5650,1025,635,360,435,349,200,147,5346,769,4806,731,84,143,4722,742,540,290,32,61,508,279,1261,null,null,1033,null,null,934,null,null,573,null,null,1025,null,null,360,null,null,349,null,null,147,null,null,769,null,null,731,null,null,143,null,null,742,null,null,290,null,null,61,null,null,279,null,null,33
914879,8111,421481,4283,368221,4294,20091,2178,348130,4581,53260,1336,15399,1620,37861,1696,493398,5085,407127,4993,3685,1016,403442,5097,86271,1112,626,343,85645,1164,8111,null,null,4283,null,null,4294,null,null,2178,null,null,4581,null,null,1336,null,null,1620,null,null,1696,null,null,5085,null,null,4993,null,null,1016,null,null,5097,null,null,1112,null,null,343,null,null,1164,null,null,34
30081,2257,16912,1593,14433,1579,2969,1024,11464,1481,2479,637,1492,598,987,292,13169,1399,11350,1274,300,269,11050,1265,1819,439,203,210,1616,483,2257,null,null,1593,null,null,1579,null,null,1024,null,null,1481,null,null,637,null,null,598,null,null,292,null,null,1399,null,null,1274,null,null,269,null,null,1265,null,null,439,null,null,210,null,null,483,null,null,35
2375402,13164,1066401,8002,923085,7642,39936,3248,883149,7873,143316,1860,25889,2151,117427,2530,1309001,7689,1069119,7095,7765,1485,1061354,7163,239882,2182,848,328,239034,2156,13164,null,null,8002,null,null,7642,null,null,3248,null,null,7873,null,null,1860,null,null,2151,null,null,2530,null,null,7689,null,null,7095,null,null,1485,null,null,7163,null,null,2182,null,null,328,null,null,2156,null,null,36
1641633,8089,741928,5363,638655,5302,85697,5172,552958,7022,103273,1651,34831,2232,68442,2230,899705,4907,743551,4674,20816,2849,722735,5497,156154,1736,746,277,155408,1789,8089,null,null,5363,null,null,5302,null,null,5172,null,null,7022,null,null,1651,null,null,2232,null,null,2230,null,null,4907,null,null,4674,null,null,2849,null,null,5497,null,null,1736,null,null,277,null,null,1789,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
1060944,6342,498391,3886,431040,3984,37340,3008,393700,4909,67351,1422,29164,1758,38187,1803,562553,4498,461677,4325,7293,1266,454384,4747,100876,1301,1200,419,99676,1342,6342,null,null,3886,null,null,3984,null,null,3008,null,null,4909,null,null,1422,null,null,1758,null,null,1803,null,null,4498,null,null,4325,null,null,1266,null,null,4747,null,null,1301,null,null,419,null,null,1342,null,null,39
209059,3150,101398,2327,90055,2268,11560,1497,78495,2345,11343,679,6398,880,4945,710,107661,2278,91419,2279,2919,845,88500,2426,16242,808,199,142,16043,791,3150,null,null,2327,null,null,2268,null,null,1497,null,null,2345,null,null,679,null,null,880,null,null,710,null,null,2278,null,null,2279,null,null,845,null,null,2426,null,null,808,null,null,142,null,null,791,null,null,40
58648,2624,32081,1634,29014,1637,1822,742,27192,1738,3067,481,1436,542,1631,512,26567,1787,23150,1689,365,367,22785,1793,3417,467,134,127,3283,474,2624,null,null,1634,null,null,1637,null,null,742,null,null,1738,null,null,481,null,null,542,null,null,512,null,null,1787,null,null,1689,null,null,367,null,null,1793,null,null,467,null,null,127,null,null,474,null,null,41
1050930,6287,497236,4239,436997,4142,32937,2713,404060,4817,60239,1201,25748,1715,34491,1703,553694,3924,455732,3799,5266,1385,450466,4160,97962,1554,625,372,97337,1505,6287,null,null,4239,null,null,4142,null,null,2713,null,null,4817,null,null,1201,null,null,1715,null,null,1703,null,null,3924,null,null,3799,null,null,1385,null,null,4160,null,null,1554,null,null,372,null,null,1505,null,null,42
50287,2597,25306,1397,22878,1445,1719,933,21159,1598,2428,337,493,282,1935,375,24981,1697,21543,1535,0,208,21543,1535,3438,627,157,193,3281,660,2597,null,null,1397,null,null,1445,null,null,933,null,null,1598,null,null,337,null,null,282,null,null,375,null,null,1697,null,null,1535,null,null,208,null,null,1535,null,null,627,null,null,193,null,null,660,null,null,44
1002542,4538,455302,2891,387570,2918,48861,3393,338709,3953,67732,1073,22839,1865,44893,2070,547240,3212,448352,2884,12704,2205,435648,3763,98888,912,438,250,98450,970,4538,null,null,2891,null,null,2918,null,null,3393,null,null,3953,null,null,1073,null,null,1865,null,null,2070,null,null,3212,null,null,2884,null,null,2205,null,null,3763,null,null,912,null,null,250,null,null,970,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
824057,5435,380224,3586,334180,3406,34165,2959,300015,4680,46044,1451,16026,1841,30018,2230,443833,3280,376559,3081,8236,1642,368323,3518,67274,1491,1026,395,66248,1521,5435,null,null,3586,null,null,3406,null,null,2959,null,null,4680,null,null,1451,null,null,1841,null,null,2230,null,null,3280,null,null,3081,null,null,1642,null,null,3518,null,null,1491,null,null,395,null,null,1521,null,null,47
2462187,9572,1158028,6568,1034525,6317,115495,6522,919030,9140,123503,2460,47738,2954,75765,3250,1304159,6672,1122233,6480,32771,3302,1089462,7018,181926,2357,1666,594,180260,2361,9572,null,null,6568,null,null,6317,null,null,6522,null,null,9140,null,null,2460,null,null,2954,null,null,3250,null,null,6672,null,null,6480,null,null,3302,null,null,7018,null,null,2357,null,null,594,null,null,2361,null,null,48
19876,1472,10994,1071,10401,1023,1190,637,9211,1036,593,363,419,330,174,179,8882,936,8458,914,362,317,8096,1002,424,324,0,190,424,324,1472,null,null,1071,null,null,1023,null,null,637,null,null,1036,null,null,363,null,null,330,null,null,179,null,null,936,null,null,914,null,null,317,null,null,1002,null,null,324,null,null,190,null,null,324,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
1208959,6533,563732,4663,486399,4498,79655,5010,406744,6410,77333,1716,34911,2050,42422,2025,645227,4798,532962,4815,24301,2292,508661,5274,112265,1970,810,361,111455,1913,6533,null,null,4663,null,null,4498,null,null,5010,null,null,6410,null,null,1716,null,null,2050,null,null,2025,null,null,4798,null,null,4815,null,null,2292,null,null,5274,null,null,1970,null,null,361,null,null,1913,null,null,51
194505,5460,105440,3312,95868,3246,15330,2144,80538,3467,9572,833,3965,660,5607,814,89065,3514,78206,3432,2985,1087,75221,3500,10859,928,141,140,10718,951,5460,null,null,3312,null,null,3246,null,null,2144,null,null,3467,null,null,833,null,null,660,null,null,814,null,null,3514,null,null,3432,null,null,1087,null,null,3500,null,null,928,null,null,140,null,null,951,null,null,53
55030,2204,29970,1594,26159,1592,2675,896,23484,1555,3811,928,1694,678,2117,658,25060,1589,19884,1657,470,489,19414,1484,5176,943,408,575,4768,947,2204,null,null,1594,null,null,1592,null,null,896,null,null,1555,null,null,928,null,null,678,null,null,658,null,null,1589,null,null,1657,null,null,489,null,null,1484,null,null,943,null,null,575,null,null,947,null,null,54
253577,3060,121152,2263,109418,2175,7668,1230,101750,2253,11734,776,3266,735,8468,827,132425,2039,116194,1994,2146,760,114048,2212,16231,790,72,120,16159,792,3060,null,null,2263,null,null,2175,null,null,1230,null,null,2253,null,null,776,null,null,735,null,null,827,null,null,2039,null,null,1994,null,null,760,null,null,2212,null,null,790,null,null,120,null,null,792,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
323429,9960,156529,5837,123921,5378,2847,842,121074,5327,32608,2407,4517,934,28091,2248,166900,6232,126818,5505,256,223,126562,5541,40082,2535,26,42,40056,2531,9960,null,null,5837,null,null,5378,null,null,842,null,null,5327,null,null,2407,null,null,934,null,null,2248,null,null,6232,null,null,5505,null,null,223,null,null,5541,null,null,2535,null,null,42,null,null,2531,null,null,72
972513,4032,439257,3449,380652,3535,40423,3381,340229,4365,58605,1525,19130,1818,39475,1956,533256,2923,444151,2761,10935,1924,433216,3524,89105,1308,1340,502,87765,1346,4032,null,null,3449,null,null,3535,null,null,3381,null,null,4365,null,null,1525,null,null,1818,null,null,1956,null,null,2923,null,null,2761,null,null,1924,null,null,3524,null,null,1308,null,null,502,null,null,1346,null,null,01
17396,1380,10221,835,9599,916,2367,1030,7232,1156,622,298,503,313,119,133,7175,992,5981,998,244,258,5737,922,1194,371,0,155,1194,371,1380,null,null,835,null,null,916,null,null,1030,null,null,1156,null,null,298,null,null,313,null,null,133,null,null,992,null,null,998,null,null,258,null,null,922,null,null,371,null,null,155,null,null,371,null,null,02
218647,4169,113114,2469,100647,2486,13239,2027,87408,3005,12467,719,6176,1011,6291,1200,105533,2533,91546,2471,2614,840,88932,2632,13987,451,464,346,13523,585,4169,null,null,2469,null,null,2486,null,null,2027,null,null,3005,null,null,719,null,null,1011,null,null,1200,null,null,2533,null,null,2471,null,null,840,null,null,2632,null,null,451,null,null,346,null,null,585,null,null,04
338221,2849,158129,1992,138491,2199,11961,1647,126530,2534,19638,1029,5988,1070,13650,1330,180092,1856,152204,1841,3192,794,149012,1991,27888,847,73,95,27815,858,2849,null,null,1992,null,null,2199,null,null,1647,null,null,2534,null,null,1029,null,null,1070,null,null,1330,null,null,1856,null,null,1841,null,null,794,null,null,1991,null,null,847,null,null,95,null,null,858,null,null,05
1753923,9930,859422,6654,741213,6570,82506,4890,658707,7600,118209,1420,52310,2409,65899,2465,894501,6349,734959,6107,15309,2262,719650,6429,159542,1841,2585,598,156957,2005,9930,null,null,6654,null,null,6570,null,null,4890,null,null,7600,null,null,1420,null,null,2409,null,null,2465,null,null,6349,null,null,6107,null,null,2262,null,null,6429,null,null,1841,null,null,598,null,null,2005,null,null,06
169530,3932,89909,3426,80111,3447,11736,1981,68375,3180,9798,733,4857,843,4941,816,79621,1935,68048,1895,2971,810,65077,2111,11573,789,359,228,11214,748,3932,null,null,3426,null,null,3447,null,null,1981,null,null,3180,null,null,733,null,null,843,null,null,816,null,null,1935,null,null,1895,null,null,810,null,null,2111,null,null,789,null,null,228,null,null,748,null,null,08
287772,5040,135351,3167,119897,3086,6043,1366,113854,3008,15454,542,3890,844,11564,938,152421,2951,128495,2905,963,426,127532,2979,23926,702,0,200,23926,702,5040,null,null,3167,null,null,3086,null,null,1366,null,null,3008,null,null,542,null,null,844,null,null,938,null,null,2951,null,null,2905,null,null,426,null,null,2979,null,null,702,null,null,200,null,null,702,null,null,09
154863,1890,71602,1077,61581,1083,6616,1361,54965,1528,10021,211,4019,775,6002,751,83261,1617,69276,1628,1077,530,68199,1688,13985,325,150,140,13835,358,1890,null,null,1077,null,null,1083,null,null,1361,null,null,1528,null,null,211,null,null,775,null,null,751,null,null,1617,null,null,1628,null,null,530,null,null,1688,null,null,325,null,null,140,null,null,358,null,null,10
252585,2012,111097,1197,93871,1146,5768,1072,88103,1608,17226,233,7448,922,9778,913,141488,1262,112537,1200,1231,528,111306,1344,28951,260,38,63,28913,267,2012,null,null,1197,null,null,1146,null,null,1072,null,null,1608,null,null,233,null,null,922,null,null,913,null,null,1262,null,null,1200,null,null,528,null,null,1344,null,null,260,null,null,63,null,null,267,null,null,11
