C15002H_001E,C15002H_001M,C15002H_002E,C15002H_002M,C15002H_003E,C15002H_003M,C15002H_004E,C15002H_004M,C15002H_005E,C15002H_005M,C15002H_006E,C15002H_006M,C15002H_007E,C15002H_007M,C15002H_008E,C15002H_008M,C15002H_009E,C15002H_009M,C15002H_010E,C15002H_010M,C15002H_011E,C15002H_011M,C15002H_001M,C15002H_001EA,C15002H_001MA,C15002H_002M,C15002H_002EA,C15002H_002MA,C15002H_003M,C15002H_003EA,C15002H_003MA,C15002H_004M,C15002H_004EA,C15002H_004MA,C15002H_005M,C15002H_005EA,C15002H_005MA,C15002H_006M,C15002H_006EA,C15002H_006MA,C15002H_007M,C15002H_007EA,C15002H_007MA,C15002H_008M,C15002H_008EA,C15002H_008MA,C15002H_009M,C15002H_009EA,C15002H_009MA,C15002H_010M,C15002H_010EA,C15002H_010MA,C15002H_011M,C15002H_011EA,C15002H_011MA,state
7197043,1640,3466031,1085,286092,7959,1260699,14856,803172,12864,1116068,12847,3731012,1018,274256,6515,1339944,13595,917484,11009,1199328,11416,1640,null,null,1085,null,null,7959,null,null,14856,null,null,12864,null,null,12847,null,null,1018,null,null,6515,null,null,13595,null,null,11009,null,null,11416,null,null,42
572510,1318,270441,956,24017,2029,77147,3929,69943,4221,99334,4528,302069,552,26505,2774,76854,4081,83072,4333,115638,4386,1318,null,null,956,null,null,2029,null,null,3929,null,null,4221,null,null,4528,null,null,552,null,null,2774,null,null,4081,null,null,4333,null,null,4386,null,null,44
2292473,2125,1099715,1242,116168,5407,305369,7280,325497,8986,352681,7575,1192758,1294,109069,5103,312472,7860,389518,8117,381699,8173,2125,null,null,1242,null,null,5407,null,null,7280,null,null,8986,null,null,7575,null,null,1294,null,null,5103,null,null,7860,null,null,8117,null,null,8173,null,null,45
492869,889,243744,640,18319,2069,74225,3088,82080,3423,69120,3305,249125,499,12944,1584,69716,3408,83518,3263,82947,3340,889,null,null,640,null,null,2069,null,null,3088,null,null,3423,null,null,3305,null,null,499,null,null,1584,null,null,3408,null,null,3263,null,null,3340,null,null,46
3522010,2199,1689178,1754,209774,6256,561966,11036,460012,9197,457426,9450,1832832,1339,195796,5994,592136,10131,539702,9454,505198,8934,2199,null,null,1754,null,null,6256,null,null,11036,null,null,9197,null,null,9450,null,null,1339,null,null,5994,null,null,10131,null,null,9454,null,null,8934,null,null,47
8537887,6421,4165023,4240,275846,8209,971710,14060,1307302,16337,1610165,15954,4372864,3825,288793,9487,1040613,14812,1444533,16711,1598925,15500,6421,null,null,4240,null,null,8209,null,null,14060,null,null,16337,null,null,15954,null,null,3825,null,null,9487,null,null,14812,null,null,16711,null,null,15500,null,null,48
1460142,1572,722825,1299,34660,2742,152811,6007,260904,5628,274450,5951,737317,988,32096,2932,162047,6117,301538,7114,241636,6912,1572,null,null,1299,null,null,2742,null,null,6007,null,null,5628,null,null,5951,null,null,988,null,null,2932,null,null,6117,null,null,7114,null,null,6912,null,null,49
415204,624,200895,165,18652,1875,66411,3213,48330,2844,67502,2872,214309,575,12995,1552,56819,2727,60632,3005,83863,2925,624,null,null,165,null,null,1875,null,null,3213,null,null,2844,null,null,2872,null,null,575,null,null,1552,null,null,2727,null,null,3005,null,null,2925,null,null,50
3757704,2501,1824941,1738,157947,5893,433207,8413,467570,8211,766217,9766,1932763,1421,134647,5826,449090,10046,551653,8154,797373,9871,2501,null,null,1738,null,null,5893,null,null,8413,null,null,8211,null,null,9766,null,null,1421,null,null,5826,null,null,10046,null,null,8154,null,null,9871,null,null,51
3720765,1354,1832341,796,104012,5223,426951,10207,621742,10219,679636,8689,1888424,993,93200,5382,413904,9787,695852,8882,685468,10749,1354,null,null,796,null,null,5223,null,null,10207,null,null,10219,null,null,8689,null,null,993,null,null,5382,null,null,9787,null,null,8882,null,null,10749,null,null,53
1208012,2034,583469,1476,92271,4925,241778,5976,132816,4846,116604,4771,624543,1187,76853,4389,242954,6447,173670,6016,131066,5591,2034,null,null,1476,null,null,4925,null,null,5976,null,null,4846,null,null,4771,null,null,1187,null,null,4389,null,null,6447,null,null,6016,null,null,5591,null,null,54
3375616,1207,1656630,940,112289,4255,533876,8498,523778,7275,486687,8416,1718986,590,86297,3868,525121,7174,553588,7883,553980,7641,1207,null,null,940,null,null,4255,null,null,8498,null,null,7275,null,null,8416,null,null,590,null,null,3868,null,null,7174,null,null,7883,null,null,7641,null,null,55
341979,1037,172349,743,9069,1518,54409,2951,60362,3143,48509,2590,169630,638,8522,1327,45840,2400,66362,3404,48906,3073,1037,null,null,743,null,null,1518,null,null,2951,null,null,3143,null,null,2590,null,null,638,null,null,1327,null,null,2400,null,null,3404,null,null,3073,null,null,56
25435,3098,13272,2048,1859,765,3138,1104,2722,830,5553,1348,12163,1852,1290,658,2585,903,3998,1124,4290,1055,3098,null,null,2048,null,null,765,null,null,1104,null,null,830,null,null,1348,null,null,1852,null,null,658,null,null,903,null,null,1124,null,null,1055,null,null,72
2285863,2153,1097230,1366,149422,6683,329223,7330,309507,7789,309078,7439,1188633,1269,139672,6356,362452,7663,372667,7343,313842,6997,2153,null,null,1366,null,null,6683,null,null,7330,null,null,7789,null,null,7439,null,null,1269,null,null,6356,null,null,7663,null,null,7343,null,null,6997,null,null,01
320221,586,170327,809,7827,1249,43484,2932,63638,3194,55378,2733,149894,951,4871,960,31636,2171,51395,3285,61992,3263,586,null,null,809,null,null,1249,null,null,2932,null,null,3194,null,null,2733,null,null,951,null,null,960,null,null,2171,null,null,3285,null,null,3263,null,null,02
2904722,2460,1416108,1275,89329,5271,316599,7507,497537,9130,512643,7528,1488614,1714,86904,4646,331835,8882,558036,9678,511839,9269,2460,null,null,1275,null,null,5271,null,null,7507,null,null,9130,null,null,7528,null,null,1714,null,null,4646,null,null,8882,null,null,9678,null,null,9269,null,null,04
1537148,2236,740908,1420,92302,4107,265043,5664,209728,6536,173835,5459,796240,1260,83567,4249,268047,7018,249572,6898,195054,6423,2236,null,null,1420,null,null,4107,null,null,5664,null,null,6536,null,null,5459,null,null,1260,null,null,4249,null,null,7018,null,null,6898,null,null,6423,null,null,05
11269651,4889,5567518,2894,306671,8864,1020198,17751,1777525,18648,2463124,19990,5702133,2819,306552,9763,1043565,14925,1956786,20196,2395230,19703,4889,null,null,2894,null,null,8864,null,null,17751,null,null,18648,null,null,19990,null,null,2819,null,null,9763,null,null,14925,null,null,20196,null,null,19703,null,null,06
2755399,1909,1364074,1204,52251,3937,277697,7555,406969,7157,627157,8710,1391325,1461,44415,3375,266579,6143,441079,7925,639252,8248,1909,null,null,1204,null,null,3937,null,null,7555,null,null,7157,null,null,8710,null,null,1461,null,null,3375,null,null,6143,null,null,7925,null,null,8248,null,null,08
1778311,2188,849924,1573,50594,3065,233538,6174,200236,6168,365556,6437,928387,1032,52233,3045,235955,5967,235741,6232,404458,6745,2188,null,null,1573,null,null,3065,null,null,6174,null,null,6168,null,null,6437,null,null,1032,null,null,3045,null,null,5967,null,null,6232,null,null,6745,null,null,09
449466,696,213941,293,19505,2121,67823,4025,54756,3115,71857,3288,235525,466,16761,2088,72584,3756,66181,3718,79999,3912,696,null,null,293,null,null,2121,null,null,4025,null,null,3115,null,null,3288,null,null,466,null,null,2088,null,null,3756,null,null,3718,null,null,3912,null,null,10
189306,503,96243,82,490,392,2392,731,5519,1314,87842,1434,93063,497,578,400,1677,574,4428,934,86380,1148,503,null,null,82,null,null,392,null,null,731,null,null,1314,null,null,1434,null,null,497,null,null,400,null,null,574,null,null,934,null,null,1148,null,null,11
