B20017E_001E,B20017E_001M,B20017E_002E,B20017E_002M,B20017E_003E,B20017E_003M,B20017E_004E,B20017E_004M,B20017E_005E,B20017E_005M,B20017E_006E,B20017E_006M,B20017E_007E,B20017E_007M,B20017E_001M,B20017E_001EA,B20017E_001MA,B20017E_002M,B20017E_002EA,B20017E_002MA,B20017E_003M,B20017E_003EA,B20017E_003MA,B20017E_004M,B20017E_004EA,B20017E_004MA,B20017E_005M,B20017E_005EA,B20017E_005MA,B20017E_006M,B20017E_006EA,B20017E_006MA,B20017E_007M,B20017E_007EA,B20017E_007MA,state
11302,17546,23333,16846,-666666666,-222222222,3895,6440,2499,-333333333,28519,9859,2499,-333333333,17546,null,null,16846,null,null,-222222222,-,**,6440,null,null,-333333333,"2,500-",***,9859,null,null,-333333333,"2,500-",***,31
28480,4874,33463,4105,39306,9324,10530,8638,19461,7895,31201,5660,8349,2965,4874,null,null,4105,null,null,9324,null,null,8638,null,null,7895,null,null,5660,null,null,2965,null,null,32
-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
31371,12162,40500,23985,51590,17284,10660,17639,26167,9595,45069,15571,9883,6529,12162,null,null,23985,null,null,17284,null,null,17639,null,null,9595,null,null,15571,null,null,6529,null,null,36
21532,3115,22283,7773,27185,6291,10868,5982,20127,4847,24467,3430,8724,14472,3115,null,null,7773,null,null,6291,null,null,5982,null,null,4847,null,null,3430,null,null,14472,null,null,37
13522,3292,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,3292,null,null,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,38
17931,9451,32402,23352,41523,19446,-666666666,-222222222,13403,7060,38438,48874,6451,8631,9451,null,null,23352,null,null,19446,null,null,-222222222,-,**,7060,null,null,48874,null,null,8631,null,null,39
24724,2660,24846,2822,31875,22184,21546,9613,22413,10318,40744,14324,6451,903,2660,null,null,2822,null,null,22184,null,null,9613,null,null,10318,null,null,14324,null,null,903,null,null,40
27369,8120,30442,16165,32079,5713,10953,2128,26582,6521,31612,5581,6469,1238,8120,null,null,16165,null,null,5713,null,null,2128,null,null,6521,null,null,5581,null,null,1238,null,null,41
26623,6808,51234,32458,65753,29508,6471,7329,25877,6389,30180,8632,17808,12223,6808,null,null,32458,null,null,29508,null,null,7329,null,null,6389,null,null,8632,null,null,12223,null,null,42
44757,27557,48307,61047,56969,57302,15801,7667,43681,28119,47664,15404,-666666666,-222222222,27557,null,null,61047,null,null,57302,null,null,7667,null,null,28119,null,null,15404,null,null,-222222222,-,**,44
17111,11900,16680,18288,44755,15991,15508,10424,21771,17748,32937,19908,6010,23455,11900,null,null,18288,null,null,15991,null,null,10424,null,null,17748,null,null,19908,null,null,23455,null,null,45
-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,46
41144,2020,41322,4800,41667,1777,6068,11688,40247,27718,48321,16888,7977,27617,2020,null,null,4800,null,null,1777,null,null,11688,null,null,27718,null,null,16888,null,null,27617,null,null,47
28422,4108,31877,6985,42021,12563,11334,15166,25660,7593,34395,12834,10938,3047,4108,null,null,6985,null,null,12563,null,null,15166,null,null,7593,null,null,12834,null,null,3047,null,null,48
24183,3165,25943,8615,35970,6910,15923,4805,19716,5138,31506,1847,9835,2301,3165,null,null,8615,null,null,6910,null,null,4805,null,null,5138,null,null,1847,null,null,2301,null,null,49
24205,33669,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,33669,null,null,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,50
34010,12238,45421,14420,47268,16089,30622,22515,22930,7314,35912,20469,12453,12969,12238,null,null,14420,null,null,16089,null,null,22515,null,null,7314,null,null,20469,null,null,12969,null,null,51
24690,3111,29167,7328,41456,5159,11182,2079,21949,2508,30358,3711,9652,3091,3111,null,null,7328,null,null,5159,null,null,2079,null,null,2508,null,null,3711,null,null,3091,null,null,53
31165,10413,31811,13579,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,10413,null,null,13579,null,null,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,54
25380,12446,26825,25383,26623,20858,-666666666,-222222222,18671,14907,19743,32925,10606,6117,12446,null,null,25383,null,null,20858,null,null,-222222222,-,**,14907,null,null,32925,null,null,6117,null,null,55
18750,1203,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,1203,null,null,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,56
-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,72
24531,1516,25032,19487,72676,75293,22791,35699,24089,1704,34821,40590,23215,5908,1516,null,null,19487,null,null,75293,null,null,35699,null,null,1704,null,null,40590,null,null,5908,null,null,01
26678,6419,22119,9848,26385,10661,15136,16865,35034,15637,36267,6437,20660,7701,6419,null,null,9848,null,null,10661,null,null,16865,null,null,15637,null,null,6437,null,null,7701,null,null,02
26931,5598,27109,8564,40102,19609,7431,3552,26536,8353,35634,5077,9771,2749,5598,null,null,8564,null,null,19609,null,null,3552,null,null,8353,null,null,5077,null,null,2749,null,null,04
22796,1991,20300,6689,23792,1933,12338,10391,23674,2853,23841,2690,14242,17967,1991,null,null,6689,null,null,1933,null,null,10391,null,null,2853,null,null,2690,null,null,17967,null,null,05
32265,2898,36876,4738,48236,4129,12457,2059,31071,1339,40816,2332,11655,1200,2898,null,null,4738,null,null,4129,null,null,2059,null,null,1339,null,null,2332,null,null,1200,null,null,06
26239,3769,32417,7803,39940,10400,15331,24154,23011,5906,24501,3975,5365,8272,3769,null,null,7803,null,null,10400,null,null,24154,null,null,5906,null,null,3975,null,null,8272,null,null,08
52083,64997,120548,27967,120548,27967,-666666666,-222222222,30086,23941,75320,93779,25216,21579,64997,null,null,27967,null,null,27967,null,null,-222222222,-,**,23941,null,null,93779,null,null,21579,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,11
