C03002_001E,C03002_001M,C03002_002E,C03002_002M,C03002_003E,C03002_003M,C03002_004E,C03002_004M,C03002_005E,C03002_005M,C03002_006E,C03002_006M,C03002_007E,C03002_007M,C03002_008E,C03002_008M,C03002_009E,C03002_009M,C03002_010E,C03002_010M,C03002_011E,C03002_011M,C03002_012E,C03002_012M,C03002_001M,C03002_001EA,C03002_001MA,C03002_002M,C03002_002EA,C03002_002MA,C03002_003M,C03002_003EA,C03002_003MA,C03002_004M,C03002_004EA,C03002_004MA,C03002_005M,C03002_005EA,C03002_005MA,C03002_006M,C03002_006EA,C03002_006MA,C03002_007M,C03002_007EA,C03002_007MA,C03002_008M,C03002_008EA,C03002_008MA,C03002_009M,C03002_009EA,C03002_009MA,C03002_010M,C03002_010EA,C03002_010MA,C03002_011M,C03002_011EA,C03002_011MA,C03002_012M,C03002_012EA,C03002_012MA,state
1331479,-555555555,1310765,785,1243607,525,17963,1738,7130,1043,17499,1510,214,200,900,412,23452,2252,265,286,23187,2172,20714,785,-555555555,null,*****,785,null,null,525,null,null,1738,null,null,1043,null,null,1510,null,null,200,null,null,412,null,null,2252,null,null,286,null,null,2172,null,null,785,null,null,23
6016447,-555555555,5429717,252,3092525,1782,1765641,8713,12217,1828,374779,4843,2101,1092,15752,2790,166702,9539,5944,2458,160758,9257,586730,252,-555555555,null,*****,252,null,null,1782,null,null,8713,null,null,1828,null,null,4843,null,null,1092,null,null,2790,null,null,9539,null,null,2458,null,null,9257,null,null,252,null,null,24
6811779,-555555555,6032083,1053,4928862,6399,456681,7410,8154,1475,438614,5561,3006,1447,59495,7272,137271,8110,10523,2278,126748,7734,779696,1053,-555555555,null,*****,1053,null,null,6399,null,null,7410,null,null,1475,null,null,5561,null,null,1447,null,null,7272,null,null,8110,null,null,2278,null,null,7734,null,null,1053,null,null,25
9928300,-555555555,9436870,741,7474930,2554,1347079,8863,42919,2572,291323,4679,2462,770,15319,2866,262838,9941,6589,1512,256249,9591,491430,741,-555555555,null,*****,741,null,null,2554,null,null,8863,null,null,2572,null,null,4679,null,null,770,null,null,2866,null,null,9941,null,null,1512,null,null,9591,null,null,741,null,null,26
5519952,-555555555,5231492,788,4444184,2188,325256,5540,57795,2495,257673,4440,1255,468,7324,1889,138005,7481,3183,1597,134822,6985,288460,788,-555555555,null,*****,788,null,null,2188,null,null,5540,null,null,2495,null,null,4440,null,null,468,null,null,1889,null,null,7481,null,null,1597,null,null,6985,null,null,788,null,null,27
2988726,-555555555,2901993,2997,1698241,978,1131449,6136,12939,1518,26685,2259,631,519,2529,1230,29519,4601,672,485,28847,4632,86733,2997,-555555555,null,*****,2997,null,null,978,null,null,6136,null,null,1518,null,null,2259,null,null,519,null,null,1230,null,null,4601,null,null,485,null,null,4632,null,null,2997,null,null,28
6093000,-555555555,5849433,1739,4852074,2661,698734,6984,27492,3041,116024,3534,7521,1982,10479,2983,137109,8212,2435,986,134674,8123,243567,1739,-555555555,null,*****,1739,null,null,2661,null,null,6984,null,null,3041,null,null,3534,null,null,1982,null,null,2983,null,null,8212,null,null,986,null,null,8123,null,null,1739,null,null,29
1042520,-555555555,1005430,1084,900884,698,3439,985,62998,2387,8326,1411,547,320,574,601,28662,2674,322,294,28340,2660,37090,1084,-555555555,null,*****,1084,null,null,698,null,null,985,null,null,2387,null,null,1411,null,null,320,null,null,601,null,null,2674,null,null,294,null,null,2660,null,null,1084,null,null,30
1907116,-555555555,1704667,391,1519945,1020,87110,2983,13963,1292,41133,3290,1200,572,1719,974,39597,4131,530,374,39067,4098,202449,391,-555555555,null,*****,391,null,null,1020,null,null,2983,null,null,1292,null,null,3290,null,null,572,null,null,974,null,null,4131,null,null,374,null,null,4098,null,null,391,null,null,31
2940058,-555555555,2103432,-555555555,1463596,1646,249544,4700,26593,1897,240323,4638,18016,841,6566,1686,98794,7143,2009,682,96785,7100,836626,-555555555,-555555555,null,*****,-555555555,null,*****,1646,null,null,4700,null,null,1897,null,null,4638,null,null,841,null,null,1686,null,null,7143,null,null,682,null,null,7100,null,null,-555555555,null,*****,32
1334795,-555555555,1287524,886,1211076,980,15837,1602,1336,748,32455,2250,66,87,1645,1020,25109,2883,712,641,24397,2739,47271,886,-555555555,null,*****,886,null,null,980,null,null,1602,null,null,748,null,null,2250,null,null,87,null,null,1020,null,null,2883,null,null,641,null,null,2739,null,null,886,null,null,33
8944469,-555555555,7157800,-555555555,4966755,4507,1130491,8225,8810,1274,849117,6132,2840,1656,40991,5698,158796,8920,17785,3283,141011,8867,1786669,-555555555,-555555555,null,*****,-555555555,null,*****,4507,null,null,8225,null,null,1274,null,null,6132,null,null,1656,null,null,5698,null,null,8920,null,null,3283,null,null,8867,null,null,-555555555,null,*****,34
2081015,-555555555,1071139,-555555555,787250,1938,37782,2373,178176,2835,30149,1760,1077,673,4299,1744,32406,3648,2647,1137,29759,3262,1009876,-555555555,-555555555,null,*****,-555555555,null,*****,1938,null,null,2373,null,null,2835,null,null,1760,null,null,673,null,null,1744,null,null,3648,null,null,1137,null,null,3262,null,null,-555555555,null,*****,35
19745289,-555555555,15997675,416,10962313,6417,2829419,12042,45228,3758,1654883,11344,6491,1702,106193,9582,393148,16062,36184,4931,356964,14964,3747614,416,-555555555,null,*****,416,null,null,6417,null,null,12042,null,null,3758,null,null,11344,null,null,1702,null,null,9582,null,null,16062,null,null,4931,null,null,14964,null,null,416,null,null,36
10146788,-555555555,9215678,1223,6438334,2989,2144650,10177,108345,3130,273281,4293,5376,1081,19620,4474,226072,10842,5751,1793,220321,10704,931110,1223,-555555555,null,*****,1223,null,null,2989,null,null,10177,null,null,3130,null,null,4293,null,null,1081,null,null,4474,null,null,10842,null,null,1793,null,null,10704,null,null,1223,null,null,37
757953,-555555555,731519,1860,644710,219,18815,2301,40676,2213,9111,1755,233,278,127,99,17847,2495,149,157,17698,2510,26434,1861,-555555555,null,*****,1860,null,null,219,null,null,2301,null,null,2213,null,null,1755,null,null,278,null,null,99,null,null,2495,null,null,157,null,null,2510,null,null,1861,null,null,38
11614373,-555555555,11194292,1636,9216496,3128,1421393,10007,15138,2396,237401,3712,3218,889,19951,3602,280695,10428,8097,2347,272598,10371,420081,1636,-555555555,null,*****,1636,null,null,3128,null,null,10007,null,null,2396,null,null,3712,null,null,889,null,null,3602,null,null,10428,null,null,2347,null,null,10371,null,null,1636,null,null,39
3923561,-555555555,3519625,-555555555,2595562,1047,281976,4554,283500,6102,78185,3012,5717,1065,4059,1495,270626,7409,2386,1092,268240,7600,403936,-555555555,-555555555,null,*****,-555555555,null,*****,1047,null,null,4554,null,null,6102,null,null,3012,null,null,1065,null,null,1495,null,null,7409,null,null,1092,null,null,7600,null,null,-555555555,null,*****,40
4093465,-555555555,3570897,-555555555,3119464,1806,75516,3829,36097,3366,167053,4856,13830,2378,5961,1721,152976,7066,3203,1404,149773,7347,522568,-555555555,-555555555,null,*****,-555555555,null,*****,1806,null,null,3829,null,null,3366,null,null,4856,null,null,2378,null,null,1721,null,null,7066,null,null,1404,null,null,7347,null,null,-555555555,null,*****,41
12784227,-555555555,11884225,1330,9832127,3145,1351705,9163,13312,1807,420202,5099,2446,852,19352,4449,245081,10569,11714,3158,233367,10023,900002,1330,-555555555,null,*****,1330,null,null,3145,null,null,9163,null,null,1807,null,null,5099,null,null,852,null,null,4449,null,null,10569,null,null,3158,null,null,10023,null,null,1330,null,null,42
1056426,-555555555,899074,-555555555,768815,2294,58523,2899,2913,950,36176,2125,1237,928,6210,2215,25200,3660,4138,1829,21062,3149,157352,-555555555,-555555555,null,*****,-555555555,null,*****,2294,null,null,2899,null,null,950,null,null,2125,null,null,928,null,null,2215,null,null,3660,null,null,1829,null,null,3149,null,null,-555555555,null,*****,44
4961119,-555555555,4688328,3468,3161469,2864,1328097,8567,13805,2261,75511,3674,2179,1082,12827,3707,94440,7860,1402,610,93038,7911,272791,3468,-555555555,null,*****,3468,null,null,2864,null,null,8567,null,null,2261,null,null,3674,null,null,1082,null,null,3707,null,null,7860,null,null,610,null,null,7911,null,null,3468,null,null,45
865454,-555555555,833227,1422,713315,376,14332,1414,73570,2976,12901,1796,151,234,280,342,18678,2357,74,152,18604,2398,32227,1422,-555555555,null,*****,1422,null,null,376,null,null,1414,null,null,2976,null,null,1796,null,null,234,null,null,342,null,null,2357,null,null,152,null,null,2398,null,null,1422,null,null,46
6651194,-555555555,6303752,2164,4929450,2243,1105799,8462,15049,2480,115106,3858,4732,2290,8919,2707,124697,9328,3934,1437,120763,8737,347442,2164,-555555555,null,*****,2164,null,null,2243,null,null,8462,null,null,2480,null,null,3858,null,null,2290,null,null,2707,null,null,9328,null,null,1437,null,null,8737,null,null,2164,null,null,47
27862596,-555555555,16979317,217,11843864,5014,3270776,14547,67038,4435,1281698,10510,20254,2694,38404,5355,457283,16630,21710,4681,435573,15979,10883279,217,-555555555,null,*****,217,null,null,5014,null,null,14547,null,null,4435,null,null,10510,null,null,2694,null,null,5355,null,null,16630,null,null,4681,null,null,15979,null,null,217,null,null,48
3051217,-555555555,2630777,-555555555,2401230,1818,30915,2907,26769,2003,69181,3265,28870,2118,3070,1370,70742,5186,2858,1420,67884,4835,420440,-555555555,-555555555,null,*****,-555555555,null,*****,1818,null,null,2907,null,null,2003,null,null,3265,null,null,2118,null,null,1370,null,null,5186,null,null,1420,null,null,4835,null,null,-555555555,null,*****,49
624594,-555555555,612048,1061,580616,446,7307,1024,2113,923,9406,1088,252,261,727,507,11627,1612,347,270,11280,1552,12546,1061,-555555555,null,*****,1061,null,null,446,null,null,1024,null,null,923,null,null,1088,null,null,261,null,null,507,null,null,1612,null,null,270,null,null,1552,null,null,1061,null,null,50
8411808,-555555555,7651197,3151,5235564,2770,1575478,10985,19718,2946,527900,7315,6769,1901,23107,3877,262661,12056,10199,2698,252462,11452,760611,3151,-555555555,null,*****,3151,null,null,2770,null,null,10985,null,null,2946,null,null,7315,null,null,1901,null,null,3877,null,null,12056,null,null,2698,null,null,11452,null,null,3151,null,null,51
7288000,-555555555,6381549,882,5053546,1957,254841,7763,79382,4552,591025,8390,46683,2937,10670,2638,345402,13206,4779,1454,340623,12872,906451,882,-555555555,null,*****,882,null,null,1957,null,null,7763,null,null,4552,null,null,8390,null,null,2937,null,null,2638,null,null,13206,null,null,1454,null,null,12872,null,null,882,null,null,53
1831102,-555555555,1804319,2423,1684936,2541,68738,3213,3734,1230,13777,1617,404,375,3361,1493,29369,3344,158,124,29211,3319,26783,2423,-555555555,null,*****,2423,null,null,2541,null,null,3213,null,null,1230,null,null,1617,null,null,375,null,null,1493,null,null,3344,null,null,124,null,null,3319,null,null,2423,null,null,54
5778709,-555555555,5391694,573,4718160,1374,355473,4430,48653,2311,154748,3128,987,372,3230,979,110443,6381,3265,1158,107178,6351,387015,573,-555555555,null,*****,573,null,null,1374,null,null,4430,null,null,2311,null,null,3128,null,null,372,null,null,979,null,null,6381,null,null,1158,null,null,6351,null,null,573,null,null,55
585501,-555555555,529237,683,494078,768,5400,1450,12328,1443,5815,1329,173,217,211,376,11232,1799,543,628,10689,1737,56264,683,-555555555,null,*****,683,null,null,768,null,null,1450,null,null,1443,null,null,1329,null,null,217,null,null,376,null,null,1799,null,null,628,null,null,1737,null,null,683,null,null,56
3411307,-555555555,45466,5205,36168,4848,2517,919,225,220,2067,986,89,95,2251,937,2149,1197,239,260,1910,1153,3365841,5205,-555555555,null,*****,5205,null,null,4848,null,null,919,null,null,220,null,null,986,null,null,95,null,null,937,null,null,1197,null,null,260,null,null,1153,null,null,5205,null,null,72
4863300,-555555555,4663614,1768,3197147,1701,1294572,7002,21225,2500,65100,3675,1341,540,7537,2790,76692,6944,1956,1096,74736,6939,199686,1768,-555555555,null,*****,1768,null,null,1701,null,null,7002,null,null,2500,null,null,3675,null,null,540,null,null,2790,null,null,6944,null,null,1096,null,null,6939,null,null,1768,null,null,01
741894,-555555555,690590,276,452757,719,21768,1683,104362,3286,44235,2934,9766,839,1741,1063,55961,5038,1176,959,54785,4943,51304,276,-555555555,null,*****,276,null,null,719,null,null,1683,null,null,3286,null,null,2934,null,null,839,null,null,1063,null,null,5038,null,null,959,null,null,4943,null,null,276,null,null,02
6931071,-555555555,4786296,-555555555,3834724,2943,284478,5825,274472,4508,214132,4293,12834,1264,10072,2857,155584,8296,5187,1471,150397,8073,2144775,-555555555,-555555555,null,*****,-555555555,null,*****,2943,null,null,5825,null,null,4508,null,null,4293,null,null,1264,null,null,2857,null,null,8296,null,null,1471,null,null,8073,null,null,-555555555,null,*****,04
2988248,-555555555,2773704,1157,2175226,981,462232,4852,16096,1757,41387,2630,8808,1292,2917,989,67038,5209,1938,870,65100,5234,214544,1157,-555555555,null,*****,1157,null,null,981,null,null,4852,null,null,1757,null,null,2630,null,null,1292,null,null,989,null,null,5209,null,null,870,null,null,5234,null,null,1157,null,null,05
39250017,-555555555,23969241,-555555555,14725729,8629,2160958,12799,132153,5781,5518226,16185,137019,4940,105389,10984,1189767,20877,53908,5698,1135859,20603,15280776,-555555555,-555555555,null,*****,-555555555,null,*****,8629,null,null,12799,null,null,5781,null,null,16185,null,null,4940,null,null,10984,null,null,20877,null,null,5698,null,null,20603,null,null,-555555555,null,*****,06
5540545,-555555555,4359327,-555555555,3796733,1461,220728,4871,28993,2717,173588,4497,7397,1329,6313,1483,125575,6462,3062,989,122513,6245,1181218,-555555555,-555555555,null,*****,-555555555,null,*****,1461,null,null,4871,null,null,2717,null,null,4497,null,null,1329,null,null,1483,null,null,6462,null,null,989,null,null,6245,null,null,-555555555,null,*****,08
3576452,-555555555,3014105,-555555555,2411769,2753,352345,5030,4968,1185,159838,3574,505,354,11451,3193,73229,6121,4472,1588,68757,5871,562347,-555555555,-555555555,null,*****,-555555555,null,*****,2753,null,null,5030,null,null,1185,null,null,3574,null,null,354,null,null,3193,null,null,6121,null,null,1588,null,null,5871,null,null,-555555555,null,*****,09
952065,-555555555,864913,-555555555,597331,751,203278,2658,3281,679,35591,1585,990,864,1419,782,23023,3174,718,602,22305,3194,87152,-555555555,-555555555,null,*****,-555555555,null,*****,751,null,null,2658,null,null,679,null,null,1585,null,null,864,null,null,782,null,null,3174,null,null,602,null,null,3194,null,null,-555555555,null,*****,10
681170,-555555555,606748,-555555555,247185,552,315848,2121,1529,398,25952,1216,41,68,1929,1466,14264,1936,802,479,13462,1862,74422,-555555555,-555555555,null,*****,-555555555,null,*****,552,null,null,2121,null,null,398,null,null,1216,null,null,68,null,null,1466,null,null,1936,null,null,479,null,null,1862,null,null,-555555555,null,*****,11
