C27001A_001E,C27001A_001M,C27001A_002E,C27001A_002M,C27001A_003E,C27001A_003M,C27001A_004E,C27001A_004M,C27001A_005E,C27001A_005M,C27001A_006E,C27001A_006M,C27001A_007E,C27001A_007M,C27001A_008E,C27001A_008M,C27001A_009E,C27001A_009M,C27001A_010E,C27001A_010M,C27001A_001M,C27001A_001EA,C27001A_001MA,C27001A_002M,C27001A_002EA,C27001A_002MA,C27001A_003M,C27001A_003EA,C27001A_003MA,C27001A_004M,C27001A_004EA,C27001A_004MA,C27001A_005M,C27001A_005EA,C27001A_005MA,C27001A_006M,C27001A_006EA,C27001A_006MA,C27001A_007M,C27001A_007EA,C27001A_007MA,C27001A_008M,C27001A_008EA,C27001A_008MA,C27001A_009M,C27001A_009EA,C27001A_009MA,C27001A_010M,C27001A_010EA,C27001A_010MA,state
837061,6269,149249,3291,146758,3384,2491,993,534287,3853,510066,4793,24221,3426,153525,1194,153234,1251,291,229,6269,null,null,3291,null,null,3384,null,null,993,null,null,3853,null,null,4793,null,null,3426,null,null,1194,null,null,1251,null,null,229,null,null,44
3287906,10127,665674,5099,635178,5969,30496,3884,1989816,6669,1720080,11342,269736,11753,632416,1562,630877,1682,1539,657,10127,null,null,5099,null,null,5969,null,null,3884,null,null,6669,null,null,11342,null,null,11753,null,null,1562,null,null,1682,null,null,657,null,null,45
721186,2721,160932,1449,156424,2059,4508,1391,435365,1702,395358,3750,40007,3809,124889,497,124708,552,181,184,2721,null,null,1449,null,null,2059,null,null,1391,null,null,1702,null,null,3750,null,null,3809,null,null,497,null,null,552,null,null,184,null,null,46
5107524,9623,1079072,5589,1039660,7124,39412,5912,3141949,5804,2754483,10852,387466,10582,886503,2009,884341,2041,2162,624,9623,null,null,5589,null,null,7124,null,null,5912,null,null,5804,null,null,10852,null,null,10582,null,null,2009,null,null,2041,null,null,624,null,null,47
20394402,41608,5246570,21965,4742774,24286,503796,17317,12445813,26805,9634983,39534,2810830,41836,2702019,7511,2663920,8184,38099,4091,41608,null,null,21965,null,null,24286,null,null,17317,null,null,26805,null,null,39534,null,null,41836,null,null,7511,null,null,8184,null,null,4091,null,null,48
2612234,10675,769094,5934,729201,7043,39893,4887,1544296,6156,1396872,9439,147424,7619,298844,1413,297796,1442,1048,480,10675,null,null,5934,null,null,7043,null,null,4887,null,null,6156,null,null,9439,null,null,7619,null,null,1413,null,null,1442,null,null,480,null,null,49
583970,1054,107635,769,106048,1001,1587,560,368324,855,348780,2158,19544,2244,108011,519,107858,530,153,142,1054,null,null,769,null,null,1001,null,null,560,null,null,855,null,null,2158,null,null,2244,null,null,519,null,null,530,null,null,142,null,null,50
5570822,12569,1154551,6596,1105441,8282,49110,5589,3475651,9066,3115595,14826,360056,11467,940620,2401,936714,2384,3906,1188,12569,null,null,6596,null,null,8282,null,null,5589,null,null,9066,null,null,14826,null,null,11467,null,null,2401,null,null,2384,null,null,1188,null,null,51
5441559,14186,1105125,7811,1082052,8114,23073,2936,3403531,8837,3167273,10657,236258,8760,932903,2065,930027,2327,2876,905,14186,null,null,7811,null,null,8114,null,null,2936,null,null,8837,null,null,10657,null,null,8760,null,null,2065,null,null,2327,null,null,905,null,null,53
1683372,2507,339317,1507,332033,2709,7284,1948,1022022,2005,941454,6085,80568,5734,322033,1073,322020,1071,13,27,2507,null,null,1507,null,null,2709,null,null,1948,null,null,2005,null,null,6085,null,null,5734,null,null,1073,null,null,1071,null,null,27,null,null,54
4891563,8202,997763,4862,961624,5396,36139,3348,3040844,4713,2857229,8639,183615,7995,852956,1487,851188,1620,1768,520,8202,null,null,4862,null,null,5396,null,null,3348,null,null,4713,null,null,8639,null,null,7995,null,null,1487,null,null,1620,null,null,520,null,null,55
531354,2498,123496,1434,113745,2469,9751,2526,325558,1903,277859,4377,47699,4310,82300,675,81821,754,479,294,2498,null,null,1434,null,null,2469,null,null,2526,null,null,1903,null,null,4377,null,null,4310,null,null,675,null,null,754,null,null,294,null,null,56
2262080,20185,454493,8826,442463,8639,12030,2065,1351261,13328,1238911,13785,112350,6829,456326,6714,453596,6663,2730,849,20185,null,null,8826,null,null,8639,null,null,2065,null,null,13328,null,null,13785,null,null,6829,null,null,6714,null,null,6663,null,null,849,null,null,72
3269825,7086,682209,3350,665746,4277,16463,3024,1982086,4917,1743673,10180,238413,9717,605530,1926,603075,1893,2455,1324,7086,null,null,3350,null,null,4277,null,null,3024,null,null,4917,null,null,10180,null,null,9717,null,null,1926,null,null,1893,null,null,1324,null,null,01
461203,3465,100240,1401,94293,1969,5947,1411,304069,2768,266871,4398,37198,3727,56894,491,56722,536,172,136,3465,null,null,1401,null,null,1969,null,null,1411,null,null,2768,null,null,4398,null,null,3727,null,null,491,null,null,536,null,null,136,null,null,02
5181587,21758,1111727,10816,1039522,13184,72205,7012,3028586,13903,2668239,16104,360347,13679,1041274,2702,1036866,2833,4408,1062,21758,null,null,10816,null,null,13184,null,null,7012,null,null,13903,null,null,16104,null,null,13679,null,null,2702,null,null,2833,null,null,1062,null,null,04
2253566,5680,491547,3064,474515,3993,17032,2933,1348755,4041,1207021,9403,141734,9097,413264,1536,411798,1656,1466,863,5680,null,null,3064,null,null,3993,null,null,2933,null,null,4041,null,null,9403,null,null,9097,null,null,1536,null,null,1656,null,null,863,null,null,05
23136911,61816,5009175,30495,4868940,29819,140235,10398,14422534,38361,13053967,42828,1368567,26134,3705202,9949,3678185,10110,27017,2945,61816,null,null,30495,null,null,29819,null,null,10398,null,null,38361,null,null,42828,null,null,26134,null,null,9949,null,null,10110,null,null,2945,null,null,06
4580019,13577,995133,7318,954773,7970,40360,5340,2919935,8634,2646256,11992,273679,10277,664951,2296,661137,2267,3814,1181,13577,null,null,7318,null,null,7970,null,null,5340,null,null,8634,null,null,11992,null,null,10277,null,null,2296,null,null,2267,null,null,1181,null,null,08
2708598,12254,521455,5010,507496,5819,13959,2928,1693312,8569,1600478,9215,92834,7005,493831,1916,492432,1973,1399,682,12254,null,null,5010,null,null,5819,null,null,2928,null,null,8569,null,null,9215,null,null,7005,null,null,1916,null,null,1973,null,null,682,null,null,09
651055,5039,123835,2569,120033,3019,3802,1198,394160,3068,365734,3954,28426,3047,133060,1059,132891,1034,169,140,5039,null,null,2569,null,null,3019,null,null,1198,null,null,3068,null,null,3954,null,null,3047,null,null,1059,null,null,1034,null,null,140,null,null,10
273546,3643,32326,1722,32012,1715,314,303,213587,2628,208696,2803,4891,1123,27633,693,27522,688,111,130,3643,null,null,1722,null,null,1715,null,null,303,null,null,2628,null,null,2803,null,null,1123,null,null,693,null,null,688,null,null,130,null,null,11
