B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,B12002B_001M,B12002B_001EA,B12002B_001MA,B12002B_002M,B12002B_002EA,B12002B_002MA,B12002B_003M,B12002B_003EA,B12002B_003MA,B12002B_004M,B12002B_004EA,B12002B_004MA,B12002B_005M,B12002B_005EA,B12002B_005MA,B12002B_006M,B12002B_006EA,B12002B_006MA,B12002B_007M,B12002B_007EA,B12002B_007MA,B12002B_008M,B12002B_008EA,B12002B_008MA,B12002B_009M,B12002B_009EA,B12002B_009MA,B12002B_010M,B12002B_010EA,B12002B_010MA,B12002B_011M,B12002B_011EA,B12002B_011MA,B12002B_012M,B12002B_012EA,B12002B_012MA,B12002B_013M,B12002B_013EA,B12002B_013MA,state
13351,1462,7998,1228,4955,1051,2596,709,93,156,6,18,348,319,5353,843,2905,746,1696,529,461,341,0,172,291,325,1462,null,null,1228,null,null,1051,null,null,709,null,null,156,null,null,18,null,null,319,null,null,843,null,null,746,null,null,529,null,null,341,null,null,172,null,null,325,null,null,23
1445019,7091,662500,3900,324187,6809,242348,6304,20547,2760,14174,1955,61244,3235,782519,5061,353362,7513,227089,7070,26142,2870,65441,3086,110485,4871,7091,null,null,3900,null,null,6809,null,null,6304,null,null,2760,null,null,1955,null,null,3235,null,null,5061,null,null,7513,null,null,7070,null,null,2870,null,null,3086,null,null,4871,null,null,24
400313,6039,191933,4225,102756,4548,65602,3658,4012,972,3100,693,16463,2538,208380,3908,104924,3887,60095,3343,9109,1569,12748,1490,21504,2217,6039,null,null,4225,null,null,4548,null,null,3658,null,null,972,null,null,693,null,null,2538,null,null,3908,null,null,3887,null,null,3343,null,null,1569,null,null,1490,null,null,2217,null,null,25
1079638,6138,500990,3608,281568,5063,130525,5637,17632,2176,13920,1768,57345,3952,578648,4144,303053,6596,121686,5220,16498,2259,50032,3203,87379,3585,6138,null,null,3608,null,null,5063,null,null,5637,null,null,2176,null,null,1768,null,null,3952,null,null,4144,null,null,6596,null,null,5220,null,null,2259,null,null,3203,null,null,3585,null,null,26
234136,3963,118548,2563,58404,2918,41052,2672,2961,1054,1267,533,14864,2261,115588,2614,56243,3342,34383,2789,5389,1122,6138,1107,13435,1778,3963,null,null,2563,null,null,2918,null,null,2672,null,null,1054,null,null,533,null,null,2261,null,null,2614,null,null,3342,null,null,2789,null,null,1122,null,null,1107,null,null,1778,null,null,27
876382,4662,400433,3613,204814,6187,128414,5416,14939,2037,13280,1766,38986,3283,475949,4103,226798,6566,123236,5557,25462,2533,45353,2982,55100,3285,4662,null,null,3613,null,null,6187,null,null,5416,null,null,2037,null,null,1766,null,null,3283,null,null,4103,null,null,6566,null,null,5557,null,null,2533,null,null,2982,null,null,3285,null,null,28
551223,4853,258112,3437,140878,4247,74251,4081,8275,1588,6151,1164,28557,2603,293111,3187,147990,4690,68857,4346,9844,1566,25480,1891,40940,3020,4853,null,null,3437,null,null,4247,null,null,4081,null,null,1588,null,null,1164,null,null,2603,null,null,3187,null,null,4690,null,null,4346,null,null,1566,null,null,1891,null,null,3020,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
66470,2001,33922,1497,18598,1811,10517,1403,1114,577,293,147,3400,758,32548,1257,16584,1646,8929,1394,1176,501,1499,420,4360,1049,2001,null,null,1497,null,null,1811,null,null,1403,null,null,577,null,null,147,null,null,758,null,null,1257,null,null,1646,null,null,1394,null,null,501,null,null,420,null,null,1049,null,null,31
203243,3647,101452,2257,51381,3225,31940,2660,2585,632,2903,904,12643,1677,101791,2355,46918,3003,25491,2524,4416,1215,7535,1128,17431,2169,3647,null,null,2257,null,null,3225,null,null,2660,null,null,632,null,null,904,null,null,1677,null,null,2355,null,null,3003,null,null,2524,null,null,1215,null,null,1128,null,null,2169,null,null,32
13085,1387,7542,1174,3353,1111,2895,853,328,296,106,130,860,570,5543,845,2140,697,2269,762,97,177,673,345,364,399,1387,null,null,1174,null,null,1111,null,null,853,null,null,296,null,null,130,null,null,570,null,null,845,null,null,697,null,null,762,null,null,177,null,null,345,null,null,399,null,null,33
969151,8584,449583,4671,244974,6471,148595,5460,16707,2147,10341,1510,28966,2393,519568,5426,264804,6111,137477,4994,17818,2136,43945,2524,55524,3899,8584,null,null,4671,null,null,6471,null,null,5460,null,null,2147,null,null,1510,null,null,2393,null,null,5426,null,null,6111,null,null,4994,null,null,2136,null,null,2524,null,null,3899,null,null,34
34019,2284,19639,1536,9527,1442,6425,1113,202,238,646,416,2839,1002,14380,1479,6929,1309,4153,898,298,235,649,383,2351,730,2284,null,null,1536,null,null,1442,null,null,1113,null,null,238,null,null,416,null,null,1002,null,null,1479,null,null,1309,null,null,898,null,null,235,null,null,383,null,null,730,null,null,35
2506085,13710,1135390,8397,621742,9929,359597,7893,39424,3212,27369,2451,87258,4605,1370695,8035,707853,8476,333617,7629,66183,4232,114963,5034,148079,5666,13710,null,null,8397,null,null,9929,null,null,7893,null,null,3212,null,null,2451,null,null,4605,null,null,8035,null,null,8476,null,null,7629,null,null,4232,null,null,5034,null,null,5666,null,null,36
1750218,9202,801283,5758,392885,7863,274553,7674,32622,3933,21367,2208,79856,4619,948935,5927,432207,7777,256440,8469,40747,3308,86525,3722,133016,6265,9202,null,null,5758,null,null,7863,null,null,7674,null,null,3933,null,null,2208,null,null,4619,null,null,5927,null,null,7777,null,null,8469,null,null,3308,null,null,3722,null,null,6265,null,null,37
14135,1765,8194,1468,3924,1008,3253,1249,0,155,140,203,877,699,5941,802,2577,928,1607,735,689,790,654,717,414,430,1765,null,null,1468,null,null,1008,null,null,1249,null,null,155,null,null,203,null,null,699,null,null,802,null,null,928,null,null,735,null,null,790,null,null,717,null,null,430,null,null,38
1128993,6990,532755,4084,282089,5938,156941,5743,15785,2185,14593,1736,63347,3515,596238,5203,300709,6900,135409,5066,18472,2128,53260,2786,88388,4675,6990,null,null,4084,null,null,5938,null,null,5743,null,null,2185,null,null,1736,null,null,3515,null,null,5203,null,null,6900,null,null,5066,null,null,2128,null,null,2786,null,null,4675,null,null,39
223407,3187,109521,2449,54328,2468,33954,2504,3143,1075,2290,553,15806,1809,113886,2385,53051,2888,29472,2373,5369,1178,8394,1269,17600,1729,3187,null,null,2449,null,null,2468,null,null,2504,null,null,1075,null,null,553,null,null,1809,null,null,2385,null,null,2888,null,null,2373,null,null,1178,null,null,1269,null,null,1729,null,null,40
62595,3084,34448,2031,17821,2191,11530,1459,627,438,0,201,4470,1072,28147,1934,12218,1512,8927,1842,636,451,1958,760,4408,1076,3084,null,null,2031,null,null,2191,null,null,1459,null,null,438,null,null,201,null,null,1072,null,null,1934,null,null,1512,null,null,1842,null,null,451,null,null,760,null,null,1076,null,null,41
1113612,6766,530236,4461,307491,6436,142497,5405,16592,2330,13660,1621,49996,4401,583376,4660,315008,6708,121954,5634,24725,2736,52322,3176,69367,4050,6766,null,null,4461,null,null,6436,null,null,5405,null,null,2330,null,null,1621,null,null,4401,null,null,4660,null,null,6708,null,null,5634,null,null,2736,null,null,3176,null,null,4050,null,null,42
54094,2838,27426,1678,15273,1789,9053,1298,777,481,123,122,2200,766,26668,1717,12752,1769,7609,1306,401,329,2175,838,3731,1097,2838,null,null,1678,null,null,1789,null,null,1298,null,null,481,null,null,122,null,null,766,null,null,1717,null,null,1769,null,null,1306,null,null,329,null,null,838,null,null,1097,null,null,44
1065030,4801,488970,2980,249860,5438,152653,4965,18669,2701,16545,2037,51243,4017,576060,3508,270431,6773,147525,6345,30363,3066,64296,3816,63445,3535,4801,null,null,2980,null,null,5438,null,null,4965,null,null,2701,null,null,2037,null,null,4017,null,null,3508,null,null,6773,null,null,6345,null,null,3066,null,null,3816,null,null,3535,null,null,45
10640,907,6259,802,4121,830,1658,565,78,102,92,122,310,219,4381,841,2539,690,738,393,413,357,204,229,487,366,907,null,null,802,null,null,830,null,null,565,null,null,102,null,null,122,null,null,219,null,null,841,null,null,690,null,null,393,null,null,357,null,null,229,null,null,366,null,null,46
876065,6158,406233,3605,206446,4812,127009,5202,17290,2474,12623,2225,42865,3254,469832,3790,228704,5913,116320,5416,20012,2197,37786,3056,67010,3478,6158,null,null,3605,null,null,4812,null,null,5202,null,null,2474,null,null,2225,null,null,3254,null,null,3790,null,null,5913,null,null,5416,null,null,2197,null,null,3056,null,null,3478,null,null,47
2630420,10929,1247826,7181,600406,8972,440754,9706,41184,3230,30871,3112,134611,5436,1382594,7543,611970,9256,400023,9931,56842,4458,113123,4247,200636,8144,10929,null,null,7181,null,null,8972,null,null,9706,null,null,3230,null,null,3112,null,null,5436,null,null,7543,null,null,9256,null,null,9931,null,null,4458,null,null,4247,null,null,8144,null,null,48
22602,1602,12346,1244,4325,1011,5931,1015,481,420,142,161,1467,668,10256,1034,4284,933,4201,1083,577,538,782,604,412,347,1602,null,null,1244,null,null,1011,null,null,1015,null,null,420,null,null,161,null,null,668,null,null,1034,null,null,933,null,null,1083,null,null,538,null,null,604,null,null,347,null,null,49
5844,829,3947,859,2290,842,1170,478,295,395,0,151,192,137,1897,562,1044,484,602,274,0,151,71,82,180,153,829,null,null,859,null,null,842,null,null,478,null,null,395,null,null,151,null,null,137,null,null,562,null,null,484,null,null,274,null,null,151,null,null,82,null,null,153,null,null,50
1293779,7671,611856,5788,288166,6768,222493,5433,21948,2825,16224,2136,63025,4545,681923,4729,299980,6688,206320,6356,28149,3252,57872,3359,89602,5208,7671,null,null,5788,null,null,6768,null,null,5433,null,null,2825,null,null,2136,null,null,4545,null,null,4729,null,null,6688,null,null,6356,null,null,3252,null,null,3359,null,null,5208,null,null,51
210550,5910,114344,3411,51519,3231,44113,3141,3362,1180,1899,609,13451,2039,96206,3867,40528,3408,32388,2801,4522,1326,5354,1125,13414,1954,5910,null,null,3411,null,null,3231,null,null,3141,null,null,1180,null,null,609,null,null,2039,null,null,3867,null,null,3408,null,null,2801,null,null,1326,null,null,1125,null,null,1954,null,null,53
57683,2299,31286,1717,16175,1730,10355,1650,616,332,788,419,3352,957,26397,1685,13514,1854,6207,968,526,400,2061,557,4089,1087,2299,null,null,1717,null,null,1730,null,null,1650,null,null,332,null,null,419,null,null,957,null,null,1685,null,null,1854,null,null,968,null,null,400,null,null,557,null,null,1087,null,null,54
272233,3524,129765,2332,81652,2909,29072,2358,3052,882,2514,643,13475,1797,142468,2294,85353,3017,26778,1974,3808,879,8369,1223,18160,1861,3524,null,null,2332,null,null,2909,null,null,2358,null,null,882,null,null,643,null,null,1797,null,null,2294,null,null,3017,null,null,1974,null,null,879,null,null,1223,null,null,1861,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
338987,10557,165274,6318,74922,4960,61048,3752,3153,1082,4818,1161,21333,2258,173713,6173,71171,3882,49858,3595,5459,1263,19016,2049,28209,2581,10557,null,null,6318,null,null,4960,null,null,3752,null,null,1082,null,null,1161,null,null,2258,null,null,6173,null,null,3882,null,null,3595,null,null,1263,null,null,2049,null,null,2581,null,null,72
1035038,4759,472989,4314,238401,5714,151110,5213,16296,2001,14392,1631,52790,3736,562049,3469,259036,5715,145676,5968,26277,3028,55055,3030,76005,3946,4759,null,null,4314,null,null,5714,null,null,5213,null,null,2001,null,null,1631,null,null,3736,null,null,3469,null,null,5715,null,null,5968,null,null,3028,null,null,3030,null,null,3946,null,null,01
19602,1410,11262,883,6809,1063,3659,954,248,256,0,155,546,435,8340,1069,3935,1009,2508,986,266,306,411,348,1220,576,1410,null,null,883,null,null,1063,null,null,954,null,null,256,null,null,155,null,null,435,null,null,1069,null,null,1009,null,null,986,null,null,306,null,null,348,null,null,576,null,null,02
233659,4558,120877,2776,61190,3199,41988,2841,2014,814,2644,845,13041,1808,112782,2703,51952,2961,33789,2791,3321,1020,6571,1153,17149,1962,4558,null,null,2776,null,null,3199,null,null,2841,null,null,814,null,null,845,null,null,1808,null,null,2703,null,null,2961,null,null,2791,null,null,1020,null,null,1153,null,null,1962,null,null,04
359329,3666,169562,2368,83000,3132,52491,3781,7129,1303,5358,1145,21584,2207,189767,2506,82008,3783,48810,3694,11215,1861,17223,1629,30511,3205,3666,null,null,2368,null,null,3132,null,null,3781,null,null,1303,null,null,1145,null,null,2207,null,null,2506,null,null,3783,null,null,3694,null,null,1861,null,null,1629,null,null,3205,null,null,05
1859349,10638,917627,6892,473694,9625,298740,6775,24970,2729,20483,2078,99740,5044,941722,7057,452740,7911,233329,7173,32842,3067,79478,4501,143333,6039,10638,null,null,6892,null,null,9625,null,null,6775,null,null,2729,null,null,2078,null,null,5044,null,null,7057,null,null,7911,null,null,7173,null,null,3067,null,null,4501,null,null,6039,null,null,06
183315,4054,99734,3354,46788,3102,36477,2776,2183,885,2283,844,12003,1975,83581,2188,34780,2539,26935,2333,2613,916,6358,1122,12895,1820,4054,null,null,3354,null,null,3102,null,null,2776,null,null,885,null,null,844,null,null,1975,null,null,2188,null,null,2539,null,null,2333,null,null,916,null,null,1122,null,null,1820,null,null,08
305395,5424,145436,3233,81007,3535,46191,2555,3959,1175,2831,905,11448,1937,159959,3226,77107,3727,43297,3393,5346,1303,10527,1325,23682,2310,5424,null,null,3233,null,null,3535,null,null,2555,null,null,1175,null,null,905,null,null,1937,null,null,3226,null,null,3727,null,null,3393,null,null,1303,null,null,1325,null,null,2310,null,null,09
164698,2005,76714,1047,39515,2004,27323,2405,1146,491,2212,833,6518,1466,87984,1638,42498,2854,24065,2234,2748,972,7061,1091,11612,1581,2005,null,null,1047,null,null,2004,null,null,2405,null,null,491,null,null,833,null,null,1466,null,null,1638,null,null,2854,null,null,2234,null,null,972,null,null,1091,null,null,1581,null,null,10
263767,1967,116874,1160,70512,2943,26452,2362,3654,1005,3497,909,12759,1995,146893,1255,85890,3220,24012,2444,4726,928,14920,1568,17345,1763,1967,null,null,1160,null,null,2943,null,null,2362,null,null,1005,null,null,909,null,null,1995,null,null,1255,null,null,3220,null,null,2444,null,null,928,null,null,1568,null,null,1763,null,null,11
