B27001A_001E,B27001A_001M,B27001A_002E,B27001A_002M,B27001A_003E,B27001A_003M,B27001A_004E,B27001A_004M,B27001A_005E,B27001A_005M,B27001A_006E,B27001A_006M,B27001A_007E,B27001A_007M,B27001A_008E,B27001A_008M,B27001A_009E,B27001A_009M,B27001A_010E,B27001A_010M,B27001A_011E,B27001A_011M,B27001A_012E,B27001A_012M,B27001A_013E,B27001A_013M,B27001A_014E,B27001A_014M,B27001A_015E,B27001A_015M,B27001A_016E,B27001A_016M,B27001A_017E,B27001A_017M,B27001A_018E,B27001A_018M,B27001A_019E,B27001A_019M,B27001A_020E,B27001A_020M,B27001A_021E,B27001A_021M,B27001A_022E,B27001A_022M,B27001A_023E,B27001A_023M,B27001A_024E,B27001A_024M,B27001A_025E,B27001A_025M,B27001A_026E,B27001A_026M,B27001A_027E,B27001A_027M,B27001A_028E,B27001A_028M,B27001A_001M,B27001A_001EA,B27001A_001MA,B27001A_002M,B27001A_002EA,B27001A_002MA,B27001A_003M,B27001A_003EA,B27001A_003MA,B27001A_004M,B27001A_004EA,B27001A_004MA,B27001A_005M,B27001A_005EA,B27001A_005MA,B27001A_006M,B27001A_006EA,B27001A_006MA,B27001A_007M,B27001A_007EA,B27001A_007MA,B27001A_008M,B27001A_008EA,B27001A_008MA,B27001A_009M,B27001A_009EA,B27001A_009MA,B27001A_010M,B27001A_010EA,B27001A_010MA,B27001A_011M,B27001A_011EA,B27001A_011MA,B27001A_012M,B27001A_012EA,B27001A_012MA,B27001A_013M,B27001A_013EA,B27001A_013MA,B27001A_014M,B27001A_014EA,B27001A_014MA,B27001A_015M,B27001A_015EA,B27001A_015MA,B27001A_016M,B27001A_016EA,B27001A_016MA,B27001A_017M,B27001A_017EA,B27001A_017MA,B27001A_018M,B27001A_018EA,B27001A_018MA,B27001A_019M,B27001A_019EA,B27001A_019MA,B27001A_020M,B27001A_020EA,B27001A_020MA,B27001A_021M,B27001A_021EA,B27001A_021MA,B27001A_022M,B27001A_022EA,B27001A_022MA,B27001A_023M,B27001A_023EA,B27001A_023MA,B27001A_024M,B27001A_024EA,B27001A_024MA,B27001A_025M,B27001A_025EA,B27001A_025MA,B27001A_026M,B27001A_026EA,B27001A_026MA,B27001A_027M,B27001A_027EA,B27001A_027MA,B27001A_028M,B27001A_028EA,B27001A_028MA,state
1244291,1866,71098,1894,68300,1867,2798,853,158128,2128,150263,2887,7865,2028,99640,1068,89858,1917,9782,1630,143664,939,119702,3106,23962,2902,140821,794,122456,2222,18365,2326,181777,611,163036,2441,18741,2216,204044,487,187819,2352,16225,2274,147549,685,147371,691,178,135,97570,690,97570,690,0,172,1866,null,null,1894,null,null,1867,null,null,853,null,null,2128,null,null,2887,null,null,2028,null,null,1068,null,null,1917,null,null,1630,null,null,939,null,null,3106,null,null,2902,null,null,794,null,null,2222,null,null,2326,null,null,611,null,null,2441,null,null,2216,null,null,487,null,null,2352,null,null,2274,null,null,685,null,null,691,null,null,135,null,null,690,null,null,690,null,null,172,null,null,23
3343098,13348,215132,3945,210011,4195,5121,1596,458298,4461,442765,5102,15533,3534,277354,3501,256790,3500,20564,2980,430081,3716,387161,4638,42920,4535,392136,3823,360760,3824,31376,3379,490261,3305,465847,3600,24414,2970,496463,2063,475928,2885,20535,2935,339798,1513,338150,1558,1648,614,243575,1694,243065,1784,510,422,13348,null,null,3945,null,null,4195,null,null,1596,null,null,4461,null,null,5102,null,null,3534,null,null,3501,null,null,3500,null,null,2980,null,null,3716,null,null,4638,null,null,4535,null,null,3823,null,null,3824,null,null,3379,null,null,3305,null,null,3600,null,null,2970,null,null,2063,null,null,2885,null,null,2935,null,null,1513,null,null,1558,null,null,614,null,null,1694,null,null,1784,null,null,422,null,null,24
5292381,15934,298334,5544,294933,5607,3401,1343,683838,6635,677991,6746,5847,1639,520213,3472,506003,4040,14210,2269,691446,4017,660863,5213,30583,3499,609498,4516,589578,4416,19920,2984,777405,3166,756819,3572,20586,2442,786353,2911,770367,3160,15986,2124,535825,1533,534822,1580,1003,499,389469,1838,388902,1804,567,292,15934,null,null,5544,null,null,5607,null,null,1343,null,null,6635,null,null,6746,null,null,1639,null,null,3472,null,null,4040,null,null,2269,null,null,4017,null,null,5213,null,null,3499,null,null,4516,null,null,4416,null,null,2984,null,null,3166,null,null,3572,null,null,2442,null,null,2911,null,null,3160,null,null,2124,null,null,1533,null,null,1580,null,null,499,null,null,1838,null,null,1804,null,null,292,null,null,25
7727734,10483,489183,4575,473678,4963,15505,2310,1094040,5818,1063514,6811,30526,3097,714657,2859,660773,4645,53884,3844,933542,3289,841235,5644,92307,4700,884437,3108,814015,5144,70422,4728,1082646,2605,1017808,4930,64838,4464,1166518,1680,1115920,3678,50598,3185,798988,1378,797065,1464,1923,647,563723,1854,563372,1826,351,247,10483,null,null,4575,null,null,4963,null,null,2310,null,null,5818,null,null,6811,null,null,3097,null,null,2859,null,null,4645,null,null,3844,null,null,3289,null,null,5644,null,null,4700,null,null,3108,null,null,5144,null,null,4728,null,null,2605,null,null,4930,null,null,4464,null,null,1680,null,null,3678,null,null,3185,null,null,1378,null,null,1464,null,null,647,null,null,1854,null,null,1826,null,null,247,null,null,26
4552519,6744,308703,3745,300088,4216,8615,1527,647070,4456,629721,4730,17349,2323,395073,2223,377224,2582,17849,1770,584992,2457,549788,4041,35204,3542,547830,2204,521805,3071,26025,2587,633668,2228,612106,2729,21562,1957,676050,1556,656258,2175,19792,1841,438319,965,437896,979,423,213,320814,1252,320370,1350,444,354,6744,null,null,3745,null,null,4216,null,null,1527,null,null,4456,null,null,4730,null,null,2323,null,null,2223,null,null,2582,null,null,1770,null,null,2457,null,null,4041,null,null,3542,null,null,2204,null,null,3071,null,null,2587,null,null,2228,null,null,2729,null,null,1957,null,null,1556,null,null,2175,null,null,1841,null,null,965,null,null,979,null,null,213,null,null,1252,null,null,1350,null,null,354,null,null,27
1716181,4891,114165,3329,108343,3272,5822,1498,258020,3300,245834,3857,12186,2664,155854,3101,131917,3779,23937,3232,202555,3969,159898,5045,42657,4673,206662,3202,172150,4127,34512,3754,226553,2217,193442,3609,33111,3075,237172,924,212909,2767,24263,2668,186859,1410,186225,1421,634,323,128341,1460,127988,1483,353,311,4891,null,null,3329,null,null,3272,null,null,1498,null,null,3300,null,null,3857,null,null,2664,null,null,3101,null,null,3779,null,null,3232,null,null,3969,null,null,5045,null,null,4673,null,null,3202,null,null,4127,null,null,3754,null,null,2217,null,null,3609,null,null,3075,null,null,924,null,null,2767,null,null,2668,null,null,1410,null,null,1421,null,null,323,null,null,1460,null,null,1483,null,null,311,null,null,28
4926235,7085,336944,3790,324033,4243,12911,1984,727702,4450,692628,6160,35074,3819,439677,2767,375633,4712,64044,3805,629089,3176,530679,5255,98410,4704,590870,2977,518478,5512,72392,4784,657689,2394,586883,4281,70806,4432,702164,1515,649298,3832,52866,3786,491458,1585,489863,1669,1595,523,350642,1580,350098,1565,544,254,7085,null,null,3790,null,null,4243,null,null,1984,null,null,4450,null,null,6160,null,null,3819,null,null,2767,null,null,4712,null,null,3805,null,null,3176,null,null,5255,null,null,4704,null,null,2977,null,null,5512,null,null,4784,null,null,2394,null,null,4281,null,null,4432,null,null,1515,null,null,3832,null,null,3786,null,null,1585,null,null,1669,null,null,523,null,null,1580,null,null,1565,null,null,254,null,null,29
915185,1927,61594,1463,60204,1528,1390,484,125545,1779,120771,2425,4774,1313,85314,1676,75357,2409,9957,1746,108866,1471,96442,2516,12424,1899,105940,1020,94776,1687,11164,1691,114250,1109,102581,2185,11669,1826,141765,977,130894,1605,10871,1336,103814,508,103614,531,200,170,68097,456,68076,459,21,37,1927,null,null,1463,null,null,1528,null,null,484,null,null,1779,null,null,2425,null,null,1313,null,null,1676,null,null,2409,null,null,1746,null,null,1471,null,null,2516,null,null,1899,null,null,1020,null,null,1687,null,null,1691,null,null,1109,null,null,2185,null,null,1826,null,null,977,null,null,1605,null,null,1336,null,null,508,null,null,531,null,null,170,null,null,456,null,null,459,null,null,37,null,null,30
1651835,6009,128322,1860,123150,2256,5172,1161,262875,3320,251869,3723,11006,1796,156472,1985,139024,2683,17448,2136,212720,2341,182162,3227,30558,2984,204058,2879,179063,3452,24995,2596,203837,2061,186184,2847,17653,2209,223018,1557,206662,2435,16356,2198,147795,1060,147267,1085,528,406,112738,1169,112695,1171,43,50,6009,null,null,1860,null,null,2256,null,null,1161,null,null,3320,null,null,3723,null,null,1796,null,null,1985,null,null,2683,null,null,2136,null,null,2341,null,null,3227,null,null,2984,null,null,2879,null,null,3452,null,null,2596,null,null,2061,null,null,2847,null,null,2209,null,null,1557,null,null,2435,null,null,2198,null,null,1060,null,null,1085,null,null,406,null,null,1169,null,null,1171,null,null,50,null,null,31
1947153,14712,129712,4566,122681,4744,7031,1594,275151,5686,254756,6118,20395,3079,150432,3269,125011,3830,25421,2532,260167,4253,214574,5496,45593,4284,249035,4130,207932,4323,41103,3634,266535,3694,231873,3860,34662,3376,269216,2591,244043,3678,25173,2853,216441,1387,213408,1578,3033,728,130464,1697,129279,1627,1185,638,14712,null,null,4566,null,null,4744,null,null,1594,null,null,5686,null,null,6118,null,null,3079,null,null,3269,null,null,3830,null,null,2532,null,null,4253,null,null,5496,null,null,4284,null,null,4130,null,null,4323,null,null,3634,null,null,3694,null,null,3860,null,null,3376,null,null,2591,null,null,3678,null,null,2853,null,null,1387,null,null,1578,null,null,728,null,null,1697,null,null,1627,null,null,638,null,null,32
1232156,2949,69181,1881,67183,1808,1998,765,165121,1733,161272,2064,3849,1097,115131,1390,104507,2429,10624,1897,143964,1260,125841,2231,18123,1954,137950,1491,127149,2039,10801,1854,189510,1194,174983,2223,14527,2115,198944,749,187414,1958,11530,1804,130186,929,130132,937,54,69,82169,858,82169,858,0,187,2949,null,null,1881,null,null,1808,null,null,765,null,null,1733,null,null,2064,null,null,1097,null,null,1390,null,null,2429,null,null,1897,null,null,1260,null,null,2231,null,null,1954,null,null,1491,null,null,2039,null,null,1854,null,null,1194,null,null,2223,null,null,2115,null,null,749,null,null,1958,null,null,1804,null,null,929,null,null,937,null,null,69,null,null,858,null,null,858,null,null,187,null,null,33
6028899,22249,381964,5719,371420,6058,10544,2148,859632,7952,829465,8236,30167,4240,497249,5145,450190,4640,47059,4648,714495,5847,615578,6710,98917,5881,716034,6113,634180,6271,81854,6108,904347,4845,835075,6262,69272,5175,893567,3987,847025,4596,46542,3571,598022,2841,593020,2741,5002,1276,463589,2738,461329,2774,2260,913,22249,null,null,5719,null,null,6058,null,null,2148,null,null,7952,null,null,8236,null,null,4240,null,null,5145,null,null,4640,null,null,4648,null,null,5847,null,null,6710,null,null,5881,null,null,6113,null,null,6271,null,null,6108,null,null,4845,null,null,6262,null,null,5175,null,null,3987,null,null,4596,null,null,3571,null,null,2841,null,null,2741,null,null,1276,null,null,2738,null,null,2774,null,null,913,null,null,34
1514823,11775,106621,4025,102806,4124,3815,1289,234102,5165,222376,5267,11726,2513,136933,4357,122527,4386,14406,2767,185854,5051,160440,5575,25414,3059,171308,4009,150316,4445,20992,2946,184056,4065,164356,4116,19700,3076,215100,2919,198702,3770,16398,2343,166845,2442,165531,2406,1314,707,114004,1807,113733,1765,271,206,11775,null,null,4025,null,null,4124,null,null,1289,null,null,5165,null,null,5267,null,null,2513,null,null,4357,null,null,4386,null,null,2767,null,null,5051,null,null,5575,null,null,3059,null,null,4009,null,null,4445,null,null,2946,null,null,4065,null,null,4116,null,null,3076,null,null,2919,null,null,3770,null,null,2343,null,null,2442,null,null,2406,null,null,707,null,null,1807,null,null,1765,null,null,206,null,null,35
12395999,29690,764613,8684,747594,8897,17019,2587,1628395,10930,1587073,11534,41322,4170,1111084,7012,1051642,7553,59442,4440,1689804,7413,1536944,8287,152860,6420,1457646,7372,1339429,8486,118217,6148,1748780,7573,1654113,8620,94667,5369,1783747,5840,1722480,6182,61267,3595,1249361,4651,1243967,4855,5394,1296,962569,4118,960293,4140,2276,946,29690,null,null,8684,null,null,8897,null,null,2587,null,null,10930,null,null,11534,null,null,4170,null,null,7012,null,null,7553,null,null,4440,null,null,7413,null,null,8287,null,null,6420,null,null,7372,null,null,8486,null,null,6148,null,null,7573,null,null,8620,null,null,5369,null,null,5840,null,null,6182,null,null,3595,null,null,4651,null,null,4855,null,null,1296,null,null,4118,null,null,4140,null,null,946,null,null,36
6868933,14014,432275,5774,416540,6017,15735,2363,984316,7578,937923,8418,46393,5016,589282,5648,510371,6310,78911,5598,839438,6287,689002,7934,150436,7759,856231,6010,720483,8991,135748,6555,982250,4010,860758,6448,121492,6465,960072,2945,880714,4857,79358,4096,734401,2260,732072,2554,2329,841,490668,2148,489857,2149,811,378,14014,null,null,5774,null,null,6017,null,null,2363,null,null,7578,null,null,8418,null,null,5016,null,null,5648,null,null,6310,null,null,5598,null,null,6287,null,null,7934,null,null,7759,null,null,6010,null,null,8991,null,null,6555,null,null,4010,null,null,6448,null,null,6465,null,null,2945,null,null,4857,null,null,4096,null,null,2260,null,null,2554,null,null,841,null,null,2148,null,null,2149,null,null,378,null,null,37
646710,3347,51247,1573,48184,1835,3063,1247,88979,1670,83615,1948,5364,1031,72126,1806,66030,1975,6096,1392,94999,1853,87860,2058,7139,1565,74440,1076,69126,1415,5314,1214,76233,493,72900,856,3333,774,88253,511,84623,1003,3630,828,56266,538,56031,566,235,203,44167,420,44147,423,20,35,3347,null,null,1573,null,null,1835,null,null,1247,null,null,1670,null,null,1948,null,null,1031,null,null,1806,null,null,1975,null,null,1392,null,null,1853,null,null,2058,null,null,1565,null,null,1076,null,null,1415,null,null,1214,null,null,493,null,null,856,null,null,774,null,null,511,null,null,1003,null,null,828,null,null,538,null,null,566,null,null,203,null,null,420,null,null,423,null,null,35,null,null,38
9356168,11751,608927,5232,585193,5754,23734,2894,1359428,6015,1308096,7786,51332,5246,824194,2754,756265,4840,67929,4337,1166850,4039,1055820,6185,111030,5609,1104228,3541,1024222,4843,80006,4407,1296491,2506,1212631,5156,83860,5227,1377333,2098,1308927,4728,68406,3811,942105,1923,938284,2130,3821,983,676612,2540,674925,2521,1687,636,11751,null,null,5232,null,null,5754,null,null,2894,null,null,6015,null,null,7786,null,null,5246,null,null,2754,null,null,4840,null,null,4337,null,null,4039,null,null,6185,null,null,5609,null,null,3541,null,null,4843,null,null,4407,null,null,2506,null,null,5156,null,null,5227,null,null,2098,null,null,4728,null,null,3811,null,null,1923,null,null,2130,null,null,983,null,null,2540,null,null,2521,null,null,636,null,null,39
2792067,7840,200612,2984,192440,3358,8172,1501,411755,4429,388610,4694,23145,2664,243929,2925,200456,4012,43473,3289,368088,3029,291809,4736,76279,4858,338459,2464,277779,3691,60680,3358,358565,2582,301968,3579,56597,3394,385703,1204,345004,2523,40699,2148,282384,1334,280924,1384,1460,582,202572,1206,201860,1265,712,450,7840,null,null,2984,null,null,3358,null,null,1501,null,null,4429,null,null,4694,null,null,2664,null,null,2925,null,null,4012,null,null,3289,null,null,3029,null,null,4736,null,null,4858,null,null,2464,null,null,3691,null,null,3358,null,null,2582,null,null,3579,null,null,3394,null,null,1204,null,null,2523,null,null,2148,null,null,1334,null,null,1384,null,null,582,null,null,1206,null,null,1265,null,null,450,null,null,40
3426423,13275,216960,3781,212490,3821,4470,1382,460593,6127,443769,6400,16824,2472,287001,3208,264002,4882,22999,3377,465773,4361,411278,5487,54495,5196,432590,3760,395284,4630,37306,3567,440371,3916,408049,4785,32322,3487,489888,2003,461543,3686,28345,3408,383659,1715,381256,2069,2403,1156,249588,1261,248907,1396,681,407,13275,null,null,3781,null,null,3821,null,null,1382,null,null,6127,null,null,6400,null,null,2472,null,null,3208,null,null,4882,null,null,3377,null,null,4361,null,null,5487,null,null,5196,null,null,3760,null,null,4630,null,null,3567,null,null,3916,null,null,4785,null,null,3487,null,null,2003,null,null,3686,null,null,3408,null,null,1715,null,null,2069,null,null,1156,null,null,1261,null,null,1396,null,null,407,null,null,41
10208459,15362,618496,6127,584106,7007,34390,3851,1352847,6940,1290409,8933,62438,5474,890743,4397,824384,6005,66359,5274,1269292,4970,1147198,7519,122094,6623,1157854,3855,1072209,6260,85645,5659,1433618,3956,1356844,5236,76774,4599,1557751,2563,1494529,5173,63222,4316,1089458,2210,1085494,2236,3964,892,838400,2601,836178,2647,2222,692,15362,null,null,6127,null,null,7007,null,null,3851,null,null,6940,null,null,8933,null,null,5474,null,null,4397,null,null,6005,null,null,5274,null,null,4970,null,null,7519,null,null,6623,null,null,3855,null,null,6260,null,null,5659,null,null,3956,null,null,5236,null,null,4599,null,null,2563,null,null,5173,null,null,4316,null,null,2210,null,null,2236,null,null,892,null,null,2601,null,null,2647,null,null,692,null,null,42
837061,6269,45290,2383,44452,2314,838,554,103959,2783,102306,2923,1653,717,82328,1466,78957,1837,3371,1125,105377,2136,97057,2495,8320,1828,94110,1776,88717,1981,5393,1460,122232,1363,118003,1856,4229,1301,130240,1246,127332,1471,2908,866,88099,920,87808,950,291,229,65426,811,65426,811,0,208,6269,null,null,2383,null,null,2314,null,null,554,null,null,2783,null,null,2923,null,null,717,null,null,1466,null,null,1837,null,null,1125,null,null,2136,null,null,2495,null,null,1828,null,null,1776,null,null,1981,null,null,1460,null,null,1363,null,null,1856,null,null,1301,null,null,1246,null,null,1471,null,null,866,null,null,920,null,null,950,null,null,229,null,null,811,null,null,811,null,null,208,null,null,44
3287906,10127,211369,3500,201948,3776,9421,2053,454305,5362,433230,6074,21075,3022,272999,3168,237503,4066,35496,3180,408724,4789,335952,6932,72772,5807,396611,4441,330739,5490,65872,5645,445025,2809,390544,4789,54481,4595,466457,1582,425342,3561,41115,3689,392124,1521,390980,1652,1144,628,240292,1349,239897,1411,395,311,10127,null,null,3500,null,null,3776,null,null,2053,null,null,5362,null,null,6074,null,null,3022,null,null,3168,null,null,4066,null,null,3180,null,null,4789,null,null,6932,null,null,5807,null,null,4441,null,null,5490,null,null,5645,null,null,2809,null,null,4789,null,null,4595,null,null,1582,null,null,3561,null,null,3689,null,null,1521,null,null,1652,null,null,628,null,null,1349,null,null,1411,null,null,311,null,null,45
