C01001B_001E,C01001B_001M,C01001B_002E,C01001B_002M,C01001B_003E,C01001B_003M,C01001B_004E,C01001B_004M,C01001B_005E,C01001B_005M,C01001B_006E,C01001B_006M,C01001B_007E,C01001B_007M,C01001B_008E,C01001B_008M,C01001B_009E,C01001B_009M,C01001B_001M,C01001B_001EA,C01001B_001MA,C01001B_002M,C01001B_002EA,C01001B_002MA,C01001B_003M,C01001B_003EA,C01001B_003MA,C01001B_004M,C01001B_004EA,C01001B_004MA,C01001B_005M,C01001B_005EA,C01001B_005MA,C01001B_006M,C01001B_006EA,C01001B_006MA,C01001B_007M,C01001B_007EA,C01001B_007MA,C01001B_008M,C01001B_008EA,C01001B_008MA,C01001B_009M,C01001B_009EA,C01001B_009MA,state
3080534,18978,1422133,10748,352872,5350,925945,7696,143316,1860,1658401,11230,348836,6748,1069683,7032,239882,2182,18978,null,null,10748,null,null,5350,null,null,7696,null,null,1860,null,null,11230,null,null,6748,null,null,7032,null,null,2182,null,null,36
2182212,12962,1022568,8486,272002,5977,647293,4867,103273,1651,1159644,8430,258620,5735,744870,4751,156154,1736,12962,null,null,8486,null,null,5977,null,null,4867,null,null,1651,null,null,8430,null,null,5735,null,null,4751,null,null,1736,null,null,37
19250,2426,11228,1855,3123,1019,8014,1467,91,100,8022,1213,2566,779,5271,893,185,315,2426,null,null,1855,null,null,1019,null,null,1467,null,null,100,null,null,1213,null,null,779,null,null,893,null,null,315,null,null,38
1443510,10409,692016,5742,193058,4542,431607,3993,67351,1422,751494,6931,188683,4152,461935,4306,100876,1301,10409,null,null,5742,null,null,4542,null,null,3993,null,null,1422,null,null,6931,null,null,4152,null,null,4306,null,null,1301,null,null,39
287373,4830,140952,3290,38060,2302,91549,2257,11343,679,146421,3649,38321,2166,91858,2267,16242,808,4830,null,null,3290,null,null,2302,null,null,2257,null,null,679,null,null,3649,null,null,2166,null,null,2267,null,null,808,null,null,40
79575,4274,42748,2792,10582,1807,29099,1640,3067,481,36827,2441,10085,1506,23325,1679,3417,467,4274,null,null,2792,null,null,1807,null,null,1640,null,null,481,null,null,2441,null,null,1506,null,null,1679,null,null,467,null,null,41
1407047,11772,680621,7200,182745,4772,437637,4206,60239,1201,726426,7297,172444,4695,456020,3763,97962,1554,11772,null,null,7200,null,null,4772,null,null,4206,null,null,1201,null,null,7297,null,null,4695,null,null,3763,null,null,1554,null,null,42
67526,4174,34827,2425,9269,1450,23130,1474,2428,337,32699,2427,7718,1330,21543,1535,3438,627,4174,null,null,2425,null,null,1450,null,null,1474,null,null,337,null,null,2427,null,null,1330,null,null,1535,null,null,627,null,null,44
1337644,8535,625662,6834,165711,5863,392219,2631,67732,1073,711982,4521,162753,3049,450341,2835,98888,912,8535,null,null,6834,null,null,5863,null,null,2631,null,null,1073,null,null,4521,null,null,3049,null,null,2835,null,null,912,null,null,45
14524,1410,8112,947,2423,606,5640,765,49,80,6412,991,2479,665,3834,641,99,114,1410,null,null,947,null,null,606,null,null,765,null,null,80,null,null,991,null,null,665,null,null,641,null,null,114,null,null,46
1114434,9305,528904,5452,145350,4147,337510,3232,46044,1451,585530,5560,141554,3614,376702,3101,67274,1491,9305,null,null,5452,null,null,4147,null,null,3232,null,null,1451,null,null,5560,null,null,3614,null,null,3101,null,null,1491,null,null,47
3362283,16932,1618007,9639,444402,6675,1050102,6101,123503,2460,1744276,11617,436394,8048,1125956,6642,181926,2357,16932,null,null,9639,null,null,6675,null,null,6101,null,null,2460,null,null,11617,null,null,8048,null,null,6642,null,null,2357,null,null,48
32800,2988,18405,2243,7046,1836,10766,1025,593,363,14395,1396,5431,947,8540,885,424,324,2988,null,null,2243,null,null,1836,null,null,1025,null,null,363,null,null,1396,null,null,947,null,null,885,null,null,324,null,null,49
7893,1034,5059,869,1195,714,3619,830,245,211,2834,782,1177,513,1529,517,128,128,1034,null,null,869,null,null,714,null,null,830,null,null,211,null,null,782,null,null,513,null,null,517,null,null,128,null,null,50
1601868,11353,766846,8203,188148,5330,501365,4677,77333,1716,835022,7355,185668,4958,537089,4586,112265,1970,11353,null,null,8203,null,null,5330,null,null,4677,null,null,1716,null,null,7355,null,null,4958,null,null,4586,null,null,1970,null,null,51
266977,8785,142401,4765,33719,2766,99110,3323,9572,833,124576,5433,34319,3287,79398,3256,10859,928,8785,null,null,4765,null,null,2766,null,null,3323,null,null,833,null,null,5433,null,null,3287,null,null,3256,null,null,928,null,null,53
69721,3260,36698,2128,6728,1177,26159,1592,3811,928,33023,2430,7963,1435,19884,1657,5176,943,3260,null,null,2128,null,null,1177,null,null,1592,null,null,928,null,null,2430,null,null,1435,null,null,1657,null,null,943,null,null,54
361653,4783,174367,2947,53129,2418,109504,2198,11734,776,187286,3389,54832,2436,116223,1991,16231,790,4783,null,null,2947,null,null,2418,null,null,2198,null,null,776,null,null,3389,null,null,2436,null,null,1991,null,null,790,null,null,55
5970,1540,3975,1055,1226,780,2624,793,125,140,1995,896,504,447,1491,790,0,197,1540,null,null,1055,null,null,780,null,null,793,null,null,140,null,null,896,null,null,447,null,null,790,null,null,197,null,null,56
395069,12347,193885,7454,37311,3458,123966,5363,32608,2407,201184,6789,34284,2662,126818,5505,40082,2535,12347,null,null,7454,null,null,3458,null,null,5363,null,null,2407,null,null,6789,null,null,2662,null,null,5505,null,null,2535,null,null,72
1301102,7468,609961,6005,169331,4332,382025,3439,58605,1525,691141,5417,157628,3965,444408,2767,89105,1308,7468,null,null,6005,null,null,4332,null,null,3439,null,null,1525,null,null,5417,null,null,3965,null,null,2767,null,null,1308,null,null,01
23753,1978,13550,1157,2713,929,10215,920,622,298,10203,1553,2604,833,6405,1017,1194,371,1978,null,null,1157,null,null,929,null,null,920,null,null,298,null,null,1553,null,null,833,null,null,1017,null,null,371,null,null,02
299674,6611,154722,3989,40598,2690,101657,2504,12467,719,144952,3676,38829,2208,92136,2489,13987,451,6611,null,null,3989,null,null,2690,null,null,2504,null,null,719,null,null,3676,null,null,2208,null,null,2489,null,null,451,null,null,04
464516,4871,222924,3214,64161,2478,139125,2198,19638,1029,241592,3708,61390,2769,152314,1822,27888,847,4871,null,null,3214,null,null,2478,null,null,2198,null,null,1029,null,null,3708,null,null,2769,null,null,1822,null,null,847,null,null,05
2265280,14911,1124296,9069,252679,5371,753408,6657,118209,1420,1140984,9577,244026,5408,737416,6232,159542,1841,14911,null,null,9069,null,null,5371,null,null,6657,null,null,1420,null,null,9577,null,null,5408,null,null,6232,null,null,1841,null,null,06
234142,5678,125490,3822,32513,2148,83179,3135,9798,733,108652,3237,28539,2166,68540,1890,11573,789,5678,null,null,3822,null,null,2148,null,null,3135,null,null,733,null,null,3237,null,null,2166,null,null,1890,null,null,789,null,null,08
378932,7603,183239,4442,47400,2422,120385,3041,15454,542,195693,4451,43216,2206,128551,2892,23926,702,7603,null,null,4442,null,null,2422,null,null,3041,null,null,542,null,null,4451,null,null,2206,null,null,2892,null,null,702,null,null,09
209911,4102,98970,1856,27028,1590,61921,1053,10021,211,110941,3000,27680,2136,69276,1628,13985,325,4102,null,null,1856,null,null,1590,null,null,1053,null,null,211,null,null,3000,null,null,2136,null,null,1628,null,null,325,null,null,10
320554,2554,145344,1454,33936,673,94182,1102,17226,233,175210,1631,33483,762,112776,1182,28951,260,2554,null,null,1454,null,null,673,null,null,1102,null,null,233,null,null,1631,null,null,762,null,null,1182,null,null,260,null,null,11
