C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_004M,C15002B_005E,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,C15002B_001M,C15002B_001EA,C15002B_001MA,C15002B_002M,C15002B_002EA,C15002B_002MA,C15002B_003M,C15002B_003EA,C15002B_003MA,C15002B_004M,C15002B_004EA,C15002B_004MA,C15002B_005M,C15002B_005EA,C15002B_005MA,C15002B_006M,C15002B_006EA,C15002B_006MA,C15002B_007M,C15002B_007EA,C15002B_007MA,C15002B_008M,C15002B_008EA,C15002B_008MA,C15002B_009M,C15002B_009EA,C15002B_009MA,C15002B_010M,C15002B_010EA,C15002B_010MA,C15002B_011M,C15002B_011EA,C15002B_011MA,state
169496,4575,92610,2773,11735,2205,22800,2265,34535,2365,23540,2166,76886,2956,12219,1880,15904,2031,29604,3055,19159,1885,4575,null,null,2773,null,null,2205,null,null,2265,null,null,2365,null,null,2166,null,null,2956,null,null,1880,null,null,2031,null,null,3055,null,null,1885,null,null,53
45474,2522,24134,1864,3289,936,9865,1237,7120,1263,3860,1241,21340,1715,2126,973,7839,1520,6521,1294,4854,1026,2522,null,null,1864,null,null,936,null,null,1237,null,null,1263,null,null,1241,null,null,1715,null,null,973,null,null,1520,null,null,1294,null,null,1026,null,null,54
208081,2659,98431,2215,21772,2110,36549,2488,28487,2519,11623,1508,109650,1798,15668,1616,33487,2506,40754,2962,19741,2023,2659,null,null,2215,null,null,2110,null,null,2488,null,null,2519,null,null,1508,null,null,1798,null,null,1616,null,null,2506,null,null,2962,null,null,2023,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
281447,9012,135278,5528,38437,2866,43242,3770,32294,2959,21305,2710,146169,5503,34288,2904,41042,3506,36311,3327,34528,2803,9012,null,null,5528,null,null,2866,null,null,3770,null,null,2959,null,null,2710,null,null,5503,null,null,2904,null,null,3506,null,null,3327,null,null,2803,null,null,72
825982,4136,369087,3609,78676,4344,137822,6083,103969,4765,48620,3335,456895,3288,70394,3918,136568,4951,152839,5771,97094,4547,4136,null,null,3609,null,null,4344,null,null,6083,null,null,4765,null,null,3335,null,null,3288,null,null,3918,null,null,4951,null,null,5771,null,null,4547,null,null,01
14926,1333,8441,891,554,322,2763,922,4529,1144,595,310,6485,894,477,352,2146,1022,2635,757,1227,579,1333,null,null,891,null,null,322,null,null,922,null,null,1144,null,null,310,null,null,894,null,null,352,null,null,1022,null,null,757,null,null,579,null,null,02
182951,3234,94082,2365,10939,1779,23441,2353,37515,2704,22187,2677,88869,1675,8613,1433,17512,2160,41605,2307,21139,2254,3234,null,null,2365,null,null,1779,null,null,2353,null,null,2704,null,null,2677,null,null,1675,null,null,1433,null,null,2160,null,null,2307,null,null,2254,null,null,04
281785,3621,127990,2565,25006,2581,53828,3187,34218,3287,14938,2116,153795,2031,24298,2638,45982,3187,53361,2975,30154,2901,3621,null,null,2565,null,null,2581,null,null,3187,null,null,3287,null,null,2116,null,null,2031,null,null,2638,null,null,3187,null,null,2975,null,null,2901,null,null,05
1523493,8319,741872,5541,85412,4646,188391,7297,293974,7331,174095,6707,781621,5674,78840,4708,174937,6694,331408,8991,196436,6946,8319,null,null,5541,null,null,4646,null,null,7297,null,null,7331,null,null,6707,null,null,5674,null,null,4708,null,null,6694,null,null,8991,null,null,6946,null,null,06
145505,3609,78295,2839,7344,1729,22453,2351,29453,2650,19045,2163,67210,1936,8434,1906,16885,2452,25191,2283,16700,2080,3609,null,null,2839,null,null,1729,null,null,2351,null,null,2650,null,null,2163,null,null,1936,null,null,1906,null,null,2452,null,null,2283,null,null,2080,null,null,08
241134,4209,110060,2473,17419,1988,42414,3505,30464,3146,19763,2380,131074,2460,15932,2213,44072,3514,43756,2836,27314,2733,4209,null,null,2473,null,null,1988,null,null,3505,null,null,3146,null,null,2380,null,null,2460,null,null,2213,null,null,3514,null,null,2836,null,null,2733,null,null,09
132020,1929,60088,1152,9114,1513,25158,2373,14058,1746,11758,1783,71932,1471,7478,1301,25676,2682,23030,2433,15748,2114,1929,null,null,1152,null,null,1513,null,null,2373,null,null,1746,null,null,1783,null,null,1471,null,null,1301,null,null,2682,null,null,2433,null,null,2114,null,null,10
217411,1640,95216,1073,12873,1674,35064,2719,23254,2494,24025,2257,122195,999,16718,2250,38596,2721,35218,2897,31663,2523,1640,null,null,1073,null,null,1674,null,null,2719,null,null,2494,null,null,2257,null,null,999,null,null,2250,null,null,2721,null,null,2897,null,null,2523,null,null,11
