B27001C_001E,B27001C_001M,B27001C_002E,B27001C_002M,B27001C_003E,B27001C_003M,B27001C_004E,B27001C_004M,B27001C_005E,B27001C_005M,B27001C_006E,B27001C_006M,B27001C_007E,B27001C_007M,B27001C_008E,B27001C_008M,B27001C_009E,B27001C_009M,B27001C_010E,B27001C_010M,B27001C_011E,B27001C_011M,B27001C_012E,B27001C_012M,B27001C_013E,B27001C_013M,B27001C_014E,B27001C_014M,B27001C_015E,B27001C_015M,B27001C_016E,B27001C_016M,B27001C_017E,B27001C_017M,B27001C_018E,B27001C_018M,B27001C_019E,B27001C_019M,B27001C_020E,B27001C_020M,B27001C_021E,B27001C_021M,B27001C_022E,B27001C_022M,B27001C_023E,B27001C_023M,B27001C_024E,B27001C_024M,B27001C_025E,B27001C_025M,B27001C_026E,B27001C_026M,B27001C_027E,B27001C_027M,B27001C_028E,B27001C_028M,B27001C_001M,B27001C_001EA,B27001C_001MA,B27001C_002M,B27001C_002EA,B27001C_002MA,B27001C_003M,B27001C_003EA,B27001C_003MA,B27001C_004M,B27001C_004EA,B27001C_004MA,B27001C_005M,B27001C_005EA,B27001C_005MA,B27001C_006M,B27001C_006EA,B27001C_006MA,B27001C_007M,B27001C_007EA,B27001C_007MA,B27001C_008M,B27001C_008EA,B27001C_008MA,B27001C_009M,B27001C_009EA,B27001C_009MA,B27001C_010M,B27001C_010EA,B27001C_010MA,B27001C_011M,B27001C_011EA,B27001C_011MA,B27001C_012M,B27001C_012EA,B27001C_012MA,B27001C_013M,B27001C_013EA,B27001C_013MA,B27001C_014M,B27001C_014EA,B27001C_014MA,B27001C_015M,B27001C_015EA,B27001C_015MA,B27001C_016M,B27001C_016EA,B27001C_016MA,B27001C_017M,B27001C_017EA,B27001C_017MA,B27001C_018M,B27001C_018EA,B27001C_018MA,B27001C_019M,B27001C_019EA,B27001C_019MA,B27001C_020M,B27001C_020EA,B27001C_020MA,B27001C_021M,B27001C_021EA,B27001C_021MA,B27001C_022M,B27001C_022EA,B27001C_022MA,B27001C_023M,B27001C_023EA,B27001C_023MA,B27001C_024M,B27001C_024EA,B27001C_024MA,B27001C_025M,B27001C_025EA,B27001C_025MA,B27001C_026M,B27001C_026EA,B27001C_026MA,B27001C_027M,B27001C_027EA,B27001C_027MA,B27001C_028M,B27001C_028EA,B27001C_028MA,state
7893,1203,737,238,639,221,98,97,1465,576,1380,575,85,100,622,274,416,240,206,146,1273,508,886,422,387,332,978,395,668,340,310,223,1127,477,927,413,200,193,705,285,577,269,128,108,687,258,662,241,25,41,299,141,299,141,0,172,1203,null,null,238,null,null,221,null,null,97,null,null,576,null,null,575,null,null,100,null,null,274,null,null,240,null,null,146,null,null,508,null,null,422,null,null,332,null,null,395,null,null,340,null,null,223,null,null,477,null,null,413,null,null,193,null,null,285,null,null,269,null,null,108,null,null,258,null,null,241,null,null,41,null,null,141,null,null,141,null,null,172,null,null,23
14879,2484,694,492,694,492,0,198,1929,854,1658,777,271,402,2049,784,1681,610,368,436,1759,844,1675,836,84,84,1294,620,1052,595,242,223,3045,966,2955,958,90,113,2144,753,2144,753,0,198,1534,451,1534,451,0,198,431,319,431,319,0,198,2484,null,null,492,null,null,492,null,null,198,null,null,854,null,null,777,null,null,402,null,null,784,null,null,610,null,null,436,null,null,844,null,null,836,null,null,84,null,null,620,null,null,595,null,null,223,null,null,966,null,null,958,null,null,113,null,null,753,null,null,753,null,null,198,null,null,451,null,null,451,null,null,198,null,null,319,null,null,319,null,null,198,null,null,24
12463,2147,394,212,394,212,0,203,2130,703,2130,703,0,203,1323,574,1238,576,85,106,1829,797,1579,726,250,231,1682,571,1630,562,52,64,2841,1005,2272,965,569,546,1219,545,1219,545,0,203,507,277,507,277,0,203,538,443,538,443,0,203,2147,null,null,212,null,null,212,null,null,203,null,null,703,null,null,703,null,null,203,null,null,574,null,null,576,null,null,106,null,null,797,null,null,726,null,null,231,null,null,571,null,null,562,null,null,64,null,null,1005,null,null,965,null,null,546,null,null,545,null,null,545,null,null,203,null,null,277,null,null,277,null,null,203,null,null,443,null,null,443,null,null,203,null,null,25
49519,3514,2645,701,2130,585,515,395,8831,1612,7782,1571,1049,488,4960,980,4198,833,762,315,6315,1023,5444,959,871,357,6946,1261,5704,1069,1242,671,6883,987,5958,878,925,463,7035,952,6527,933,508,269,4183,893,4183,893,0,168,1721,505,1721,505,0,168,3514,null,null,701,null,null,585,null,null,395,null,null,1612,null,null,1571,null,null,488,null,null,980,null,null,833,null,null,315,null,null,1023,null,null,959,null,null,357,null,null,1261,null,null,1069,null,null,671,null,null,987,null,null,878,null,null,463,null,null,952,null,null,933,null,null,269,null,null,893,null,null,893,null,null,168,null,null,505,null,null,505,null,null,168,null,null,26
60807,3028,7005,1091,6155,1093,850,485,14080,1382,12283,1446,1797,580,6579,963,4746,954,1833,669,7119,1107,5127,814,1992,676,7539,1130,6312,1013,1227,375,8031,1015,6660,964,1371,473,6319,759,5334,660,985,311,2913,560,2832,529,81,114,1222,393,1190,387,32,60,3028,null,null,1091,null,null,1093,null,null,485,null,null,1382,null,null,1446,null,null,580,null,null,963,null,null,954,null,null,669,null,null,1107,null,null,814,null,null,676,null,null,1130,null,null,1013,null,null,375,null,null,1015,null,null,964,null,null,473,null,null,759,null,null,660,null,null,311,null,null,560,null,null,529,null,null,114,null,null,393,null,null,387,null,null,60,null,null,27
12975,1524,933,198,813,242,120,152,3055,678,2813,814,242,383,2258,920,555,392,1703,830,2318,728,1753,671,565,264,875,541,803,545,72,103,1853,748,1283,641,570,387,1208,537,936,446,272,231,264,192,264,192,0,213,211,225,211,225,0,213,1524,null,null,198,null,null,242,null,null,152,null,null,678,null,null,814,null,null,383,null,null,920,null,null,392,null,null,830,null,null,728,null,null,671,null,null,264,null,null,541,null,null,545,null,null,103,null,null,748,null,null,641,null,null,387,null,null,537,null,null,446,null,null,231,null,null,192,null,null,192,null,null,213,null,null,225,null,null,225,null,null,213,null,null,28
30065,3403,1643,497,1608,500,35,67,6589,1504,6402,1438,187,182,3761,1054,2612,956,1149,604,3173,990,2232,734,941,593,3677,1037,2938,861,739,487,4943,1050,4110,907,833,487,3076,857,2926,828,150,138,1978,713,1978,713,0,187,1225,416,1225,416,0,187,3403,null,null,497,null,null,500,null,null,67,null,null,1504,null,null,1438,null,null,182,null,null,1054,null,null,956,null,null,604,null,null,990,null,null,734,null,null,593,null,null,1037,null,null,861,null,null,487,null,null,1050,null,null,907,null,null,487,null,null,857,null,null,828,null,null,138,null,null,713,null,null,713,null,null,187,null,null,416,null,null,416,null,null,187,null,null,29
64396,2559,8069,782,6967,804,1102,586,16514,1458,13709,1627,2805,803,6391,651,4130,714,2261,536,8506,998,4891,1084,3615,586,7044,946,4988,965,2056,562,6999,1026,4842,1020,2157,470,6219,659,4490,702,1729,384,3232,602,3138,580,94,112,1422,285,1422,285,0,168,2559,null,null,782,null,null,804,null,null,586,null,null,1458,null,null,1627,null,null,803,null,null,651,null,null,714,null,null,536,null,null,998,null,null,1084,null,null,586,null,null,946,null,null,965,null,null,562,null,null,1026,null,null,1020,null,null,470,null,null,659,null,null,702,null,null,384,null,null,602,null,null,580,null,null,112,null,null,285,null,null,285,null,null,168,null,null,30
15099,1360,1783,403,1338,433,445,146,3836,600,2895,616,941,261,1703,544,1066,567,637,260,2066,480,1280,396,786,317,1408,321,947,295,461,173,2107,739,1629,708,478,248,1099,329,797,266,302,213,786,331,756,326,30,32,311,187,311,187,0,159,1360,null,null,403,null,null,433,null,null,146,null,null,600,null,null,616,null,null,261,null,null,544,null,null,567,null,null,260,null,null,480,null,null,396,null,null,317,null,null,321,null,null,295,null,null,173,null,null,739,null,null,708,null,null,248,null,null,329,null,null,266,null,null,213,null,null,331,null,null,326,null,null,32,null,null,187,null,null,187,null,null,159,null,null,31
33745,3567,2870,884,2790,887,80,81,6337,1330,5658,1383,679,461,3434,947,2259,706,1175,535,5230,1091,3913,882,1317,575,3914,797,3419,821,495,299,3979,788,3437,765,542,243,4018,607,3496,551,522,308,2625,579,2569,581,56,92,1338,392,1338,392,0,210,3567,null,null,884,null,null,887,null,null,81,null,null,1330,null,null,1383,null,null,461,null,null,947,null,null,706,null,null,535,null,null,1091,null,null,882,null,null,575,null,null,797,null,null,821,null,null,299,null,null,788,null,null,765,null,null,243,null,null,607,null,null,551,null,null,308,null,null,579,null,null,581,null,null,92,null,null,392,null,null,392,null,null,210,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
19888,3348,1757,626,1620,629,137,224,3699,1272,3437,1238,262,326,1416,704,1238,712,178,165,3445,1211,2054,782,1391,988,2259,724,1817,660,442,324,2410,850,2086,817,324,248,2938,874,2366,772,572,439,1440,557,1338,544,102,167,524,269,459,218,65,108,3348,null,null,626,null,null,629,null,null,224,null,null,1272,null,null,1238,null,null,326,null,null,704,null,null,712,null,null,165,null,null,1211,null,null,782,null,null,988,null,null,724,null,null,660,null,null,324,null,null,850,null,null,817,null,null,248,null,null,874,null,null,772,null,null,439,null,null,557,null,null,544,null,null,167,null,null,269,null,null,218,null,null,108,null,null,34
192368,4648,16853,1052,15237,1060,1616,608,38599,2232,33202,2456,5397,1126,21064,1365,15233,1399,5831,1212,30382,1613,21362,1878,9020,1665,24034,1126,18007,1467,6027,1157,22078,1212,15419,1247,6659,981,19876,1068,15412,1113,4464,731,11279,752,10786,795,493,232,8203,691,7984,677,219,124,4648,null,null,1052,null,null,1060,null,null,608,null,null,2232,null,null,2456,null,null,1126,null,null,1365,null,null,1399,null,null,1212,null,null,1613,null,null,1878,null,null,1665,null,null,1126,null,null,1467,null,null,1157,null,null,1212,null,null,1247,null,null,981,null,null,1068,null,null,1113,null,null,731,null,null,752,null,null,795,null,null,232,null,null,691,null,null,677,null,null,124,null,null,35
71926,6141,6032,1475,5457,1290,575,439,11214,1909,10658,1927,556,331,7781,1403,6870,1337,911,450,10874,1878,9089,1679,1785,763,8399,1650,7497,1618,902,403,9610,1314,8106,1131,1504,588,9005,1546,8003,1286,1002,749,5503,1154,5463,1144,40,68,3508,925,3395,924,113,127,6141,null,null,1475,null,null,1290,null,null,439,null,null,1909,null,null,1927,null,null,331,null,null,1403,null,null,1337,null,null,450,null,null,1878,null,null,1679,null,null,763,null,null,1650,null,null,1618,null,null,403,null,null,1314,null,null,1131,null,null,588,null,null,1546,null,null,1286,null,null,749,null,null,1154,null,null,1144,null,null,68,null,null,925,null,null,924,null,null,127,null,null,36
117541,4931,9344,1347,8830,1269,514,424,20239,1785,18600,1655,1639,851,12785,1656,8919,1260,3866,1235,15699,1531,10954,1457,4745,1030,15817,1280,11896,1338,3921,1010,15889,1646,11403,1482,4486,1152,13823,1214,11583,1158,2240,582,8886,982,8886,982,0,203,5059,1001,5059,1001,0,203,4931,null,null,1347,null,null,1269,null,null,424,null,null,1785,null,null,1655,null,null,851,null,null,1656,null,null,1260,null,null,1235,null,null,1531,null,null,1457,null,null,1030,null,null,1280,null,null,1338,null,null,1010,null,null,1646,null,null,1482,null,null,1152,null,null,1214,null,null,1158,null,null,582,null,null,982,null,null,982,null,null,203,null,null,1001,null,null,1001,null,null,203,null,null,37
40648,2283,4490,626,3699,663,791,312,10834,1338,8643,1517,2191,929,3504,648,2565,709,939,359,5897,940,4068,852,1829,585,5009,1092,3090,739,1919,842,4650,842,3744,867,906,365,3775,616,2855,648,920,319,1426,340,1404,341,22,37,1063,418,1063,418,0,155,2283,null,null,626,null,null,663,null,null,312,null,null,1338,null,null,1517,null,null,929,null,null,648,null,null,709,null,null,359,null,null,940,null,null,852,null,null,585,null,null,1092,null,null,739,null,null,842,null,null,842,null,null,867,null,null,365,null,null,616,null,null,648,null,null,319,null,null,340,null,null,341,null,null,37,null,null,418,null,null,418,null,null,155,null,null,38
17590,2460,670,519,600,501,70,136,2410,913,2363,907,47,77,2409,870,2030,685,379,369,2694,1082,2098,1016,596,377,2004,583,1694,542,310,220,3015,963,2771,940,244,186,2517,656,2290,627,227,197,1003,400,1003,400,0,189,868,422,868,422,0,189,2460,null,null,519,null,null,501,null,null,136,null,null,913,null,null,907,null,null,77,null,null,870,null,null,685,null,null,369,null,null,1082,null,null,1016,null,null,377,null,null,583,null,null,542,null,null,220,null,null,963,null,null,940,null,null,186,null,null,656,null,null,627,null,null,197,null,null,400,null,null,400,null,null,189,null,null,422,null,null,422,null,null,189,null,null,39
291369,7107,26920,1532,22457,1455,4463,715,61372,3664,47713,3400,13659,1709,36373,2126,21382,1784,14991,1632,40907,2069,25995,1708,14912,1446,34061,1747,21434,1541,12627,1160,33079,1469,23034,1332,10045,895,31397,1557,22402,1543,8995,1127,18812,1115,18648,1112,164,121,8448,722,8441,725,7,14,7107,null,null,1532,null,null,1455,null,null,715,null,null,3664,null,null,3400,null,null,1709,null,null,2126,null,null,1784,null,null,1632,null,null,2069,null,null,1708,null,null,1446,null,null,1747,null,null,1541,null,null,1160,null,null,1469,null,null,1332,null,null,895,null,null,1557,null,null,1543,null,null,1127,null,null,1115,null,null,1112,null,null,121,null,null,722,null,null,725,null,null,14,null,null,40
44207,4263,3155,774,2919,752,236,205,7689,1580,6991,1620,698,412,5034,1079,4113,985,921,513,5524,1165,4578,1147,946,426,5947,1482,4971,1297,976,690,5949,1041,4672,792,1277,735,6208,1102,5234,974,974,462,3028,931,2970,937,58,73,1673,591,1387,542,286,334,4263,null,null,774,null,null,752,null,null,205,null,null,1580,null,null,1620,null,null,412,null,null,1079,null,null,985,null,null,513,null,null,1165,null,null,1147,null,null,426,null,null,1482,null,null,1297,null,null,690,null,null,1041,null,null,792,null,null,735,null,null,1102,null,null,974,null,null,462,null,null,931,null,null,937,null,null,73,null,null,591,null,null,542,null,null,334,null,null,41
22675,3746,1387,701,1387,701,0,174,3198,1188,2848,1005,350,435,3853,1608,3469,1570,384,292,2949,811,2256,736,693,520,2584,965,2232,871,352,253,4082,1183,3655,1121,427,367,2691,711,2441,674,250,209,1404,553,1338,546,66,108,527,246,527,246,0,174,3746,null,null,701,null,null,701,null,null,174,null,null,1188,null,null,1005,null,null,435,null,null,1608,null,null,1570,null,null,292,null,null,811,null,null,736,null,null,520,null,null,965,null,null,871,null,null,253,null,null,1183,null,null,1121,null,null,367,null,null,711,null,null,674,null,null,209,null,null,553,null,null,546,null,null,108,null,null,246,null,null,246,null,null,174,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
15726,2744,448,300,431,294,17,31,3663,1362,3613,1369,50,78,1953,826,1665,794,288,272,901,450,603,373,298,259,1365,601,946,457,419,432,3016,1013,2351,912,665,388,2286,626,1987,612,299,186,1635,816,1635,816,0,207,459,267,431,266,28,52,2744,null,null,300,null,null,294,null,null,31,null,null,1362,null,null,1369,null,null,78,null,null,826,null,null,794,null,null,272,null,null,450,null,null,373,null,null,259,null,null,601,null,null,457,null,null,432,null,null,1013,null,null,912,null,null,388,null,null,626,null,null,612,null,null,186,null,null,816,null,null,816,null,null,207,null,null,267,null,null,266,null,null,52,null,null,45
74590,3656,10798,1056,9713,1058,1085,394,18746,1742,15813,1698,2933,600,7718,1011,3623,845,4095,863,11288,1591,5499,1386,5789,1036,7590,621,4344,711,3246,739,7826,1080,5052,1110,2774,510,6156,700,3647,584,2509,607,2991,488,2944,498,47,48,1477,415,1477,415,0,157,3656,null,null,1056,null,null,1058,null,null,394,null,null,1742,null,null,1698,null,null,600,null,null,1011,null,null,845,null,null,863,null,null,1591,null,null,1386,null,null,1036,null,null,621,null,null,711,null,null,739,null,null,1080,null,null,1110,null,null,510,null,null,700,null,null,584,null,null,607,null,null,488,null,null,498,null,null,48,null,null,415,null,null,415,null,null,157,null,null,46
18864,2881,1481,702,1223,614,258,335,2343,881,2163,783,180,219,1817,597,1490,537,327,332,3216,1014,2125,738,1091,607,2762,855,1825,695,937,584,3138,1258,2264,1021,874,699,2564,818,2462,822,102,122,1260,533,1252,532,8,21,283,230,283,230,0,204,2881,null,null,702,null,null,614,null,null,335,null,null,881,null,null,783,null,null,219,null,null,597,null,null,537,null,null,332,null,null,1014,null,null,738,null,null,607,null,null,855,null,null,695,null,null,584,null,null,1258,null,null,1021,null,null,699,null,null,818,null,null,822,null,null,122,null,null,533,null,null,532,null,null,21,null,null,230,null,null,230,null,null,204,null,null,47
131875,9344,8857,1669,7858,1507,999,755,25487,3245,23603,3123,1884,713,13636,2538,9763,2057,3873,1394,18145,3281,12169,2376,5976,1920,20302,2972,12911,2160,7391,1996,16919,2639,13450,2447,3469,942,15102,2229,11761,1936,3341,1190,9097,1468,8981,1461,116,114,4330,1233,4171,1212,159,245,9344,null,null,1669,null,null,1507,null,null,755,null,null,3245,null,null,3123,null,null,713,null,null,2538,null,null,2057,null,null,1394,null,null,3281,null,null,2376,null,null,1920,null,null,2972,null,null,2160,null,null,1996,null,null,2639,null,null,2447,null,null,942,null,null,2229,null,null,1936,null,null,1190,null,null,1468,null,null,1461,null,null,114,null,null,1233,null,null,1212,null,null,245,null,null,48
31184,2913,3216,864,2951,858,265,227,6874,1383,6278,1476,596,349,4170,1018,2605,749,1565,733,5106,1016,3310,845,1796,624,3798,930,2698,757,1100,531,2948,690,2377,681,571,249,2709,466,1822,425,887,330,1427,523,1427,523,0,190,936,450,902,463,34,57,2913,null,null,864,null,null,858,null,null,227,null,null,1383,null,null,1476,null,null,349,null,null,1018,null,null,749,null,null,733,null,null,1016,null,null,845,null,null,624,null,null,930,null,null,757,null,null,531,null,null,690,null,null,681,null,null,249,null,null,466,null,null,425,null,null,330,null,null,523,null,null,523,null,null,190,null,null,450,null,null,463,null,null,57,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
