B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,B16005I_001M,B16005I_001EA,B16005I_001MA,B16005I_002M,B16005I_002EA,B16005I_002MA,B16005I_003M,B16005I_003EA,B16005I_003MA,B16005I_004M,B16005I_004EA,B16005I_004MA,B16005I_005M,B16005I_005EA,B16005I_005MA,B16005I_006M,B16005I_006EA,B16005I_006MA,B16005I_007M,B16005I_007EA,B16005I_007MA,B16005I_008M,B16005I_008EA,B16005I_008MA,B16005I_009M,B16005I_009EA,B16005I_009MA,B16005I_010M,B16005I_010EA,B16005I_010MA,B16005I_011M,B16005I_011EA,B16005I_011MA,state
761604,668,439306,8274,170027,9835,269279,7008,240068,7075,29211,2941,322298,8263,12835,2015,309463,8147,101885,6238,207578,7342,668,null,null,8274,null,null,9835,null,null,7008,null,null,7075,null,null,2941,null,null,8263,null,null,2015,null,null,8147,null,null,6238,null,null,7342,null,null,32
43355,1000,31830,2345,19139,2262,12691,2194,10755,2112,1936,774,11525,2166,1454,676,10071,2187,3561,1000,6510,1824,1000,null,null,2345,null,null,2262,null,null,2194,null,null,2112,null,null,774,null,null,2166,null,null,676,null,null,2187,null,null,1000,null,null,1824,null,null,33
1631899,845,885646,14815,287194,11941,598452,14546,484574,13342,113878,5875,746253,14799,31558,3806,714695,14901,228946,8358,485749,13445,845,null,null,14815,null,null,11941,null,null,14546,null,null,13342,null,null,5875,null,null,14799,null,null,3806,null,null,14901,null,null,8358,null,null,13445,null,null,34
933155,783,786270,8068,422869,11666,363401,10143,317609,10236,45792,3670,146885,8128,8644,2318,138241,7436,48710,4169,89531,6442,783,null,null,8068,null,null,11666,null,null,10143,null,null,10236,null,null,3670,null,null,8128,null,null,2318,null,null,7436,null,null,4169,null,null,6442,null,null,35
3441389,1693,1986770,22583,677924,17315,1308846,21990,1047283,20303,261563,10365,1454619,22202,79383,5223,1375236,22738,392718,13391,982518,22168,1693,null,null,22583,null,null,17315,null,null,21990,null,null,20303,null,null,10365,null,null,22202,null,null,5223,null,null,22738,null,null,13391,null,null,22168,null,null,36
830224,2939,447768,8042,170831,7633,276937,7959,230213,7782,46724,3875,382456,8159,18350,2864,364106,7799,119648,7054,244458,7450,2939,null,null,8042,null,null,7633,null,null,7959,null,null,7782,null,null,3875,null,null,8159,null,null,2864,null,null,7799,null,null,7054,null,null,7450,null,null,37
23612,1929,19859,2385,12815,2200,7044,1758,4983,1389,2061,856,3753,1202,649,703,3104,1194,1780,713,1324,904,1929,null,null,2385,null,null,2200,null,null,1758,null,null,1389,null,null,856,null,null,1202,null,null,703,null,null,1194,null,null,713,null,null,904,null,null,38
376083,2211,293080,6032,183653,7652,109427,5691,79633,4701,29794,3058,83003,5494,8610,1558,74393,5336,26857,2846,47536,4294,2211,null,null,6032,null,null,7652,null,null,5691,null,null,4701,null,null,3058,null,null,5494,null,null,1558,null,null,5336,null,null,2846,null,null,4294,null,null,39
358708,1104,232888,4462,120550,5476,112338,4752,94542,4628,17796,2328,125820,4306,7335,1384,118485,4286,37269,2936,81216,3749,1104,null,null,4462,null,null,5476,null,null,4752,null,null,4628,null,null,2328,null,null,4306,null,null,1384,null,null,4286,null,null,2936,null,null,3749,null,null,40
471562,716,307987,6521,154928,8399,153059,6769,128276,7187,24783,3653,163575,6529,7804,1889,155771,6595,49464,4440,106307,5550,716,null,null,6521,null,null,8399,null,null,6769,null,null,7187,null,null,3653,null,null,6529,null,null,1889,null,null,6595,null,null,4440,null,null,5550,null,null,41
808485,1697,611793,9319,256851,11043,354942,11195,255403,10907,99539,6233,196692,9228,16779,3446,179913,9128,58411,4363,121502,7668,1697,null,null,9319,null,null,11043,null,null,11195,null,null,10907,null,null,6233,null,null,9228,null,null,3446,null,null,9128,null,null,4363,null,null,7668,null,null,42
141890,506,86859,3655,24942,3018,61917,4097,49735,3888,12182,2288,55031,3644,2358,765,52673,3643,17100,2715,35573,3126,506,null,null,3655,null,null,3018,null,null,4097,null,null,3888,null,null,2288,null,null,3644,null,null,765,null,null,3643,null,null,2715,null,null,3126,null,null,44
245088,3604,135068,5413,63494,4537,71574,4940,58440,4173,13134,2685,110020,5868,6504,1594,103516,6178,34648,4030,68868,5272,3604,null,null,5413,null,null,4537,null,null,4940,null,null,4173,null,null,2685,null,null,5868,null,null,1594,null,null,6178,null,null,4030,null,null,5272,null,null,45
27794,1307,20533,1628,13413,1570,7120,1136,6139,1034,981,525,7261,1226,847,498,6414,1059,1688,702,4726,941,1307,null,null,1628,null,null,1570,null,null,1136,null,null,1034,null,null,525,null,null,1226,null,null,498,null,null,1059,null,null,702,null,null,941,null,null,46
305211,2900,171896,6177,81003,5886,90893,5480,74068,5001,16825,2950,133315,5526,9245,2194,124070,5640,36136,3783,87934,5203,2900,null,null,6177,null,null,5886,null,null,5480,null,null,5001,null,null,2950,null,null,5526,null,null,2194,null,null,5640,null,null,3783,null,null,5203,null,null,47
9879924,2145,6729587,34138,2406126,32189,4323461,37021,3458900,38948,864561,23583,3150337,33541,111387,6699,3038950,34069,864130,21085,2174820,34285,2145,null,null,34138,null,null,32189,null,null,37021,null,null,38948,null,null,23583,null,null,33541,null,null,6699,null,null,34069,null,null,21085,null,null,34285,null,null,48
374017,1002,233947,6985,121381,7206,112566,5613,99185,5771,13381,2524,140070,6997,8338,1547,131732,7112,51324,5375,80408,6551,1002,null,null,6985,null,null,7206,null,null,5613,null,null,5771,null,null,2524,null,null,6997,null,null,1547,null,null,7112,null,null,5375,null,null,6551,null,null,49
11558,1064,9667,1329,7353,1495,2314,703,2165,698,149,152,1891,604,363,299,1528,535,949,388,579,326,1064,null,null,1329,null,null,1495,null,null,703,null,null,698,null,null,152,null,null,604,null,null,299,null,null,535,null,null,388,null,null,326,null,null,50
688658,3020,357063,7326,162233,8098,194830,8344,166732,8301,28098,2962,331595,7891,19880,2203,311715,8668,111552,5933,200163,8626,3020,null,null,7326,null,null,8098,null,null,8344,null,null,8301,null,null,2962,null,null,7891,null,null,2203,null,null,8668,null,null,5933,null,null,8626,null,null,51
810048,1210,514534,8882,260403,11220,254131,8613,212684,9854,41447,3925,295514,8852,14185,2029,281329,9118,89066,5775,192263,7923,1210,null,null,8882,null,null,11220,null,null,8613,null,null,9854,null,null,3925,null,null,8852,null,null,2029,null,null,9118,null,null,5775,null,null,7923,null,null,53
23891,2104,18065,2351,12407,1924,5658,1469,4011,971,1647,842,5826,1070,1031,557,4795,958,2029,550,2766,902,2104,null,null,2351,null,null,1924,null,null,1469,null,null,971,null,null,842,null,null,1070,null,null,557,null,null,958,null,null,550,null,null,902,null,null,54
348154,1245,241195,4916,128059,6420,113136,5837,88311,4673,24825,2995,106959,4655,7341,1337,99618,4674,34194,3319,65424,3980,1245,null,null,4916,null,null,6420,null,null,5837,null,null,4673,null,null,2995,null,null,4655,null,null,1337,null,null,4674,null,null,3319,null,null,3980,null,null,55
50454,1124,42301,2032,28115,2931,14186,2035,12924,1938,1262,555,8153,1904,133,112,8020,1919,2229,1013,5791,1529,1124,null,null,2032,null,null,2931,null,null,2035,null,null,1938,null,null,555,null,null,1904,null,null,112,null,null,1919,null,null,1013,null,null,1529,null,null,56
3207117,5457,3122980,6647,173479,11070,2949501,13482,557862,14691,2391639,18596,84137,5685,3278,892,80859,5529,10030,1859,70829,4918,5457,null,null,6647,null,null,11070,null,null,13482,null,null,14691,null,null,18596,null,null,5685,null,null,892,null,null,5529,null,null,1859,null,null,4918,null,null,72
175561,2397,103260,4632,44470,4751,58790,4746,45312,4168,13478,2486,72301,3915,5805,1306,66496,3790,21977,2418,44519,3676,2397,null,null,4632,null,null,4751,null,null,4746,null,null,4168,null,null,2486,null,null,3915,null,null,1306,null,null,3790,null,null,2418,null,null,3676,null,null,01
46166,487,35773,2558,24939,2671,10834,1865,9085,1409,1749,1463,10393,2454,1013,573,9380,2553,3391,1134,5989,2512,487,null,null,2558,null,null,2671,null,null,1865,null,null,1409,null,null,1463,null,null,2454,null,null,573,null,null,2553,null,null,1134,null,null,2512,null,null,02
1952216,1269,1391820,13428,670744,18379,721076,13823,632233,12761,88843,5890,560396,13180,31789,3075,528607,13339,185154,8618,343453,10076,1269,null,null,13428,null,null,18379,null,null,13823,null,null,12761,null,null,5890,null,null,13180,null,null,3075,null,null,13339,null,null,8618,null,null,10076,null,null,04
192155,1808,113550,4307,51533,4408,62017,4245,50312,4413,11705,2412,78605,3968,10374,2064,68231,4063,17206,2563,51025,4116,1808,null,null,4307,null,null,4408,null,null,4245,null,null,4413,null,null,2412,null,null,3968,null,null,2064,null,null,4063,null,null,2563,null,null,4116,null,null,05
13996490,877,8665556,40481,3418220,48873,5247336,37667,4512752,35946,734584,15386,5330934,40342,203127,8701,5127807,40314,1492128,22114,3635679,32494,877,null,null,40481,null,null,48873,null,null,37667,null,null,35946,null,null,15386,null,null,40342,null,null,8701,null,null,40314,null,null,22114,null,null,32494,null,null,06
1079281,1371,801456,9572,492011,13107,309445,8907,269761,8773,39684,3896,277825,9538,12224,1987,265601,9660,88579,5898,177022,8608,1371,null,null,9572,null,null,13107,null,null,8907,null,null,8773,null,null,3896,null,null,9538,null,null,1987,null,null,9660,null,null,5898,null,null,8608,null,null,08
514904,451,380402,7540,124165,6503,256237,8062,191695,7613,64542,5461,134502,7656,7685,1403,126817,7605,45882,5609,80935,5985,451,null,null,7540,null,null,6503,null,null,8062,null,null,7613,null,null,5461,null,null,7656,null,null,1403,null,null,7605,null,null,5609,null,null,5985,null,null,09
78057,-555555555,48915,3046,19605,3139,29310,3281,25013,3116,4297,1253,29142,3046,1126,628,28016,3089,10799,2274,17217,2769,-555555555,null,*****,3046,null,null,3139,null,null,3281,null,null,3116,null,null,1253,null,null,3046,null,null,628,null,null,3089,null,null,2274,null,null,2769,null,null,10
66887,-555555555,33345,2422,12367,1957,20978,2298,15953,2232,5025,1245,33542,2423,2371,769,31171,2474,11064,2089,20107,2803,-555555555,null,*****,2422,null,null,1957,null,null,2298,null,null,2232,null,null,1245,null,null,2423,null,null,769,null,null,2474,null,null,2089,null,null,2803,null,null,11
