B16003_001E,B16003_001M,B16003_002E,B16003_002M,B16003_003E,B16003_003M,B16003_004E,B16003_004M,B16003_005E,B16003_005M,B16003_006E,B16003_006M,B16003_007E,B16003_007M,B16003_008E,B16003_008M,B16003_009E,B16003_009M,B16003_010E,B16003_010M,B16003_011E,B16003_011M,B16003_012E,B16003_012M,B16003_001M,B16003_001EA,B16003_001MA,B16003_002M,B16003_002EA,B16003_002MA,B16003_003M,B16003_003EA,B16003_003MA,B16003_004M,B16003_004EA,B16003_004MA,B16003_005M,B16003_005EA,B16003_005MA,B16003_006M,B16003_006EA,B16003_006MA,B16003_007M,B16003_007EA,B16003_007MA,B16003_008M,B16003_008EA,B16003_008MA,B16003_009M,B16003_009EA,B16003_009MA,B16003_010M,B16003_010EA,B16003_010MA,B16003_011M,B16003_011EA,B16003_011MA,B16003_012M,B16003_012EA,B16003_012MA,state
11911,2245,2043,826,376,272,132,154,383,273,550,493,602,502,9868,1760,925,597,3818,894,3963,1255,1162,646,2245,null,null,826,null,null,272,null,null,154,null,null,273,null,null,493,null,null,502,null,null,1760,null,null,597,null,null,894,null,null,1255,null,null,646,null,null,23
207021,13896,47419,4659,3896,1367,29467,4070,4104,1395,6757,1575,3195,1532,159602,11018,87889,9322,24123,3976,37107,3521,10483,2853,13896,null,null,4659,null,null,1367,null,null,4070,null,null,1395,null,null,1575,null,null,1532,null,null,11018,null,null,9322,null,null,3976,null,null,3521,null,null,2853,null,null,24
332263,16424,54873,4493,6406,1582,26573,3160,12192,2547,7466,1519,2236,1259,277390,13535,114798,8185,85030,6850,66122,6374,11440,2401,16424,null,null,4493,null,null,1582,null,null,3160,null,null,2547,null,null,1519,null,null,1259,null,null,13535,null,null,8185,null,null,6850,null,null,6374,null,null,2401,null,null,25
162225,11251,32835,3714,2656,923,10504,2479,5213,1567,4940,1267,9522,2658,129390,9302,33004,4268,31806,3961,32142,4157,32438,5651,11251,null,null,3714,null,null,923,null,null,2479,null,null,1567,null,null,1267,null,null,2658,null,null,9302,null,null,4268,null,null,3961,null,null,4157,null,null,5651,null,null,26
141480,8961,39904,4293,4480,1906,14359,2300,2560,1105,8791,1768,9714,2891,101576,6506,35599,3957,12450,2435,30354,3567,23173,3474,8961,null,null,4293,null,null,1906,null,null,2300,null,null,1105,null,null,1768,null,null,2891,null,null,6506,null,null,3957,null,null,2435,null,null,3567,null,null,3474,null,null,27
22115,3323,7183,1800,593,409,5175,1549,550,558,323,348,542,829,14932,2464,10423,2223,1210,731,2696,1096,603,445,3323,null,null,1800,null,null,409,null,null,1549,null,null,558,null,null,348,null,null,829,null,null,2464,null,null,2223,null,null,731,null,null,1096,null,null,445,null,null,28
64936,7077,15767,2669,1083,690,5984,1612,2399,1016,3689,1342,2612,1304,49169,5062,15937,2731,10178,2438,17512,2848,5542,1831,7077,null,null,2669,null,null,690,null,null,1612,null,null,1016,null,null,1342,null,null,1304,null,null,5062,null,null,2731,null,null,2438,null,null,2848,null,null,1831,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
59762,5641,17192,2431,595,480,10645,1881,751,692,3515,1411,1686,1345,42570,4039,27589,3437,3747,1614,8876,2134,2358,941,5641,null,null,2431,null,null,480,null,null,1881,null,null,692,null,null,1411,null,null,1345,null,null,4039,null,null,3437,null,null,1614,null,null,2134,null,null,941,null,null,31
164997,12203,35160,4585,2696,984,28671,4349,1053,852,2224,891,516,394,129837,9350,92944,8003,7590,2103,24574,2753,4729,1676,12203,null,null,4585,null,null,984,null,null,4349,null,null,852,null,null,891,null,null,394,null,null,9350,null,null,8003,null,null,2103,null,null,2753,null,null,1676,null,null,32
16402,3669,3465,1148,843,647,407,317,514,454,1102,717,599,493,12937,2871,2398,1042,4699,1592,3769,1363,2071,1212,3669,null,null,1148,null,null,647,null,null,317,null,null,454,null,null,717,null,null,493,null,null,2871,null,null,1042,null,null,1592,null,null,1363,null,null,1212,null,null,33
563649,21748,101701,6749,6141,1433,71528,6093,10097,2352,9336,1784,4599,1714,461948,17780,269804,13679,100010,6907,76545,7066,15589,2883,21748,null,null,6749,null,null,1433,null,null,6093,null,null,2352,null,null,1784,null,null,1714,null,null,17780,null,null,13679,null,null,6907,null,null,7066,null,null,2883,null,null,34
75726,7825,15594,3346,1442,886,13714,3000,85,149,170,200,183,186,60132,5826,51896,5448,1793,1058,1431,741,5012,1316,7825,null,null,3346,null,null,886,null,null,3000,null,null,149,null,null,200,null,null,186,null,null,5826,null,null,5448,null,null,1058,null,null,741,null,null,1316,null,null,35
1426573,34655,242776,12006,16393,2733,131990,9637,37637,4453,46974,4214,9782,2844,1183797,25641,561110,20189,268966,11721,314354,10989,39367,4505,34655,null,null,12006,null,null,2733,null,null,9637,null,null,4453,null,null,4214,null,null,2844,null,null,25641,null,null,20189,null,null,11721,null,null,10989,null,null,4505,null,null,36
244299,13583,67976,4668,4029,1372,52916,4775,1618,975,5378,1615,4035,1799,176323,11085,126718,7745,16802,3506,26713,3913,6090,2514,13583,null,null,4668,null,null,1372,null,null,4775,null,null,975,null,null,1615,null,null,1799,null,null,11085,null,null,7745,null,null,3506,null,null,3913,null,null,2514,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
144443,10394,30382,4326,4068,1681,11384,2436,6252,1891,4520,1478,4158,1772,114061,7936,35658,4181,37074,5037,25917,4050,15412,2789,10394,null,null,4326,null,null,1681,null,null,2436,null,null,1891,null,null,1478,null,null,1772,null,null,7936,null,null,4181,null,null,5037,null,null,4050,null,null,2789,null,null,39
81094,6845,19419,2982,704,364,16000,2801,161,189,2554,855,0,159,61675,5096,43137,3942,2164,785,13791,2692,2583,1145,6845,null,null,2982,null,null,364,null,null,2801,null,null,189,null,null,855,null,null,159,null,null,5096,null,null,3942,null,null,785,null,null,2692,null,null,1145,null,null,40
106935,8507,26456,3911,896,679,19318,3921,1720,940,3565,976,957,695,80479,6125,45737,5372,12873,2815,18823,2732,3046,1148,8507,null,null,3911,null,null,679,null,null,3921,null,null,940,null,null,976,null,null,695,null,null,6125,null,null,5372,null,null,2815,null,null,2732,null,null,1148,null,null,41
289702,15373,60333,7197,7075,2440,28492,4664,12316,2516,9084,2080,3366,1757,229369,11315,100302,7293,63031,7907,53137,4862,12899,2618,15373,null,null,7197,null,null,2440,null,null,4664,null,null,2516,null,null,2080,null,null,1757,null,null,11315,null,null,7293,null,null,7907,null,null,4862,null,null,2618,null,null,42
39990,5668,5904,1547,757,676,4333,1370,704,480,0,208,110,129,34086,5005,18539,3247,10735,2799,3805,1384,1007,785,5668,null,null,1547,null,null,676,null,null,1370,null,null,480,null,null,208,null,null,129,null,null,5005,null,null,3247,null,null,2799,null,null,1384,null,null,785,null,null,44
75004,9250,20813,3880,863,532,17342,3477,304,338,1455,911,849,948,54191,6367,41157,5422,4691,1684,7131,2160,1212,836,9250,null,null,3880,null,null,532,null,null,3477,null,null,338,null,null,911,null,null,948,null,null,6367,null,null,5422,null,null,1684,null,null,2160,null,null,836,null,null,45
11913,2740,3756,1596,30,54,1292,697,157,261,1450,1133,827,784,8157,1834,3160,997,751,568,2025,837,2221,1260,2740,null,null,1596,null,null,54,null,null,697,null,null,261,null,null,1133,null,null,784,null,null,1834,null,null,997,null,null,568,null,null,837,null,null,1260,null,null,46
109375,10484,29067,4237,1501,721,22003,3729,1685,1018,2696,1017,1182,976,80308,7532,52038,5338,6289,1927,13830,2765,8151,2944,10484,null,null,4237,null,null,721,null,null,3729,null,null,1018,null,null,1017,null,null,976,null,null,7532,null,null,5338,null,null,1927,null,null,2765,null,null,2944,null,null,47
2011693,46539,475601,17227,25894,3988,409454,16767,7648,2117,24717,4052,7888,2506,1536092,33059,1306781,30684,51708,6578,147708,10975,29895,5072,46539,null,null,17227,null,null,3988,null,null,16767,null,null,2117,null,null,4052,null,null,2506,null,null,33059,null,null,30684,null,null,6578,null,null,10975,null,null,5072,null,null,48
57654,7087,14064,2950,752,450,10113,2611,698,533,841,606,1660,982,43590,5030,30591,4517,4063,1637,6710,2030,2226,946,7087,null,null,2950,null,null,450,null,null,2611,null,null,533,null,null,606,null,null,982,null,null,5030,null,null,4517,null,null,1637,null,null,2030,null,null,946,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
236838,13748,54126,5322,5057,1587,32718,4578,4460,1632,7359,1805,4532,1856,182712,9991,98567,8670,23832,3552,46317,4834,13996,2904,13748,null,null,5322,null,null,1587,null,null,4578,null,null,1632,null,null,1805,null,null,1856,null,null,9991,null,null,8670,null,null,3552,null,null,4834,null,null,2904,null,null,51
279478,16844,63901,6787,4528,1517,40643,5321,5224,2196,9962,2110,3544,1880,215577,11970,93433,8165,28355,4355,80649,5896,13140,3034,16844,null,null,6787,null,null,1517,null,null,5321,null,null,2196,null,null,2110,null,null,1880,null,null,11970,null,null,8165,null,null,4355,null,null,5896,null,null,3034,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
90967,6355,21451,2805,2157,1214,12601,2476,2110,801,3213,1259,1370,1106,69516,4810,38255,3933,10686,1950,18543,2502,2032,986,6355,null,null,2805,null,null,1214,null,null,2476,null,null,801,null,null,1259,null,null,1106,null,null,4810,null,null,3933,null,null,1950,null,null,2502,null,null,986,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
2012954,28503,333287,7948,2858,1086,330376,7889,53,91,0,222,0,222,1679667,23672,1678175,23574,641,356,775,615,76,119,28503,null,null,7948,null,null,1086,null,null,7889,null,null,91,null,null,222,null,null,222,null,null,23672,null,null,23574,null,null,356,null,null,615,null,null,119,null,null,72
54288,6121,11917,2498,1274,1058,8099,2177,415,392,2026,778,103,169,42371,4483,25191,3784,4001,1621,10736,2196,2443,1213,6121,null,null,2498,null,null,1058,null,null,2177,null,null,392,null,null,778,null,null,169,null,null,4483,null,null,3784,null,null,1621,null,null,2196,null,null,1213,null,null,01
15530,3085,2590,1464,1435,1408,165,193,90,113,656,510,244,98,12940,2278,1850,977,1230,660,7450,2002,2410,890,3085,null,null,1464,null,null,1408,null,null,193,null,null,113,null,null,510,null,null,98,null,null,2278,null,null,977,null,null,660,null,null,2002,null,null,890,null,null,02
241222,12910,53557,5400,3677,1037,42435,5342,287,260,2889,1218,4269,1685,187665,9493,134359,9417,10460,2274,24077,3556,18769,2501,12910,null,null,5400,null,null,1037,null,null,5342,null,null,260,null,null,1218,null,null,1685,null,null,9493,null,null,9417,null,null,2274,null,null,3556,null,null,2501,null,null,04
52085,7431,15602,2971,473,414,12534,2630,345,447,2250,867,0,197,36483,5216,27057,4155,2491,1181,6157,1568,778,787,7431,null,null,2971,null,null,414,null,null,2630,null,null,447,null,null,867,null,null,197,null,null,5216,null,null,4155,null,null,1181,null,null,1568,null,null,787,null,null,05
3169431,49462,652171,17653,48248,5614,482523,16946,19720,2797,88199,5838,13481,3815,2517260,38688,1450379,32266,209817,10924,794348,18230,62716,6992,49462,null,null,17653,null,null,5614,null,null,16946,null,null,2797,null,null,5838,null,null,3815,null,null,38688,null,null,32266,null,null,10924,null,null,18230,null,null,6992,null,null,06
155973,10301,36021,4606,1644,699,27822,4411,1248,660,3329,1127,1978,1052,119952,7374,79723,6708,9971,1993,23886,3045,6372,1871,10301,null,null,4606,null,null,699,null,null,4411,null,null,660,null,null,1127,null,null,1052,null,null,7374,null,null,6708,null,null,1993,null,null,3045,null,null,1871,null,null,08
142323,10809,24369,3973,3059,1149,14657,3055,3575,1409,2026,722,1052,814,117954,8102,64079,6312,33606,4029,16656,3282,3613,1112,10809,null,null,3973,null,null,1149,null,null,3055,null,null,1409,null,null,722,null,null,814,null,null,8102,null,null,6312,null,null,4029,null,null,3282,null,null,1112,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
25036,4172,4680,1336,312,320,3764,1219,141,229,148,226,315,362,20356,3418,13641,2659,1939,1242,1422,693,3354,1593,4172,null,null,1336,null,null,320,null,null,1219,null,null,229,null,null,226,null,null,362,null,null,3418,null,null,2659,null,null,1242,null,null,693,null,null,1593,null,null,11
