B13002C_001E,B13002C_001M,B13002C_002E,B13002C_002M,B13002C_003E,B13002C_003M,B13002C_004E,B13002C_004M,B13002C_005E,B13002C_005M,B13002C_006E,B13002C_006M,B13002C_007E,B13002C_007M,B13002C_001M,B13002C_001EA,B13002C_001MA,B13002C_002M,B13002C_002EA,B13002C_002MA,B13002C_003M,B13002C_003EA,B13002C_003MA,B13002C_004M,B13002C_004EA,B13002C_004MA,B13002C_005M,B13002C_005EA,B13002C_005MA,B13002C_006M,B13002C_006EA,B13002C_006MA,B13002C_007M,B13002C_007EA,B13002C_007MA,state
33309,3770,2694,1071,1741,886,953,573,30615,3413,12702,1728,17913,2586,3770,null,null,1071,null,null,886,null,null,573,null,null,3413,null,null,1728,null,null,2586,null,null,48
8564,1242,510,380,195,206,315,324,8054,1250,2435,632,5619,1172,1242,null,null,380,null,null,206,null,null,324,null,null,1250,null,null,632,null,null,1172,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
6830,1464,343,392,343,392,0,201,6487,1368,1998,702,4489,1194,1464,null,null,392,null,null,392,null,null,201,null,null,1368,null,null,702,null,null,1194,null,null,51
22423,2627,1427,703,851,582,576,386,20996,2380,6931,1324,14065,2202,2627,null,null,703,null,null,582,null,null,386,null,null,2380,null,null,1324,null,null,2202,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
13159,1233,970,392,352,315,618,303,12189,1263,3656,900,8533,935,1233,null,null,392,null,null,315,null,null,303,null,null,1263,null,null,900,null,null,935,null,null,55
3153,632,172,130,0,197,172,130,2981,634,1262,585,1719,349,632,null,null,130,null,null,197,null,null,130,null,null,634,null,null,585,null,null,349,null,null,56
2864,1144,296,316,92,160,204,270,2568,1028,649,388,1919,909,1144,null,null,316,null,null,160,null,null,270,null,null,1028,null,null,388,null,null,909,null,null,72
7201,1145,565,363,294,258,271,314,6636,1130,4284,978,2352,772,1145,null,null,363,null,null,258,null,null,314,null,null,1130,null,null,978,null,null,772,null,null,01
26581,1382,1752,394,503,161,1249,350,24829,1470,7078,1083,17751,1379,1382,null,null,394,null,null,161,null,null,350,null,null,1470,null,null,1083,null,null,1379,null,null,02
79885,2846,4577,987,1629,622,2948,806,75308,2808,18765,1942,56543,3091,2846,null,null,987,null,null,622,null,null,806,null,null,2808,null,null,1942,null,null,3091,null,null,04
5650,1242,233,226,142,176,91,151,5417,1223,2192,715,3225,955,1242,null,null,226,null,null,176,null,null,151,null,null,1223,null,null,715,null,null,955,null,null,05
73739,5070,3838,1136,1541,722,2297,793,69901,5130,25956,2667,43945,4101,5070,null,null,1136,null,null,722,null,null,793,null,null,5130,null,null,2667,null,null,4101,null,null,06
15964,1940,914,537,590,432,324,291,15050,1855,4205,950,10845,1623,1940,null,null,537,null,null,432,null,null,291,null,null,1855,null,null,950,null,null,1623,null,null,08
2143,832,333,291,300,295,33,52,1810,650,439,287,1371,534,832,null,null,291,null,null,295,null,null,52,null,null,650,null,null,287,null,null,534,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
