C21001A_001E,C21001A_001M,C21001A_002E,C21001A_002M,C21001A_003E,C21001A_003M,C21001A_004E,C21001A_004M,C21001A_005E,C21001A_005M,C21001A_006E,C21001A_006M,C21001A_007E,C21001A_007M,C21001A_008E,C21001A_008M,C21001A_009E,C21001A_009M,C21001A_010E,C21001A_010M,C21001A_011E,C21001A_011M,C21001A_012E,C21001A_012M,C21001A_013E,C21001A_013M,C21001A_014E,C21001A_014M,C21001A_015E,C21001A_015M,C21001A_001M,C21001A_001EA,C21001A_001MA,C21001A_002M,C21001A_002EA,C21001A_002MA,C21001A_003M,C21001A_003EA,C21001A_003MA,C21001A_004M,C21001A_004EA,C21001A_004MA,C21001A_005M,C21001A_005EA,C21001A_005MA,C21001A_006M,C21001A_006EA,C21001A_006MA,C21001A_007M,C21001A_007EA,C21001A_007MA,C21001A_008M,C21001A_008EA,C21001A_008MA,C21001A_009M,C21001A_009EA,C21001A_009MA,C21001A_010M,C21001A_010EA,C21001A_010MA,C21001A_011M,C21001A_011EA,C21001A_011MA,C21001A_012M,C21001A_012EA,C21001A_012MA,C21001A_013M,C21001A_013EA,C21001A_013MA,C21001A_014M,C21001A_014EA,C21001A_014MA,C21001A_015M,C21001A_015EA,C21001A_015MA,state
1026098,1339,495855,993,381489,1003,39105,3078,342384,3168,114366,320,54908,2167,59458,2166,530243,980,392472,882,5239,1180,387233,1554,137771,371,2300,624,135471,617,1339,null,null,993,null,null,1003,null,null,3078,null,null,3168,null,null,320,null,null,2167,null,null,2166,null,null,980,null,null,882,null,null,1180,null,null,1554,null,null,371,null,null,624,null,null,617,null,null,23
2702416,9353,1308733,5698,1043383,5634,102909,4324,940474,6722,265350,966,119880,2917,145470,2967,1393683,5116,1058727,4978,17193,1675,1041534,5351,334956,1477,2855,683,332101,1623,9353,null,null,5698,null,null,5634,null,null,4324,null,null,6722,null,null,966,null,null,2917,null,null,2967,null,null,5116,null,null,4978,null,null,1675,null,null,5351,null,null,1477,null,null,683,null,null,1623,null,null,24
4360768,10624,2080347,6348,1665928,6039,104814,4706,1561114,7079,414419,1107,167851,3691,246568,3696,2280421,5695,1735231,5479,11291,1730,1723940,5681,545190,1569,3886,804,541304,1599,10624,null,null,6348,null,null,6039,null,null,4706,null,null,7079,null,null,1107,null,null,3691,null,null,3696,null,null,5695,null,null,5479,null,null,1730,null,null,5681,null,null,1569,null,null,804,null,null,1599,null,null,25
6205336,6242,3038644,3935,2411818,3824,185735,5632,2226083,6988,626826,813,271268,4487,355558,4588,3166692,3336,2399658,3456,23074,2014,2376584,4358,767034,1102,7189,1132,759845,1525,6242,null,null,3935,null,null,3824,null,null,5632,null,null,6988,null,null,813,null,null,4487,null,null,4588,null,null,3336,null,null,3456,null,null,2014,null,null,4358,null,null,1102,null,null,1132,null,null,1525,null,null,26
3637176,4137,1788895,2805,1433579,2758,111861,4076,1321718,4927,355316,787,162250,3386,193066,3360,1848281,2625,1416158,2591,14173,1623,1401985,3197,432123,647,3810,804,428313,1049,4137,null,null,2805,null,null,2758,null,null,4076,null,null,4927,null,null,787,null,null,3386,null,null,3360,null,null,2625,null,null,2591,null,null,1623,null,null,3197,null,null,647,null,null,804,null,null,1049,null,null,27
1366628,3242,662516,2781,518355,2855,52002,3797,466353,4430,144161,648,63675,3044,80486,3126,704112,1809,523404,1794,8077,1614,515327,2184,180708,578,2097,692,178611,920,3242,null,null,2781,null,null,2855,null,null,3797,null,null,4430,null,null,648,null,null,3044,null,null,3126,null,null,1809,null,null,1794,null,null,1614,null,null,2184,null,null,578,null,null,692,null,null,920,null,null,28
3928929,4203,1908514,2991,1518364,2979,151131,5276,1367233,6023,390150,942,192491,4006,197659,4074,2020415,2961,1533189,3029,19409,2169,1513780,3536,487226,908,5574,954,481652,1223,4203,null,null,2991,null,null,2979,null,null,5276,null,null,6023,null,null,942,null,null,4006,null,null,4074,null,null,2961,null,null,3029,null,null,2169,null,null,3536,null,null,908,null,null,954,null,null,1223,null,null,29
736924,1458,368304,1449,283766,1421,31545,2701,252221,3202,84538,369,40142,2013,44396,2035,368620,1109,277036,1075,5137,1170,271899,1643,91584,308,1792,617,89792,755,1458,null,null,1449,null,null,1421,null,null,2701,null,null,3202,null,null,369,null,null,2013,null,null,2035,null,null,1109,null,null,1075,null,null,1170,null,null,1643,null,null,308,null,null,617,null,null,755,null,null,30
1278069,3574,628796,2605,506744,2533,45812,2860,460932,3728,122052,795,57064,2219,64988,2315,649273,2226,499593,2148,6194,902,493399,2316,149680,642,1981,565,147699,866,3574,null,null,2605,null,null,2533,null,null,2860,null,null,3728,null,null,795,null,null,2219,null,null,2315,null,null,2226,null,null,2148,null,null,902,null,null,2316,null,null,642,null,null,565,null,null,866,null,null,31
1556014,9882,783457,6488,613282,6134,70155,4326,543127,7332,170175,1187,85844,2687,84331,2793,772557,4888,592477,4502,10801,1737,581676,4797,180080,1447,2715,613,177365,1651,9882,null,null,6488,null,null,6134,null,null,4326,null,null,7332,null,null,1187,null,null,2687,null,null,2793,null,null,4888,null,null,4502,null,null,1737,null,null,4797,null,null,1447,null,null,613,null,null,1651,null,null,32
1010480,2073,495154,1481,394229,1567,42548,3290,351681,3496,100925,497,46077,2052,54848,2059,515326,1274,395519,1295,4302,981,391217,1615,119807,356,1444,507,118363,578,2073,null,null,1481,null,null,1567,null,null,3290,null,null,3496,null,null,497,null,null,2052,null,null,2059,null,null,1274,null,null,1295,null,null,981,null,null,1615,null,null,356,null,null,507,null,null,578,null,null,33
4841548,16285,2342332,9315,1871255,9030,81529,3786,1789726,8812,471077,1823,178219,4431,292858,4905,2499216,8843,1876857,8202,10440,1816,1866417,7947,622359,1988,4174,983,618185,2143,16285,null,null,9315,null,null,9030,null,null,3786,null,null,8812,null,null,1823,null,null,4431,null,null,4905,null,null,8843,null,null,8202,null,null,1816,null,null,7947,null,null,1988,null,null,983,null,null,2143,null,null,34
1190858,8359,581038,5615,450546,5424,49265,3426,401281,6750,130492,1791,57953,2547,72539,2704,609820,4821,455611,4427,6727,1332,448884,4707,154209,1749,3613,1031,150596,1930,8359,null,null,5615,null,null,5424,null,null,3426,null,null,6750,null,null,1791,null,null,2547,null,null,2704,null,null,4821,null,null,4427,null,null,1332,null,null,4707,null,null,1749,null,null,1031,null,null,1930,null,null,35
10117966,20969,4907944,11502,3915790,11469,210785,5759,3705005,12289,992154,2978,363585,5589,628569,6030,5210022,12935,3921775,12087,27788,2331,3893987,12011,1288247,3972,8408,1130,1279839,4129,20969,null,null,11502,null,null,11469,null,null,5759,null,null,12289,null,null,2978,null,null,5589,null,null,6030,null,null,12935,null,null,12087,null,null,2331,null,null,12011,null,null,3972,null,null,1130,null,null,4129,null,null,36
5510767,8846,2645837,5614,2088002,5495,205466,7406,1882536,8735,557835,1735,251882,5429,305953,5486,2864930,5251,2166937,5145,33329,2959,2133608,6092,697993,1547,8238,1154,689755,1923,8846,null,null,5614,null,null,5495,null,null,7406,null,null,8735,null,null,1735,null,null,5429,null,null,5486,null,null,5251,null,null,5145,null,null,2959,null,null,6092,null,null,1547,null,null,1154,null,null,1923,null,null,37
514430,2466,261332,2131,213093,2152,18659,1817,194434,3083,48239,355,20861,1154,27378,1204,253098,1133,195198,981,2824,844,192374,1312,57900,443,424,311,57476,519,2466,null,null,2131,null,null,2152,null,null,1817,null,null,3083,null,null,355,null,null,1154,null,null,1204,null,null,1133,null,null,981,null,null,844,null,null,1312,null,null,443,null,null,311,null,null,519,null,null,38
7498865,6749,3637926,4066,2900236,4033,264460,7656,2635776,8973,737690,1084,329515,5739,408175,5678,3860939,3954,2922003,3939,33788,2696,2888215,4603,938936,1237,11303,1497,927633,1724,6749,null,null,4066,null,null,4033,null,null,7656,null,null,8973,null,null,1084,null,null,5739,null,null,5678,null,null,3954,null,null,3939,null,null,2696,null,null,4603,null,null,1237,null,null,1497,null,null,1724,null,null,39
2217651,4467,1081481,2960,857558,2913,97342,4543,760216,5086,223923,737,109672,2559,114251,2483,1136170,2626,859075,2507,14657,1679,844418,3187,277095,779,3680,648,273415,1004,4467,null,null,2960,null,null,2913,null,null,4543,null,null,5086,null,null,737,null,null,2559,null,null,2483,null,null,2626,null,null,2507,null,null,1679,null,null,3187,null,null,779,null,null,648,null,null,1004,null,null,40
2774858,7870,1357347,4742,1062767,4532,110375,4520,952392,6217,294580,1116,142166,4236,152414,4106,1417511,4622,1069441,4623,14399,1686,1055042,5036,348070,1039,5453,1238,342617,1610,7870,null,null,4742,null,null,4532,null,null,4520,null,null,6217,null,null,1116,null,null,4236,null,null,4106,null,null,4622,null,null,4623,null,null,1686,null,null,5036,null,null,1039,null,null,1238,null,null,1610,null,null,41
8362163,9559,4055093,5947,3178550,5891,262879,6538,2915671,7847,876543,1403,403282,5176,473261,5329,4307070,5670,3183949,5517,31794,2544,3152155,5788,1123121,1299,11261,1737,1111860,2188,9559,null,null,5947,null,null,5891,null,null,6538,null,null,7847,null,null,1403,null,null,5176,null,null,5329,null,null,5670,null,null,5517,null,null,2544,null,null,5788,null,null,1299,null,null,1737,null,null,2188,null,null,42
697735,3813,329345,2587,261056,2542,16831,2092,244225,3082,68289,589,30735,1633,37554,1717,368390,2168,276119,2157,2154,715,273965,2155,92271,812,662,337,91609,873,3813,null,null,2587,null,null,2542,null,null,2092,null,null,3082,null,null,589,null,null,1633,null,null,1717,null,null,2168,null,null,2157,null,null,715,null,null,2155,null,null,812,null,null,337,null,null,873,null,null,44
2653203,6461,1282390,4271,988923,4302,111201,4934,877722,6579,293467,905,139885,3853,153582,3694,1370813,3525,1018737,3538,17405,2283,1001332,3964,352076,1010,3207,752,348869,1292,6461,null,null,4271,null,null,4302,null,null,4934,null,null,6579,null,null,905,null,null,3853,null,null,3694,null,null,3525,null,null,3538,null,null,2283,null,null,3964,null,null,1010,null,null,752,null,null,1292,null,null,45
570134,1738,284199,1353,224049,1357,25662,2017,198387,2378,60150,35,26926,2025,33224,2020,285935,1219,214784,1178,3853,798,210931,1437,71151,396,1131,480,70020,640,1738,null,null,1353,null,null,1357,null,null,2017,null,null,2378,null,null,35,null,null,2025,null,null,2020,null,null,1219,null,null,1178,null,null,798,null,null,1437,null,null,396,null,null,480,null,null,640,null,null,46
4081572,5743,1968117,4227,1562132,4204,153642,6726,1408490,8371,405985,888,176537,4356,229448,4228,2113455,3201,1608618,3099,22955,2257,1585663,3707,504837,966,5128,1055,499709,1452,5743,null,null,4227,null,null,4204,null,null,6726,null,null,8371,null,null,888,null,null,4356,null,null,4228,null,null,3201,null,null,3099,null,null,2257,null,null,3707,null,null,966,null,null,1055,null,null,1452,null,null,47
15392502,26626,7566659,15429,6321081,15087,536431,13722,5784650,20026,1245578,4151,533561,7805,712017,8109,7825843,15747,6293603,15542,85239,4910,6208364,16503,1532240,4757,18415,2029,1513825,5389,26626,null,null,15429,null,null,15087,null,null,13722,null,null,20026,null,null,4151,null,null,7805,null,null,8109,null,null,15747,null,null,15542,null,null,4910,null,null,16503,null,null,4757,null,null,2029,null,null,5389,null,null,48
1857739,6153,921508,3781,781609,3783,49504,3471,732105,5416,139899,731,58017,2808,81882,2923,936231,3745,774309,3495,5470,1176,768839,3723,161922,1220,1454,536,160468,1397,6153,null,null,3781,null,null,3783,null,null,3471,null,null,5416,null,null,731,null,null,2808,null,null,2923,null,null,3745,null,null,3495,null,null,1176,null,null,3723,null,null,1220,null,null,536,null,null,1397,null,null,49
481097,818,234409,700,184015,702,13288,1437,170727,1612,50394,168,19990,1236,30404,1214,246688,812,186335,768,2313,587,184022,995,60353,360,694,342,59659,468,818,null,null,700,null,null,702,null,null,1437,null,null,1612,null,null,168,null,null,1236,null,null,1214,null,null,812,null,null,768,null,null,587,null,null,995,null,null,360,null,null,342,null,null,468,null,null,50
4467399,8950,2160753,6591,1729854,6820,233503,6566,1496351,8613,430899,1376,204063,4116,226836,4206,2306646,5458,1775712,5465,45077,3216,1730635,6978,530934,1345,8370,1169,522564,1718,8950,null,null,6591,null,null,6820,null,null,6566,null,null,8613,null,null,1376,null,null,4116,null,null,4206,null,null,5458,null,null,5465,null,null,3216,null,null,6978,null,null,1345,null,null,1169,null,null,1718,null,null,51
4375297,8937,2158095,5879,1722041,5760,210946,7291,1511095,10065,436054,1074,218396,5188,217658,5155,2217202,5288,1703968,4935,30826,2753,1673142,5466,513234,1289,8960,1359,504274,1795,8937,null,null,5879,null,null,5760,null,null,7291,null,null,10065,null,null,1074,null,null,5188,null,null,5155,null,null,5288,null,null,4935,null,null,2753,null,null,5466,null,null,1289,null,null,1359,null,null,1795,null,null,53
1363087,2234,663054,1667,513583,1622,54089,3178,459494,3378,149471,470,69435,2810,80036,2839,700033,1348,519309,1212,5080,1072,514229,1654,180724,773,1850,611,178874,963,2234,null,null,1667,null,null,1622,null,null,3178,null,null,3378,null,null,470,null,null,2810,null,null,2839,null,null,1348,null,null,1212,null,null,1072,null,null,1654,null,null,773,null,null,611,null,null,963,null,null,54
3940449,4917,1944584,3247,1547063,3094,118145,4326,1428918,5255,397521,719,174274,3109,223247,3177,1995865,2971,1515054,2921,16670,1516,1498384,3249,480811,880,4754,699,476057,1169,4917,null,null,3247,null,null,3094,null,null,4326,null,null,5255,null,null,719,null,null,3109,null,null,3177,null,null,2971,null,null,2921,null,null,1516,null,null,3249,null,null,880,null,null,699,null,null,1169,null,null,55
413328,1996,209470,1643,169655,1579,21242,2203,148413,2353,39815,392,19719,1490,20096,1471,203858,954,159071,876,3578,1250,155493,1493,44787,557,616,358,44171,662,1996,null,null,1643,null,null,1579,null,null,2203,null,null,2353,null,null,392,null,null,1490,null,null,1471,null,null,954,null,null,876,null,null,1250,null,null,1493,null,null,557,null,null,358,null,null,662,null,null,56
1822668,15711,838806,9341,641066,8323,20717,2345,620349,8269,197740,4036,37929,2855,159811,4189,983862,9354,721153,8253,1258,596,719895,8301,262709,3880,907,364,261802,3882,15711,null,null,9341,null,null,8323,null,null,2345,null,null,8269,null,null,4036,null,null,2855,null,null,4189,null,null,9354,null,null,8253,null,null,596,null,null,8301,null,null,3880,null,null,364,null,null,3882,null,null,72
2622986,4767,1264414,3104,990856,3117,104729,6294,886127,7137,273558,1048,127115,3488,146443,3751,1358572,2946,1012277,2732,13478,1884,998799,3253,346295,1088,4529,965,341766,1461,4767,null,null,3104,null,null,3117,null,null,6294,null,null,7137,null,null,1048,null,null,3488,null,null,3751,null,null,2946,null,null,2732,null,null,1884,null,null,3253,null,null,1088,null,null,965,null,null,1461,null,null,01
364706,2782,190940,1859,161021,1860,31157,2983,129864,3129,29919,245,15552,1092,14367,1105,173766,1655,145638,1629,5971,1279,139667,1839,28128,241,330,198,27798,324,2782,null,null,1859,null,null,1860,null,null,2983,null,null,3129,null,null,245,null,null,1092,null,null,1105,null,null,1655,null,null,1629,null,null,1279,null,null,1839,null,null,241,null,null,198,null,null,324,null,null,02
4129249,14818,2024492,8300,1537426,7944,158741,6417,1378685,10154,487066,1608,236944,5074,250122,5135,2104757,9412,1541625,8810,24665,2608,1516960,8679,563132,1953,8063,1078,555069,2264,14818,null,null,8300,null,null,7944,null,null,6417,null,null,10154,null,null,1608,null,null,5074,null,null,5135,null,null,9412,null,null,8810,null,null,2608,null,null,8679,null,null,1953,null,null,1078,null,null,2264,null,null,04
1793669,3828,871455,2556,681077,2432,71018,4261,610059,5124,190378,871,88436,3260,101942,3361,922214,2413,687206,2358,8579,1421,678627,2893,235008,970,2173,562,232835,1166,3828,null,null,2556,null,null,2432,null,null,4261,null,null,5124,null,null,871,null,null,3260,null,null,3361,null,null,2413,null,null,2358,null,null,1421,null,null,2893,null,null,970,null,null,562,null,null,1166,null,null,05
18318427,39348,9060689,22521,7363978,21355,474610,10898,6889368,24704,1696711,4884,664206,8712,1032505,10255,9257738,22278,7182055,21557,66515,4448,7115540,22242,2075683,6649,22526,1965,2053157,7018,39348,null,null,22521,null,null,21355,null,null,10898,null,null,24704,null,null,4884,null,null,8712,null,null,10255,null,null,22278,null,null,21557,null,null,4448,null,null,22242,null,null,6649,null,null,1965,null,null,7018,null,null,06
3630730,9037,1800842,6101,1490189,6076,153457,4140,1336732,7793,310653,1430,144780,3841,165873,4050,1829888,5345,1461845,5313,25773,2298,1436072,5603,368043,1699,4724,923,363319,1995,9037,null,null,6101,null,null,6076,null,null,4140,null,null,7793,null,null,1430,null,null,3841,null,null,4050,null,null,5345,null,null,5313,null,null,2298,null,null,5603,null,null,1699,null,null,923,null,null,1995,null,null,08
2213650,9022,1061096,5610,838326,5392,52822,3311,785504,5791,222770,1028,91454,3033,131316,2948,1152554,4718,863526,4359,5888,960,857638,4579,289028,994,3225,900,285803,1339,9022,null,null,5610,null,null,5392,null,null,3311,null,null,5791,null,null,1028,null,null,3033,null,null,2948,null,null,4718,null,null,4359,null,null,960,null,null,4579,null,null,994,null,null,900,null,null,1339,null,null,09
533188,3272,256023,2151,194860,1997,16695,1896,178165,2423,61163,564,29548,2022,31615,1919,277165,1586,202401,1464,2722,1118,199679,1949,74764,474,1073,462,73691,745,3272,null,null,2151,null,null,1997,null,null,1896,null,null,2423,null,null,564,null,null,2022,null,null,1919,null,null,1586,null,null,1464,null,null,1118,null,null,1949,null,null,474,null,null,462,null,null,745,null,null,10
242161,2718,120030,2080,106671,1995,5274,1214,101397,2347,13359,334,3718,815,9641,873,122131,1452,107386,1339,1254,523,106132,1470,14745,642,177,180,14568,645,2718,null,null,2080,null,null,1995,null,null,1214,null,null,2347,null,null,334,null,null,815,null,null,873,null,null,1452,null,null,1339,null,null,523,null,null,1470,null,null,642,null,null,180,null,null,645,null,null,11
