C15002G_001E,C15002G_001M,C15002G_002E,C15002G_002M,C15002G_003E,C15002G_003M,C15002G_004E,C15002G_004M,C15002G_005E,C15002G_005M,C15002G_006E,C15002G_006M,C15002G_007E,C15002G_007M,C15002G_008E,C15002G_008M,C15002G_009E,C15002G_009M,C15002G_010E,C15002G_010M,C15002G_011E,C15002G_011M,C15002G_001M,C15002G_001EA,C15002G_001MA,C15002G_002M,C15002G_002EA,C15002G_002MA,C15002G_003M,C15002G_003EA,C15002G_003MA,C15002G_004M,C15002G_004EA,C15002G_004MA,C15002G_005M,C15002G_005EA,C15002G_005MA,C15002G_006M,C15002G_006EA,C15002G_006MA,C15002G_007M,C15002G_007EA,C15002G_007MA,C15002G_008M,C15002G_008EA,C15002G_008MA,C15002G_009M,C15002G_009EA,C15002G_009MA,C15002G_010M,C15002G_010EA,C15002G_010MA,C15002G_011M,C15002G_011EA,C15002G_011MA,state
93924,7672,47414,4511,10450,2267,13929,2067,9999,1947,13036,1778,46510,4622,9790,1932,8792,1851,11772,1761,16156,2390,7672,null,null,4511,null,null,2267,null,null,2067,null,null,1947,null,null,1778,null,null,4622,null,null,1932,null,null,1851,null,null,1761,null,null,2390,null,null,25
117743,4811,57160,3273,6516,1104,14366,1738,22060,2315,14218,1924,60583,3299,8242,1308,14529,1894,21549,1979,16263,1727,4811,null,null,3273,null,null,1104,null,null,1738,null,null,2315,null,null,1924,null,null,3299,null,null,1308,null,null,1894,null,null,1979,null,null,1727,null,null,26
52638,3831,24725,2524,2205,770,6320,1307,8616,1297,7584,1378,27913,2536,2494,797,4865,1008,11067,1768,9487,1294,3831,null,null,2524,null,null,770,null,null,1307,null,null,1297,null,null,1378,null,null,2536,null,null,797,null,null,1008,null,null,1768,null,null,1294,null,null,27
12921,2334,5601,1289,1149,553,1008,440,2402,1073,1042,539,7320,1484,1539,575,1270,537,2716,912,1795,673,2334,null,null,1289,null,null,553,null,null,440,null,null,1073,null,null,539,null,null,1484,null,null,575,null,null,537,null,null,912,null,null,673,null,null,28
55755,3667,27225,2553,4114,926,7120,1309,9331,1565,6660,1255,28530,2600,2986,894,5799,1133,12578,1945,7167,1412,3667,null,null,2553,null,null,926,null,null,1309,null,null,1565,null,null,1255,null,null,2600,null,null,894,null,null,1133,null,null,1945,null,null,1412,null,null,29
14677,1984,7815,1429,673,385,1831,672,3576,1011,1735,596,6862,1244,519,367,2140,778,2261,845,1942,587,1984,null,null,1429,null,null,385,null,null,672,null,null,1011,null,null,596,null,null,1244,null,null,367,null,null,778,null,null,845,null,null,587,null,null,30
15954,2304,8543,1501,1048,532,1808,710,3302,860,2385,781,7411,1191,1086,579,1174,564,2568,645,2583,781,2304,null,null,1501,null,null,532,null,null,710,null,null,860,null,null,781,null,null,1191,null,null,579,null,null,564,null,null,645,null,null,781,null,null,31
60209,4573,29023,3040,3292,1010,8918,1776,11100,1765,5713,1042,31186,2921,2831,950,6900,1274,13378,2134,8077,1389,4573,null,null,3040,null,null,1010,null,null,1776,null,null,1765,null,null,1042,null,null,2921,null,null,950,null,null,1274,null,null,2134,null,null,1389,null,null,32
12732,1972,6203,1533,770,424,1950,872,1375,597,2108,886,6529,1224,532,339,2193,910,1729,557,2075,704,1972,null,null,1533,null,null,424,null,null,872,null,null,597,null,null,886,null,null,1224,null,null,339,null,null,910,null,null,557,null,null,704,null,null,33
100429,6084,45811,3681,6609,1221,11870,2119,11744,2103,15588,1697,54618,3905,6801,1399,12392,2013,15159,2106,20266,2140,6084,null,null,3681,null,null,1221,null,null,2119,null,null,2103,null,null,1697,null,null,3905,null,null,1399,null,null,2013,null,null,2106,null,null,2140,null,null,34
32229,3871,16546,2495,1475,487,3756,1189,6281,1562,5034,1136,15683,2278,1277,599,3037,899,5935,1557,5434,1025,3871,null,null,2495,null,null,487,null,null,1189,null,null,1562,null,null,1136,null,null,2278,null,null,599,null,null,899,null,null,1557,null,null,1025,null,null,35
278812,13222,130747,8389,26612,3391,31673,4423,31632,3003,40830,3812,148065,6652,27005,2698,26938,2778,38831,2982,55291,3666,13222,null,null,8389,null,null,3391,null,null,4423,null,null,3003,null,null,3812,null,null,6652,null,null,2698,null,null,2778,null,null,2982,null,null,3666,null,null,36
96833,5760,40730,3684,5333,1489,9237,1630,14692,1993,11468,1764,56103,4018,5449,1065,9265,1391,23862,2723,17527,2503,5760,null,null,3684,null,null,1489,null,null,1630,null,null,1993,null,null,1764,null,null,4018,null,null,1065,null,null,1391,null,null,2723,null,null,2503,null,null,37
9269,1422,4584,1029,118,136,1001,643,2525,957,940,513,4685,1113,223,150,1397,689,1880,691,1185,510,1422,null,null,1029,null,null,136,null,null,643,null,null,957,null,null,513,null,null,1113,null,null,150,null,null,689,null,null,691,null,null,510,null,null,38
111047,5630,53838,3646,6624,1138,17498,2388,17293,2102,12423,1958,57209,3959,6451,1349,13766,1874,22874,2097,14118,1809,5630,null,null,3646,null,null,1138,null,null,2388,null,null,2102,null,null,1958,null,null,3959,null,null,1349,null,null,1874,null,null,2097,null,null,1809,null,null,39
139495,4615,66992,2722,8502,1042,23726,1772,21532,1930,13232,1368,72503,3235,10030,1398,20602,1801,23636,1984,18235,1884,4615,null,null,2722,null,null,1042,null,null,1772,null,null,1930,null,null,1368,null,null,3235,null,null,1398,null,null,1801,null,null,1984,null,null,1884,null,null,40
94607,4749,45185,3451,6624,1421,10993,1645,17790,2555,9778,1783,49422,3371,5308,1327,9049,1303,20125,2455,14940,1550,4749,null,null,3451,null,null,1421,null,null,1645,null,null,2555,null,null,1783,null,null,3371,null,null,1327,null,null,1303,null,null,2455,null,null,1550,null,null,41
123968,6776,60676,4167,7627,1649,20302,2649,17076,2300,15671,2588,63292,4022,7310,1406,14436,2053,20740,2570,20806,2092,6776,null,null,4167,null,null,1649,null,null,2649,null,null,2300,null,null,2588,null,null,4022,null,null,1406,null,null,2053,null,null,2570,null,null,2092,null,null,42
13890,2348,6354,1532,808,500,1321,769,2150,921,2075,818,7536,1572,1560,822,1113,490,3136,968,1727,609,2348,null,null,1532,null,null,500,null,null,769,null,null,921,null,null,818,null,null,1572,null,null,822,null,null,490,null,null,968,null,null,609,null,null,44
37118,3660,17712,2392,3573,1079,3799,865,6718,1607,3622,929,19406,2511,2557,943,4216,1095,8292,1592,4341,1148,3660,null,null,2392,null,null,1079,null,null,865,null,null,1607,null,null,929,null,null,2511,null,null,943,null,null,1095,null,null,1592,null,null,1148,null,null,45
6833,1402,3315,910,572,384,1127,577,1267,598,349,341,3518,898,478,339,635,327,1820,752,585,301,1402,null,null,910,null,null,384,null,null,577,null,null,598,null,null,341,null,null,898,null,null,339,null,null,327,null,null,752,null,null,301,null,null,46
54509,4383,25017,2671,3104,632,6279,1308,7947,1699,7687,1427,29492,2847,3933,979,6788,1255,11510,1982,7261,1484,4383,null,null,2671,null,null,632,null,null,1308,null,null,1699,null,null,1427,null,null,2847,null,null,979,null,null,1255,null,null,1982,null,null,1484,null,null,47
305263,11631,146507,7783,19899,2535,30425,3126,50619,3928,45564,3406,158756,6602,21277,2701,31543,3266,55305,3811,50631,4033,11631,null,null,7783,null,null,2535,null,null,3126,null,null,3928,null,null,3406,null,null,6602,null,null,2701,null,null,3266,null,null,3811,null,null,4033,null,null,48
29006,2781,15023,1941,1719,705,2929,854,5218,1187,5157,1126,13983,1873,1114,606,2996,744,4804,1122,5069,902,2781,null,null,1941,null,null,705,null,null,854,null,null,1187,null,null,1126,null,null,1873,null,null,606,null,null,744,null,null,1122,null,null,902,null,null,49
6116,1101,3085,681,282,214,879,389,1043,364,881,478,3031,777,146,168,578,251,1311,532,996,358,1101,null,null,681,null,null,214,null,null,389,null,null,364,null,null,478,null,null,777,null,null,168,null,null,251,null,null,532,null,null,358,null,null,50
119162,6460,56869,4181,5807,1283,11143,1891,15860,2244,24059,2565,62293,4333,6092,1433,8949,1649,20344,2527,26908,2950,6460,null,null,4181,null,null,1283,null,null,1891,null,null,2244,null,null,2565,null,null,4333,null,null,1433,null,null,1649,null,null,2527,null,null,2950,null,null,51
176551,7402,87910,4458,8925,1530,22172,1982,33706,3025,23107,2252,88641,5200,7955,1832,17958,2896,35206,3071,27522,2673,7402,null,null,4458,null,null,1530,null,null,1982,null,null,3025,null,null,2252,null,null,5200,null,null,1832,null,null,2896,null,null,3071,null,null,2673,null,null,53
11557,1871,5111,1268,1159,738,1301,558,1538,553,1113,577,6446,1174,610,472,1819,588,2261,836,1756,559,1871,null,null,1268,null,null,738,null,null,558,null,null,553,null,null,577,null,null,1174,null,null,472,null,null,588,null,null,836,null,null,559,null,null,54
44569,2941,21190,2184,2129,641,5506,1001,7553,1300,6002,1064,23379,2283,2892,834,5707,1237,7803,1431,6977,1235,2941,null,null,2184,null,null,641,null,null,1001,null,null,1300,null,null,1064,null,null,2283,null,null,834,null,null,1237,null,null,1431,null,null,1235,null,null,55
7234,1349,3551,862,4,9,1260,477,1510,705,777,503,3683,996,439,283,1136,606,1526,720,582,333,1349,null,null,862,null,null,9,null,null,477,null,null,705,null,null,503,null,null,996,null,null,283,null,null,606,null,null,720,null,null,333,null,null,56
99688,6674,50122,4076,13774,2288,15414,2085,11641,1957,9293,1592,49566,3988,9540,2068,13511,1817,12545,1740,13970,2193,6674,null,null,4076,null,null,2288,null,null,2085,null,null,1957,null,null,1592,null,null,3988,null,null,2068,null,null,1817,null,null,1740,null,null,2193,null,null,72
34811,2930,17248,1901,2186,736,4775,1158,5569,1046,4718,937,17563,1999,2716,990,3256,849,6035,1246,5556,1156,2930,null,null,1901,null,null,736,null,null,1158,null,null,1046,null,null,937,null,null,1999,null,null,990,null,null,849,null,null,1246,null,null,1156,null,null,01
24878,2384,11801,1491,1193,701,4082,1015,4391,1044,2135,670,13077,1506,375,232,3042,850,5614,1070,4046,964,2384,null,null,1491,null,null,701,null,null,1015,null,null,1044,null,null,670,null,null,1506,null,null,232,null,null,850,null,null,1070,null,null,964,null,null,02
99128,6784,50815,4020,6128,1300,13000,2014,18714,2381,12973,1841,48313,4340,5713,1356,10978,2342,18349,2190,13273,1634,6784,null,null,4020,null,null,1300,null,null,2014,null,null,2381,null,null,1841,null,null,4340,null,null,1356,null,null,2342,null,null,2190,null,null,1634,null,null,04
31719,3115,15171,2076,2444,912,4823,1049,5364,1195,2540,629,16548,1976,2432,858,5180,1191,5402,1081,3534,864,3115,null,null,2076,null,null,912,null,null,1049,null,null,1195,null,null,629,null,null,1976,null,null,858,null,null,1191,null,null,1081,null,null,864,null,null,05
839888,15182,408765,9782,46170,3471,84292,4738,144650,5409,133653,5457,431123,9483,46574,3881,69699,5052,161620,5358,153230,5382,15182,null,null,9782,null,null,3471,null,null,4738,null,null,5409,null,null,5457,null,null,9483,null,null,3881,null,null,5052,null,null,5358,null,null,5382,null,null,06
78818,4155,40602,3271,3781,1125,7239,1440,15350,1877,14232,1713,38216,2896,3113,790,7185,1540,13006,1605,14912,1804,4155,null,null,3271,null,null,1125,null,null,1440,null,null,1877,null,null,1713,null,null,2896,null,null,790,null,null,1540,null,null,1605,null,null,1804,null,null,08
43553,4308,21714,2666,2530,709,7101,1574,5544,1377,6539,1379,21839,2699,2344,774,5120,1200,7296,1702,7079,1295,4308,null,null,2666,null,null,709,null,null,1574,null,null,1377,null,null,1379,null,null,2699,null,null,774,null,null,1200,null,null,1702,null,null,1295,null,null,09
9596,1569,3021,768,816,443,648,315,650,273,907,507,6575,1297,757,503,1673,636,2406,907,1739,724,1569,null,null,768,null,null,443,null,null,315,null,null,273,null,null,507,null,null,1297,null,null,503,null,null,636,null,null,907,null,null,724,null,null,10
9884,1784,4025,985,178,182,348,229,732,390,2767,793,5859,1126,208,168,376,241,685,366,4590,919,1784,null,null,985,null,null,182,null,null,229,null,null,390,null,null,793,null,null,1126,null,null,168,null,null,241,null,null,366,null,null,919,null,null,11
