C01001E_001E,C01001E_001M,C01001E_002E,C01001E_002M,C01001E_003E,C01001E_003M,C01001E_004E,C01001E_004M,C01001E_005E,C01001E_005M,C01001E_006E,C01001E_006M,C01001E_007E,C01001E_007M,C01001E_008E,C01001E_008M,C01001E_009E,C01001E_009M,C01001E_001M,C01001E_001EA,C01001E_001MA,C01001E_002M,C01001E_002EA,C01001E_002MA,C01001E_003M,C01001E_003EA,C01001E_003MA,C01001E_004M,C01001E_004EA,C01001E_004MA,C01001E_005M,C01001E_005EA,C01001E_005MA,C01001E_006M,C01001E_006EA,C01001E_006MA,C01001E_007M,C01001E_007EA,C01001E_007MA,C01001E_008M,C01001E_008EA,C01001E_008MA,C01001E_009M,C01001E_009EA,C01001E_009MA,state
20240,1777,10168,1172,3247,1012,6175,561,746,109,10072,889,3060,687,6345,455,667,206,1777,null,null,1172,null,null,1012,null,null,561,null,null,109,null,null,889,null,null,687,null,null,455,null,null,206,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
3754,1973,1914,1257,580,447,1195,1032,139,182,1840,980,620,494,1041,564,179,201,1973,null,null,1257,null,null,447,null,null,1032,null,null,182,null,null,980,null,null,494,null,null,564,null,null,201,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
9236,2216,4055,1191,1054,483,2768,854,233,193,5181,1393,878,424,3737,1064,566,461,2216,null,null,1191,null,null,483,null,null,854,null,null,193,null,null,1393,null,null,424,null,null,1064,null,null,461,null,null,36
6081,1112,3194,888,410,257,2784,921,0,203,2887,835,640,356,2207,687,40,65,1112,null,null,888,null,null,257,null,null,921,null,null,203,null,null,835,null,null,356,null,null,687,null,null,65,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
4031,1045,1933,841,369,265,1350,821,214,202,2098,705,593,369,1165,504,340,181,1045,null,null,841,null,null,265,null,null,821,null,null,202,null,null,705,null,null,369,null,null,504,null,null,181,null,null,39
6143,1280,2659,648,805,360,1848,501,6,10,3484,883,777,284,2508,761,199,165,1280,null,null,648,null,null,360,null,null,501,null,null,10,null,null,883,null,null,284,null,null,761,null,null,165,null,null,40
14823,2564,7704,1702,2210,766,5019,1345,475,430,7119,1596,1425,568,5035,1214,659,373,2564,null,null,1702,null,null,766,null,null,1345,null,null,430,null,null,1596,null,null,568,null,null,1214,null,null,373,null,null,41
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
2561,1146,1177,681,370,348,676,484,131,163,1384,708,444,340,752,429,188,182,1146,null,null,681,null,null,348,null,null,484,null,null,163,null,null,708,null,null,340,null,null,429,null,null,182,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
4798,2309,2461,1423,847,573,1525,1092,89,144,2337,1150,933,553,974,605,430,305,2309,null,null,1423,null,null,573,null,null,1092,null,null,144,null,null,1150,null,null,553,null,null,605,null,null,305,null,null,47
25228,3345,10338,1946,3745,1123,6218,1315,375,321,14890,2174,2737,729,11458,1866,695,421,3345,null,null,1946,null,null,1123,null,null,1315,null,null,321,null,null,2174,null,null,729,null,null,1866,null,null,421,null,null,48
29463,2219,16005,1262,5167,832,10654,1199,184,232,13458,1807,4661,1188,7661,877,1136,598,2219,null,null,1262,null,null,832,null,null,1199,null,null,232,null,null,1807,null,null,1188,null,null,877,null,null,598,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
8379,2085,3861,1489,683,549,2917,1052,261,234,4518,1283,826,608,3324,964,368,272,2085,null,null,1489,null,null,549,null,null,1052,null,null,234,null,null,1283,null,null,608,null,null,964,null,null,272,null,null,51
48182,3043,22814,1835,6983,1439,14586,1214,1245,572,25368,2200,6595,1392,17503,1518,1270,632,3043,null,null,1835,null,null,1439,null,null,1214,null,null,572,null,null,2200,null,null,1392,null,null,1518,null,null,632,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
9937,849,5466,635,2142,389,3218,523,106,131,4471,622,1439,376,2797,371,235,139,849,null,null,635,null,null,389,null,null,523,null,null,131,null,null,622,null,null,376,null,null,371,null,null,139,null,null,02
14140,1489,7369,1027,1704,508,5062,882,603,319,6771,923,1796,624,4333,633,642,429,1489,null,null,1027,null,null,508,null,null,882,null,null,319,null,null,923,null,null,624,null,null,633,null,null,429,null,null,04
8808,1292,4679,886,2263,542,2416,560,0,197,4129,720,1418,574,2711,470,0,197,1292,null,null,886,null,null,542,null,null,560,null,null,197,null,null,720,null,null,574,null,null,470,null,null,197,null,null,05
150521,6036,74397,3595,17880,2372,50015,2391,6502,982,76124,3900,15595,2183,53413,2752,7116,895,6036,null,null,3595,null,null,2372,null,null,2391,null,null,982,null,null,3900,null,null,2183,null,null,2752,null,null,895,null,null,06
8325,1566,4431,1113,1205,597,2947,799,279,204,3894,875,918,381,2933,607,43,74,1566,null,null,1113,null,null,597,null,null,799,null,null,204,null,null,875,null,null,381,null,null,607,null,null,74,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
