B16005E_001E,B16005E_001M,B16005E_002E,B16005E_002M,B16005E_003E,B16005E_003M,B16005E_004E,B16005E_004M,B16005E_005E,B16005E_005M,B16005E_006E,B16005E_006M,B16005E_007E,B16005E_007M,B16005E_008E,B16005E_008M,B16005E_009E,B16005E_009M,B16005E_010E,B16005E_010M,B16005E_011E,B16005E_011M,B16005E_001M,B16005E_001EA,B16005E_001MA,B16005E_002M,B16005E_002EA,B16005E_002MA,B16005E_003M,B16005E_003EA,B16005E_003MA,B16005E_004M,B16005E_004EA,B16005E_004MA,B16005E_005M,B16005E_005EA,B16005E_005MA,B16005E_006M,B16005E_006EA,B16005E_006MA,B16005E_007M,B16005E_007EA,B16005E_007MA,B16005E_008M,B16005E_008EA,B16005E_008MA,B16005E_009M,B16005E_009EA,B16005E_009MA,B16005E_010M,B16005E_010EA,B16005E_010MA,B16005E_011M,B16005E_011EA,B16005E_011MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
2434,1146,1932,1033,1551,912,381,311,266,277,115,111,502,350,399,311,103,96,69,80,34,59,1146,null,null,1033,null,null,912,null,null,311,null,null,277,null,null,111,null,null,350,null,null,311,null,null,96,null,null,80,null,null,59,null,null,24
3562,1470,2753,1353,2259,1289,494,436,408,361,86,144,809,430,223,188,586,383,586,383,0,203,1470,null,null,1353,null,null,1289,null,null,436,null,null,361,null,null,144,null,null,430,null,null,188,null,null,383,null,null,383,null,null,203,null,null,25
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
7637,1707,3891,1429,2920,1121,971,655,712,587,259,224,3746,1448,408,439,3338,1509,2049,1177,1289,974,1707,null,null,1429,null,null,1121,null,null,655,null,null,587,null,null,224,null,null,1448,null,null,439,null,null,1509,null,null,1177,null,null,974,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
18827,1523,17029,1524,12510,1398,4519,1399,4023,1346,496,283,1798,684,975,502,823,443,415,284,408,246,1523,null,null,1524,null,null,1398,null,null,1399,null,null,1346,null,null,283,null,null,684,null,null,502,null,null,443,null,null,284,null,null,246,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
8530,2056,6117,1642,4605,1258,1512,706,1064,572,448,359,2413,986,993,617,1420,700,887,544,533,379,2056,null,null,1642,null,null,1258,null,null,706,null,null,572,null,null,359,null,null,986,null,null,617,null,null,700,null,null,544,null,null,379,null,null,36
5729,1102,4573,1075,3106,912,1467,812,1249,761,218,241,1156,468,421,384,735,255,228,210,507,189,1102,null,null,1075,null,null,912,null,null,812,null,null,761,null,null,241,null,null,468,null,null,384,null,null,255,null,null,210,null,null,189,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
5326,1181,2822,995,2054,863,768,416,393,277,375,288,2504,638,397,305,2107,632,557,465,1550,192,1181,null,null,995,null,null,863,null,null,416,null,null,277,null,null,288,null,null,638,null,null,305,null,null,632,null,null,465,null,null,192,null,null,40
14337,2627,10399,2187,8091,1857,2308,976,2098,942,210,179,3938,1245,175,216,3763,1260,2142,852,1621,863,2627,null,null,2187,null,null,1857,null,null,976,null,null,942,null,null,179,null,null,1245,null,null,216,null,null,1260,null,null,852,null,null,863,null,null,41
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
4020,1732,3120,1376,2013,954,1107,1038,591,490,516,642,900,655,159,238,741,616,579,602,162,103,1732,null,null,1376,null,null,954,null,null,1038,null,null,490,null,null,642,null,null,655,null,null,238,null,null,616,null,null,602,null,null,103,null,null,47
23705,3196,20394,3084,14635,2295,5759,1794,5045,1738,714,411,3311,1193,461,355,2850,1141,1158,535,1692,902,3196,null,null,3084,null,null,2295,null,null,1794,null,null,1738,null,null,411,null,null,1193,null,null,355,null,null,1141,null,null,535,null,null,902,null,null,48
26569,1954,19613,2212,14042,2405,5571,1871,5290,1773,281,213,6956,1607,2160,1113,4796,1311,3154,1191,1642,744,1954,null,null,2212,null,null,2405,null,null,1871,null,null,1773,null,null,213,null,null,1607,null,null,1113,null,null,1311,null,null,1191,null,null,744,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
7885,1793,6997,1679,5760,1603,1237,614,1138,596,99,143,888,519,208,296,680,407,486,334,194,230,1793,null,null,1679,null,null,1603,null,null,614,null,null,596,null,null,143,null,null,519,null,null,296,null,null,407,null,null,334,null,null,230,null,null,51
44998,2785,33725,3330,21745,3263,11980,2662,9699,2295,2281,959,11273,2551,2071,1384,9202,2323,4993,1351,4209,1466,2785,null,null,3330,null,null,3263,null,null,2662,null,null,2295,null,null,959,null,null,2551,null,null,1384,null,null,2323,null,null,1351,null,null,1466,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
9020,781,7899,771,4647,1424,3252,1437,3019,1413,233,198,1121,616,75,103,1046,595,533,303,513,473,781,null,null,771,null,null,1424,null,null,1437,null,null,1413,null,null,198,null,null,616,null,null,103,null,null,595,null,null,303,null,null,473,null,null,02
13037,1442,10583,1434,7031,1274,3552,1142,3281,1141,271,224,2454,1010,341,307,2113,957,1650,932,463,406,1442,null,null,1434,null,null,1274,null,null,1142,null,null,1141,null,null,224,null,null,1010,null,null,307,null,null,957,null,null,932,null,null,406,null,null,04
7219,1027,2542,1178,669,544,1873,1078,1189,517,684,718,4677,898,185,355,4492,925,792,628,3700,664,1027,null,null,1178,null,null,544,null,null,1078,null,null,517,null,null,718,null,null,898,null,null,355,null,null,925,null,null,628,null,null,664,null,null,05
141222,5774,102130,5295,69325,5074,32805,3078,27197,2866,5608,1353,39092,3599,3874,944,35218,3526,23516,3266,11702,1759,5774,null,null,5295,null,null,5074,null,null,3078,null,null,2866,null,null,1353,null,null,3599,null,null,944,null,null,3526,null,null,3266,null,null,1759,null,null,06
7583,1390,5647,1508,4006,1342,1641,553,1217,533,424,179,1936,698,259,226,1677,750,1072,526,605,439,1390,null,null,1508,null,null,1342,null,null,553,null,null,533,null,null,179,null,null,698,null,null,226,null,null,750,null,null,526,null,null,439,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
