B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,B05003A_001M,B05003A_001EA,B05003A_001MA,B05003A_002M,B05003A_002EA,B05003A_002MA,B05003A_003M,B05003A_003EA,B05003A_003MA,B05003A_004M,B05003A_004EA,B05003A_004MA,B05003A_005M,B05003A_005EA,B05003A_005MA,B05003A_006M,B05003A_006EA,B05003A_006MA,B05003A_007M,B05003A_007EA,B05003A_007MA,B05003A_008M,B05003A_008EA,B05003A_008MA,B05003A_009M,B05003A_009EA,B05003A_009MA,B05003A_010M,B05003A_010EA,B05003A_010MA,B05003A_011M,B05003A_011EA,B05003A_011MA,B05003A_012M,B05003A_012EA,B05003A_012MA,B05003A_013M,B05003A_013EA,B05003A_013MA,B05003A_014M,B05003A_014EA,B05003A_014MA,B05003A_015M,B05003A_015EA,B05003A_015MA,B05003A_016M,B05003A_016EA,B05003A_016MA,B05003A_017M,B05003A_017EA,B05003A_017MA,B05003A_018M,B05003A_018EA,B05003A_018MA,B05003A_019M,B05003A_019EA,B05003A_019MA,B05003A_020M,B05003A_020EA,B05003A_020MA,B05003A_021M,B05003A_021EA,B05003A_021MA,B05003A_022M,B05003A_022EA,B05003A_022MA,B05003A_023M,B05003A_023EA,B05003A_023MA,state
1257120,1699,614633,1239,117216,733,116881,762,335,256,186,196,149,157,497417,848,486363,1791,11054,1758,7177,1145,3877,1117,642487,1420,112075,837,111529,957,546,456,87,143,459,434,530412,939,515635,2100,14777,2127,8500,1199,6277,1536,1699,null,null,1239,null,null,733,null,null,762,null,null,256,null,null,196,null,null,157,null,null,848,null,null,1791,null,null,1758,null,null,1145,null,null,1117,null,null,1420,null,null,837,null,null,957,null,null,456,null,null,143,null,null,434,null,null,939,null,null,2100,null,null,2127,null,null,1199,null,null,1536,null,null,23
3397255,13132,1665633,7651,340915,4170,330248,4312,10667,2591,1754,875,8913,2334,1324718,5320,1200399,5329,124319,6575,55709,3683,68610,5688,1731622,7070,333140,3238,324387,3353,8753,2068,2417,1088,6336,1778,1398482,4970,1265785,6481,132697,6807,68164,4602,64533,5194,13132,null,null,7651,null,null,4170,null,null,4312,null,null,2591,null,null,875,null,null,2334,null,null,5320,null,null,5329,null,null,6575,null,null,3683,null,null,5688,null,null,7070,null,null,3238,null,null,3353,null,null,2068,null,null,1088,null,null,1778,null,null,4970,null,null,6481,null,null,6807,null,null,4602,null,null,5194,null,null,24
5350175,16114,2588218,9359,504080,4900,491353,5102,12727,2453,4040,1155,8687,2111,2084138,6504,1867376,7382,216762,7960,119803,5906,96959,6405,2761957,8554,481248,4241,471488,4588,9760,1914,2652,751,7108,1868,2280709,5705,2045310,7093,235399,8193,143568,6103,91831,5164,16114,null,null,9359,null,null,4900,null,null,5102,null,null,2453,null,null,1155,null,null,2111,null,null,6504,null,null,7382,null,null,7960,null,null,5906,null,null,6405,null,null,8554,null,null,4241,null,null,4588,null,null,1914,null,null,751,null,null,1868,null,null,5705,null,null,7093,null,null,8193,null,null,6103,null,null,5164,null,null,25
7793481,10297,3851724,5837,810532,3374,795842,4069,14690,2379,4370,981,10320,2196,3041192,3778,2872428,7212,168764,7192,96909,4495,71855,5136,3941757,5718,774618,3839,762236,4253,12382,2091,3450,1090,8932,2015,3167139,3299,3000396,5868,166743,6018,99090,4900,67653,4582,10297,null,null,5837,null,null,3374,null,null,4069,null,null,2379,null,null,981,null,null,2196,null,null,3778,null,null,7212,null,null,7192,null,null,4495,null,null,5136,null,null,5718,null,null,3839,null,null,4253,null,null,2091,null,null,1090,null,null,2015,null,null,3299,null,null,5868,null,null,6018,null,null,4900,null,null,4582,null,null,26
4596566,6383,2282256,4209,491459,2474,486641,2705,4818,1243,1764,698,3054,981,1790797,2733,1733477,3880,57320,4187,25198,2816,32122,2727,2314310,4026,465751,2470,463082,2620,2669,736,666,291,2003,716,1848559,2622,1793602,3954,54957,3725,27886,2461,27071,2500,6383,null,null,4209,null,null,2474,null,null,2705,null,null,1243,null,null,698,null,null,981,null,null,2733,null,null,3880,null,null,4187,null,null,2816,null,null,2727,null,null,4026,null,null,2470,null,null,2620,null,null,736,null,null,291,null,null,716,null,null,2622,null,null,3954,null,null,3725,null,null,2461,null,null,2500,null,null,27
1748734,4269,860987,4015,191175,3143,190005,3308,1170,536,318,263,852,493,669812,2338,656144,2148,13668,2142,4975,1299,8693,1893,887747,3838,182174,3404,180868,3339,1306,716,431,321,875,624,705573,1614,696006,1959,9567,1607,4327,947,5240,1244,4269,null,null,4015,null,null,3143,null,null,3308,null,null,536,null,null,263,null,null,493,null,null,2338,null,null,2148,null,null,2142,null,null,1299,null,null,1893,null,null,3838,null,null,3404,null,null,3339,null,null,716,null,null,321,null,null,624,null,null,1614,null,null,1959,null,null,1607,null,null,947,null,null,1244,null,null,28
5011507,6627,2470151,4146,548529,2752,544338,2811,4191,1030,1595,597,2596,768,1921622,2628,1868896,4386,52726,4107,25601,2700,27125,2974,2541356,4440,519134,2892,515607,3139,3527,1143,1056,475,2471,1027,2022222,2842,1969119,4227,53103,4060,28131,2630,24972,2785,6627,null,null,4146,null,null,2752,null,null,2811,null,null,1030,null,null,597,null,null,768,null,null,2628,null,null,4386,null,null,4107,null,null,2700,null,null,2974,null,null,4440,null,null,2892,null,null,3139,null,null,1143,null,null,475,null,null,1027,null,null,2842,null,null,4227,null,null,4060,null,null,2630,null,null,2785,null,null,29
927374,1791,468373,1905,97821,1364,97538,1370,283,233,251,231,32,38,370552,1249,364851,1538,5701,1160,1731,514,3970,1002,459001,1522,89903,1280,89336,1318,567,368,102,123,465,357,369098,1092,361552,1708,7546,1480,4584,1210,2962,824,1791,null,null,1905,null,null,1364,null,null,1370,null,null,233,null,null,231,null,null,38,null,null,1249,null,null,1538,null,null,1160,null,null,514,null,null,1002,null,null,1522,null,null,1280,null,null,1318,null,null,368,null,null,123,null,null,357,null,null,1092,null,null,1708,null,null,1480,null,null,1210,null,null,824,null,null,30
1674863,6044,834050,4025,201137,2473,198786,2455,2351,865,145,138,2206,857,632913,2446,598191,2670,34722,3076,10703,1741,24019,2946,840813,3586,190634,2133,188402,2241,2232,710,702,463,1530,566,650179,2254,619506,2325,30673,2758,12813,2371,17860,2079,6044,null,null,4025,null,null,2473,null,null,2455,null,null,865,null,null,138,null,null,857,null,null,2446,null,null,2670,null,null,3076,null,null,1741,null,null,2946,null,null,3586,null,null,2133,null,null,2241,null,null,710,null,null,463,null,null,566,null,null,2254,null,null,2325,null,null,2758,null,null,2371,null,null,2079,null,null,31
1966690,14686,994058,9242,206292,4829,201564,5009,4728,1097,748,384,3980,1026,787766,6431,665326,6079,122440,5389,52309,3815,70131,4416,972632,7678,199007,4556,193113,4469,5894,1367,694,391,5200,1324,773625,4929,644387,6225,129238,5849,60378,4431,68860,4574,14686,null,null,9242,null,null,4829,null,null,5009,null,null,1097,null,null,384,null,null,1026,null,null,6431,null,null,6079,null,null,5389,null,null,3815,null,null,4416,null,null,7678,null,null,4556,null,null,4469,null,null,1367,null,null,391,null,null,1324,null,null,4929,null,null,6225,null,null,5849,null,null,4431,null,null,4574,null,null,32
1247155,2813,619134,2010,121935,1331,120965,1342,970,567,144,240,826,509,497199,1374,477061,2425,20138,2290,11226,1649,8912,1601,628021,1827,112651,1042,111615,1187,1036,610,489,330,547,420,515370,1276,495666,2467,19704,2073,12143,1526,7561,1408,2813,null,null,2010,null,null,1331,null,null,1342,null,null,567,null,null,240,null,null,509,null,null,1374,null,null,2425,null,null,2290,null,null,1649,null,null,1601,null,null,1827,null,null,1042,null,null,1187,null,null,610,null,null,330,null,null,420,null,null,1276,null,null,2467,null,null,2073,null,null,1526,null,null,1408,null,null,33
6090908,22621,2985225,12385,637397,5900,615659,5772,21738,2741,6119,1219,15619,2424,2347828,9421,1933105,9231,414723,10498,230811,7543,183912,9536,3105683,12906,605656,6023,584987,6332,20669,2875,4778,1250,15891,2480,2500027,8820,2057013,10115,443014,11033,265008,8447,178006,7144,22621,null,null,12385,null,null,5900,null,null,5772,null,null,2741,null,null,1219,null,null,2424,null,null,9421,null,null,9231,null,null,10498,null,null,7543,null,null,9536,null,null,12906,null,null,6023,null,null,6332,null,null,2875,null,null,1250,null,null,2480,null,null,8820,null,null,10115,null,null,11033,null,null,8447,null,null,7144,null,null,34
1539634,11642,761031,7438,173427,4228,168079,4342,5348,1412,1067,840,4281,1302,587604,5383,527128,6456,60476,4658,23193,2563,37283,3919,778603,6951,167993,4153,163739,4488,4254,1328,521,406,3733,1316,610610,4778,543927,6021,66683,4373,28686,2879,37997,3616,11642,null,null,7438,null,null,4228,null,null,4342,null,null,1412,null,null,840,null,null,1302,null,null,5383,null,null,6456,null,null,4658,null,null,2563,null,null,3919,null,null,6951,null,null,4153,null,null,4488,null,null,1328,null,null,406,null,null,1316,null,null,4778,null,null,6021,null,null,4373,null,null,2879,null,null,3616,null,null,35
12530463,29879,6150332,16238,1228009,8892,1195196,8582,32813,3684,11523,2540,21290,2915,4922323,11609,4216245,13492,706078,15114,403064,10757,303014,11493,6380131,17506,1168769,7785,1138884,7931,29885,4193,10437,2142,19448,2989,5211362,12931,4450679,14041,760683,13809,470309,9491,290374,10733,29879,null,null,16238,null,null,8892,null,null,8582,null,null,3684,null,null,2540,null,null,2915,null,null,11609,null,null,13492,null,null,15114,null,null,10757,null,null,11493,null,null,17506,null,null,7785,null,null,7931,null,null,4193,null,null,2142,null,null,2989,null,null,12931,null,null,14041,null,null,13809,null,null,9491,null,null,10733,null,null,36
6989065,14006,3427711,9040,727536,5878,715712,5750,11824,2264,2437,741,9387,2034,2700175,5459,2524051,6819,176124,7840,66137,5339,109987,5323,3561354,8224,692209,5121,680713,5307,11496,2098,2439,1031,9057,1886,2869145,5211,2706873,6857,162272,6569,64696,4411,97576,4488,14006,null,null,9040,null,null,5878,null,null,5750,null,null,2264,null,null,741,null,null,2034,null,null,5459,null,null,6819,null,null,7840,null,null,5339,null,null,5323,null,null,8224,null,null,5121,null,null,5307,null,null,2098,null,null,1031,null,null,1886,null,null,5211,null,null,6857,null,null,6569,null,null,4411,null,null,4488,null,null,37
660919,3096,338460,2032,71690,1092,71097,1020,593,464,155,222,438,386,266770,1749,262251,1821,4519,868,2358,774,2161,549,322459,1877,68969,1136,68894,1123,75,91,35,56,40,66,253490,1147,249588,1121,3902,962,1983,585,1919,881,3096,null,null,2032,null,null,1092,null,null,1020,null,null,464,null,null,222,null,null,386,null,null,1749,null,null,1821,null,null,868,null,null,774,null,null,549,null,null,1877,null,null,1136,null,null,1123,null,null,91,null,null,56,null,null,66,null,null,1147,null,null,1121,null,null,962,null,null,585,null,null,881,null,null,38
9476221,11069,4655770,6439,1011419,3838,1002557,4358,8862,2072,3727,1124,5135,1688,3644351,3857,3540345,6578,104006,5638,60800,3978,43206,4149,4820451,6695,958685,4224,952164,4728,6521,1572,2670,996,3851,1300,3861766,3885,3752718,6054,109048,5023,69068,3553,39980,3558,11069,null,null,6439,null,null,3838,null,null,4358,null,null,2072,null,null,1124,null,null,1688,null,null,3857,null,null,6578,null,null,5638,null,null,3978,null,null,4149,null,null,6695,null,null,4224,null,null,4728,null,null,1572,null,null,996,null,null,1300,null,null,3885,null,null,6054,null,null,5023,null,null,3553,null,null,3558,null,null,39
2841467,7869,1406212,4418,315211,2833,312494,2894,2717,811,589,337,2128,769,1091001,2815,1038224,3181,52777,3041,14265,1798,38512,3033,1435255,4682,297414,3234,293810,3340,3604,993,649,366,2955,927,1137841,2635,1089840,2855,48001,2873,15068,1481,32933,2735,7869,null,null,4418,null,null,2833,null,null,2894,null,null,811,null,null,337,null,null,769,null,null,2815,null,null,3181,null,null,3041,null,null,1798,null,null,3033,null,null,4682,null,null,3234,null,null,3340,null,null,993,null,null,366,null,null,927,null,null,2635,null,null,2855,null,null,2873,null,null,1481,null,null,2735,null,null,40
3455810,13019,1705752,7256,346556,4433,341622,4619,4934,1465,677,454,4257,1328,1359196,4781,1262873,5074,96323,5330,40246,3221,56077,4771,1750058,7781,332277,4322,327293,4521,4984,1624,446,346,4538,1540,1417781,4591,1320525,6111,97256,5386,44915,3574,52341,4234,13019,null,null,7256,null,null,4433,null,null,4619,null,null,1465,null,null,454,null,null,1328,null,null,4781,null,null,5074,null,null,5330,null,null,3221,null,null,4771,null,null,7781,null,null,4322,null,null,4521,null,null,1624,null,null,346,null,null,1540,null,null,4591,null,null,6111,null,null,5386,null,null,3574,null,null,4234,null,null,41
10340877,15158,5071236,8890,1012258,4800,999196,4815,13062,2383,3456,1059,9606,2007,4058978,5734,3898052,7651,160926,7604,89072,5039,71854,5479,5269641,8412,961721,4655,949575,4608,12146,2365,3480,1113,8666,1801,4307920,5626,4140344,8260,167576,7479,99265,4989,68311,5524,15158,null,null,8890,null,null,4800,null,null,4815,null,null,2383,null,null,1059,null,null,2007,null,null,5734,null,null,7651,null,null,7604,null,null,5039,null,null,5479,null,null,8412,null,null,4655,null,null,4608,null,null,2365,null,null,1113,null,null,1801,null,null,5626,null,null,8260,null,null,7479,null,null,4989,null,null,5524,null,null,42
850105,6310,408384,3789,76551,1965,74548,2082,2003,911,857,607,1146,692,331833,2518,299209,3378,32624,2676,20170,2081,12454,1745,441721,3528,72891,2139,71161,2083,1730,653,551,408,1179,600,368830,2208,333409,3261,35421,2683,24162,2401,11259,1840,6310,null,null,3789,null,null,1965,null,null,2082,null,null,911,null,null,607,null,null,692,null,null,2518,null,null,3378,null,null,2676,null,null,2081,null,null,1745,null,null,3528,null,null,2139,null,null,2083,null,null,653,null,null,408,null,null,600,null,null,2208,null,null,3261,null,null,2683,null,null,2401,null,null,1840,null,null,44
3342552,9869,1641059,5937,340434,3832,336262,3678,4172,1413,1050,552,3122,1300,1300625,3941,1234202,4122,66423,4926,23542,2796,42881,3996,1701493,5970,326742,3825,321619,3992,5123,1644,345,419,4778,1543,1374751,3302,1313970,5031,60781,4188,26391,2653,34390,3004,9869,null,null,5937,null,null,3832,null,null,3678,null,null,1413,null,null,552,null,null,1300,null,null,3941,null,null,4122,null,null,4926,null,null,2796,null,null,3996,null,null,5970,null,null,3825,null,null,3992,null,null,1644,null,null,419,null,null,1543,null,null,3302,null,null,5031,null,null,4188,null,null,2653,null,null,3004,null,null,45
732939,2644,368736,1836,83533,1092,82893,1039,640,352,49,84,591,341,285203,1225,279741,1427,5462,1305,1759,633,3703,1101,364203,1845,77933,1189,77353,1174,580,430,0,157,580,430,286270,1183,281627,1293,4643,1126,2694,715,1949,715,2644,null,null,1836,null,null,1092,null,null,1039,null,null,352,null,null,84,null,null,341,null,null,1225,null,null,1427,null,null,1305,null,null,633,null,null,1101,null,null,1845,null,null,1189,null,null,1174,null,null,430,null,null,157,null,null,430,null,null,1183,null,null,1293,null,null,1126,null,null,715,null,null,715,null,null,46
5177478,9138,2542295,6367,559790,4312,551638,4291,8152,2505,1478,511,6674,2440,1982505,3151,1903117,4656,79388,4737,25139,3221,54249,3996,2635183,5758,520482,4063,513765,4570,6717,1953,1100,567,5617,1811,2114701,3145,2042722,5181,71979,5197,27816,3227,44163,4071,9138,null,null,6367,null,null,4312,null,null,4291,null,null,2505,null,null,511,null,null,2440,null,null,3151,null,null,4656,null,null,4737,null,null,3221,null,null,3996,null,null,5758,null,null,4063,null,null,4570,null,null,1953,null,null,567,null,null,1811,null,null,3145,null,null,5181,null,null,5197,null,null,3227,null,null,4071,null,null,47
20702709,41751,10304549,25253,2688520,15268,2601386,15932,87134,6223,11471,2174,75663,5915,7616029,15309,6254910,18534,1361119,18230,431620,11875,929499,17556,10398160,23551,2564734,13150,2475738,13357,88996,6663,13099,2069,75897,6160,7833426,15476,6506682,18543,1326744,20395,462468,12032,864276,18221,41751,null,null,25253,null,null,15268,null,null,15932,null,null,6223,null,null,2174,null,null,5915,null,null,15309,null,null,18534,null,null,18230,null,null,11875,null,null,17556,null,null,23551,null,null,13150,null,null,13357,null,null,6663,null,null,2069,null,null,6160,null,null,15476,null,null,18543,null,null,20395,null,null,12032,null,null,18221,null,null,48
2633283,10649,1322908,6306,397606,3771,394970,3745,2636,968,741,522,1895,833,925302,3766,874122,4208,51180,4043,23091,2748,28089,2822,1310375,5820,373889,3057,372018,3172,1871,760,337,226,1534,755,936486,3684,880344,3972,56142,4109,27284,2542,28858,3160,10649,null,null,6306,null,null,3771,null,null,3745,null,null,968,null,null,522,null,null,833,null,null,3766,null,null,4208,null,null,4043,null,null,2748,null,null,2822,null,null,5820,null,null,3057,null,null,3172,null,null,760,null,null,226,null,null,755,null,null,3684,null,null,3972,null,null,4109,null,null,2542,null,null,3160,null,null,49
589379,961,290228,781,55382,546,55091,511,291,283,277,283,14,25,234846,674,228202,1085,6644,961,4004,749,2640,657,299151,994,52407,720,51420,915,987,694,758,667,229,196,246744,800,237042,1575,9702,1319,5605,867,4097,1111,961,null,null,781,null,null,546,null,null,511,null,null,283,null,null,283,null,null,25,null,null,674,null,null,1085,null,null,961,null,null,749,null,null,657,null,null,994,null,null,720,null,null,915,null,null,694,null,null,667,null,null,196,null,null,800,null,null,1575,null,null,1319,null,null,867,null,null,1111,null,null,50
5707035,12066,2821717,8244,590922,4814,578731,5163,12191,2302,2891,882,9300,2172,2230795,5682,2055570,6655,175225,7129,85772,4787,89453,6083,2885318,7753,564649,4761,553597,4722,11052,1902,2387,830,8665,1617,2320669,4939,2131507,6647,189162,6847,97755,5455,91407,4233,12066,null,null,8244,null,null,4814,null,null,5163,null,null,2302,null,null,882,null,null,2172,null,null,5682,null,null,6655,null,null,7129,null,null,4787,null,null,6083,null,null,7753,null,null,4761,null,null,4722,null,null,1902,null,null,830,null,null,1617,null,null,4939,null,null,6647,null,null,6847,null,null,5455,null,null,4233,null,null,51
5516602,14010,2757081,8796,566971,5317,556024,5255,10947,2470,2429,771,8518,2222,2190110,5210,2025380,8190,164730,7263,78342,5244,86388,5064,2759521,8051,538992,4884,526939,5417,12053,2520,2426,737,9627,2390,2220529,5161,2046918,7613,173611,6653,93224,4482,80387,4764,14010,null,null,8796,null,null,5317,null,null,5255,null,null,2470,null,null,771,null,null,2222,null,null,5210,null,null,8190,null,null,7263,null,null,5244,null,null,5064,null,null,8051,null,null,4884,null,null,5417,null,null,2520,null,null,737,null,null,2390,null,null,5161,null,null,7613,null,null,6653,null,null,4482,null,null,4764,null,null,53
1704195,2452,837370,2352,173533,1778,173402,1774,131,134,45,78,86,112,663837,1636,657585,2232,6252,1660,2550,810,3702,1238,866825,2528,166743,2002,166197,1966,546,498,469,467,77,145,700082,1336,694078,1510,6004,1249,3797,937,2207,732,2452,null,null,2352,null,null,1778,null,null,1774,null,null,134,null,null,78,null,null,112,null,null,1636,null,null,2232,null,null,1660,null,null,810,null,null,1238,null,null,2528,null,null,2002,null,null,1966,null,null,498,null,null,467,null,null,145,null,null,1336,null,null,1510,null,null,1249,null,null,937,null,null,732,null,null,54
