C15010F_001E,C15010F_001M,C15010F_002E,C15010F_002M,C15010F_003E,C15010F_003M,C15010F_004E,C15010F_004M,C15010F_005E,C15010F_005M,C15010F_006E,C15010F_006M,C15010F_001M,C15010F_001EA,C15010F_001MA,C15010F_002M,C15010F_002EA,C15010F_002MA,C15010F_003M,C15010F_003EA,C15010F_003MA,C15010F_004M,C15010F_004EA,C15010F_004MA,C15010F_005M,C15010F_005EA,C15010F_005MA,C15010F_006M,C15010F_006EA,C15010F_006MA,state
6806,1464,3126,1183,597,332,1256,495,852,463,975,485,1464,null,null,1183,null,null,332,null,null,495,null,null,463,null,null,485,null,null,27
1689,729,320,362,504,328,311,270,185,191,369,342,729,null,null,362,null,null,328,null,null,270,null,null,191,null,null,342,null,null,28
5272,1139,1963,718,528,354,1228,615,766,601,787,355,1139,null,null,718,null,null,354,null,null,615,null,null,601,null,null,355,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
1425,526,623,325,98,98,250,221,94,106,360,261,526,null,null,325,null,null,98,null,null,221,null,null,106,null,null,261,null,null,31
11478,2061,2275,765,1064,617,4141,1267,1834,1050,2164,803,2061,null,null,765,null,null,617,null,null,1267,null,null,1050,null,null,803,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
37366,3547,12457,1827,3410,963,9525,1831,4328,1022,7646,1232,3547,null,null,1827,null,null,963,null,null,1831,null,null,1022,null,null,1232,null,null,34
15963,2557,4698,1411,1358,553,4891,1566,1778,504,3238,1115,2557,null,null,1411,null,null,553,null,null,1566,null,null,504,null,null,1115,null,null,35
145885,7386,42714,3360,11833,2060,35535,3784,16356,2440,39447,3753,7386,null,null,3360,null,null,2060,null,null,3784,null,null,2440,null,null,3753,null,null,36
15310,2769,6472,2037,1606,824,2524,884,1975,916,2733,899,2769,null,null,2037,null,null,824,null,null,884,null,null,916,null,null,899,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
7757,1787,2173,741,732,426,1752,816,628,371,2472,893,1787,null,null,741,null,null,426,null,null,816,null,null,371,null,null,893,null,null,39
3943,945,1412,499,342,210,566,246,807,504,816,439,945,null,null,499,null,null,210,null,null,246,null,null,504,null,null,439,null,null,40
7943,1478,2700,744,925,481,1199,528,791,438,2328,939,1478,null,null,744,null,null,481,null,null,528,null,null,438,null,null,939,null,null,41
13660,2206,5792,1417,1769,785,2017,743,1215,555,2867,1160,2206,null,null,1417,null,null,785,null,null,743,null,null,555,null,null,1160,null,null,42
4269,1414,1497,946,532,407,822,566,91,111,1327,705,1414,null,null,946,null,null,407,null,null,566,null,null,111,null,null,705,null,null,44
5665,1732,1184,890,465,459,1955,831,1211,746,850,698,1732,null,null,890,null,null,459,null,null,831,null,null,746,null,null,698,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
4292,1254,2567,1038,32,54,776,467,212,211,705,380,1254,null,null,1038,null,null,54,null,null,467,null,null,211,null,null,380,null,null,47
103614,8343,34413,4278,6610,1345,28054,3658,12589,2263,21948,3358,8343,null,null,4278,null,null,1345,null,null,3658,null,null,2263,null,null,3358,null,null,48
8724,1901,2769,1144,764,489,1568,728,2120,915,1503,789,1901,null,null,1144,null,null,489,null,null,728,null,null,915,null,null,789,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
22632,3396,8455,1789,1980,924,5488,1614,1134,677,5575,1625,3396,null,null,1789,null,null,924,null,null,1614,null,null,677,null,null,1625,null,null,51
19353,2555,7011,1219,1602,559,3725,1243,2447,1085,4568,1365,2555,null,null,1219,null,null,559,null,null,1243,null,null,1085,null,null,1365,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
5510,1137,1824,734,734,489,811,381,681,324,1460,644,1137,null,null,734,null,null,489,null,null,381,null,null,324,null,null,644,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
84130,6078,20604,2355,8495,1536,24385,3065,17122,2298,13524,2475,6078,null,null,2355,null,null,1536,null,null,3065,null,null,2298,null,null,2475,null,null,72
3977,1180,1631,787,311,341,508,409,740,459,787,605,1180,null,null,787,null,null,341,null,null,409,null,null,459,null,null,605,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
27217,2879,8302,1615,3190,1271,4820,1150,5001,1102,5904,1375,2879,null,null,1615,null,null,1271,null,null,1150,null,null,1102,null,null,1375,null,null,04
3740,1568,1878,897,343,362,921,560,204,159,394,515,1568,null,null,897,null,null,362,null,null,560,null,null,159,null,null,515,null,null,05
306001,11031,105496,6347,24263,2415,64346,4096,23797,2645,88099,5897,11031,null,null,6347,null,null,2415,null,null,4096,null,null,2645,null,null,5897,null,null,06
16011,2603,5323,1380,1502,518,4262,1148,1218,516,3706,1023,2603,null,null,1380,null,null,518,null,null,1148,null,null,516,null,null,1023,null,null,08
12917,2239,4362,1483,537,453,2128,782,1731,771,4159,1119,2239,null,null,1483,null,null,453,null,null,782,null,null,771,null,null,1119,null,null,09
1643,806,435,381,254,318,289,272,508,429,157,177,806,null,null,381,null,null,318,null,null,272,null,null,429,null,null,177,null,null,10
5210,1312,3233,955,141,167,558,461,0,203,1278,602,1312,null,null,955,null,null,167,null,null,461,null,null,203,null,null,602,null,null,11
