B11002G_001E,B11002G_001M,B11002G_002E,B11002G_002M,B11002G_003E,B11002G_003M,B11002G_004E,B11002G_004M,B11002G_005E,B11002G_005M,B11002G_006E,B11002G_006M,B11002G_007E,B11002G_007M,B11002G_008E,B11002G_008M,B11002G_009E,B11002G_009M,B11002G_010E,B11002G_010M,B11002G_011E,B11002G_011M,B11002G_012E,B11002G_012M,B11002G_001M,B11002G_001EA,B11002G_001MA,B11002G_002M,B11002G_002EA,B11002G_002MA,B11002G_003M,B11002G_003EA,B11002G_003MA,B11002G_004M,B11002G_004EA,B11002G_004MA,B11002G_005M,B11002G_005EA,B11002G_005MA,B11002G_006M,B11002G_006EA,B11002G_006MA,B11002G_007M,B11002G_007EA,B11002G_007MA,B11002G_008M,B11002G_008EA,B11002G_008MA,B11002G_009M,B11002G_009EA,B11002G_009MA,B11002G_010M,B11002G_010EA,B11002G_010MA,B11002G_011M,B11002G_011EA,B11002G_011MA,B11002G_012M,B11002G_012EA,B11002G_012MA,state
18761,3267,13920,3116,6327,2269,6311,2273,16,31,1913,1311,1408,992,505,512,5680,1797,5323,1785,357,242,4841,1481,3267,null,null,3116,null,null,2269,null,null,2273,null,null,31,null,null,1311,null,null,992,null,null,512,null,null,1797,null,null,1785,null,null,242,null,null,1481,null,null,23
118958,9487,98406,9172,66006,7860,63528,7408,2478,1472,9260,3027,8192,2596,1068,828,23140,4173,22020,4042,1120,528,20552,2675,9487,null,null,9172,null,null,7860,null,null,7408,null,null,1472,null,null,3027,null,null,2596,null,null,828,null,null,4173,null,null,4042,null,null,528,null,null,2675,null,null,24
137507,12478,111634,11619,56332,7877,55087,7619,1245,734,16970,4539,13201,3441,3769,2002,38332,6968,34548,6267,3784,1485,25873,4478,12478,null,null,11619,null,null,7877,null,null,7619,null,null,734,null,null,4539,null,null,3441,null,null,2002,null,null,6968,null,null,6267,null,null,1485,null,null,4478,null,null,25
198827,13065,158839,12957,89617,9059,88935,9020,682,436,21829,5265,18396,4211,3433,1573,47393,7509,43928,6890,3465,1178,39988,4208,13065,null,null,12957,null,null,9059,null,null,9020,null,null,436,null,null,5265,null,null,4211,null,null,1573,null,null,7509,null,null,6890,null,null,1178,null,null,4208,null,null,26
88901,7967,71042,7214,44305,5679,43884,5657,421,418,6555,2562,6231,2469,324,194,20182,4738,18432,4369,1750,772,17859,3079,7967,null,null,7214,null,null,5679,null,null,5657,null,null,418,null,null,2562,null,null,2469,null,null,194,null,null,4738,null,null,4369,null,null,772,null,null,3079,null,null,27
20025,4470,15741,4329,8759,3055,8759,3055,0,213,1589,1319,1401,1143,188,345,5393,2594,5236,2527,157,169,4284,1499,4470,null,null,4329,null,null,3055,null,null,3055,null,null,213,null,null,1319,null,null,1143,null,null,345,null,null,2594,null,null,2527,null,null,169,null,null,1499,null,null,28
87879,7160,68632,6939,42750,5781,42601,5808,149,161,6551,1939,5672,1684,879,466,19331,4276,17887,4210,1444,662,19247,3025,7160,null,null,6939,null,null,5781,null,null,5808,null,null,161,null,null,1939,null,null,1684,null,null,466,null,null,4276,null,null,4210,null,null,662,null,null,3025,null,null,29
23197,4043,18396,3687,13384,3172,13193,3073,191,289,2038,1183,1790,1049,248,194,2974,1345,2742,1254,232,254,4801,1560,4043,null,null,3687,null,null,3172,null,null,3073,null,null,289,null,null,1183,null,null,1049,null,null,194,null,null,1345,null,null,1254,null,null,254,null,null,1560,null,null,30
26614,4386,23066,4290,15766,4223,15645,4208,121,99,2868,1417,1913,771,955,833,4432,1609,3970,1410,462,298,3548,932,4386,null,null,4290,null,null,4223,null,null,4208,null,null,99,null,null,1417,null,null,771,null,null,833,null,null,1609,null,null,1410,null,null,298,null,null,932,null,null,31
93211,8861,78626,8715,41946,5503,41077,5478,869,487,8771,2618,7912,2359,859,490,27909,6824,25619,6538,2290,857,14585,2194,8861,null,null,8715,null,null,5503,null,null,5478,null,null,487,null,null,2618,null,null,2359,null,null,490,null,null,6824,null,null,6538,null,null,857,null,null,2194,null,null,32
15920,2752,10837,2658,5345,1800,5198,1762,147,191,2214,1416,1545,925,669,606,3278,1644,3154,1594,124,154,5083,1610,2752,null,null,2658,null,null,1800,null,null,1762,null,null,191,null,null,1416,null,null,925,null,null,606,null,null,1644,null,null,1594,null,null,154,null,null,1610,null,null,33
146767,10948,127892,10592,86347,7621,85750,7536,597,375,11286,4279,10205,3888,1081,740,30259,5769,28147,5486,2112,743,18875,2540,10948,null,null,10592,null,null,7621,null,null,7536,null,null,375,null,null,4279,null,null,3888,null,null,740,null,null,5769,null,null,5486,null,null,743,null,null,2540,null,null,34
44078,7030,36843,6528,23579,4905,23579,4905,0,195,4212,2204,3329,1553,883,811,9052,2721,8544,2613,508,287,7235,1551,7030,null,null,6528,null,null,4905,null,null,4905,null,null,195,null,null,2204,null,null,1553,null,null,811,null,null,2721,null,null,2613,null,null,287,null,null,1551,null,null,35
429923,23544,353977,23042,213550,16671,209797,16267,3753,1192,27942,6720,23962,6070,3980,1155,112485,12342,104522,11689,7963,1851,75946,5621,23544,null,null,23042,null,null,16671,null,null,16267,null,null,1192,null,null,6720,null,null,6070,null,null,1155,null,null,12342,null,null,11689,null,null,1851,null,null,5621,null,null,36
160633,10865,131521,10506,83741,9681,82971,9712,770,586,9673,3357,8416,2827,1257,798,38107,5662,36851,5414,1256,528,29112,3905,10865,null,null,10506,null,null,9681,null,null,9712,null,null,586,null,null,3357,null,null,2827,null,null,798,null,null,5662,null,null,5414,null,null,528,null,null,3905,null,null,37
13846,2856,9800,2739,7270,2502,7251,2494,19,32,723,584,660,540,63,82,1807,1082,1643,996,164,172,4046,1146,2856,null,null,2739,null,null,2502,null,null,2494,null,null,32,null,null,584,null,null,540,null,null,82,null,null,1082,null,null,996,null,null,172,null,null,1146,null,null,38
184674,11834,146520,11384,85261,9362,85033,9289,228,201,16192,3657,13170,2960,3022,1081,45067,6558,42338,6165,2729,983,38154,3984,11834,null,null,11384,null,null,9362,null,null,9289,null,null,201,null,null,3657,null,null,2960,null,null,1081,null,null,6558,null,null,6165,null,null,983,null,null,3984,null,null,39
231006,10292,192859,9998,130468,8680,129648,8583,820,395,18806,3647,16458,3171,2348,812,43585,4482,40787,4319,2798,651,38147,2682,10292,null,null,9998,null,null,8680,null,null,8583,null,null,395,null,null,3647,null,null,3171,null,null,812,null,null,4482,null,null,4319,null,null,651,null,null,2682,null,null,40
153545,11633,125371,11492,81566,9681,80036,9674,1530,919,12042,3768,9484,2783,2558,1393,31763,5916,27580,5084,4183,1779,28174,3782,11633,null,null,11492,null,null,9681,null,null,9674,null,null,919,null,null,3768,null,null,2783,null,null,1393,null,null,5916,null,null,5084,null,null,1779,null,null,3782,null,null,41
197486,13724,164235,13170,93022,10629,91489,10300,1533,1172,14231,3005,12520,2758,1711,510,56982,8395,53609,8099,3373,1061,33251,3919,13724,null,null,13170,null,null,10629,null,null,10300,null,null,1172,null,null,3005,null,null,2758,null,null,510,null,null,8395,null,null,8099,null,null,1061,null,null,3919,null,null,42
19723,4010,16536,3826,7692,2549,7692,2549,0,208,1184,810,963,706,221,200,7660,2422,7353,2315,307,284,3187,1347,4010,null,null,3826,null,null,2549,null,null,2549,null,null,208,null,null,810,null,null,706,null,null,200,null,null,2422,null,null,2315,null,null,284,null,null,1347,null,null,44
52986,7258,40623,6893,24363,5102,24213,5095,150,267,3237,1953,2850,1759,387,431,13023,4007,12442,3861,581,394,12363,2330,7258,null,null,6893,null,null,5102,null,null,5095,null,null,267,null,null,1953,null,null,1759,null,null,431,null,null,4007,null,null,3861,null,null,394,null,null,2330,null,null,45
11908,2714,9440,2473,5222,2128,4947,2067,275,345,1775,982,1526,891,249,182,2443,1136,2194,1074,249,173,2468,912,2714,null,null,2473,null,null,2128,null,null,2067,null,null,345,null,null,982,null,null,891,null,null,182,null,null,1136,null,null,1074,null,null,173,null,null,912,null,null,46
83704,7238,67197,6794,39387,5401,39038,5330,349,291,5587,1916,5285,1863,302,209,22223,4783,20962,4610,1261,840,16507,2550,7238,null,null,6794,null,null,5401,null,null,5330,null,null,291,null,null,1916,null,null,1863,null,null,209,null,null,4783,null,null,4610,null,null,840,null,null,2550,null,null,47
496692,24612,415509,23827,279615,19741,278072,19595,1543,715,40933,8112,36458,7175,4475,1456,94961,10779,88692,10118,6269,1872,81183,6931,24612,null,null,23827,null,null,19741,null,null,19595,null,null,715,null,null,8112,null,null,7175,null,null,1456,null,null,10779,null,null,10118,null,null,1872,null,null,6931,null,null,48
53039,6868,44761,6449,34144,5587,33840,5562,304,282,2951,2042,2600,1698,351,391,7666,2387,7108,2281,558,363,8278,2940,6868,null,null,6449,null,null,5587,null,null,5562,null,null,282,null,null,2042,null,null,1698,null,null,391,null,null,2387,null,null,2281,null,null,363,null,null,2940,null,null,49
6599,1246,3809,1023,2801,859,2801,859,0,151,403,381,314,296,89,93,605,356,569,332,36,60,2790,922,1246,null,null,1023,null,null,859,null,null,859,null,null,151,null,null,381,null,null,296,null,null,93,null,null,356,null,null,332,null,null,60,null,null,922,null,null,50
189336,12108,156519,11882,105746,9639,104241,9660,1505,881,14418,3911,11739,3143,2679,1055,36355,5692,33857,5080,2498,1131,32817,4251,12108,null,null,11882,null,null,9639,null,null,9660,null,null,881,null,null,3911,null,null,3143,null,null,1055,null,null,5692,null,null,5080,null,null,1131,null,null,4251,null,null,51
264824,13459,207712,12846,126477,11643,124612,11532,1865,784,20191,3946,17005,3291,3186,1038,61044,8845,53592,7321,7452,2607,57112,5211,13459,null,null,12846,null,null,11643,null,null,11532,null,null,784,null,null,3946,null,null,3291,null,null,1038,null,null,8845,null,null,7321,null,null,2607,null,null,5211,null,null,53
14377,2942,10011,2467,7003,1972,6725,1844,278,277,69,119,51,88,18,33,2939,1269,2781,1238,158,150,4366,1378,2942,null,null,2467,null,null,1972,null,null,1844,null,null,277,null,null,119,null,null,88,null,null,33,null,null,1269,null,null,1238,null,null,150,null,null,1378,null,null,54
71638,6487,54148,6042,31443,3843,31290,3845,153,111,6277,2330,5600,2114,677,354,16428,3432,15287,3221,1141,576,17490,2331,6487,null,null,6042,null,null,3843,null,null,3845,null,null,111,null,null,2330,null,null,2114,null,null,354,null,null,3432,null,null,3221,null,null,576,null,null,2331,null,null,55
11338,2690,8827,2464,5385,1975,5322,1958,63,99,1547,1203,1547,1203,0,197,1895,1076,1645,948,250,296,2511,1231,2690,null,null,2464,null,null,1975,null,null,1958,null,null,99,null,null,1203,null,null,1203,null,null,197,null,null,1076,null,null,948,null,null,296,null,null,1231,null,null,56
144690,10843,127896,11037,63922,7612,63821,7648,101,165,13101,2981,11692,2719,1409,606,50873,8443,48130,8222,2743,792,16794,2392,10843,null,null,11037,null,null,7612,null,null,7648,null,null,165,null,null,2981,null,null,2719,null,null,606,null,null,8443,null,null,8222,null,null,792,null,null,2392,null,null,72
59315,6577,50705,6602,32076,4889,31704,4865,372,364,2609,1264,2269,1052,340,484,16020,4351,15353,4250,667,419,8610,1593,6577,null,null,6602,null,null,4889,null,null,4865,null,null,364,null,null,1264,null,null,1052,null,null,484,null,null,4351,null,null,4250,null,null,419,null,null,1593,null,null,01
40836,5095,32837,5080,22828,4745,22705,4743,123,165,1607,860,1269,656,338,306,8402,2414,7812,2332,590,272,7999,1780,5095,null,null,5080,null,null,4745,null,null,4743,null,null,165,null,null,860,null,null,656,null,null,306,null,null,2414,null,null,2332,null,null,272,null,null,1780,null,null,02
166853,14203,138658,13356,85822,10470,85005,10462,817,465,14589,4400,12272,3674,2317,1109,38247,7251,33629,6534,4618,1359,28195,3459,14203,null,null,13356,null,null,10470,null,null,10462,null,null,465,null,null,4400,null,null,3674,null,null,1109,null,null,7251,null,null,6534,null,null,1359,null,null,3459,null,null,04
50494,6092,39959,5976,27829,5378,26329,4923,1500,1090,2076,1088,1910,966,166,250,10054,3375,9647,3317,407,341,10535,2175,6092,null,null,5976,null,null,5378,null,null,4923,null,null,1090,null,null,1088,null,null,966,null,null,250,null,null,3375,null,null,3317,null,null,341,null,null,2175,null,null,05
1236383,29909,1005542,28852,682131,25319,673004,24785,9127,1935,93877,10323,81011,9083,12866,2122,229534,14239,210594,13292,18940,2455,230841,11632,29909,null,null,28852,null,null,25319,null,null,24785,null,null,1935,null,null,10323,null,null,9083,null,null,2122,null,null,14239,null,null,13292,null,null,2455,null,null,11632,null,null,06
123033,9646,94770,9538,65062,8018,63863,7802,1199,920,10693,4122,9618,3586,1075,737,19015,3967,17478,3671,1537,676,28263,3549,9646,null,null,9538,null,null,8018,null,null,7802,null,null,920,null,null,4122,null,null,3586,null,null,737,null,null,3967,null,null,3671,null,null,676,null,null,3549,null,null,08
72919,8155,60897,7814,36996,6588,36513,6520,483,372,4911,1948,4516,1800,395,306,18990,4599,18214,4505,776,360,12022,2029,8155,null,null,7814,null,null,6588,null,null,6520,null,null,372,null,null,1948,null,null,1800,null,null,306,null,null,4599,null,null,4505,null,null,360,null,null,2029,null,null,09
18260,4106,16247,3948,9175,2754,8926,2733,249,233,188,242,131,159,57,94,6884,2871,6336,2726,548,461,2013,976,4106,null,null,3948,null,null,2754,null,null,2733,null,null,233,null,null,242,null,null,159,null,null,94,null,null,2871,null,null,2726,null,null,461,null,null,976,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
