B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,B17010I_001M,B17010I_001EA,B17010I_001MA,B17010I_002M,B17010I_002EA,B17010I_002MA,B17010I_003M,B17010I_003EA,B17010I_003MA,B17010I_004M,B17010I_004EA,B17010I_004MA,B17010I_005M,B17010I_005EA,B17010I_005MA,B17010I_006M,B17010I_006EA,B17010I_006MA,B17010I_007M,B17010I_007EA,B17010I_007MA,B17010I_008M,B17010I_008EA,B17010I_008MA,B17010I_009M,B17010I_009EA,B17010I_009MA,B17010I_010M,B17010I_010EA,B17010I_010MA,B17010I_011M,B17010I_011EA,B17010I_011MA,B17010I_012M,B17010I_012EA,B17010I_012MA,B17010I_013M,B17010I_013EA,B17010I_013MA,B17010I_014M,B17010I_014EA,B17010I_014MA,B17010I_015M,B17010I_015EA,B17010I_015MA,B17010I_016M,B17010I_016EA,B17010I_016MA,B17010I_017M,B17010I_017EA,B17010I_017MA,B17010I_018M,B17010I_018EA,B17010I_018MA,B17010I_019M,B17010I_019EA,B17010I_019MA,B17010I_020M,B17010I_020EA,B17010I_020MA,B17010I_021M,B17010I_021EA,B17010I_021MA,B17010I_022M,B17010I_022EA,B17010I_022MA,B17010I_023M,B17010I_023EA,B17010I_023MA,B17010I_024M,B17010I_024EA,B17010I_024MA,B17010I_025M,B17010I_025EA,B17010I_025MA,B17010I_026M,B17010I_026EA,B17010I_026MA,B17010I_027M,B17010I_027EA,B17010I_027MA,B17010I_028M,B17010I_028EA,B17010I_028MA,B17010I_029M,B17010I_029EA,B17010I_029MA,B17010I_030M,B17010I_030EA,B17010I_030MA,B17010I_031M,B17010I_031EA,B17010I_031MA,B17010I_032M,B17010I_032EA,B17010I_032MA,B17010I_033M,B17010I_033EA,B17010I_033MA,B17010I_034M,B17010I_034EA,B17010I_034MA,B17010I_035M,B17010I_035EA,B17010I_035MA,B17010I_036M,B17010I_036EA,B17010I_036MA,B17010I_037M,B17010I_037EA,B17010I_037MA,B17010I_038M,B17010I_038EA,B17010I_038MA,B17010I_039M,B17010I_039EA,B17010I_039MA,B17010I_040M,B17010I_040EA,B17010I_040MA,B17010I_041M,B17010I_041EA,B17010I_041MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
108542,3898,11327,1798,4373,1172,3695,1138,214,204,1573,713,1908,686,678,437,6954,1403,1587,704,1587,704,314,270,542,449,731,512,0,198,5367,1307,4987,1291,1011,770,1700,868,2276,850,380,344,97215,3816,64568,4148,43126,3296,7909,1524,12725,2002,22492,2438,21442,2416,32647,3008,14603,2055,8993,1524,1437,683,2869,932,4687,1112,5610,1139,18044,2415,12087,1882,1759,762,2222,803,8106,1654,5957,1190,3898,null,null,1798,null,null,1172,null,null,1138,null,null,204,null,null,713,null,null,686,null,null,437,null,null,1403,null,null,704,null,null,704,null,null,270,null,null,449,null,null,512,null,null,198,null,null,1307,null,null,1291,null,null,770,null,null,868,null,null,850,null,null,344,null,null,3816,null,null,4148,null,null,3296,null,null,1524,null,null,2002,null,null,2438,null,null,2416,null,null,3008,null,null,2055,null,null,1524,null,null,683,null,null,932,null,null,1112,null,null,1139,null,null,2415,null,null,1882,null,null,762,null,null,803,null,null,1654,null,null,1190,null,null,24
161026,4186,39419,2685,8093,1508,4415,1159,314,277,1947,822,2154,934,3678,987,31326,2690,3566,1231,2487,1091,876,660,429,407,1182,728,1079,679,27760,2848,25197,2625,3565,1069,8720,1631,12912,1565,2563,852,121607,4683,65459,3601,39703,2629,6973,1414,8263,1560,24467,2186,25756,2647,56148,4147,16700,2349,9577,1853,2586,959,1706,703,5285,1421,7123,1599,39448,3353,27471,2742,4675,1257,4338,1219,18458,2431,11977,1787,4186,null,null,2685,null,null,1508,null,null,1159,null,null,277,null,null,822,null,null,934,null,null,987,null,null,2690,null,null,1231,null,null,1091,null,null,660,null,null,407,null,null,728,null,null,679,null,null,2848,null,null,2625,null,null,1069,null,null,1631,null,null,1565,null,null,852,null,null,4683,null,null,3601,null,null,2629,null,null,1414,null,null,1560,null,null,2186,null,null,2647,null,null,4147,null,null,2349,null,null,1853,null,null,959,null,null,703,null,null,1421,null,null,1599,null,null,3353,null,null,2742,null,null,1257,null,null,1219,null,null,2431,null,null,1787,null,null,25
95346,2638,17947,1831,6200,1196,5362,1102,1026,558,2030,707,2306,677,838,420,11747,1812,2148,767,1706,641,198,232,892,429,616,417,442,352,9599,1618,9057,1634,2215,754,2994,901,3848,987,542,406,77399,3005,53833,3226,32487,2736,4270,959,8461,1624,19756,1950,21346,2013,23566,2486,8068,1313,4876,1140,853,501,965,514,3058,932,3192,899,15498,1871,10705,1611,2129,841,1671,676,6905,1138,4793,925,2638,null,null,1831,null,null,1196,null,null,1102,null,null,558,null,null,707,null,null,677,null,null,420,null,null,1812,null,null,767,null,null,641,null,null,232,null,null,429,null,null,417,null,null,352,null,null,1618,null,null,1634,null,null,754,null,null,901,null,null,987,null,null,406,null,null,3005,null,null,3226,null,null,2736,null,null,959,null,null,1624,null,null,1950,null,null,2013,null,null,2486,null,null,1313,null,null,1140,null,null,501,null,null,514,null,null,932,null,null,899,null,null,1871,null,null,1611,null,null,841,null,null,676,null,null,1138,null,null,925,null,null,26
52530,2254,8941,1460,3545,1106,3051,1034,388,331,1715,748,948,482,494,282,5396,1313,517,332,386,326,60,102,34,61,292,277,131,136,4879,1281,4715,1188,893,471,1888,725,1934,890,164,216,43589,2354,27070,2009,18684,1712,3597,906,4567,1071,10520,1508,8386,1275,16519,1831,7090,1317,5115,1089,936,536,1078,504,3101,911,1975,652,9429,1349,6597,1317,1277,645,1200,563,4120,1105,2832,678,2254,null,null,1460,null,null,1106,null,null,1034,null,null,331,null,null,748,null,null,482,null,null,282,null,null,1313,null,null,332,null,null,326,null,null,102,null,null,61,null,null,277,null,null,136,null,null,1281,null,null,1188,null,null,471,null,null,725,null,null,890,null,null,216,null,null,2354,null,null,2009,null,null,1712,null,null,906,null,null,1071,null,null,1508,null,null,1275,null,null,1831,null,null,1317,null,null,1089,null,null,536,null,null,504,null,null,911,null,null,652,null,null,1349,null,null,1317,null,null,645,null,null,563,null,null,1105,null,null,678,null,null,27
15264,1739,3603,1058,1885,680,1263,568,235,190,290,267,738,493,622,447,1718,780,246,239,246,239,20,35,142,209,84,119,0,213,1472,722,1399,736,0,213,394,409,1005,573,73,123,11661,1554,8301,1478,5640,1329,1345,824,1546,592,2749,944,2661,897,3360,1031,2031,847,1374,799,186,247,621,499,567,518,657,496,1329,623,1013,539,60,105,304,325,649,391,316,271,1739,null,null,1058,null,null,680,null,null,568,null,null,190,null,null,267,null,null,493,null,null,447,null,null,780,null,null,239,null,null,239,null,null,35,null,null,209,null,null,119,null,null,213,null,null,722,null,null,736,null,null,213,null,null,409,null,null,573,null,null,123,null,null,1554,null,null,1478,null,null,1329,null,null,824,null,null,592,null,null,944,null,null,897,null,null,1031,null,null,847,null,null,799,null,null,247,null,null,499,null,null,518,null,null,496,null,null,623,null,null,539,null,null,105,null,null,325,null,null,391,null,null,271,null,null,28
48202,2343,11560,1884,5284,1439,4312,1055,446,428,1908,692,1958,829,972,838,6276,1414,1096,601,818,565,56,70,79,103,683,537,278,269,5180,1303,4910,1293,600,321,1604,551,2706,1038,270,192,36642,2039,27618,1964,16808,2005,2429,919,3766,871,10613,1857,10810,1440,9024,1253,2910,988,2118,800,659,480,239,335,1220,631,792,494,6114,1041,3711,855,671,391,1024,532,2016,669,2403,722,2343,null,null,1884,null,null,1439,null,null,1055,null,null,428,null,null,692,null,null,829,null,null,838,null,null,1414,null,null,601,null,null,565,null,null,70,null,null,103,null,null,537,null,null,269,null,null,1303,null,null,1293,null,null,321,null,null,551,null,null,1038,null,null,192,null,null,2039,null,null,1964,null,null,2005,null,null,919,null,null,871,null,null,1857,null,null,1440,null,null,1253,null,null,988,null,null,800,null,null,480,null,null,335,null,null,631,null,null,494,null,null,1041,null,null,855,null,null,391,null,null,532,null,null,669,null,null,722,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
39666,2107,8087,1403,3288,1009,3113,1016,902,828,1454,600,757,424,175,172,4799,980,565,329,565,329,78,125,125,187,362,251,0,159,4234,946,3807,942,867,583,1421,528,1519,607,427,337,31579,2030,22671,1904,16386,1717,2096,653,4001,949,10289,1534,6285,1324,8908,1380,3485,923,2217,820,524,357,397,284,1296,733,1268,570,5423,1007,4526,1026,287,274,908,547,3331,845,897,412,2107,null,null,1403,null,null,1009,null,null,1016,null,null,828,null,null,600,null,null,424,null,null,172,null,null,980,null,null,329,null,null,329,null,null,125,null,null,187,null,null,251,null,null,159,null,null,946,null,null,942,null,null,583,null,null,528,null,null,607,null,null,337,null,null,2030,null,null,1904,null,null,1717,null,null,653,null,null,949,null,null,1534,null,null,1324,null,null,1380,null,null,923,null,null,820,null,null,357,null,null,284,null,null,733,null,null,570,null,null,1007,null,null,1026,null,null,274,null,null,547,null,null,845,null,null,412,null,null,31
163684,4156,27436,2648,9879,1585,7793,1431,370,279,3118,761,4305,1222,2086,654,17557,2120,2335,834,1975,793,133,172,714,444,1128,578,360,321,15222,1985,13860,1896,2359,777,4014,977,7487,1345,1362,644,136248,4141,89120,4168,55529,3374,6506,1283,12970,2230,36053,2428,33591,2418,47128,3105,20084,2288,11706,1598,1941,856,2552,1009,7213,1306,8378,1474,27044,2318,16983,1806,2388,735,2795,708,11800,1639,10061,1525,4156,null,null,2648,null,null,1585,null,null,1431,null,null,279,null,null,761,null,null,1222,null,null,654,null,null,2120,null,null,834,null,null,793,null,null,172,null,null,444,null,null,578,null,null,321,null,null,1985,null,null,1896,null,null,777,null,null,977,null,null,1345,null,null,644,null,null,4141,null,null,4168,null,null,3374,null,null,1283,null,null,2230,null,null,2428,null,null,2418,null,null,3105,null,null,2288,null,null,1598,null,null,856,null,null,1009,null,null,1306,null,null,1474,null,null,2318,null,null,1806,null,null,735,null,null,708,null,null,1639,null,null,1525,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
388219,5788,62713,4099,18032,2220,12859,2185,1072,610,5165,1329,6622,1729,5173,1031,44681,3434,7780,1130,6299,1163,934,578,2346,942,3019,844,1481,693,36901,3240,34386,3306,3960,1098,10057,1712,20369,2594,2515,790,325506,5231,210815,4942,119497,4954,17569,2173,24535,2429,77393,4129,91318,4159,114691,5093,39970,3193,22032,2556,4451,1272,4166,955,13415,2030,17938,2393,74721,4404,45012,3506,6958,1456,7069,1537,30985,3194,29709,2386,5788,null,null,4099,null,null,2220,null,null,2185,null,null,610,null,null,1329,null,null,1729,null,null,1031,null,null,3434,null,null,1130,null,null,1163,null,null,578,null,null,942,null,null,844,null,null,693,null,null,3240,null,null,3306,null,null,1098,null,null,1712,null,null,2594,null,null,790,null,null,5231,null,null,4942,null,null,4954,null,null,2173,null,null,2429,null,null,4129,null,null,4159,null,null,5093,null,null,3193,null,null,2556,null,null,1272,null,null,955,null,null,2030,null,null,2393,null,null,4404,null,null,3506,null,null,1456,null,null,1537,null,null,3194,null,null,2386,null,null,34
