B17010G_001E,B17010G_001M,B17010G_002E,B17010G_002M,B17010G_003E,B17010G_003M,B17010G_004E,B17010G_004M,B17010G_005E,B17010G_005M,B17010G_006E,B17010G_006M,B17010G_007E,B17010G_007M,B17010G_008E,B17010G_008M,B17010G_009E,B17010G_009M,B17010G_010E,B17010G_010M,B17010G_011E,B17010G_011M,B17010G_012E,B17010G_012M,B17010G_013E,B17010G_013M,B17010G_014E,B17010G_014M,B17010G_015E,B17010G_015M,B17010G_016E,B17010G_016M,B17010G_017E,B17010G_017M,B17010G_018E,B17010G_018M,B17010G_019E,B17010G_019M,B17010G_020E,B17010G_020M,B17010G_021E,B17010G_021M,B17010G_022E,B17010G_022M,B17010G_023E,B17010G_023M,B17010G_024E,B17010G_024M,B17010G_025E,B17010G_025M,B17010G_026E,B17010G_026M,B17010G_027E,B17010G_027M,B17010G_028E,B17010G_028M,B17010G_029E,B17010G_029M,B17010G_030E,B17010G_030M,B17010G_031E,B17010G_031M,B17010G_032E,B17010G_032M,B17010G_033E,B17010G_033M,B17010G_034E,B17010G_034M,B17010G_035E,B17010G_035M,B17010G_036E,B17010G_036M,B17010G_037E,B17010G_037M,B17010G_038E,B17010G_038M,B17010G_039E,B17010G_039M,B17010G_040E,B17010G_040M,B17010G_041E,B17010G_041M,B17010G_001M,B17010G_001EA,B17010G_001MA,B17010G_002M,B17010G_002EA,B17010G_002MA,B17010G_003M,B17010G_003EA,B17010G_003MA,B17010G_004M,B17010G_004EA,B17010G_004MA,B17010G_005M,B17010G_005EA,B17010G_005MA,B17010G_006M,B17010G_006EA,B17010G_006MA,B17010G_007M,B17010G_007EA,B17010G_007MA,B17010G_008M,B17010G_008EA,B17010G_008MA,B17010G_009M,B17010G_009EA,B17010G_009MA,B17010G_010M,B17010G_010EA,B17010G_010MA,B17010G_011M,B17010G_011EA,B17010G_011MA,B17010G_012M,B17010G_012EA,B17010G_012MA,B17010G_013M,B17010G_013EA,B17010G_013MA,B17010G_014M,B17010G_014EA,B17010G_014MA,B17010G_015M,B17010G_015EA,B17010G_015MA,B17010G_016M,B17010G_016EA,B17010G_016MA,B17010G_017M,B17010G_017EA,B17010G_017MA,B17010G_018M,B17010G_018EA,B17010G_018MA,B17010G_019M,B17010G_019EA,B17010G_019MA,B17010G_020M,B17010G_020EA,B17010G_020MA,B17010G_021M,B17010G_021EA,B17010G_021MA,B17010G_022M,B17010G_022EA,B17010G_022MA,B17010G_023M,B17010G_023EA,B17010G_023MA,B17010G_024M,B17010G_024EA,B17010G_024MA,B17010G_025M,B17010G_025EA,B17010G_025MA,B17010G_026M,B17010G_026EA,B17010G_026MA,B17010G_027M,B17010G_027EA,B17010G_027MA,B17010G_028M,B17010G_028EA,B17010G_028MA,B17010G_029M,B17010G_029EA,B17010G_029MA,B17010G_030M,B17010G_030EA,B17010G_030MA,B17010G_031M,B17010G_031EA,B17010G_031MA,B17010G_032M,B17010G_032EA,B17010G_032MA,B17010G_033M,B17010G_033EA,B17010G_033MA,B17010G_034M,B17010G_034EA,B17010G_034MA,B17010G_035M,B17010G_035EA,B17010G_035MA,B17010G_036M,B17010G_036EA,B17010G_036MA,B17010G_037M,B17010G_037EA,B17010G_037MA,B17010G_038M,B17010G_038EA,B17010G_038MA,B17010G_039M,B17010G_039EA,B17010G_039MA,B17010G_040M,B17010G_040EA,B17010G_040MA,B17010G_041M,B17010G_041EA,B17010G_041MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
27712,2510,3131,814,1128,578,666,416,0,198,313,270,353,313,462,396,2003,719,31,52,31,52,31,52,0,198,0,198,0,198,1972,708,1705,702,306,242,638,456,761,555,267,199,24581,2305,16897,1820,9485,1478,2170,592,1751,561,5564,1235,7412,1436,7684,1381,2673,913,1042,517,218,286,129,118,695,415,1631,768,5011,1046,3221,874,520,387,771,487,1930,669,1790,592,2510,null,null,814,null,null,578,null,null,416,null,null,198,null,null,270,null,null,313,null,null,396,null,null,719,null,null,52,null,null,52,null,null,52,null,null,198,null,null,198,null,null,198,null,null,708,null,null,702,null,null,242,null,null,456,null,null,555,null,null,199,null,null,2305,null,null,1820,null,null,1478,null,null,592,null,null,561,null,null,1235,null,null,1436,null,null,1381,null,null,913,null,null,517,null,null,286,null,null,118,null,null,415,null,null,768,null,null,1046,null,null,874,null,null,387,null,null,487,null,null,669,null,null,592,null,null,24
30514,3041,4475,1135,1135,530,788,408,39,70,285,283,464,303,347,295,3340,960,463,405,463,405,0,203,0,203,463,405,0,203,2877,943,2341,881,440,347,710,614,1191,583,536,308,26039,2821,14430,2087,8227,1536,1740,693,1652,704,4835,1153,6203,1267,11609,1776,3877,1042,2041,889,616,480,279,318,1146,631,1836,754,7732,1394,5473,1219,1107,451,1022,666,3344,809,2259,742,3041,null,null,1135,null,null,530,null,null,408,null,null,70,null,null,283,null,null,303,null,null,295,null,null,960,null,null,405,null,null,405,null,null,203,null,null,203,null,null,405,null,null,203,null,null,943,null,null,881,null,null,347,null,null,614,null,null,583,null,null,308,null,null,2821,null,null,2087,null,null,1536,null,null,693,null,null,704,null,null,1153,null,null,1267,null,null,1776,null,null,1042,null,null,889,null,null,480,null,null,318,null,null,631,null,null,754,null,null,1394,null,null,1219,null,null,451,null,null,666,null,null,809,null,null,742,null,null,25
44421,3230,7858,1395,2298,660,1631,622,400,325,386,263,845,480,667,333,5560,1161,500,327,301,286,0,168,0,168,301,286,199,146,5060,1091,4798,1041,1019,534,803,471,2976,997,262,239,36563,2932,23479,2404,11922,1611,2138,694,3081,864,6703,1246,11557,1547,13084,1887,5289,1266,3651,1091,789,599,502,366,2360,904,1638,540,7795,1328,5032,1074,681,431,740,349,3611,893,2763,873,3230,null,null,1395,null,null,660,null,null,622,null,null,325,null,null,263,null,null,480,null,null,333,null,null,1161,null,null,327,null,null,286,null,null,168,null,null,168,null,null,286,null,null,146,null,null,1091,null,null,1041,null,null,534,null,null,471,null,null,997,null,null,239,null,null,2932,null,null,2404,null,null,1611,null,null,694,null,null,864,null,null,1246,null,null,1547,null,null,1887,null,null,1266,null,null,1091,null,null,599,null,null,366,null,null,904,null,null,540,null,null,1328,null,null,1074,null,null,431,null,null,349,null,null,893,null,null,873,null,null,26
18497,1994,2115,721,510,293,459,298,0,149,435,295,24,28,51,79,1605,628,281,184,199,164,42,73,30,48,127,136,82,99,1324,576,1271,563,164,101,258,172,849,493,53,64,16382,1784,10836,1428,6680,1122,1850,744,1559,481,3271,794,4156,902,5546,1199,1417,612,992,520,168,179,41,63,783,491,425,277,4129,1106,3317,1076,586,364,572,375,2159,828,812,354,1994,null,null,721,null,null,293,null,null,298,null,null,149,null,null,295,null,null,28,null,null,79,null,null,628,null,null,184,null,null,164,null,null,73,null,null,48,null,null,136,null,null,99,null,null,576,null,null,563,null,null,101,null,null,172,null,null,493,null,null,64,null,null,1784,null,null,1428,null,null,1122,null,null,744,null,null,481,null,null,794,null,null,902,null,null,1199,null,null,612,null,null,520,null,null,179,null,null,63,null,null,491,null,null,277,null,null,1106,null,null,1076,null,null,364,null,null,375,null,null,828,null,null,354,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
20062,2189,2743,701,948,455,610,370,43,60,23,50,544,377,338,265,1795,524,298,241,183,159,18,34,0,187,165,153,115,184,1497,492,1236,475,380,269,245,258,611,312,261,173,17319,2130,11572,1761,5548,1119,1746,652,1394,582,2408,684,6024,1227,5747,1302,1519,493,742,321,409,264,0,187,333,255,777,410,4228,1209,2751,1117,318,339,612,656,1821,774,1477,509,2189,null,null,701,null,null,455,null,null,370,null,null,60,null,null,50,null,null,377,null,null,265,null,null,524,null,null,241,null,null,159,null,null,34,null,null,187,null,null,153,null,null,184,null,null,492,null,null,475,null,null,269,null,null,258,null,null,312,null,null,173,null,null,2130,null,null,1761,null,null,1119,null,null,652,null,null,582,null,null,684,null,null,1227,null,null,1302,null,null,493,null,null,321,null,null,264,null,null,187,null,null,255,null,null,410,null,null,1209,null,null,1117,null,null,339,null,null,656,null,null,774,null,null,509,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
20627,1943,2252,827,428,298,227,218,61,104,88,148,78,129,201,195,1824,761,198,177,123,127,58,99,26,42,39,66,75,124,1626,743,1531,722,325,229,507,410,699,441,95,156,18375,1879,11426,1472,5185,999,611,343,1170,620,3404,761,6241,1104,6949,1175,1852,554,859,384,196,181,144,171,519,276,993,436,5097,1128,3295,864,484,254,484,351,2327,798,1802,716,1943,null,null,827,null,null,298,null,null,218,null,null,104,null,null,148,null,null,129,null,null,195,null,null,761,null,null,177,null,null,127,null,null,99,null,null,42,null,null,66,null,null,124,null,null,743,null,null,722,null,null,229,null,null,410,null,null,441,null,null,156,null,null,1879,null,null,1472,null,null,999,null,null,343,null,null,620,null,null,761,null,null,1104,null,null,1175,null,null,554,null,null,384,null,null,181,null,null,171,null,null,276,null,null,436,null,null,1128,null,null,864,null,null,254,null,null,351,null,null,798,null,null,716,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
36620,2842,4536,1461,1049,466,768,415,145,176,446,329,177,158,281,200,3487,1358,764,656,682,687,71,123,583,681,28,52,82,131,2723,1184,2461,1177,9,16,938,827,1514,649,262,244,32084,2545,23525,2069,12336,1518,2868,736,2420,701,7048,1363,11189,1530,8559,1443,2217,836,1026,577,390,430,108,129,528,375,1191,504,6342,1231,3583,794,804,417,234,175,2545,776,2759,826,2842,null,null,1461,null,null,466,null,null,415,null,null,176,null,null,329,null,null,158,null,null,200,null,null,1358,null,null,656,null,null,687,null,null,123,null,null,681,null,null,52,null,null,131,null,null,1184,null,null,1177,null,null,16,null,null,827,null,null,649,null,null,244,null,null,2545,null,null,2069,null,null,1518,null,null,736,null,null,701,null,null,1363,null,null,1530,null,null,1443,null,null,836,null,null,577,null,null,430,null,null,129,null,null,375,null,null,504,null,null,1231,null,null,794,null,null,417,null,null,175,null,null,776,null,null,826,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
