B12002C_001E,B12002C_001M,B12002C_002E,B12002C_002M,B12002C_003E,B12002C_003M,B12002C_004E,B12002C_004M,B12002C_005E,B12002C_005M,B12002C_006E,B12002C_006M,B12002C_007E,B12002C_007M,B12002C_008E,B12002C_008M,B12002C_009E,B12002C_009M,B12002C_010E,B12002C_010M,B12002C_011E,B12002C_011M,B12002C_012E,B12002C_012M,B12002C_013E,B12002C_013M,B12002C_001M,B12002C_001EA,B12002C_001MA,B12002C_002M,B12002C_002EA,B12002C_002MA,B12002C_003M,B12002C_003EA,B12002C_003MA,B12002C_004M,B12002C_004EA,B12002C_004MA,B12002C_005M,B12002C_005EA,B12002C_005MA,B12002C_006M,B12002C_006EA,B12002C_006MA,B12002C_007M,B12002C_007EA,B12002C_007MA,B12002C_008M,B12002C_008EA,B12002C_008MA,B12002C_009M,B12002C_009EA,B12002C_009MA,B12002C_010M,B12002C_010EA,B12002C_010MA,B12002C_011M,B12002C_011EA,B12002C_011MA,B12002C_012M,B12002C_012EA,B12002C_012MA,B12002C_013M,B12002C_013EA,B12002C_013MA,state
6037,873,2830,602,1179,424,1238,433,50,75,0,172,363,167,3207,652,1291,500,910,286,177,224,248,171,581,290,873,null,null,602,null,null,424,null,null,433,null,null,75,null,null,172,null,null,167,null,null,652,null,null,500,null,null,286,null,null,224,null,null,171,null,null,290,null,null,23
13014,2070,6423,1265,2543,958,2355,746,79,95,305,285,1141,569,6591,1453,1928,783,2711,797,102,125,584,328,1266,565,2070,null,null,1265,null,null,958,null,null,746,null,null,95,null,null,285,null,null,569,null,null,1453,null,null,783,null,null,797,null,null,125,null,null,328,null,null,565,null,null,24
10767,1976,5808,1474,3505,1147,1559,610,372,385,47,81,325,239,4959,1044,1879,644,1835,684,0,203,518,413,727,369,1976,null,null,1474,null,null,1147,null,null,610,null,null,385,null,null,81,null,null,239,null,null,1044,null,null,644,null,null,684,null,null,203,null,null,413,null,null,369,null,null,25
41720,2628,20808,1658,8523,1144,7789,1105,379,287,705,369,3412,925,20912,1841,6802,1160,9002,1160,118,147,1656,582,3334,801,2628,null,null,1658,null,null,1144,null,null,1105,null,null,287,null,null,369,null,null,925,null,null,1841,null,null,1160,null,null,1160,null,null,147,null,null,582,null,null,801,null,null,26
45047,1979,21114,1341,11954,1277,6074,947,425,241,407,205,2254,598,23933,1207,11862,1045,6576,917,645,384,1282,352,3568,667,1979,null,null,1341,null,null,1277,null,null,947,null,null,241,null,null,205,null,null,598,null,null,1207,null,null,1045,null,null,917,null,null,384,null,null,352,null,null,667,null,null,27
9545,1192,4667,943,2549,877,1413,542,295,242,151,201,259,244,4878,713,1914,537,1528,544,225,246,294,242,917,424,1192,null,null,943,null,null,877,null,null,542,null,null,242,null,null,201,null,null,244,null,null,713,null,null,537,null,null,544,null,null,246,null,null,242,null,null,424,null,null,28
24083,2681,11694,1655,4475,1052,3995,953,497,388,275,236,2452,706,12389,1775,4963,1314,4068,1010,304,277,1200,594,1854,628,2681,null,null,1655,null,null,1052,null,null,953,null,null,388,null,null,236,null,null,706,null,null,1775,null,null,1314,null,null,1010,null,null,277,null,null,594,null,null,628,null,null,29
45214,1926,22678,1282,11600,1179,7718,919,173,148,683,302,2504,675,22536,1651,8351,949,8406,1239,485,223,1223,355,4071,835,1926,null,null,1282,null,null,1179,null,null,919,null,null,148,null,null,302,null,null,675,null,null,1651,null,null,949,null,null,1239,null,null,223,null,null,355,null,null,835,null,null,30
11232,1171,5775,897,2883,583,2021,582,6,14,85,97,780,514,5457,735,2253,454,1962,532,109,90,429,264,704,273,1171,null,null,897,null,null,583,null,null,582,null,null,14,null,null,97,null,null,514,null,null,735,null,null,454,null,null,532,null,null,90,null,null,264,null,null,273,null,null,31
26930,2575,13296,1624,6635,1309,4148,846,383,295,399,185,1731,503,13634,1362,4932,938,5024,699,213,162,1204,484,2261,673,2575,null,null,1624,null,null,1309,null,null,846,null,null,295,null,null,185,null,null,503,null,null,1362,null,null,938,null,null,699,null,null,162,null,null,484,null,null,673,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
15334,2557,7659,1676,3525,1212,3575,948,59,79,172,151,328,210,7675,1471,3500,1072,2727,731,148,163,503,327,797,425,2557,null,null,1676,null,null,1212,null,null,948,null,null,79,null,null,151,null,null,210,null,null,1471,null,null,1072,null,null,731,null,null,163,null,null,327,null,null,425,null,null,34
149319,3885,68995,1890,37154,2030,22549,1986,1668,616,1460,380,6164,917,80324,2548,40077,2326,24475,1932,2134,573,6446,772,7192,1110,3885,null,null,1890,null,null,2030,null,null,1986,null,null,616,null,null,380,null,null,917,null,null,2548,null,null,2326,null,null,1932,null,null,573,null,null,772,null,null,1110,null,null,35
58265,4700,27706,2851,12105,2213,9820,1428,963,567,1164,538,3654,1048,30559,2796,12762,1678,10918,1620,549,313,2265,637,4065,1071,4700,null,null,2851,null,null,2213,null,null,1428,null,null,567,null,null,538,null,null,1048,null,null,2796,null,null,1678,null,null,1620,null,null,313,null,null,637,null,null,1071,null,null,36
96116,3902,46321,2342,18351,1760,20305,1851,1691,595,1393,469,4581,921,49795,2367,17219,1682,20178,1689,2030,633,4178,768,6190,1274,3902,null,null,2342,null,null,1760,null,null,1851,null,null,595,null,null,469,null,null,921,null,null,2367,null,null,1682,null,null,1689,null,null,633,null,null,768,null,null,1274,null,null,37
28582,1641,14350,1359,7232,960,4496,795,543,605,301,145,1778,535,14232,1123,6035,790,4795,721,193,154,1107,459,2102,589,1641,null,null,1359,null,null,960,null,null,795,null,null,605,null,null,145,null,null,535,null,null,1123,null,null,790,null,null,721,null,null,154,null,null,459,null,null,589,null,null,38
15372,2075,8576,1644,4064,1396,2832,732,188,192,282,210,1210,592,6796,1123,2292,681,2802,800,251,218,593,294,858,438,2075,null,null,1644,null,null,1396,null,null,732,null,null,192,null,null,210,null,null,592,null,null,1123,null,null,681,null,null,800,null,null,218,null,null,294,null,null,438,null,null,39
223420,4990,107882,3214,46128,2615,42341,2134,2275,509,2831,627,14307,1265,115538,2901,39565,2163,45432,2278,3954,893,8540,950,18047,1559,4990,null,null,3214,null,null,2615,null,null,2134,null,null,509,null,null,627,null,null,1265,null,null,2901,null,null,2163,null,null,2278,null,null,893,null,null,950,null,null,1559,null,null,40
37065,3593,19848,2335,7721,1151,7212,1291,285,231,867,382,3763,1422,17217,2113,5987,1404,7140,1227,571,399,1277,546,2242,596,3593,null,null,2335,null,null,1151,null,null,1291,null,null,231,null,null,382,null,null,1422,null,null,2113,null,null,1404,null,null,1227,null,null,399,null,null,546,null,null,596,null,null,41
19800,2871,11295,1876,6088,1526,3385,895,426,348,71,92,1325,557,8505,1725,2781,1062,2605,709,840,469,830,399,1449,584,2871,null,null,1876,null,null,1526,null,null,895,null,null,348,null,null,92,null,null,557,null,null,1725,null,null,1062,null,null,709,null,null,469,null,null,399,null,null,584,null,null,42
4629,1577,2474,918,1074,570,1058,624,0,208,0,208,342,287,2155,1009,1081,631,685,465,0,208,122,170,267,257,1577,null,null,918,null,null,570,null,null,624,null,null,208,null,null,208,null,null,287,null,null,1009,null,null,631,null,null,465,null,null,208,null,null,170,null,null,257,null,null,44
13541,2374,6654,1248,2925,987,2897,758,172,241,25,45,635,372,6887,1662,2549,869,2456,991,395,292,694,353,793,429,2374,null,null,1248,null,null,987,null,null,758,null,null,241,null,null,45,null,null,372,null,null,1662,null,null,869,null,null,991,null,null,292,null,null,353,null,null,429,null,null,45
51975,2409,24516,1665,14627,1149,5902,1329,466,207,264,129,3257,773,27459,1593,14796,1140,6160,1063,553,367,1856,529,4094,719,2409,null,null,1665,null,null,1149,null,null,1329,null,null,207,null,null,129,null,null,773,null,null,1593,null,null,1140,null,null,1063,null,null,367,null,null,529,null,null,719,null,null,46
15906,2590,8249,1709,2893,844,2781,960,345,399,288,299,1942,998,7657,1579,2715,1112,3221,808,112,144,509,369,1100,422,2590,null,null,1709,null,null,844,null,null,960,null,null,399,null,null,299,null,null,998,null,null,1579,null,null,1112,null,null,808,null,null,144,null,null,369,null,null,422,null,null,47
107813,7917,57186,4809,21857,3023,24303,2823,3812,1675,1400,507,5814,1333,50627,4515,16837,2365,23051,2646,1014,499,2975,769,6750,1795,7917,null,null,4809,null,null,3023,null,null,2823,null,null,1675,null,null,507,null,null,1333,null,null,4515,null,null,2365,null,null,2646,null,null,499,null,null,769,null,null,1795,null,null,48
22958,2115,11374,1459,5731,910,4548,1134,144,138,73,62,878,421,11584,1398,5301,1094,3995,886,506,386,728,379,1054,482,2115,null,null,1459,null,null,910,null,null,1134,null,null,138,null,null,62,null,null,421,null,null,1398,null,null,1094,null,null,886,null,null,386,null,null,379,null,null,482,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
20611,2882,9786,1934,3877,1128,4048,1011,607,623,387,285,867,531,10825,1634,3933,1138,3848,1011,365,287,790,531,1889,633,2882,null,null,1934,null,null,1128,null,null,1011,null,null,623,null,null,285,null,null,531,null,null,1634,null,null,1138,null,null,1011,null,null,287,null,null,531,null,null,633,null,null,51
71175,4652,36184,2338,17778,1764,12224,1220,828,321,629,362,4725,822,34991,3221,13395,2102,12331,2049,856,326,2582,618,5827,1231,4652,null,null,2338,null,null,1764,null,null,1220,null,null,321,null,null,362,null,null,822,null,null,3221,null,null,2102,null,null,2049,null,null,326,null,null,618,null,null,1231,null,null,53
3470,1175,1387,618,260,251,434,382,165,241,26,44,502,333,2083,877,889,626,515,373,250,246,321,294,108,120,1175,null,null,618,null,null,251,null,null,382,null,null,241,null,null,44,null,null,333,null,null,877,null,null,626,null,null,373,null,null,246,null,null,294,null,null,120,null,null,54
40487,2213,20213,1481,9732,1089,5793,738,358,219,591,252,3739,780,20274,1543,8619,1103,6835,1123,402,332,1088,293,3330,726,2213,null,null,1481,null,null,1089,null,null,738,null,null,219,null,null,252,null,null,780,null,null,1543,null,null,1103,null,null,1123,null,null,332,null,null,293,null,null,726,null,null,55
9141,1054,4590,754,2168,427,1136,478,225,149,273,212,788,329,4551,620,1471,242,1528,594,150,143,323,158,1079,346,1054,null,null,754,null,null,427,null,null,478,null,null,149,null,null,212,null,null,329,null,null,620,null,null,242,null,null,594,null,null,143,null,null,158,null,null,346,null,null,56
6711,2005,2595,814,1019,469,746,363,146,183,32,54,652,416,4116,1349,1913,958,1102,478,166,171,300,264,635,412,2005,null,null,814,null,null,469,null,null,363,null,null,183,null,null,54,null,null,416,null,null,1349,null,null,958,null,null,478,null,null,171,null,null,264,null,null,412,null,null,72
20751,2945,9683,2071,3449,1332,4976,1164,152,213,116,156,990,440,11068,1568,2740,1057,5927,1403,471,353,899,416,1031,453,2945,null,null,2071,null,null,1332,null,null,1164,null,null,213,null,null,156,null,null,440,null,null,1568,null,null,1057,null,null,1403,null,null,353,null,null,416,null,null,453,null,null,01
78795,2490,39216,1601,22348,1509,11785,1213,746,395,852,244,3485,891,39579,1519,16415,1136,13069,1389,1458,497,3064,489,5573,1228,2490,null,null,1601,null,null,1509,null,null,1213,null,null,395,null,null,244,null,null,891,null,null,1519,null,null,1136,null,null,1389,null,null,497,null,null,489,null,null,1228,null,null,02
228450,4708,111106,2513,65363,2966,32876,2247,2032,689,2964,769,7871,1338,117344,3303,59036,2894,34170,2480,2683,674,8338,878,13117,1427,4708,null,null,2513,null,null,2966,null,null,2247,null,null,689,null,null,769,null,null,1338,null,null,3303,null,null,2894,null,null,2480,null,null,674,null,null,878,null,null,1427,null,null,04
14700,1841,6476,1174,2362,823,2599,757,261,218,264,254,990,448,8224,1262,2085,677,3193,841,625,434,400,325,1921,671,1841,null,null,1174,null,null,823,null,null,757,null,null,218,null,null,254,null,null,448,null,null,1262,null,null,677,null,null,841,null,null,434,null,null,325,null,null,671,null,null,05
232510,10957,113353,6338,52104,4174,43492,2732,2250,780,3002,805,12505,1876,119157,6216,43476,4171,44056,2845,4541,1340,10238,1492,16846,1851,10957,null,null,6338,null,null,4174,null,null,2732,null,null,780,null,null,805,null,null,1876,null,null,6216,null,null,4171,null,null,2845,null,null,1340,null,null,1492,null,null,1851,null,null,06
45136,3840,22119,2724,10821,2169,7259,1163,318,347,874,477,2847,787,23017,2189,9717,1613,7463,1116,248,258,1751,657,3838,863,3840,null,null,2724,null,null,2169,null,null,1163,null,null,347,null,null,477,null,null,787,null,null,2189,null,null,1613,null,null,1116,null,null,258,null,null,657,null,null,863,null,null,08
7294,2216,3985,1410,2094,935,1194,636,0,200,123,156,574,427,3309,1147,1628,590,1180,592,107,142,42,71,352,332,2216,null,null,1410,null,null,935,null,null,636,null,null,200,null,null,156,null,null,427,null,null,1147,null,null,590,null,null,592,null,null,142,null,null,71,null,null,332,null,null,09
3528,856,2098,642,703,415,996,410,0,193,14,27,385,239,1430,469,193,156,650,291,0,193,97,99,490,366,856,null,null,642,null,null,415,null,null,410,null,null,193,null,null,27,null,null,239,null,null,469,null,null,156,null,null,291,null,null,193,null,null,99,null,null,366,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
