B28009F_001E,B28009F_001M,B28009F_002E,B28009F_002M,B28009F_003E,B28009F_003M,B28009F_004E,B28009F_004M,B28009F_005E,B28009F_005M,B28009F_006E,B28009F_006M,B28009F_001M,B28009F_001EA,B28009F_001MA,B28009F_002M,B28009F_002EA,B28009F_002MA,B28009F_003M,B28009F_003EA,B28009F_003MA,B28009F_004M,B28009F_004EA,B28009F_004MA,B28009F_005M,B28009F_005EA,B28009F_005MA,B28009F_006M,B28009F_006EA,B28009F_006MA,state
298823,14164,278331,13630,1337,1575,229456,14799,47538,8092,20492,5085,14164,null,null,13630,null,null,1575,null,null,14799,null,null,8092,null,null,5085,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
106875,9225,100546,8882,151,243,86101,8837,14294,3435,6329,1744,9225,null,null,8882,null,null,243,null,null,8837,null,null,3435,null,null,1744,null,null,39
103873,7678,89964,7875,215,267,72010,6954,17739,3471,13909,3426,7678,null,null,7875,null,null,267,null,null,6954,null,null,3471,null,null,3426,null,null,40
117861,10533,110864,10871,1154,1179,99861,10035,9849,3592,6997,2912,10533,null,null,10871,null,null,1179,null,null,10035,null,null,3592,null,null,2912,null,null,41
253283,13867,235446,14100,377,409,206715,13606,28354,6318,17837,4140,13867,null,null,14100,null,null,409,null,null,13606,null,null,6318,null,null,4140,null,null,42
59978,6148,54041,6603,0,208,40780,6600,13261,4212,5937,2344,6148,null,null,6603,null,null,208,null,null,6600,null,null,4212,null,null,2344,null,null,44
75956,9568,71778,9677,192,211,63419,9186,8167,2829,4178,2234,9568,null,null,9677,null,null,211,null,null,9186,null,null,2829,null,null,2234,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
77689,7424,66443,7020,24,51,54318,6244,12101,4377,11246,3042,7424,null,null,7020,null,null,51,null,null,6244,null,null,4377,null,null,3042,null,null,47
1593457,41081,1460854,44839,2464,1882,1246304,43433,212086,17018,132603,11677,41081,null,null,44839,null,null,1882,null,null,43433,null,null,17018,null,null,11677,null,null,48
163048,9910,151261,9234,0,190,132060,9125,19201,4798,11787,3936,9910,null,null,9234,null,null,190,null,null,9125,null,null,4798,null,null,3936,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
222638,12447,210510,12330,3441,3038,180375,12244,26694,5273,12128,4442,12447,null,null,12330,null,null,3038,null,null,12244,null,null,5273,null,null,4442,null,null,51
343446,13754,322805,13668,241,364,295632,13485,26932,5306,20641,4798,13754,null,null,13668,null,null,364,null,null,13485,null,null,5306,null,null,4798,null,null,53
6887,1764,6099,1576,81,163,5498,1504,520,301,788,755,1764,null,null,1576,null,null,163,null,null,1504,null,null,301,null,null,755,null,null,54
123656,7788,111252,7949,0,147,94898,7615,16354,3343,12404,3028,7788,null,null,7949,null,null,147,null,null,7615,null,null,3343,null,null,3028,null,null,55
5523,1938,5051,1876,0,197,4924,1871,127,106,472,340,1938,null,null,1876,null,null,197,null,null,1871,null,null,106,null,null,340,null,null,56
569452,19523,390403,17641,1083,722,345667,15776,43653,5970,179049,11031,19523,null,null,17641,null,null,722,null,null,15776,null,null,5970,null,null,11031,null,null,72
69471,6869,60407,7124,58,99,47141,6982,13208,3351,9064,3237,6869,null,null,7124,null,null,99,null,null,6982,null,null,3351,null,null,3237,null,null,01
11988,3123,11800,3172,0,155,10058,3238,1742,984,188,200,3123,null,null,3172,null,null,155,null,null,3238,null,null,984,null,null,200,null,null,02
575797,20375,534095,20960,243,294,476380,20000,57472,8688,41702,6633,20375,null,null,20960,null,null,294,null,null,20000,null,null,8688,null,null,6633,null,null,04
84911,6055,77982,6296,0,197,63644,6696,14338,3069,6929,2568,6055,null,null,6296,null,null,197,null,null,6696,null,null,3069,null,null,2568,null,null,05
5555528,65125,5208019,67223,6178,2046,4619530,65523,582311,24465,347509,21979,65125,null,null,67223,null,null,2046,null,null,65523,null,null,24465,null,null,21979,null,null,06
227221,12920,215223,13065,676,596,191379,12885,23168,5181,11998,2527,12920,null,null,13065,null,null,596,null,null,12885,null,null,5181,null,null,2527,null,null,08
162685,10775,148594,11207,0,200,134374,10990,14220,3929,14091,3592,10775,null,null,11207,null,null,200,null,null,10990,null,null,3929,null,null,3592,null,null,09
15205,4555,13642,4406,0,193,12164,4362,1478,1209,1563,1208,4555,null,null,4406,null,null,193,null,null,4362,null,null,1209,null,null,1208,null,null,10
36759,4299,32813,4699,0,203,25788,5436,7025,2606,3946,2468,4299,null,null,4699,null,null,203,null,null,5436,null,null,2606,null,null,2468,null,null,11
