C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,C27001D_001M,C27001D_001EA,C27001D_001MA,C27001D_002M,C27001D_002EA,C27001D_002MA,C27001D_003M,C27001D_003EA,C27001D_003MA,C27001D_004M,C27001D_004EA,C27001D_004MA,C27001D_005M,C27001D_005EA,C27001D_005MA,C27001D_006M,C27001D_006EA,C27001D_006MA,C27001D_007M,C27001D_007EA,C27001D_007MA,C27001D_008M,C27001D_008EA,C27001D_008MA,C27001D_009M,C27001D_009EA,C27001D_009MA,C27001D_010M,C27001D_010EA,C27001D_010MA,state
36803,2199,7922,1022,7922,1022,0,208,26427,1787,24983,1726,1444,654,2454,346,2454,346,0,208,2199,null,null,1022,null,null,1022,null,null,208,null,null,1787,null,null,1726,null,null,654,null,null,346,null,null,346,null,null,208,null,null,44
75366,3768,16001,1964,14871,1901,1130,686,51095,2701,43769,2740,7326,2051,8270,1509,8248,1510,22,39,3768,null,null,1964,null,null,1901,null,null,686,null,null,2701,null,null,2740,null,null,2051,null,null,1509,null,null,1510,null,null,39,null,null,45
12849,1804,4287,1285,4072,1335,215,231,7802,867,7148,892,654,356,760,649,760,649,0,157,1804,null,null,1285,null,null,1335,null,null,231,null,null,867,null,null,892,null,null,356,null,null,649,null,null,649,null,null,157,null,null,46
115980,3915,27798,1762,26028,1942,1770,883,78487,2747,68892,3180,9595,2421,9695,1220,8752,1100,943,698,3915,null,null,1762,null,null,1942,null,null,883,null,null,2747,null,null,3180,null,null,2421,null,null,1220,null,null,1100,null,null,698,null,null,47
1292825,10795,301004,5924,281457,6666,19547,3433,873239,8208,757030,10228,116209,8898,118582,2119,109778,2952,8804,2323,10795,null,null,5924,null,null,6666,null,null,3433,null,null,8208,null,null,10228,null,null,8898,null,null,2119,null,null,2952,null,null,2323,null,null,48
69876,3400,14650,2229,13993,2197,657,483,49153,1817,44167,2188,4986,1555,6073,955,5877,975,196,183,3400,null,null,2229,null,null,2197,null,null,483,null,null,1817,null,null,2188,null,null,1555,null,null,955,null,null,975,null,null,183,null,null,49
9396,1080,1623,672,1559,640,64,101,6706,754,6313,761,393,234,1067,350,1067,350,0,151,1080,null,null,672,null,null,640,null,null,101,null,null,754,null,null,761,null,null,234,null,null,350,null,null,350,null,null,151,null,null,50
527906,7301,116249,4162,110487,3912,5762,1337,356719,4688,322291,6062,34428,3830,54938,1787,51080,2218,3858,1183,7301,null,null,4162,null,null,3912,null,null,1337,null,null,4688,null,null,6062,null,null,3830,null,null,1787,null,null,2218,null,null,1183,null,null,51
592094,8385,111383,4496,109513,4316,1870,716,411328,5159,385958,5822,25370,3185,69383,1551,66978,1769,2405,958,8385,null,null,4496,null,null,4316,null,null,716,null,null,5159,null,null,5822,null,null,3185,null,null,1551,null,null,1769,null,null,958,null,null,53
13939,1466,2627,764,2561,762,66,53,9870,1292,9360,1379,510,318,1442,499,1068,416,374,425,1466,null,null,764,null,null,762,null,null,53,null,null,1292,null,null,1379,null,null,318,null,null,499,null,null,416,null,null,425,null,null,54
154791,3126,42592,2069,41340,2254,1252,680,103205,2277,94301,2922,8904,1978,8994,1209,8690,1210,304,258,3126,null,null,2069,null,null,2254,null,null,680,null,null,2277,null,null,2922,null,null,1978,null,null,1209,null,null,1210,null,null,258,null,null,55
5854,1387,2205,1150,2205,1150,0,197,3388,1073,3209,1042,179,171,261,224,227,193,34,65,1387,null,null,1150,null,null,1150,null,null,197,null,null,1073,null,null,1042,null,null,171,null,null,224,null,null,193,null,null,65,null,null,56
5617,1549,870,517,753,508,117,188,3506,1052,2856,932,650,488,1241,500,1178,490,63,113,1549,null,null,517,null,null,508,null,null,188,null,null,1052,null,null,932,null,null,488,null,null,500,null,null,490,null,null,113,null,null,72
65061,3681,17226,2194,16985,2254,241,473,42204,2542,36292,2491,5912,1121,5631,875,5212,890,419,341,3681,null,null,2194,null,null,2254,null,null,473,null,null,2542,null,null,2491,null,null,1121,null,null,875,null,null,890,null,null,341,null,null,01
44949,3117,10108,2090,8891,1967,1217,768,30563,1701,23434,1733,7129,1633,4278,564,4153,560,125,117,3117,null,null,2090,null,null,1967,null,null,768,null,null,1701,null,null,1733,null,null,1633,null,null,564,null,null,560,null,null,117,null,null,02
219165,4831,43776,2784,41715,2854,2061,944,151241,3097,138321,3753,12920,2583,24148,1025,23414,1092,734,444,4831,null,null,2784,null,null,2854,null,null,944,null,null,3097,null,null,3753,null,null,2583,null,null,1025,null,null,1092,null,null,444,null,null,04
41511,2675,8647,1485,8215,1510,432,363,29461,1939,26439,2074,3022,1125,3403,854,3279,880,124,128,2675,null,null,1485,null,null,1510,null,null,363,null,null,1939,null,null,2074,null,null,1125,null,null,854,null,null,880,null,null,128,null,null,05
5575522,18960,1030869,10540,1008279,10942,22590,3220,3738429,10165,3506035,14337,232394,10170,806224,4670,793298,4814,12926,2011,18960,null,null,10540,null,null,10942,null,null,3220,null,null,10165,null,null,14337,null,null,10170,null,null,4670,null,null,4814,null,null,2011,null,null,06
174876,4639,39095,2491,37613,2567,1482,690,119178,3082,111283,3178,7895,1371,16603,933,16196,960,407,297,4639,null,null,2491,null,null,2567,null,null,690,null,null,3082,null,null,3178,null,null,1371,null,null,933,null,null,960,null,null,297,null,null,08
161709,3544,37012,2195,35227,2359,1785,851,111755,2375,104035,3043,7720,1690,12942,696,12261,730,681,499,3544,null,null,2195,null,null,2359,null,null,851,null,null,2375,null,null,3043,null,null,1690,null,null,696,null,null,730,null,null,499,null,null,09
35487,1612,6942,932,6654,977,288,261,24471,1113,23572,1141,899,592,4074,252,3735,344,339,247,1612,null,null,932,null,null,977,null,null,261,null,null,1113,null,null,1141,null,null,592,null,null,252,null,null,344,null,null,247,null,null,10
26436,1256,2042,749,2042,749,0,203,22495,947,21917,937,578,461,1899,349,1770,398,129,220,1256,null,null,749,null,null,749,null,null,203,null,null,947,null,null,937,null,null,461,null,null,349,null,null,398,null,null,220,null,null,11
