C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,C21001I_001M,C21001I_001EA,C21001I_001MA,C21001I_002M,C21001I_002EA,C21001I_002MA,C21001I_003M,C21001I_003EA,C21001I_003MA,C21001I_004M,C21001I_004EA,C21001I_004MA,C21001I_005M,C21001I_005EA,C21001I_005MA,C21001I_006M,C21001I_006EA,C21001I_006MA,C21001I_007M,C21001I_007EA,C21001I_007MA,C21001I_008M,C21001I_008EA,C21001I_008MA,C21001I_009M,C21001I_009EA,C21001I_009MA,C21001I_010M,C21001I_010EA,C21001I_010MA,C21001I_011M,C21001I_011EA,C21001I_011MA,C21001I_012M,C21001I_012EA,C21001I_012MA,C21001I_013M,C21001I_013EA,C21001I_013MA,C21001I_014M,C21001I_014EA,C21001I_014MA,C21001I_015M,C21001I_015EA,C21001I_015MA,state
18435,1264,10006,1032,9855,1058,755,311,9100,1061,151,137,7,13,144,138,8429,984,7535,949,84,189,7451,876,894,475,0,157,894,475,1264,null,null,1032,null,null,1058,null,null,311,null,null,1061,null,null,137,null,null,13,null,null,138,null,null,984,null,null,949,null,null,189,null,null,876,null,null,475,null,null,157,null,null,475,null,null,46
204964,2400,107198,2237,102575,2191,5604,1297,96971,2436,4623,868,1607,696,3016,830,97766,2101,91205,2053,1776,809,89429,2214,6561,1030,143,262,6418,1068,2400,null,null,2237,null,null,2191,null,null,1297,null,null,2436,null,null,868,null,null,696,null,null,830,null,null,2101,null,null,2053,null,null,809,null,null,2214,null,null,1030,null,null,262,null,null,1068,null,null,47
7270287,2317,3628053,2960,3299239,3485,152040,7992,3147199,8687,328814,2114,80549,3956,248265,4308,3642234,2531,3217721,2796,23044,2626,3194677,4044,424513,2021,2540,635,421973,2186,2317,null,null,2960,null,null,3485,null,null,7992,null,null,8687,null,null,2114,null,null,3956,null,null,4308,null,null,2531,null,null,2796,null,null,2626,null,null,4044,null,null,2021,null,null,635,null,null,2186,null,null,48
259705,923,133039,1563,125983,1781,4109,1141,121874,2180,7056,777,1828,672,5228,838,126666,1433,117285,1082,497,298,116788,1103,9381,1113,460,727,8921,964,923,null,null,1563,null,null,1781,null,null,1141,null,null,2180,null,null,777,null,null,672,null,null,838,null,null,1433,null,null,1082,null,null,298,null,null,1103,null,null,1113,null,null,727,null,null,964,null,null,49
8752,716,3842,696,3572,721,186,171,3386,688,270,170,112,98,158,122,4910,888,4164,837,0,151,4164,837,746,352,15,26,731,351,716,null,null,696,null,null,721,null,null,171,null,null,688,null,null,170,null,null,98,null,null,122,null,null,888,null,null,837,null,null,151,null,null,837,null,null,352,null,null,26,null,null,351,null,null,50
503769,2898,254487,3277,243202,3455,20676,2247,222526,3541,11285,1363,2697,843,8588,1153,249282,2746,230487,3142,6768,1578,223719,3367,18795,1411,614,439,18181,1459,2898,null,null,3277,null,null,3455,null,null,2247,null,null,3541,null,null,1363,null,null,843,null,null,1153,null,null,2746,null,null,3142,null,null,1578,null,null,3367,null,null,1411,null,null,439,null,null,1459,null,null,51
560042,1276,289793,1420,273718,1686,14679,1747,259039,2469,16075,1068,4966,969,11109,1116,270249,1494,250962,1699,2347,698,248615,1810,19287,980,411,305,18876,1019,1276,null,null,1420,null,null,1686,null,null,1747,null,null,2469,null,null,1068,null,null,969,null,null,1116,null,null,1494,null,null,1699,null,null,698,null,null,1810,null,null,980,null,null,305,null,null,1019,null,null,53
17371,1406,8257,1048,7495,944,581,371,6914,918,762,466,219,178,543,413,9114,1045,7563,1039,440,363,7123,1077,1551,618,43,71,1508,617,1406,null,null,1048,null,null,944,null,null,371,null,null,918,null,null,466,null,null,178,null,null,413,null,null,1045,null,null,1039,null,null,363,null,null,1077,null,null,618,null,null,71,null,null,617,null,null,54
238200,1017,124524,1442,117306,1470,4467,1200,112839,1833,7218,696,1153,316,6065,729,113676,1161,105470,1398,1004,506,104466,1439,8206,818,29,42,8177,817,1017,null,null,1442,null,null,1470,null,null,1200,null,null,1833,null,null,696,null,null,316,null,null,729,null,null,1161,null,null,1398,null,null,506,null,null,1439,null,null,818,null,null,42,null,null,817,null,null,55
36418,1075,19523,1195,17808,1204,1480,722,16328,1162,1715,365,1014,340,701,313,16895,860,13942,964,433,437,13509,1032,2953,626,0,197,2953,626,1075,null,null,1195,null,null,1204,null,null,722,null,null,1162,null,null,365,null,null,340,null,null,313,null,null,860,null,null,964,null,null,437,null,null,1032,null,null,626,null,null,197,null,null,626,null,null,56
2678025,3883,1247213,2617,969974,2584,26704,2518,943270,3610,277239,799,47818,3254,229421,3157,1430812,2383,1068157,2217,1724,620,1066433,2319,362655,845,994,370,361661,931,3883,null,null,2617,null,null,2584,null,null,2518,null,null,3610,null,null,799,null,null,3254,null,null,3157,null,null,2383,null,null,2217,null,null,620,null,null,2319,null,null,845,null,null,370,null,null,931,null,null,72
119245,2218,61347,1665,58151,1818,3125,969,55026,2108,3196,1213,940,546,2256,988,57898,1834,52626,1796,690,470,51936,1804,5272,1194,86,153,5186,1199,2218,null,null,1665,null,null,1818,null,null,969,null,null,2108,null,null,1213,null,null,546,null,null,988,null,null,1834,null,null,1796,null,null,470,null,null,1804,null,null,1194,null,null,153,null,null,1199,null,null,01
31623,895,15734,1438,15278,1480,2119,816,13159,1780,456,256,288,219,168,165,15889,1163,15475,1187,710,484,14765,1121,414,244,0,155,414,244,895,null,null,1438,null,null,1480,null,null,816,null,null,1780,null,null,256,null,null,219,null,null,165,null,null,1163,null,null,1187,null,null,484,null,null,1121,null,null,244,null,null,155,null,null,244,null,null,02
1426857,738,711444,734,648086,759,33167,2947,614919,2944,63358,439,19598,1994,43760,1910,715413,335,636224,639,4801,1183,631423,1313,79189,478,587,399,78602,629,738,null,null,734,null,null,759,null,null,2947,null,null,2944,null,null,439,null,null,1994,null,null,1910,null,null,335,null,null,639,null,null,1183,null,null,1313,null,null,478,null,null,399,null,null,629,null,null,04
129094,1684,68300,1764,64696,1853,2173,725,62523,2042,3604,948,1044,614,2560,868,60794,1818,56550,1622,571,336,55979,1612,4244,1125,8,15,4236,1125,1684,null,null,1764,null,null,1853,null,null,725,null,null,2042,null,null,948,null,null,614,null,null,868,null,null,1818,null,null,1622,null,null,336,null,null,1612,null,null,1125,null,null,15,null,null,1125,null,null,05
10530901,3930,5255755,3906,4802385,3920,148638,6815,4653747,7831,453370,673,91206,4694,362164,4690,5275146,1424,4679538,1435,18873,1653,4660665,2180,595608,853,2444,646,593164,1074,3930,null,null,3906,null,null,3920,null,null,6815,null,null,7831,null,null,673,null,null,4694,null,null,4690,null,null,1424,null,null,1435,null,null,1653,null,null,2180,null,null,853,null,null,646,null,null,1074,null,null,06
783552,1155,395904,1725,361916,1730,22144,2242,339772,2818,33988,896,13889,1427,20099,1266,387648,1269,346685,1865,3239,844,343446,2011,40963,1114,495,303,40468,1171,1155,null,null,1725,null,null,1730,null,null,2242,null,null,2818,null,null,896,null,null,1427,null,null,1266,null,null,1269,null,null,1865,null,null,844,null,null,2011,null,null,1114,null,null,303,null,null,1171,null,null,08
384894,610,189526,822,175574,722,6908,1351,168666,1516,13952,429,2077,758,11875,745,195368,558,176096,555,935,447,175161,704,19272,548,56,99,19216,546,610,null,null,822,null,null,722,null,null,1351,null,null,1516,null,null,429,null,null,758,null,null,745,null,null,558,null,null,555,null,null,447,null,null,704,null,null,548,null,null,99,null,null,546,null,null,09
55309,163,28572,353,26862,488,408,281,26454,599,1710,388,296,212,1414,351,26737,311,24590,346,75,125,24515,379,2147,329,40,67,2107,341,163,null,null,353,null,null,488,null,null,281,null,null,599,null,null,388,null,null,212,null,null,351,null,null,311,null,null,346,null,null,125,null,null,379,null,null,329,null,null,67,null,null,341,null,null,10
54335,227,27742,165,26114,165,1213,830,24901,863,1628,-555555555,58,77,1570,77,26593,158,24046,158,133,138,23913,211,2547,-555555555,0,203,2547,3,227,null,null,165,null,null,165,null,null,830,null,null,863,null,null,-555555555,null,*****,77,null,null,77,null,null,158,null,null,158,null,null,138,null,null,211,null,null,-555555555,null,*****,203,null,null,3,null,null,11
