B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,B12002I_001M,B12002I_001EA,B12002I_001MA,B12002I_002M,B12002I_002EA,B12002I_002MA,B12002I_003M,B12002I_003EA,B12002I_003MA,B12002I_004M,B12002I_004EA,B12002I_004MA,B12002I_005M,B12002I_005EA,B12002I_005MA,B12002I_006M,B12002I_006EA,B12002I_006MA,B12002I_007M,B12002I_007EA,B12002I_007MA,B12002I_008M,B12002I_008EA,B12002I_008MA,B12002I_009M,B12002I_009EA,B12002I_009MA,B12002I_010M,B12002I_010EA,B12002I_010MA,B12002I_011M,B12002I_011EA,B12002I_011MA,B12002I_012M,B12002I_012EA,B12002I_012MA,B12002I_013M,B12002I_013EA,B12002I_013MA,state
99764,159,51303,410,25814,1578,20526,1479,1531,819,885,326,2547,632,48461,441,21166,1465,19852,1654,932,522,2126,494,4385,904,159,null,null,410,null,null,1578,null,null,1479,null,null,819,null,null,326,null,null,632,null,null,441,null,null,1465,null,null,1654,null,null,522,null,null,494,null,null,904,null,null,15
139886,1127,71498,1441,31368,2037,32007,2233,1286,719,1172,595,5665,1300,68388,1470,24940,2435,32357,2392,2004,871,2229,852,6858,1632,1127,null,null,1441,null,null,2037,null,null,2233,null,null,719,null,null,595,null,null,1300,null,null,1470,null,null,2435,null,null,2392,null,null,871,null,null,852,null,null,1632,null,null,16
1578744,2181,807125,2116,375391,6801,359062,7611,16748,2331,11526,1802,44398,3243,771619,1854,317208,5848,331474,6518,25220,2452,35569,2740,62148,3940,2181,null,null,2116,null,null,6801,null,null,7611,null,null,2331,null,null,1802,null,null,3243,null,null,1854,null,null,5848,null,null,6518,null,null,2452,null,null,2740,null,null,3940,null,null,17
304545,2135,157581,2108,72157,3247,69141,3349,2722,902,1982,718,11579,1919,146964,2361,58318,3063,67012,3494,3965,1204,5404,1159,12265,1893,2135,null,null,2108,null,null,3247,null,null,3349,null,null,902,null,null,718,null,null,1919,null,null,2361,null,null,3063,null,null,3494,null,null,1204,null,null,1159,null,null,1893,null,null,18
118269,1377,60142,1375,27333,2035,26803,1881,1156,483,598,409,4252,1145,58127,1500,22514,1748,26115,2189,1604,606,1956,747,5938,1287,1377,null,null,1375,null,null,2035,null,null,1881,null,null,483,null,null,409,null,null,1145,null,null,1500,null,null,1748,null,null,2189,null,null,606,null,null,747,null,null,1287,null,null,19
226015,1597,117111,1617,52313,2694,50215,2914,2486,950,2340,821,9757,1650,108904,1676,39130,3021,51526,2789,4225,1296,4437,926,9586,1652,1597,null,null,1617,null,null,2694,null,null,2914,null,null,950,null,null,821,null,null,1650,null,null,1676,null,null,3021,null,null,2789,null,null,1296,null,null,926,null,null,1652,null,null,20
99966,2756,54394,2082,24963,2185,23667,2062,2070,934,48,86,3646,1129,45572,1767,20072,1801,19629,1765,879,389,1306,582,3686,919,2756,null,null,2082,null,null,2185,null,null,2062,null,null,934,null,null,86,null,null,1129,null,null,1767,null,null,1801,null,null,1765,null,null,389,null,null,582,null,null,919,null,null,21
168143,2917,90821,2351,38758,2658,41838,2805,2740,1160,473,253,7012,1859,77322,2260,25632,2297,38630,2865,2264,1102,3513,1051,7283,1521,2917,null,null,2351,null,null,2658,null,null,2805,null,null,1160,null,null,253,null,null,1859,null,null,2260,null,null,2297,null,null,2865,null,null,1102,null,null,1051,null,null,1521,null,null,22
16203,889,8026,890,4410,872,2320,633,62,92,132,180,1102,554,8177,924,3272,816,3620,888,259,254,250,220,776,370,889,null,null,890,null,null,872,null,null,633,null,null,92,null,null,180,null,null,554,null,null,924,null,null,816,null,null,888,null,null,254,null,null,220,null,null,370,null,null,23
417636,1191,216596,1721,107003,5362,88803,5422,7701,2195,1795,595,11294,2526,201040,1692,80901,3809,91253,3885,6352,1332,6934,1239,15600,2117,1191,null,null,1721,null,null,5362,null,null,5422,null,null,2195,null,null,595,null,null,2526,null,null,1692,null,null,3809,null,null,3885,null,null,1332,null,null,1239,null,null,2117,null,null,24
573644,1175,282828,1078,156487,3937,92452,4298,8639,1968,3830,1272,21420,2213,290816,811,141718,4625,87122,3938,16272,2148,11490,1389,34214,3065,1175,null,null,1078,null,null,3937,null,null,4298,null,null,1968,null,null,1272,null,null,2213,null,null,811,null,null,4625,null,null,3938,null,null,2148,null,null,1389,null,null,3065,null,null,25
341916,1602,173832,1907,83384,2647,69399,2934,2492,896,3320,919,15237,1704,168084,1798,71842,3249,69719,3338,4352,1009,6093,1047,16078,1843,1602,null,null,1907,null,null,2647,null,null,2934,null,null,896,null,null,919,null,null,1704,null,null,1798,null,null,3249,null,null,3338,null,null,1009,null,null,1047,null,null,1843,null,null,26
192660,1552,100497,1479,49381,2604,41589,2406,1965,775,690,335,6872,1264,92163,1609,40342,2461,39172,2285,2920,745,3109,875,6620,1258,1552,null,null,1479,null,null,2604,null,null,2406,null,null,775,null,null,335,null,null,1264,null,null,1609,null,null,2461,null,null,2285,null,null,745,null,null,875,null,null,1258,null,null,27
60227,2601,32552,2205,16628,2416,13313,1890,1000,616,303,245,1308,620,27675,1857,11375,1630,12094,1519,732,475,1065,544,2409,907,2601,null,null,2205,null,null,2416,null,null,1890,null,null,616,null,null,245,null,null,620,null,null,1857,null,null,1630,null,null,1519,null,null,475,null,null,544,null,null,907,null,null,28
166108,1859,85009,1904,37775,2354,39338,2139,793,444,504,361,6599,1176,81099,1480,28224,1822,39327,2270,2447,844,4001,897,7100,1155,1859,null,null,1904,null,null,2354,null,null,2139,null,null,444,null,null,361,null,null,1176,null,null,1480,null,null,1822,null,null,2270,null,null,844,null,null,897,null,null,1155,null,null,29
25187,1131,12101,1335,5487,1018,4480,940,245,241,400,311,1489,666,13086,1029,5112,1047,5644,1009,258,223,373,230,1699,653,1131,null,null,1335,null,null,1018,null,null,940,null,null,241,null,null,311,null,null,666,null,null,1029,null,null,1047,null,null,1009,null,null,223,null,null,230,null,null,653,null,null,30
132187,1134,69946,1615,29925,2569,33011,2323,1652,754,733,323,4625,1119,62241,1509,21049,1771,30424,1893,2186,909,3235,1445,5347,1072,1134,null,null,1615,null,null,2569,null,null,2323,null,null,754,null,null,323,null,null,1119,null,null,1509,null,null,1771,null,null,1893,null,null,909,null,null,1445,null,null,1072,null,null,31
604564,660,305281,948,142368,4664,121376,5238,7836,2187,4610,1150,29091,3281,299283,1039,118046,4196,123727,4601,13990,1819,13489,1756,30031,2824,660,null,null,948,null,null,4664,null,null,5238,null,null,2187,null,null,1150,null,null,3281,null,null,1039,null,null,4196,null,null,4601,null,null,1819,null,null,1756,null,null,2824,null,null,32
34690,1005,19620,995,9045,1284,8280,1169,232,229,331,261,1732,715,15070,638,4617,911,6817,1034,1373,819,821,363,1442,614,1005,null,null,995,null,null,1284,null,null,1169,null,null,229,null,null,261,null,null,715,null,null,638,null,null,911,null,null,1034,null,null,819,null,null,363,null,null,614,null,null,33
1346210,768,672833,864,315067,6997,284135,7350,18390,2509,7872,1266,47369,3800,673377,800,267154,6884,266235,7290,30129,2740,38098,3043,71761,4986,768,null,null,864,null,null,6997,null,null,7350,null,null,2509,null,null,1266,null,null,3800,null,null,800,null,null,6884,null,null,7290,null,null,2740,null,null,3043,null,null,4986,null,null,34
764157,679,376744,1310,165270,4784,150331,5762,7343,1460,10182,1729,43618,3795,387413,1127,144795,4845,155336,5048,9037,2082,30775,2842,47470,3350,679,null,null,1310,null,null,4784,null,null,5762,null,null,1460,null,null,1729,null,null,3795,null,null,1127,null,null,4845,null,null,5048,null,null,2082,null,null,2842,null,null,3350,null,null,35
2882390,1523,1408831,1848,709662,8724,543185,9832,44026,4438,24207,2528,87751,5521,1473559,1661,656363,9953,504719,10478,78259,5171,88610,4658,145608,6337,1523,null,null,1848,null,null,8724,null,null,9832,null,null,4438,null,null,2528,null,null,5521,null,null,1661,null,null,9953,null,null,10478,null,null,5171,null,null,4658,null,null,6337,null,null,36
624735,3818,323170,3498,139710,5348,151688,5885,8685,2351,3320,1244,19767,2817,301565,4002,115671,5127,145392,4595,9496,2128,10069,2174,20937,2648,3818,null,null,3498,null,null,5348,null,null,5885,null,null,2351,null,null,1244,null,null,2817,null,null,4002,null,null,5127,null,null,4595,null,null,2128,null,null,2174,null,null,2648,null,null,37
18224,1760,10587,1675,5053,1243,4414,1351,44,96,199,262,877,575,7637,1137,3484,981,3546,945,0,155,92,92,515,344,1760,null,null,1675,null,null,1243,null,null,1351,null,null,96,null,null,262,null,null,575,null,null,1137,null,null,981,null,null,945,null,null,155,null,null,92,null,null,344,null,null,38
288304,2110,145037,2146,71688,3319,55574,3182,2160,695,2243,789,13372,1950,143267,1980,62560,2845,54798,2940,5529,1226,5774,1043,14606,1993,2110,null,null,2146,null,null,3319,null,null,3182,null,null,695,null,null,789,null,null,1950,null,null,1980,null,null,2845,null,null,2940,null,null,1226,null,null,1043,null,null,1993,null,null,39
265462,963,139970,1179,62058,2290,62138,2719,3368,939,1597,554,10809,1437,125492,1143,45165,2334,61157,2198,4796,1056,5029,1050,9345,1371,963,null,null,1179,null,null,2290,null,null,2719,null,null,939,null,null,554,null,null,1437,null,null,1143,null,null,2334,null,null,2198,null,null,1056,null,null,1050,null,null,1371,null,null,40
364645,1330,189284,1863,89272,3714,78789,4076,4785,1572,1481,676,14957,2564,175361,1789,75490,3694,75139,3581,5929,1384,5048,1074,13755,1918,1330,null,null,1863,null,null,3714,null,null,4076,null,null,1572,null,null,676,null,null,2564,null,null,1789,null,null,3694,null,null,3581,null,null,1384,null,null,1074,null,null,1918,null,null,41
636166,1551,325037,1962,168504,4692,115940,4702,10045,2216,4683,986,25865,2678,311129,2089,147398,4332,103535,4211,16789,2236,12401,1471,31006,2772,1551,null,null,1962,null,null,4692,null,null,4702,null,null,2216,null,null,986,null,null,2678,null,null,2089,null,null,4332,null,null,4211,null,null,2236,null,null,1471,null,null,2772,null,null,42
113682,637,55140,820,29442,1970,20749,2150,501,333,154,205,4294,1106,58542,600,24594,1700,18813,2044,3165,1101,3311,891,8659,1437,637,null,null,820,null,null,1970,null,null,2150,null,null,333,null,null,205,null,null,1106,null,null,600,null,null,1700,null,null,2044,null,null,1101,null,null,891,null,null,1437,null,null,44
186383,3002,97720,2071,41007,3192,47253,4017,3463,1105,1028,531,4969,1308,88663,2439,29282,2808,43382,2789,3612,1079,3447,1161,8940,1821,3002,null,null,2071,null,null,3192,null,null,4017,null,null,1105,null,null,531,null,null,1308,null,null,2439,null,null,2808,null,null,2789,null,null,1079,null,null,1161,null,null,1821,null,null,45
19957,1451,11143,1196,5684,964,4078,769,721,419,0,157,660,317,8814,1052,4029,743,3867,868,0,157,208,173,710,320,1451,null,null,1196,null,null,964,null,null,769,null,null,419,null,null,157,null,null,317,null,null,1052,null,null,743,null,null,868,null,null,157,null,null,173,null,null,320,null,null,46
226559,2678,120322,2758,57667,3829,51759,3194,3035,922,1467,782,6394,1428,106237,2325,38737,2897,51815,3146,4551,1490,2846,738,8288,1509,2678,null,null,2758,null,null,3829,null,null,3194,null,null,922,null,null,782,null,null,1428,null,null,2325,null,null,2897,null,null,3146,null,null,1490,null,null,738,null,null,1509,null,null,47
7861171,2484,3933243,3495,1649705,16018,1821158,18384,110223,6875,70900,3715,281257,11504,3927928,3426,1396393,14124,1760550,18665,164735,9516,221654,6723,384596,11766,2484,null,null,3495,null,null,16018,null,null,18384,null,null,6875,null,null,3715,null,null,11504,null,null,3426,null,null,14124,null,null,18665,null,null,9516,null,null,6723,null,null,11766,null,null,48
284951,1026,145883,1661,64897,3696,66437,3121,3884,1394,1424,600,9241,1946,139068,1613,53629,3230,62150,3390,5182,1146,5364,1026,12743,2101,1026,null,null,1661,null,null,3696,null,null,3121,null,null,1394,null,null,600,null,null,1946,null,null,1613,null,null,3230,null,null,3390,null,null,1146,null,null,1026,null,null,2101,null,null,49
9274,906,4364,732,2708,694,1270,497,0,151,33,44,353,252,4910,888,1886,574,1718,548,52,84,357,234,897,459,906,null,null,732,null,null,694,null,null,497,null,null,151,null,null,44,null,null,252,null,null,888,null,null,574,null,null,548,null,null,84,null,null,234,null,null,459,null,null,50
551776,2707,284309,3284,127704,4492,131734,5095,5810,1504,1774,636,17287,2381,267467,2967,100502,4031,123048,4575,9783,1911,8091,1349,26043,3087,2707,null,null,3284,null,null,4492,null,null,5095,null,null,1504,null,null,636,null,null,2381,null,null,2967,null,null,4031,null,null,4575,null,null,1911,null,null,1349,null,null,3087,null,null,51
616343,2019,318784,1664,144164,4252,140688,4818,6879,1357,2157,765,24896,2748,297559,2037,119484,3489,130849,4287,10052,1597,9627,1497,27547,2573,2019,null,null,1664,null,null,4252,null,null,4818,null,null,1357,null,null,765,null,null,2748,null,null,2037,null,null,3489,null,null,4287,null,null,1597,null,null,1497,null,null,2573,null,null,53
18678,1380,9088,1115,4637,865,3199,787,368,216,71,84,813,386,9590,1076,3303,904,3436,624,328,250,862,593,1661,642,1380,null,null,1115,null,null,865,null,null,787,null,null,216,null,null,84,null,null,386,null,null,1076,null,null,904,null,null,624,null,null,250,null,null,593,null,null,642,null,null,54
261016,1124,136697,1701,66983,2768,54196,2979,1898,659,1633,511,11987,1670,124319,1627,53338,2898,49491,3120,3663,1004,3725,790,14102,2244,1124,null,null,1701,null,null,2768,null,null,2979,null,null,659,null,null,511,null,null,1670,null,null,1627,null,null,2898,null,null,3120,null,null,1004,null,null,790,null,null,2244,null,null,55
38931,1267,20911,1375,7368,1600,9107,1229,774,623,242,287,3420,1265,18020,1038,6404,1187,7189,1285,559,467,1795,723,2073,762,1267,null,null,1375,null,null,1600,null,null,1229,null,null,623,null,null,287,null,null,1265,null,null,1038,null,null,1187,null,null,1285,null,null,467,null,null,723,null,null,762,null,null,56
2816828,4399,1320206,3323,576536,8835,516381,9029,31112,3135,38629,2825,157548,6736,1496622,3212,545611,7992,507039,9961,41176,3455,167968,4830,234828,6357,4399,null,null,3323,null,null,8835,null,null,9029,null,null,3135,null,null,2825,null,null,6736,null,null,3212,null,null,7992,null,null,9961,null,null,3455,null,null,4830,null,null,6357,null,null,72
