C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,C01001G_001M,C01001G_001EA,C01001G_001MA,C01001G_002M,C01001G_002EA,C01001G_002MA,C01001G_003M,C01001G_003EA,C01001G_003MA,C01001G_004M,C01001G_004EA,C01001G_004MA,C01001G_005M,C01001G_005EA,C01001G_005MA,C01001G_006M,C01001G_006EA,C01001G_006MA,C01001G_007M,C01001G_007EA,C01001G_007MA,C01001G_008M,C01001G_008EA,C01001G_008MA,C01001G_009M,C01001G_009EA,C01001G_009MA,state
26340,2599,13542,1658,6348,1062,6490,1141,704,373,12798,1814,4964,1192,6980,1220,854,361,2599,null,null,1658,null,null,1062,null,null,1141,null,null,373,null,null,1814,null,null,1192,null,null,1220,null,null,361,null,null,23
201041,10942,98886,6633,51906,4615,43801,4253,3179,689,102155,6503,47017,3961,49390,3996,5748,1323,10942,null,null,6633,null,null,4615,null,null,4253,null,null,689,null,null,6503,null,null,3961,null,null,3996,null,null,1323,null,null,24
212365,11429,104890,6489,44379,3847,56851,4792,3660,934,107475,7335,45670,3847,56133,4575,5672,1104,11429,null,null,6489,null,null,3847,null,null,4792,null,null,934,null,null,7335,null,null,3847,null,null,4575,null,null,1104,null,null,25
306220,11961,154402,6454,75386,4278,72994,3841,6022,1001,151818,7371,69492,4649,73596,4277,8730,1231,11961,null,null,6454,null,null,4278,null,null,3841,null,null,1001,null,null,7371,null,null,4649,null,null,4277,null,null,1231,null,null,26
156646,7970,78770,5076,42554,3617,34288,2883,1928,594,77876,4853,39535,3270,36244,3057,2097,591,7970,null,null,5076,null,null,3617,null,null,2883,null,null,594,null,null,4853,null,null,3270,null,null,3057,null,null,591,null,null,27
33852,4789,16084,3136,8351,2280,7213,1622,520,294,17768,2546,8550,1767,7922,1413,1296,488,4789,null,null,3136,null,null,2280,null,null,1622,null,null,294,null,null,2546,null,null,1767,null,null,1413,null,null,488,null,null,28
150100,8621,76767,5833,38535,3872,34776,3376,3456,720,73333,4945,36051,3538,32088,2795,5194,980,8621,null,null,5833,null,null,3872,null,null,3376,null,null,720,null,null,4945,null,null,3538,null,null,2795,null,null,980,null,null,29
32218,2943,16212,2089,6455,1503,8709,1710,1048,490,16006,1920,5932,1268,9132,1310,942,449,2943,null,null,2089,null,null,1503,null,null,1710,null,null,490,null,null,1920,null,null,1268,null,null,1310,null,null,449,null,null,30
45386,4417,23897,2763,12431,1984,11011,1673,455,273,21489,2513,11096,1668,9688,1600,705,357,4417,null,null,2763,null,null,1984,null,null,1673,null,null,273,null,null,2513,null,null,1668,null,null,1600,null,null,357,null,null,31
139202,9741,69895,5809,32213,3937,34697,3178,2985,723,69307,5582,30333,3486,34855,3227,4119,919,9741,null,null,5809,null,null,3937,null,null,3178,null,null,723,null,null,5582,null,null,3486,null,null,3227,null,null,919,null,null,32
28717,2992,15577,2113,6761,1319,8215,1692,601,330,13140,1849,4493,1019,6964,1346,1683,688,2992,null,null,2113,null,null,1319,null,null,1692,null,null,330,null,null,1849,null,null,1019,null,null,1346,null,null,688,null,null,33
237326,12507,116608,7340,56475,4327,53631,4155,6502,1097,120718,7055,53332,3832,59670,5012,7716,1315,12507,null,null,7340,null,null,4327,null,null,4155,null,null,1097,null,null,7055,null,null,3832,null,null,5012,null,null,1315,null,null,34
65905,6313,34520,4004,13593,2076,18245,2842,2682,867,31385,3472,12092,2111,16556,2386,2737,889,6313,null,null,4004,null,null,2076,null,null,2842,null,null,867,null,null,3472,null,null,2111,null,null,2386,null,null,889,null,null,35
616861,22455,301380,13743,130796,7467,156117,9522,14467,1616,315481,11496,126819,6828,166822,6973,21840,2519,22455,null,null,13743,null,null,7467,null,null,9522,null,null,1616,null,null,11496,null,null,6828,null,null,6973,null,null,2519,null,null,36
268866,12841,128695,7637,70470,5543,53581,4435,4644,1131,140171,7580,66964,5042,66855,4433,6352,1173,12841,null,null,7637,null,null,5543,null,null,4435,null,null,1131,null,null,7580,null,null,5042,null,null,4433,null,null,1173,null,null,37
21588,2952,12499,2075,6768,1565,5627,1096,104,133,9089,1611,3015,838,5908,1402,166,118,2952,null,null,2075,null,null,1565,null,null,1096,null,null,133,null,null,1611,null,null,838,null,null,1402,null,null,118,null,null,38
324432,12837,159412,7605,81220,4997,72904,4458,5288,883,165020,7761,84165,5057,72818,4766,8037,1174,12837,null,null,7605,null,null,4997,null,null,4458,null,null,883,null,null,7761,null,null,5057,null,null,4766,null,null,1174,null,null,39
303606,7998,153670,4930,68375,3715,76284,3392,9011,860,149936,4707,59273,3547,78110,3262,12553,1071,7998,null,null,4930,null,null,3715,null,null,3392,null,null,860,null,null,4707,null,null,3547,null,null,3262,null,null,1071,null,null,40
207593,10682,104239,7179,44849,4538,55038,4166,4352,923,103354,6019,41189,3404,55655,4156,6510,1052,10682,null,null,7179,null,null,4538,null,null,4166,null,null,923,null,null,6019,null,null,3404,null,null,4156,null,null,1052,null,null,41
323754,13735,162059,7112,82832,4776,74070,4253,5157,1041,161695,8883,80682,5788,74002,4448,7011,1278,13735,null,null,7112,null,null,4776,null,null,4253,null,null,1041,null,null,8883,null,null,5788,null,null,4448,null,null,1278,null,null,42
32887,4436,15315,2659,7276,1614,7532,1656,507,298,17572,2832,7592,1695,9453,1922,527,279,4436,null,null,2659,null,null,1614,null,null,1656,null,null,298,null,null,2832,null,null,1695,null,null,1922,null,null,279,null,null,44
108096,9006,55140,5622,31397,4595,22301,2724,1442,512,52956,5104,26509,3471,22819,2769,3628,963,9006,null,null,5622,null,null,4595,null,null,2724,null,null,512,null,null,5104,null,null,3471,null,null,2769,null,null,963,null,null,45
21548,2935,11125,1830,6034,1440,4923,1168,168,124,10423,1773,5500,1140,4679,1028,244,191,2935,null,null,1830,null,null,1440,null,null,1168,null,null,124,null,null,1773,null,null,1140,null,null,1028,null,null,191,null,null,46
139850,9818,69222,5758,36579,4659,29617,2756,3026,834,70628,5623,33517,3935,32715,3044,4396,936,9818,null,null,5758,null,null,4659,null,null,2756,null,null,834,null,null,5623,null,null,3935,null,null,3044,null,null,936,null,null,47
714714,21781,360146,14145,171960,8625,172457,8910,15729,2023,354568,11383,157173,7636,176671,7211,20724,2020,21781,null,null,14145,null,null,8625,null,null,8910,null,null,2023,null,null,11383,null,null,7636,null,null,7211,null,null,2020,null,null,48
89044,6578,44978,3953,22540,2636,21169,2303,1269,547,44066,4099,21615,2768,21010,2161,1441,546,6578,null,null,3953,null,null,2636,null,null,2303,null,null,547,null,null,4099,null,null,2768,null,null,2161,null,null,546,null,null,49
12324,1632,6172,925,2733,680,2941,647,498,275,6152,1220,2393,831,3265,839,494,285,1632,null,null,925,null,null,680,null,null,647,null,null,275,null,null,1220,null,null,831,null,null,839,null,null,285,null,null,50
310423,12755,157674,8238,78445,5458,73445,4751,5784,1161,152749,7507,70511,5210,75742,4584,6496,1147,12755,null,null,8238,null,null,5458,null,null,4751,null,null,1161,null,null,7507,null,null,5210,null,null,4584,null,null,1147,null,null,51
414136,15502,208896,9014,94853,5961,106201,5175,7842,1109,205240,9079,90522,5807,105912,5749,8806,1188,15502,null,null,9014,null,null,5961,null,null,5175,null,null,1109,null,null,9079,null,null,5807,null,null,5749,null,null,1188,null,null,53
31304,3390,15338,2348,8795,1441,5776,1313,767,478,15966,2248,8161,1620,6433,1166,1372,543,3390,null,null,2348,null,null,1441,null,null,1313,null,null,478,null,null,2248,null,null,1620,null,null,1166,null,null,543,null,null,54
140330,7902,71333,4947,39954,3658,29616,2824,1763,474,68997,4492,37255,3023,29244,2622,2498,751,7902,null,null,4947,null,null,3658,null,null,2824,null,null,474,null,null,4492,null,null,3023,null,null,2622,null,null,751,null,null,55
15304,2090,7712,1303,3889,1134,3555,956,268,201,7592,1471,3109,848,4035,1104,448,275,2090,null,null,1303,null,null,1134,null,null,956,null,null,201,null,null,1471,null,null,848,null,null,1104,null,null,275,null,null,56
147855,10164,72178,5478,14698,2160,46979,4340,10501,1574,75677,6159,19411,3028,43960,3742,12306,1963,10164,null,null,5478,null,null,2160,null,null,4340,null,null,1574,null,null,6159,null,null,3028,null,null,3742,null,null,1963,null,null,72
83858,7172,43447,4144,20845,2953,19756,2150,2846,711,40411,4264,17737,2864,19352,2369,3322,689,7172,null,null,4144,null,null,2953,null,null,2150,null,null,711,null,null,4264,null,null,2864,null,null,2369,null,null,689,null,null,01
63961,5261,32648,3168,15703,2104,15965,1988,980,368,31313,2979,15334,2129,14705,1606,1274,516,5261,null,null,3168,null,null,2104,null,null,1988,null,null,368,null,null,2979,null,null,2129,null,null,1606,null,null,516,null,null,02
249680,13653,129827,7349,62658,4727,61625,4681,5544,1028,119853,8162,56097,4600,57411,4657,6345,1389,13653,null,null,7349,null,null,4727,null,null,4681,null,null,1028,null,null,8162,null,null,4600,null,null,4657,null,null,1389,null,null,04
77421,6277,37621,4046,18948,3014,16355,2193,2318,708,39800,3877,18399,2631,18457,2453,2944,723,6277,null,null,4046,null,null,3014,null,null,2193,null,null,708,null,null,3877,null,null,2631,null,null,2453,null,null,723,null,null,05
1879650,30456,933461,17561,410685,10684,478774,11820,44002,2772,946189,18647,398753,12338,486567,10524,60869,4087,30456,null,null,17561,null,null,10684,null,null,11820,null,null,2772,null,null,18647,null,null,12338,null,null,10524,null,null,4087,null,null,06
184361,9839,96356,6164,44019,3771,48813,3793,3524,849,88005,5904,38828,4051,44616,3300,4561,773,9839,null,null,6164,null,null,3771,null,null,3793,null,null,849,null,null,5904,null,null,4051,null,null,3300,null,null,773,null,null,08
111524,8304,57053,4526,27450,3364,28414,2773,1189,456,54471,5040,25588,3011,26874,3237,2009,551,8304,null,null,4526,null,null,3364,null,null,2773,null,null,456,null,null,5040,null,null,3011,null,null,3237,null,null,551,null,null,09
25714,3500,10662,1958,6547,1628,3658,809,457,249,15052,2414,6143,1717,8289,1704,620,370,3500,null,null,1958,null,null,1628,null,null,809,null,null,249,null,null,2414,null,null,1717,null,null,1704,null,null,370,null,null,10
17735,2345,7878,1395,2951,743,4582,1120,345,173,9857,1633,3408,999,6046,1077,403,295,2345,null,null,1395,null,null,743,null,null,1120,null,null,173,null,null,1633,null,null,999,null,null,1077,null,null,295,null,null,11
