C15002C_001E,C15002C_001M,C15002C_002E,C15002C_002M,C15002C_003E,C15002C_003M,C15002C_004E,C15002C_004M,C15002C_005E,C15002C_005M,C15002C_006E,C15002C_006M,C15002C_007E,C15002C_007M,C15002C_008E,C15002C_008M,C15002C_009E,C15002C_009M,C15002C_010E,C15002C_010M,C15002C_011E,C15002C_011M,C15002C_001M,C15002C_001EA,C15002C_001MA,C15002C_002M,C15002C_002EA,C15002C_002MA,C15002C_003M,C15002C_003EA,C15002C_003MA,C15002C_004M,C15002C_004EA,C15002C_004MA,C15002C_005M,C15002C_005EA,C15002C_005MA,C15002C_006M,C15002C_006EA,C15002C_006MA,C15002C_007M,C15002C_007EA,C15002C_007MA,C15002C_008M,C15002C_008EA,C15002C_008MA,C15002C_009M,C15002C_009EA,C15002C_009MA,C15002C_010M,C15002C_010EA,C15002C_010MA,C15002C_011M,C15002C_011EA,C15002C_011MA,state
5069,810,2561,596,283,154,615,246,1531,480,132,119,2508,533,314,238,513,280,1367,402,314,169,810,null,null,596,null,null,154,null,null,246,null,null,480,null,null,119,null,null,533,null,null,238,null,null,280,null,null,402,null,null,169,null,null,23
10474,1758,4978,1135,1346,507,1247,527,1642,829,743,354,5496,1341,838,407,1024,620,1624,842,2010,676,1758,null,null,1135,null,null,507,null,null,527,null,null,829,null,null,354,null,null,1341,null,null,407,null,null,620,null,null,842,null,null,676,null,null,24
8700,1638,4456,1225,978,613,1600,899,1245,555,633,356,4244,1012,618,423,1480,592,822,418,1324,597,1638,null,null,1225,null,null,613,null,null,899,null,null,555,null,null,356,null,null,1012,null,null,423,null,null,592,null,null,418,null,null,597,null,null,25
34336,2208,16910,1450,3094,683,5723,940,6093,1098,2000,607,17426,1545,2619,769,4891,836,8059,1321,1857,502,2208,null,null,1450,null,null,683,null,null,940,null,null,1098,null,null,607,null,null,1545,null,null,769,null,null,836,null,null,1321,null,null,502,null,null,26
35161,1799,16181,1115,2244,518,7048,1011,5193,779,1696,539,18980,1119,3109,726,4532,757,8110,999,3229,690,1799,null,null,1115,null,null,518,null,null,1011,null,null,779,null,null,539,null,null,1119,null,null,726,null,null,757,null,null,999,null,null,690,null,null,27
6936,1179,3132,824,1042,542,889,359,866,435,335,338,3804,725,715,365,724,414,1774,544,591,332,1179,null,null,824,null,null,542,null,null,359,null,null,435,null,null,338,null,null,725,null,null,365,null,null,414,null,null,544,null,null,332,null,null,28
18485,2209,9185,1408,2216,769,2557,776,3256,817,1156,430,9300,1393,1521,590,2201,755,3316,979,2262,783,2209,null,null,1408,null,null,769,null,null,776,null,null,817,null,null,430,null,null,1393,null,null,590,null,null,755,null,null,979,null,null,783,null,null,29
34821,1589,17068,1165,2978,607,6404,840,5822,973,1864,521,17753,1292,2255,497,4615,746,7546,983,3337,923,1589,null,null,1165,null,null,607,null,null,840,null,null,973,null,null,521,null,null,1292,null,null,497,null,null,746,null,null,983,null,null,923,null,null,30
8453,1100,4221,822,814,275,1540,659,1268,326,599,351,4232,661,706,296,1123,488,1737,389,666,352,1100,null,null,822,null,null,275,null,null,659,null,null,326,null,null,351,null,null,661,null,null,296,null,null,488,null,null,389,null,null,352,null,null,31
21522,1851,9798,1160,1212,388,3292,705,4307,806,987,420,11724,1157,1557,552,3692,792,5289,761,1186,452,1851,null,null,1160,null,null,388,null,null,705,null,null,806,null,null,420,null,null,1157,null,null,552,null,null,792,null,null,761,null,null,452,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
13294,2284,6648,1379,2043,811,2028,707,1127,417,1450,675,6646,1400,1472,527,2245,815,1823,539,1106,568,2284,null,null,1379,null,null,811,null,null,707,null,null,417,null,null,675,null,null,1400,null,null,527,null,null,815,null,null,539,null,null,568,null,null,34
117341,2884,53151,1640,10893,1222,19405,1517,17552,1757,5301,1158,64190,1839,11677,1343,19574,1870,25041,1781,7898,1309,2884,null,null,1640,null,null,1222,null,null,1517,null,null,1757,null,null,1158,null,null,1839,null,null,1343,null,null,1870,null,null,1781,null,null,1309,null,null,35
47709,4054,22728,2383,7149,1505,6973,1305,5208,1119,3398,933,24981,2572,5532,1061,7185,1400,7992,1640,4272,960,4054,null,null,2383,null,null,1505,null,null,1305,null,null,1119,null,null,933,null,null,2572,null,null,1061,null,null,1400,null,null,1640,null,null,960,null,null,36
78002,3019,37529,2051,10834,1457,11736,1334,10666,1506,4293,1027,40473,1796,8144,1205,12482,1442,13323,1631,6524,1242,3019,null,null,2051,null,null,1457,null,null,1334,null,null,1506,null,null,1027,null,null,1796,null,null,1205,null,null,1442,null,null,1631,null,null,1242,null,null,37
22675,1497,11172,1012,2582,851,3142,715,4429,752,1019,436,11503,1168,2125,806,2560,696,4033,738,2785,682,1497,null,null,1012,null,null,851,null,null,715,null,null,752,null,null,436,null,null,1168,null,null,806,null,null,696,null,null,738,null,null,682,null,null,38
12592,1768,7001,1440,1393,500,2194,771,2366,1023,1048,370,5591,1001,868,356,1242,425,1708,574,1773,765,1768,null,null,1440,null,null,500,null,null,771,null,null,1023,null,null,370,null,null,1001,null,null,356,null,null,425,null,null,574,null,null,765,null,null,39
171138,4299,81047,2943,13065,1316,33462,2396,22400,1829,12120,1379,90091,2617,12452,1270,28472,1795,31480,1840,17687,1470,4299,null,null,2943,null,null,1316,null,null,2396,null,null,1829,null,null,1379,null,null,2617,null,null,1270,null,null,1795,null,null,1840,null,null,1470,null,null,40
29349,3040,15379,2273,2454,709,5374,1450,4948,1021,2603,1045,13970,1739,2292,788,3702,996,6239,1077,1737,594,3040,null,null,2273,null,null,709,null,null,1450,null,null,1021,null,null,1045,null,null,1739,null,null,788,null,null,996,null,null,1077,null,null,594,null,null,41
15118,1905,7982,1496,2700,950,2623,838,1575,529,1084,554,7136,1294,2199,766,1815,635,2131,724,991,391,1905,null,null,1496,null,null,950,null,null,838,null,null,529,null,null,554,null,null,1294,null,null,766,null,null,635,null,null,724,null,null,391,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
9917,1543,4761,986,1060,473,1193,454,1652,649,856,446,5156,1204,803,404,2119,960,1656,549,578,296,1543,null,null,986,null,null,473,null,null,454,null,null,649,null,null,446,null,null,1204,null,null,404,null,null,960,null,null,549,null,null,296,null,null,45
39395,2308,18048,1504,4427,738,6231,916,6058,1271,1332,478,21347,1462,4987,1045,5593,822,7941,949,2826,673,2308,null,null,1504,null,null,738,null,null,916,null,null,1271,null,null,478,null,null,1462,null,null,1045,null,null,822,null,null,949,null,null,673,null,null,46
13412,2248,7058,1691,1644,791,1657,793,2925,1045,832,454,6354,1227,1113,701,1858,645,2252,713,1131,449,2248,null,null,1691,null,null,791,null,null,793,null,null,1045,null,null,454,null,null,1227,null,null,701,null,null,645,null,null,713,null,null,449,null,null,47
86895,6634,46222,4444,11340,2450,11422,1762,15404,2450,8056,1464,40673,3618,9026,1623,11397,1853,13146,2196,7104,1279,6634,null,null,4444,null,null,2450,null,null,1762,null,null,2450,null,null,1464,null,null,3618,null,null,1623,null,null,1853,null,null,2196,null,null,1279,null,null,48
17415,1589,8932,1216,1201,349,3640,1029,3265,744,826,435,8483,949,1140,395,3063,650,3219,710,1061,568,1589,null,null,1216,null,null,349,null,null,1029,null,null,744,null,null,435,null,null,949,null,null,395,null,null,650,null,null,710,null,null,568,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
16576,2360,7712,1550,1381,558,2370,893,2239,734,1722,657,8864,1419,693,395,2238,879,3292,822,2641,835,2360,null,null,1550,null,null,558,null,null,893,null,null,734,null,null,657,null,null,1419,null,null,395,null,null,879,null,null,822,null,null,835,null,null,51
56970,3910,28290,1874,5214,1128,9935,1343,10412,1217,2729,698,28680,2690,4241,1004,7865,1557,11520,1480,5054,1043,3910,null,null,1874,null,null,1128,null,null,1343,null,null,1217,null,null,698,null,null,2690,null,null,1004,null,null,1557,null,null,1480,null,null,1043,null,null,53
2637,957,1301,599,671,437,204,240,426,338,0,193,1336,602,578,438,288,266,345,229,125,144,957,null,null,599,null,null,437,null,null,240,null,null,338,null,null,193,null,null,602,null,null,438,null,null,266,null,null,229,null,null,144,null,null,54
32447,2054,15863,1409,3406,726,4974,761,4841,815,2642,829,16584,1550,1655,514,5532,915,6714,949,2683,619,2054,null,null,1409,null,null,726,null,null,761,null,null,815,null,null,829,null,null,1550,null,null,514,null,null,915,null,null,949,null,null,619,null,null,55
7248,1005,3561,704,720,308,1359,413,1101,446,381,251,3687,598,365,149,1193,391,1429,508,700,564,1005,null,null,704,null,null,308,null,null,413,null,null,446,null,null,251,null,null,598,null,null,149,null,null,391,null,null,508,null,null,564,null,null,56
5524,1569,2470,764,664,358,850,511,575,390,381,361,3054,989,828,457,674,447,796,455,756,435,1569,null,null,764,null,null,358,null,null,511,null,null,390,null,null,361,null,null,989,null,null,457,null,null,447,null,null,455,null,null,435,null,null,72
17530,2273,8238,1674,1534,753,2376,687,2717,1038,1611,637,9292,1272,1965,934,2441,660,3192,751,1694,561,2273,null,null,1674,null,null,753,null,null,687,null,null,1038,null,null,637,null,null,1272,null,null,934,null,null,660,null,null,751,null,null,561,null,null,01
61314,2209,29795,1413,4730,594,15020,1121,8179,1071,1866,567,31519,1308,5095,938,13220,1094,10740,1319,2464,813,2209,null,null,1413,null,null,594,null,null,1121,null,null,1071,null,null,567,null,null,1308,null,null,938,null,null,1094,null,null,1319,null,null,813,null,null,02
175759,3420,84286,2158,19481,1790,31333,1930,25988,2076,7484,1491,91473,2648,18656,1773,27329,1848,34467,2183,11021,1744,3420,null,null,2158,null,null,1790,null,null,1930,null,null,2076,null,null,1491,null,null,2648,null,null,1773,null,null,1848,null,null,2183,null,null,1744,null,null,04
11027,1518,4792,924,631,391,1774,648,1353,486,1034,453,6235,1118,751,440,2052,588,2398,787,1034,464,1518,null,null,924,null,null,391,null,null,648,null,null,486,null,null,453,null,null,1118,null,null,440,null,null,588,null,null,787,null,null,464,null,null,05
188079,8092,90767,4752,23022,2488,27373,2279,28063,2139,12309,1902,97312,4855,22808,2269,26701,2344,34153,2670,13650,1741,8092,null,null,4752,null,null,2488,null,null,2279,null,null,2139,null,null,1902,null,null,4855,null,null,2269,null,null,2344,null,null,2670,null,null,1741,null,null,06
35063,3154,17635,2224,3670,1222,5556,1165,5460,1192,2949,838,17428,1788,2706,824,4203,800,7169,1418,3350,825,3154,null,null,2224,null,null,1222,null,null,1165,null,null,1192,null,null,838,null,null,1788,null,null,824,null,null,800,null,null,1418,null,null,825,null,null,08
6068,1935,3042,1136,690,737,926,558,1158,530,268,236,3026,1106,378,351,913,488,965,512,770,417,1935,null,null,1136,null,null,737,null,null,558,null,null,530,null,null,236,null,null,1106,null,null,351,null,null,488,null,null,512,null,null,417,null,null,09
2945,616,1601,452,412,311,382,240,422,392,385,268,1344,448,148,140,590,358,481,282,125,147,616,null,null,452,null,null,311,null,null,240,null,null,392,null,null,268,null,null,448,null,null,140,null,null,358,null,null,282,null,null,147,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
