C27001F_001E,C27001F_001M,C27001F_002E,C27001F_002M,C27001F_003E,C27001F_003M,C27001F_004E,C27001F_004M,C27001F_005E,C27001F_005M,C27001F_006E,C27001F_006M,C27001F_007E,C27001F_007M,C27001F_008E,C27001F_008M,C27001F_009E,C27001F_009M,C27001F_010E,C27001F_010M,C27001F_001M,C27001F_001EA,C27001F_001MA,C27001F_002M,C27001F_002EA,C27001F_002MA,C27001F_003M,C27001F_003EA,C27001F_003MA,C27001F_004M,C27001F_004EA,C27001F_004MA,C27001F_005M,C27001F_005EA,C27001F_005MA,C27001F_006M,C27001F_006EA,C27001F_006MA,C27001F_007M,C27001F_007EA,C27001F_007MA,C27001F_008M,C27001F_008EA,C27001F_008MA,C27001F_009M,C27001F_009EA,C27001F_009MA,C27001F_010M,C27001F_010EA,C27001F_010MA,state
228802,12466,70502,5390,64178,5240,6324,1945,149533,8648,90361,7342,59172,6141,8767,1583,7985,1450,782,542,12466,null,null,5390,null,null,5240,null,null,1945,null,null,8648,null,null,7342,null,null,6141,null,null,1583,null,null,1450,null,null,542,null,null,24
281205,15976,79259,6951,78443,6811,816,523,186048,10589,169372,9875,16676,3228,15898,2058,15765,2062,133,154,15976,null,null,6951,null,null,6811,null,null,523,null,null,10589,null,null,9875,null,null,3228,null,null,2058,null,null,2062,null,null,154,null,null,25
118206,9009,39699,4683,37214,4691,2485,1641,73157,5552,57502,4321,15655,3100,5350,1129,5138,1087,212,242,9009,null,null,4683,null,null,4691,null,null,1641,null,null,5552,null,null,4321,null,null,3100,null,null,1129,null,null,1087,null,null,242,null,null,26
111329,6979,40305,3837,34094,3602,6211,2154,67627,4017,46946,4384,20681,3210,3397,1014,3347,1016,50,89,6979,null,null,3837,null,null,3602,null,null,2154,null,null,4017,null,null,4384,null,null,3210,null,null,1014,null,null,1016,null,null,89,null,null,27
28403,4205,10884,2198,9429,2129,1455,927,16051,3097,9069,2223,6982,1876,1468,1081,1326,1023,142,261,4205,null,null,2198,null,null,2129,null,null,927,null,null,3097,null,null,2223,null,null,1876,null,null,1081,null,null,1023,null,null,261,null,null,28
70077,6282,28071,3505,26161,3530,1910,1062,39311,3740,24719,2816,14592,2736,2695,813,2448,780,247,251,6282,null,null,3505,null,null,3530,null,null,1062,null,null,3740,null,null,2816,null,null,2736,null,null,813,null,null,780,null,null,251,null,null,29
3631,1182,1556,694,1368,666,188,264,1928,701,1559,604,369,278,147,148,147,148,0,168,1182,null,null,694,null,null,666,null,null,264,null,null,701,null,null,604,null,null,278,null,null,148,null,null,148,null,null,168,null,null,30
37706,5861,14066,2897,10797,2257,3269,1631,21862,3255,13894,2359,7968,2191,1778,681,1595,646,183,231,5861,null,null,2897,null,null,2257,null,null,1631,null,null,3255,null,null,2359,null,null,2191,null,null,681,null,null,646,null,null,231,null,null,31
270299,14525,84830,6799,75591,6874,9239,2537,173982,9662,116490,7353,57492,6116,11487,1883,10350,1875,1137,678,14525,null,null,6799,null,null,6874,null,null,2537,null,null,9662,null,null,7353,null,null,6116,null,null,1883,null,null,1875,null,null,678,null,null,32
7521,2073,2144,896,2144,896,0,187,5185,1472,5043,1481,142,123,192,164,192,164,0,187,2073,null,null,896,null,null,896,null,null,187,null,null,1472,null,null,1481,null,null,123,null,null,164,null,null,164,null,null,187,null,null,33
539434,20685,160953,8686,149392,8453,11561,2570,348612,14076,233256,10349,115356,9516,29869,2946,27877,2927,1992,794,20685,null,null,8686,null,null,8453,null,null,2570,null,null,14076,null,null,10349,null,null,9516,null,null,2946,null,null,2927,null,null,794,null,null,34
201948,10744,50702,5405,48364,5292,2338,1351,127932,6723,105315,5890,22617,3994,23314,2617,23161,2566,153,186,10744,null,null,5405,null,null,5292,null,null,1351,null,null,6723,null,null,5890,null,null,3994,null,null,2617,null,null,2566,null,null,186,null,null,35
1755919,34895,488615,14381,477961,14417,10654,2144,1144265,23569,906055,21946,238210,12801,123039,5874,118690,6001,4349,1527,34895,null,null,14381,null,null,14417,null,null,2144,null,null,23569,null,null,21946,null,null,12801,null,null,5874,null,null,6001,null,null,1527,null,null,36
300836,14256,111901,7013,98151,6548,13750,3096,180877,8862,92162,6783,88715,6157,8058,1675,6564,1680,1494,618,14256,null,null,7013,null,null,6548,null,null,3096,null,null,8862,null,null,6783,null,null,6157,null,null,1675,null,null,1680,null,null,618,null,null,37
5073,2111,1748,1107,1718,1104,30,32,3276,1174,2275,696,1001,872,49,79,49,79,0,155,2111,null,null,1107,null,null,1104,null,null,32,null,null,1174,null,null,696,null,null,872,null,null,79,null,null,79,null,null,155,null,null,38
107563,9198,37279,4662,34556,4459,2723,1047,65564,5342,49260,4326,16304,3014,4720,1127,4547,1099,173,259,9198,null,null,4662,null,null,4459,null,null,1047,null,null,5342,null,null,4326,null,null,3014,null,null,1127,null,null,1099,null,null,259,null,null,39
103976,7633,35970,3805,33183,3757,2787,820,64344,4746,33984,3051,30360,3427,3662,807,3238,765,424,317,7633,null,null,3805,null,null,3757,null,null,820,null,null,4746,null,null,3051,null,null,3427,null,null,807,null,null,765,null,null,317,null,null,40
119591,10521,37791,5704,35885,5517,1906,1526,77480,6305,61538,6095,15942,3168,4320,1080,3953,988,367,370,10521,null,null,5704,null,null,5517,null,null,1526,null,null,6305,null,null,6095,null,null,3168,null,null,1080,null,null,988,null,null,370,null,null,41
255920,13849,85620,7222,81008,6874,4612,1837,160311,7969,125229,7450,35082,5456,9989,1471,9714,1509,275,265,13849,null,null,7222,null,null,6874,null,null,1837,null,null,7969,null,null,7450,null,null,5456,null,null,1471,null,null,1509,null,null,265,null,null,42
61110,6263,18409,2919,17526,2922,883,562,39396,3954,31188,3522,8208,2322,3305,957,3305,957,0,208,6263,null,null,2919,null,null,2922,null,null,562,null,null,3954,null,null,3522,null,null,2322,null,null,957,null,null,957,null,null,208,null,null,44
75585,9507,25429,4560,24078,4352,1351,671,48104,6026,23571,3672,24533,3912,2052,810,1631,664,421,457,9507,null,null,4560,null,null,4352,null,null,671,null,null,6026,null,null,3672,null,null,3912,null,null,810,null,null,664,null,null,457,null,null,45
5649,1885,2116,1198,1904,1161,212,184,3290,943,1761,619,1529,842,243,232,243,232,0,157,1885,null,null,1198,null,null,1161,null,null,184,null,null,943,null,null,619,null,null,842,null,null,232,null,null,232,null,null,157,null,null,46
78415,7413,32578,4342,29969,4071,2609,973,43901,4147,20845,2904,23056,3166,1936,631,1822,648,114,187,7413,null,null,4342,null,null,4071,null,null,973,null,null,4147,null,null,2904,null,null,3166,null,null,631,null,null,648,null,null,187,null,null,47
1597871,41142,485797,18934,418573,18493,67224,7395,1017156,27561,610733,19564,406423,17484,94918,5967,88438,5568,6480,1794,41142,null,null,18934,null,null,18493,null,null,7395,null,null,27561,null,null,19564,null,null,17484,null,null,5967,null,null,5568,null,null,1794,null,null,48
163288,9869,58960,5533,49590,5219,9370,2988,100428,5469,59757,4972,40671,4183,3900,959,3326,943,574,442,9869,null,null,5533,null,null,5219,null,null,2988,null,null,5469,null,null,4972,null,null,4183,null,null,959,null,null,943,null,null,442,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
224686,12643,67813,6106,55746,5577,12067,2769,151816,8142,86740,7213,65076,7098,5057,1599,4929,1582,128,149,12643,null,null,6106,null,null,5577,null,null,2769,null,null,8142,null,null,7213,null,null,7098,null,null,1599,null,null,1582,null,null,149,null,null,51
346472,13891,116897,7934,111087,7888,5810,2084,219809,8856,148855,7261,70954,5833,9766,1600,9201,1508,565,431,13891,null,null,7934,null,null,7888,null,null,2084,null,null,8856,null,null,7261,null,null,5833,null,null,1600,null,null,1508,null,null,431,null,null,53
6930,1753,1559,828,1559,828,0,193,4980,1219,3756,1100,1224,588,391,412,391,412,0,193,1753,null,null,828,null,null,828,null,null,193,null,null,1219,null,null,1100,null,null,588,null,null,412,null,null,412,null,null,193,null,null,54
124691,7699,44605,4554,41673,4387,2932,1001,77066,4375,52856,4650,24210,3141,3020,843,2869,826,151,198,7699,null,null,4554,null,null,4387,null,null,1001,null,null,4375,null,null,4650,null,null,3141,null,null,843,null,null,826,null,null,198,null,null,55
5654,1932,1549,896,1316,780,233,242,3596,1239,2652,1008,944,929,509,331,509,331,0,197,1932,null,null,896,null,null,780,null,null,242,null,null,1239,null,null,1008,null,null,929,null,null,331,null,null,331,null,null,197,null,null,56
571579,19581,132769,7751,128981,7711,3788,1311,352585,13278,316802,12463,35783,4330,86225,4591,85569,4564,656,371,19581,null,null,7751,null,null,7711,null,null,1311,null,null,13278,null,null,12463,null,null,4330,null,null,4591,null,null,4564,null,null,371,null,null,72
69670,6884,28327,3349,24849,3089,3478,1521,39706,4390,21369,3411,18337,2996,1637,780,1424,742,213,274,6884,null,null,3349,null,null,3089,null,null,1521,null,null,4390,null,null,3411,null,null,2996,null,null,780,null,null,742,null,null,274,null,null,01
12225,3172,2626,1285,2619,1284,7,13,9460,2397,7578,2291,1882,913,139,159,30,49,109,150,3172,null,null,1285,null,null,1284,null,null,13,null,null,2397,null,null,2291,null,null,913,null,null,159,null,null,49,null,null,150,null,null,02
578485,20554,178003,9233,156929,9099,21074,3728,370288,13503,273724,12389,96564,7935,30194,2972,29261,2805,933,489,20554,null,null,9233,null,null,9099,null,null,3728,null,null,13503,null,null,12389,null,null,7935,null,null,2972,null,null,2805,null,null,489,null,null,04
85843,6098,33912,2913,30432,2831,3480,1348,49559,3850,28839,3729,20720,2896,2372,835,2018,810,354,365,6098,null,null,2913,null,null,2831,null,null,1348,null,null,3850,null,null,3729,null,null,2896,null,null,835,null,null,810,null,null,365,null,null,05
5579896,65537,1634554,29134,1561098,28492,73456,7214,3622047,42694,2919278,39619,702769,20064,323295,9737,311145,9765,12150,1972,65537,null,null,29134,null,null,28492,null,null,7214,null,null,42694,null,null,39619,null,null,20064,null,null,9737,null,null,9765,null,null,1972,null,null,06
226592,12950,67082,5891,62366,5978,4716,1939,147085,8186,102407,7660,44678,4540,12425,1535,11852,1437,573,442,12950,null,null,5891,null,null,5978,null,null,1939,null,null,8186,null,null,7660,null,null,4540,null,null,1535,null,null,1437,null,null,442,null,null,08
165687,10806,46398,4369,45024,4446,1374,765,111340,8018,86560,7234,24780,4803,7949,1352,7795,1344,154,175,10806,null,null,4369,null,null,4446,null,null,765,null,null,8018,null,null,7234,null,null,4803,null,null,1352,null,null,1344,null,null,175,null,null,09
15257,4574,4366,1921,4346,1908,20,38,9960,3160,7010,2235,2950,1886,931,708,931,708,0,193,4574,null,null,1921,null,null,1908,null,null,38,null,null,3160,null,null,2235,null,null,1886,null,null,708,null,null,708,null,null,193,null,null,10
37132,4302,12454,1802,11677,1770,777,848,23209,2974,18120,2543,5089,1570,1469,651,1152,541,317,373,4302,null,null,1802,null,null,1770,null,null,848,null,null,2974,null,null,2543,null,null,1570,null,null,651,null,null,541,null,null,373,null,null,11
