C15010C_001E,C15010C_001M,C15010C_002E,C15010C_002M,C15010C_003E,C15010C_003M,C15010C_004E,C15010C_004M,C15010C_005E,C15010C_005M,C15010C_006E,C15010C_006M,C15010C_001M,C15010C_001EA,C15010C_001MA,C15010C_002M,C15010C_002EA,C15010C_002MA,C15010C_003M,C15010C_003EA,C15010C_003MA,C15010C_004M,C15010C_004EA,C15010C_004MA,C15010C_005M,C15010C_005EA,C15010C_005MA,C15010C_006M,C15010C_006EA,C15010C_006MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
3305,872,1283,542,295,266,724,437,330,248,673,452,872,null,null,542,null,null,266,null,null,437,null,null,248,null,null,452,null,null,01
4330,1032,1149,489,327,227,982,605,523,316,1349,555,1032,null,null,489,null,null,227,null,null,605,null,null,316,null,null,555,null,null,02
18505,2277,5075,1013,1868,542,3252,1031,4124,967,4186,1057,2277,null,null,1013,null,null,542,null,null,1031,null,null,967,null,null,1057,null,null,04
2068,640,554,315,399,312,306,206,332,250,477,319,640,null,null,315,null,null,312,null,null,206,null,null,250,null,null,319,null,null,05
25959,2645,8210,1515,2358,712,4072,1072,2865,736,8454,1458,2645,null,null,1515,null,null,712,null,null,1072,null,null,736,null,null,1458,null,null,06
6299,1300,2216,717,588,346,1309,570,542,348,1644,710,1300,null,null,717,null,null,346,null,null,570,null,null,348,null,null,710,null,null,08
1038,504,345,255,82,111,190,180,29,47,392,352,504,null,null,255,null,null,111,null,null,180,null,null,47,null,null,352,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
