B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,B16005D_001M,B16005D_001EA,B16005D_001MA,B16005D_002M,B16005D_002EA,B16005D_002MA,B16005D_003M,B16005D_003EA,B16005D_003MA,B16005D_004M,B16005D_004EA,B16005D_004MA,B16005D_005M,B16005D_005EA,B16005D_005MA,B16005D_006M,B16005D_006EA,B16005D_006MA,B16005D_007M,B16005D_007EA,B16005D_007MA,B16005D_008M,B16005D_008EA,B16005D_008MA,B16005D_009M,B16005D_009EA,B16005D_009MA,B16005D_010M,B16005D_010EA,B16005D_010MA,B16005D_011M,B16005D_011EA,B16005D_011MA,state
398704,4852,107217,5065,49946,3924,57271,4130,46962,3585,10309,1668,291487,5204,40790,3340,250697,5412,118478,5404,132219,5586,4852,null,null,5065,null,null,3924,null,null,4130,null,null,3585,null,null,1668,null,null,5204,null,null,3340,null,null,5412,null,null,5404,null,null,5586,null,null,42
34879,2249,12806,2441,5164,1541,7642,1799,6770,1659,872,561,22073,2195,3668,1567,18405,1916,8796,1721,9609,1683,2249,null,null,2441,null,null,1541,null,null,1799,null,null,1659,null,null,561,null,null,2195,null,null,1567,null,null,1916,null,null,1721,null,null,1683,null,null,44
73441,3397,22377,2211,15411,2167,6966,1597,5982,1410,984,749,51064,3566,9751,1814,41313,3563,19351,2651,21962,3072,3397,null,null,2211,null,null,2167,null,null,1597,null,null,1410,null,null,749,null,null,3566,null,null,1814,null,null,3563,null,null,2651,null,null,3072,null,null,45
12108,1747,2772,1058,1229,594,1543,999,930,711,613,581,9336,1533,1244,551,8092,1481,3085,744,5007,1393,1747,null,null,1058,null,null,594,null,null,999,null,null,711,null,null,581,null,null,1533,null,null,551,null,null,1481,null,null,744,null,null,1393,null,null,46
109835,3600,29457,2802,15452,2428,14005,2165,12672,2057,1333,648,80378,3367,13887,1872,66491,3227,32883,2955,33608,3148,3600,null,null,2802,null,null,2428,null,null,2165,null,null,2057,null,null,648,null,null,3367,null,null,1872,null,null,3227,null,null,2955,null,null,3148,null,null,47
1218328,10604,333994,9055,153401,7496,180593,8138,155526,7595,25067,3195,884334,11537,93341,5972,790993,11079,427553,10813,363440,12132,10604,null,null,9055,null,null,7496,null,null,8138,null,null,7595,null,null,3195,null,null,11537,null,null,5972,null,null,11079,null,null,10813,null,null,12132,null,null,48
66638,3046,20823,2764,13835,2139,6988,1510,5706,1100,1282,897,45815,2504,5974,1135,39841,2735,20005,2248,19836,2529,3046,null,null,2764,null,null,2139,null,null,1510,null,null,1100,null,null,897,null,null,2504,null,null,1135,null,null,2735,null,null,2248,null,null,2529,null,null,49
9205,1034,2101,644,1119,497,982,438,744,344,238,287,7104,974,1345,560,5759,1104,2722,782,3037,952,1034,null,null,644,null,null,497,null,null,438,null,null,344,null,null,287,null,null,974,null,null,560,null,null,1104,null,null,782,null,null,952,null,null,50
504147,6467,139533,4992,73166,4374,66367,4076,58024,4157,8343,1575,364614,6598,44553,3362,320061,6439,177473,6418,142588,5520,6467,null,null,4992,null,null,4374,null,null,4076,null,null,4157,null,null,1575,null,null,6598,null,null,3362,null,null,6439,null,null,6418,null,null,5520,null,null,51
566378,7942,177406,6923,105764,6587,71642,4706,59077,4486,12565,1961,388972,8164,54037,4380,334935,8760,165921,6731,169014,7301,7942,null,null,6923,null,null,6587,null,null,4706,null,null,4486,null,null,1961,null,null,8164,null,null,4380,null,null,8760,null,null,6731,null,null,7301,null,null,53
