B07404F_001E,B07404F_001M,B07404F_002E,B07404F_002M,B07404F_003E,B07404F_003M,B07404F_004E,B07404F_004M,B07404F_005E,B07404F_005M,B07404F_001M,B07404F_001EA,B07404F_001MA,B07404F_002M,B07404F_002EA,B07404F_002MA,B07404F_003M,B07404F_003EA,B07404F_003MA,B07404F_004M,B07404F_004EA,B07404F_004MA,B07404F_005M,B07404F_005EA,B07404F_005MA,state
265988,14099,218653,13580,41644,6793,1228,703,4463,2680,14099,null,null,13580,null,null,6793,null,null,703,null,null,2680,null,null,32
7214,2067,5822,1832,644,831,520,419,228,235,2067,null,null,1832,null,null,831,null,null,419,null,null,235,null,null,33
531308,20941,468699,19000,39585,6768,13121,3917,9903,3047,20941,null,null,19000,null,null,6768,null,null,3917,null,null,3047,null,null,34
204363,10898,179955,10576,16613,4056,5733,1919,2062,983,10898,null,null,10576,null,null,4056,null,null,1919,null,null,983,null,null,35
1725715,33778,1584206,31562,90742,9411,30333,4496,20434,4280,33778,null,null,31562,null,null,9411,null,null,4496,null,null,4280,null,null,36
293401,14043,253405,12855,22750,4856,11422,3328,5824,1874,14043,null,null,12855,null,null,4856,null,null,3328,null,null,1874,null,null,37
5817,2234,4406,1973,215,192,214,242,982,701,2234,null,null,1973,null,null,192,null,null,242,null,null,701,null,null,38
103914,8911,84837,8998,13353,2690,2867,790,2857,1155,8911,null,null,8998,null,null,2690,null,null,790,null,null,1155,null,null,39
104683,7052,90414,7230,7921,1762,4008,1331,2340,907,7052,null,null,7230,null,null,1762,null,null,1331,null,null,907,null,null,40
119437,10085,100602,8968,12379,3831,2923,937,3533,1553,10085,null,null,8968,null,null,3831,null,null,937,null,null,1553,null,null,41
249930,14079,197074,12798,36102,6271,10230,3091,6524,2192,14079,null,null,12798,null,null,6271,null,null,3091,null,null,2192,null,null,42
60390,6433,47087,6127,10347,3946,735,498,2221,1780,6433,null,null,6127,null,null,3946,null,null,498,null,null,1780,null,null,44
75075,9704,59582,8132,9138,3300,3230,1875,3125,1242,9704,null,null,8132,null,null,3300,null,null,1875,null,null,1242,null,null,45
6037,1856,4033,1668,1281,805,113,137,610,461,1856,null,null,1668,null,null,805,null,null,137,null,null,461,null,null,46
77198,7251,63185,6468,9954,2619,1473,663,2586,1347,7251,null,null,6468,null,null,2619,null,null,663,null,null,1347,null,null,47
1573911,40314,1336531,37841,172729,14498,44457,5775,20194,4979,40314,null,null,37841,null,null,14498,null,null,5775,null,null,4979,null,null,48
153898,9946,131272,9751,17616,3722,3128,1521,1882,1074,9946,null,null,9751,null,null,3722,null,null,1521,null,null,1074,null,null,49
3229,1474,2492,1415,346,272,256,321,135,159,1474,null,null,1415,null,null,272,null,null,321,null,null,159,null,null,50
221806,12255,184803,11648,21643,5565,8103,2182,7257,2430,12255,null,null,11648,null,null,5565,null,null,2182,null,null,2430,null,null,51
331117,13254,273043,12848,43046,8680,11856,3542,3172,1232,13254,null,null,12848,null,null,8680,null,null,3542,null,null,1232,null,null,53
7149,1739,5823,1667,541,497,459,399,326,270,1739,null,null,1667,null,null,497,null,null,399,null,null,270,null,null,54
120407,7914,103019,8128,12492,3463,3050,1170,1846,739,7914,null,null,8128,null,null,3463,null,null,1170,null,null,739,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
67131,6740,57061,6672,7750,3219,1601,1098,719,514,6740,null,null,6672,null,null,3219,null,null,1098,null,null,514,null,null,01
11700,2689,8633,2527,2232,1030,100,152,735,562,2689,null,null,2527,null,null,1030,null,null,152,null,null,562,null,null,02
565839,20819,460980,19671,90137,7902,7353,1785,7369,3478,20819,null,null,19671,null,null,7902,null,null,1785,null,null,3478,null,null,04
81603,6239,69617,6704,7186,2355,4010,1264,790,520,6239,null,null,6704,null,null,2355,null,null,1264,null,null,520,null,null,05
5546884,63841,4938143,62937,446938,19795,122432,9862,39371,5497,63841,null,null,62937,null,null,19795,null,null,9862,null,null,5497,null,null,06
223022,13234,185691,12979,21729,4653,9443,2208,6159,3136,13234,null,null,12979,null,null,4653,null,null,2208,null,null,3136,null,null,08
165855,10625,134219,10134,24495,4799,3578,2156,3563,1621,10625,null,null,10134,null,null,4799,null,null,2156,null,null,1621,null,null,09
14303,4412,11050,4046,2741,2288,137,116,375,336,4412,null,null,4046,null,null,2288,null,null,116,null,null,336,null,null,10
36047,4385,29903,3711,4675,2319,0,193,1469,886,4385,null,null,3711,null,null,2319,null,null,193,null,null,886,null,null,11
