C21001C_001E,C21001C_001M,C21001C_002E,C21001C_002M,C21001C_003E,C21001C_003M,C21001C_004E,C21001C_004M,C21001C_005E,C21001C_005M,C21001C_006E,C21001C_006M,C21001C_007E,C21001C_007M,C21001C_008E,C21001C_008M,C21001C_009E,C21001C_009M,C21001C_010E,C21001C_010M,C21001C_011E,C21001C_011M,C21001C_012E,C21001C_012M,C21001C_013E,C21001C_013M,C21001C_014E,C21001C_014M,C21001C_015E,C21001C_015M,C21001C_001M,C21001C_001EA,C21001C_001MA,C21001C_002M,C21001C_002EA,C21001C_002MA,C21001C_003M,C21001C_003EA,C21001C_003MA,C21001C_004M,C21001C_004EA,C21001C_004MA,C21001C_005M,C21001C_005EA,C21001C_005MA,C21001C_006M,C21001C_006EA,C21001C_006MA,C21001C_007M,C21001C_007EA,C21001C_007MA,C21001C_008M,C21001C_008EA,C21001C_008MA,C21001C_009M,C21001C_009EA,C21001C_009MA,C21001C_010M,C21001C_010EA,C21001C_010MA,C21001C_011M,C21001C_011EA,C21001C_011MA,C21001C_012M,C21001C_012EA,C21001C_012MA,C21001C_013M,C21001C_013EA,C21001C_013MA,C21001C_014M,C21001C_014EA,C21001C_014MA,C21001C_015M,C21001C_015EA,C21001C_015MA,state
10023,1861,5390,1418,4866,1366,482,374,4384,1288,524,312,212,203,312,231,4633,1015,4097,886,0,203,4097,886,536,393,0,203,536,393,1861,null,null,1418,null,null,1366,null,null,374,null,null,1288,null,null,312,null,null,203,null,null,231,null,null,1015,null,null,886,null,null,203,null,null,886,null,null,393,null,null,203,null,null,393,null,null,25
39551,2447,19658,1568,16809,1518,1758,506,15051,1510,2849,620,1143,296,1706,554,19893,1710,16740,1471,368,262,16372,1508,3153,671,39,62,3114,674,2447,null,null,1568,null,null,1518,null,null,506,null,null,1510,null,null,620,null,null,296,null,null,554,null,null,1710,null,null,1471,null,null,262,null,null,1508,null,null,671,null,null,62,null,null,674,null,null,26
42000,1890,19566,1208,17996,1286,1918,447,16078,1239,1570,317,826,260,744,283,22434,1181,19751,1176,239,203,19512,1183,2683,528,92,163,2591,481,1890,null,null,1208,null,null,1286,null,null,447,null,null,1239,null,null,317,null,null,260,null,null,283,null,null,1181,null,null,1176,null,null,203,null,null,1183,null,null,528,null,null,163,null,null,481,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
22656,2435,10929,1524,8948,1488,1134,519,7814,1426,1981,773,1068,524,913,514,11727,1622,10449,1579,133,155,10316,1578,1278,466,0,187,1278,466,2435,null,null,1524,null,null,1488,null,null,519,null,null,1426,null,null,773,null,null,524,null,null,514,null,null,1622,null,null,1579,null,null,155,null,null,1578,null,null,466,null,null,187,null,null,466,null,null,29
41353,1677,20723,1202,18689,1118,1498,580,17191,1124,2034,429,1039,302,995,291,20630,1338,17831,1214,746,459,17085,1129,2799,454,98,92,2701,462,1677,null,null,1202,null,null,1118,null,null,580,null,null,1124,null,null,429,null,null,302,null,null,291,null,null,1338,null,null,1214,null,null,459,null,null,1129,null,null,454,null,null,92,null,null,462,null,null,30
10094,1118,5212,830,4722,801,798,557,3924,709,490,218,76,74,414,210,4882,665,4275,620,80,101,4195,607,607,250,115,166,492,207,1118,null,null,830,null,null,801,null,null,557,null,null,709,null,null,218,null,null,74,null,null,210,null,null,665,null,null,620,null,null,101,null,null,607,null,null,250,null,null,166,null,null,207,null,null,31
25060,2159,11974,1400,10202,1266,1653,564,8549,1259,1772,384,754,258,1018,383,13086,1244,10873,1153,474,382,10399,1122,2213,539,146,172,2067,553,2159,null,null,1400,null,null,1266,null,null,564,null,null,1259,null,null,384,null,null,258,null,null,383,null,null,1244,null,null,1153,null,null,382,null,null,1122,null,null,539,null,null,172,null,null,553,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
14729,2470,7447,1618,6473,1553,388,293,6085,1516,974,445,348,291,626,333,7282,1430,6091,1358,187,226,5904,1298,1191,470,112,195,1079,408,2470,null,null,1618,null,null,1553,null,null,293,null,null,1516,null,null,445,null,null,291,null,null,333,null,null,1430,null,null,1358,null,null,226,null,null,1298,null,null,470,null,null,195,null,null,408,null,null,34
138580,3599,63825,1903,55808,1892,3311,874,52497,1967,8017,532,3165,529,4852,578,74755,2202,63128,1989,646,345,62482,2040,11627,843,118,106,11509,849,3599,null,null,1903,null,null,1892,null,null,874,null,null,1967,null,null,532,null,null,529,null,null,578,null,null,2202,null,null,1989,null,null,345,null,null,2040,null,null,843,null,null,106,null,null,849,null,null,35
55499,4356,26142,2664,23022,2609,1081,541,21941,2621,3120,658,880,373,2240,613,29357,2725,23303,2348,504,348,22799,2242,6054,1212,66,107,5988,1224,4356,null,null,2664,null,null,2609,null,null,541,null,null,2621,null,null,658,null,null,373,null,null,613,null,null,2725,null,null,2348,null,null,348,null,null,2242,null,null,1212,null,null,107,null,null,1224,null,null,36
90391,3668,43223,2257,36757,2332,3380,934,33377,2283,6466,802,2318,622,4148,699,47168,2213,39131,1989,498,309,38633,1952,8037,1049,19,37,8018,1043,3668,null,null,2257,null,null,2332,null,null,934,null,null,2283,null,null,802,null,null,622,null,null,699,null,null,2213,null,null,1989,null,null,309,null,null,1952,null,null,1049,null,null,37,null,null,1043,null,null,37
26303,1530,12889,1112,11870,1124,986,487,10884,1123,1019,183,438,187,581,212,13414,1093,11705,1097,153,136,11552,1126,1709,445,61,88,1648,444,1530,null,null,1112,null,null,1124,null,null,487,null,null,1123,null,null,183,null,null,187,null,null,212,null,null,1093,null,null,1097,null,null,136,null,null,1126,null,null,445,null,null,88,null,null,444,null,null,38
15001,2011,8444,1641,7526,1654,544,322,6982,1603,918,438,415,287,503,317,6557,1073,5593,1052,175,175,5418,1029,964,381,0,189,964,381,2011,null,null,1641,null,null,1654,null,null,322,null,null,1603,null,null,438,null,null,287,null,null,317,null,null,1073,null,null,1052,null,null,175,null,null,1029,null,null,381,null,null,189,null,null,381,null,null,39
207821,4608,99458,2970,87502,2836,6726,994,80776,2860,11956,901,5626,797,6330,846,108363,2743,92499,2519,862,450,91637,2589,15864,956,371,284,15493,931,4608,null,null,2970,null,null,2836,null,null,994,null,null,2860,null,null,901,null,null,797,null,null,846,null,null,2743,null,null,2519,null,null,450,null,null,2589,null,null,956,null,null,284,null,null,931,null,null,40
34541,3249,18637,2302,15708,2045,2098,740,13610,1966,2929,922,1539,878,1390,496,15904,1940,14003,1726,297,264,13706,1744,1901,619,0,201,1901,619,3249,null,null,2302,null,null,2045,null,null,740,null,null,1966,null,null,922,null,null,878,null,null,496,null,null,1940,null,null,1726,null,null,264,null,null,1744,null,null,619,null,null,201,null,null,619,null,null,41
18971,2624,10731,1669,9665,1644,1448,695,8217,1646,1066,382,469,266,597,276,8240,1715,7326,1652,16,27,7310,1650,914,371,0,174,914,371,2624,null,null,1669,null,null,1644,null,null,695,null,null,1646,null,null,382,null,null,266,null,null,276,null,null,1715,null,null,1652,null,null,27,null,null,1650,null,null,371,null,null,174,null,null,371,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
11807,1887,5446,1006,4378,877,1086,488,3292,760,1068,519,703,349,365,329,6361,1640,5307,1412,384,332,4923,1375,1054,484,76,121,978,446,1887,null,null,1006,null,null,877,null,null,488,null,null,760,null,null,519,null,null,349,null,null,329,null,null,1640,null,null,1412,null,null,332,null,null,1375,null,null,484,null,null,121,null,null,446,null,null,45
47821,2314,22382,1535,20821,1517,1598,533,19223,1361,1561,223,782,264,779,226,25439,1567,22295,1507,117,112,22178,1506,3144,630,0,157,3144,630,2314,null,null,1535,null,null,1517,null,null,533,null,null,1361,null,null,223,null,null,264,null,null,226,null,null,1567,null,null,1507,null,null,112,null,null,1506,null,null,630,null,null,157,null,null,630,null,null,46
15072,2422,7818,1634,7149,1651,834,465,6315,1647,669,376,224,244,445,252,7254,1464,6380,1416,436,337,5944,1390,874,415,42,68,832,410,2422,null,null,1634,null,null,1651,null,null,465,null,null,1647,null,null,376,null,null,244,null,null,252,null,null,1464,null,null,1416,null,null,337,null,null,1390,null,null,415,null,null,68,null,null,410,null,null,47
100579,7713,53646,4782,46487,4841,4078,1141,42409,4568,7159,1403,3483,887,3676,987,46933,4322,40486,4086,967,497,39519,4100,6447,1107,235,200,6212,1124,7713,null,null,4782,null,null,4841,null,null,1141,null,null,4568,null,null,1403,null,null,887,null,null,987,null,null,4322,null,null,4086,null,null,497,null,null,4100,null,null,1107,null,null,200,null,null,1124,null,null,48
21497,1927,10866,1421,9576,1364,439,321,9137,1269,1290,490,497,298,793,419,10631,1257,9558,1244,116,133,9442,1249,1073,344,18,31,1055,343,1927,null,null,1421,null,null,1364,null,null,321,null,null,1269,null,null,490,null,null,298,null,null,419,null,null,1257,null,null,1244,null,null,133,null,null,1249,null,null,344,null,null,31,null,null,343,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
19252,2750,9185,1911,7482,1730,983,416,6499,1700,1703,650,767,513,936,468,10067,1561,8304,1504,1090,749,7214,1496,1763,618,57,104,1706,590,2750,null,null,1911,null,null,1730,null,null,416,null,null,1700,null,null,650,null,null,513,null,null,468,null,null,1561,null,null,1504,null,null,749,null,null,1496,null,null,618,null,null,104,null,null,590,null,null,51
66889,4339,33755,2174,29821,2085,2948,706,26873,2101,3934,722,1968,499,1966,607,33134,3027,28244,2696,290,207,27954,2682,4890,965,8,15,4882,963,4339,null,null,2174,null,null,2085,null,null,706,null,null,2101,null,null,722,null,null,499,null,null,607,null,null,3027,null,null,2696,null,null,207,null,null,2682,null,null,965,null,null,15,null,null,963,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
38195,2116,18744,1449,16604,1413,1593,436,15011,1345,2140,433,1147,352,993,284,19451,1529,17310,1412,325,228,16985,1385,2141,475,7,14,2134,473,2116,null,null,1449,null,null,1413,null,null,436,null,null,1345,null,null,433,null,null,352,null,null,284,null,null,1529,null,null,1412,null,null,228,null,null,1385,null,null,475,null,null,14,null,null,473,null,null,55
8627,1050,4300,746,3681,677,292,202,3389,643,619,270,175,117,444,258,4327,623,3658,648,0,197,3658,648,669,317,0,197,669,317,1050,null,null,746,null,null,677,null,null,202,null,null,643,null,null,270,null,null,117,null,null,258,null,null,623,null,null,648,null,null,197,null,null,648,null,null,317,null,null,197,null,null,317,null,null,56
6387,1842,2595,814,2220,758,142,169,2078,744,375,233,52,85,323,213,3792,1200,3007,1099,0,222,3007,1099,785,484,0,222,785,484,1842,null,null,814,null,null,758,null,null,169,null,null,744,null,null,233,null,null,85,null,null,213,null,null,1200,null,null,1099,null,null,222,null,null,1099,null,null,484,null,null,222,null,null,484,null,null,72
19262,2605,8715,1843,7620,1757,869,504,6751,1592,1095,443,401,280,694,397,10547,1503,8908,1338,127,192,8781,1299,1639,446,0,195,1639,446,2605,null,null,1843,null,null,1757,null,null,504,null,null,1592,null,null,443,null,null,280,null,null,397,null,null,1503,null,null,1338,null,null,192,null,null,1299,null,null,446,null,null,195,null,null,446,null,null,01
73765,2447,36333,1491,32489,1488,2685,683,29804,1404,3844,410,1271,359,2573,442,37432,1471,32446,1354,299,190,32147,1354,4986,477,0,155,4986,477,2447,null,null,1491,null,null,1488,null,null,683,null,null,1404,null,null,410,null,null,359,null,null,442,null,null,1471,null,null,1354,null,null,190,null,null,1354,null,null,477,null,null,155,null,null,477,null,null,02
211772,4163,103011,2417,92359,2359,4680,1095,87679,2519,10652,607,2458,577,8194,701,108761,2917,93876,2589,1002,497,92874,2577,14885,1012,164,194,14721,1000,4163,null,null,2417,null,null,2359,null,null,1095,null,null,2519,null,null,607,null,null,577,null,null,701,null,null,2917,null,null,2589,null,null,497,null,null,2577,null,null,1012,null,null,194,null,null,1000,null,null,04
13828,1880,6045,1170,5318,1084,490,301,4828,988,727,448,310,219,417,382,7783,1276,6874,1248,35,64,6839,1248,909,498,75,122,834,466,1880,null,null,1170,null,null,1084,null,null,301,null,null,988,null,null,448,null,null,219,null,null,382,null,null,1276,null,null,1248,null,null,64,null,null,1248,null,null,498,null,null,122,null,null,466,null,null,05
219769,10215,107154,6030,93135,5685,6204,1166,86931,5721,14019,1443,5652,1079,8367,1181,112615,5829,93280,5376,794,428,92486,5271,19335,2187,257,178,19078,2185,10215,null,null,6030,null,null,5685,null,null,1166,null,null,5721,null,null,1443,null,null,1079,null,null,1181,null,null,5829,null,null,5376,null,null,428,null,null,5271,null,null,2187,null,null,178,null,null,2185,null,null,06
42633,3798,20556,2722,17328,2583,1709,628,15619,2550,3228,799,1589,671,1639,493,22077,2087,20082,2114,495,342,19587,2094,1995,501,54,56,1941,500,3798,null,null,2722,null,null,2583,null,null,628,null,null,2550,null,null,799,null,null,671,null,null,493,null,null,2087,null,null,2114,null,null,342,null,null,2094,null,null,501,null,null,56,null,null,500,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
3327,747,1953,566,1721,573,249,229,1472,559,232,185,174,189,58,71,1374,457,997,394,42,74,955,400,377,199,0,193,377,199,747,null,null,566,null,null,573,null,null,229,null,null,559,null,null,185,null,null,189,null,null,71,null,null,457,null,null,394,null,null,74,null,null,400,null,null,199,null,null,193,null,null,199,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
