B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,B19101D_001M,B19101D_001EA,B19101D_001MA,B19101D_002M,B19101D_002EA,B19101D_002MA,B19101D_003M,B19101D_003EA,B19101D_003MA,B19101D_004M,B19101D_004EA,B19101D_004MA,B19101D_005M,B19101D_005EA,B19101D_005MA,B19101D_006M,B19101D_006EA,B19101D_006MA,B19101D_007M,B19101D_007EA,B19101D_007MA,B19101D_008M,B19101D_008EA,B19101D_008MA,B19101D_009M,B19101D_009EA,B19101D_009MA,B19101D_010M,B19101D_010EA,B19101D_010MA,B19101D_011M,B19101D_011EA,B19101D_011MA,B19101D_012M,B19101D_012EA,B19101D_012MA,B19101D_013M,B19101D_013EA,B19101D_013MA,B19101D_014M,B19101D_014EA,B19101D_014MA,B19101D_015M,B19101D_015EA,B19101D_015MA,B19101D_016M,B19101D_016EA,B19101D_016MA,B19101D_017M,B19101D_017EA,B19101D_017MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
30719,1630,1813,663,712,340,784,437,1170,567,543,397,1386,495,1288,586,1001,551,727,375,1279,476,3542,904,3556,960,4061,1079,2345,665,2514,814,3998,808,1630,null,null,663,null,null,340,null,null,437,null,null,567,null,null,397,null,null,495,null,null,586,null,null,551,null,null,375,null,null,476,null,null,904,null,null,960,null,null,1079,null,null,665,null,null,814,null,null,808,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
14368,1286,382,302,250,156,153,204,469,371,131,120,567,357,228,199,639,537,952,582,1466,595,1453,543,1912,666,2347,812,505,327,938,621,1976,625,1286,null,null,302,null,null,156,null,null,204,null,null,371,null,null,120,null,null,357,null,null,199,null,null,537,null,null,582,null,null,595,null,null,543,null,null,666,null,null,812,null,null,327,null,null,621,null,null,625,null,null,01
8553,1105,62,87,46,78,109,108,232,216,301,269,231,186,0,155,110,123,386,324,454,318,1419,562,1594,684,1669,805,663,337,686,427,591,257,1105,null,null,87,null,null,78,null,null,108,null,null,216,null,null,269,null,null,186,null,null,155,null,null,123,null,null,324,null,null,318,null,null,562,null,null,684,null,null,805,null,null,337,null,null,427,null,null,257,null,null,02
51403,1881,1972,842,892,367,1583,572,1664,553,1639,559,1364,497,1117,421,1626,606,2102,752,3050,819,5892,1307,8387,1248,5334,998,3818,933,4852,1197,6111,1159,1881,null,null,842,null,null,367,null,null,572,null,null,553,null,null,559,null,null,497,null,null,421,null,null,606,null,null,752,null,null,819,null,null,1307,null,null,1248,null,null,998,null,null,933,null,null,1197,null,null,1159,null,null,04
8007,1034,166,185,37,69,271,246,0,197,282,275,130,189,225,208,370,257,356,346,1228,554,469,344,1565,623,1096,500,363,215,628,431,821,433,1034,null,null,185,null,null,69,null,null,246,null,null,197,null,null,275,null,null,189,null,null,208,null,null,257,null,null,346,null,null,554,null,null,344,null,null,623,null,null,500,null,null,215,null,null,431,null,null,433,null,null,05
1320449,10796,42159,3557,30915,3234,42697,3158,38606,3061,33936,2799,38598,3269,38045,3071,37282,3073,34547,2956,70500,3986,104527,4555,158953,6115,146784,6067,105814,4832,164711,5495,232375,6272,10796,null,null,3557,null,null,3234,null,null,3158,null,null,3061,null,null,2799,null,null,3269,null,null,3071,null,null,3073,null,null,2956,null,null,3986,null,null,4555,null,null,6115,null,null,6067,null,null,4832,null,null,5495,null,null,6272,null,null,06
39680,2089,1144,472,440,313,765,357,1110,469,1260,479,1639,697,1665,677,1356,479,1905,767,1868,687,4695,923,6416,1025,4655,1111,2559,716,4411,1050,3792,921,2089,null,null,472,null,null,313,null,null,357,null,null,469,null,null,479,null,null,697,null,null,677,null,null,479,null,null,767,null,null,687,null,null,923,null,null,1025,null,null,1111,null,null,716,null,null,1050,null,null,921,null,null,08
39537,1867,1218,520,657,459,696,379,779,431,518,325,1877,833,1320,606,499,358,1235,558,2201,778,3100,780,5504,1116,3862,916,3592,934,4555,1038,7924,955,1867,null,null,520,null,null,459,null,null,379,null,null,431,null,null,325,null,null,833,null,null,606,null,null,358,null,null,558,null,null,778,null,null,780,null,null,1116,null,null,916,null,null,934,null,null,1038,null,null,955,null,null,09
8036,813,220,191,150,175,272,261,321,367,22,31,52,66,304,338,381,307,15,28,301,249,553,271,1659,621,519,322,585,427,1575,656,1107,439,813,null,null,191,null,null,175,null,null,261,null,null,367,null,null,31,null,null,66,null,null,338,null,null,307,null,null,28,null,null,249,null,null,271,null,null,621,null,null,322,null,null,427,null,null,656,null,null,439,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
