C15002F_001E,C15002F_001M,C15002F_002E,C15002F_002M,C15002F_003E,C15002F_003M,C15002F_004E,C15002F_004M,C15002F_005E,C15002F_005M,C15002F_006E,C15002F_006M,C15002F_007E,C15002F_007M,C15002F_008E,C15002F_008M,C15002F_009E,C15002F_009M,C15002F_010E,C15002F_010M,C15002F_011E,C15002F_011M,C15002F_001M,C15002F_001EA,C15002F_001MA,C15002F_002M,C15002F_002EA,C15002F_002MA,C15002F_003M,C15002F_003EA,C15002F_003MA,C15002F_004M,C15002F_004EA,C15002F_004MA,C15002F_005M,C15002F_005EA,C15002F_005MA,C15002F_006M,C15002F_006EA,C15002F_006MA,C15002F_007M,C15002F_007EA,C15002F_007MA,C15002F_008M,C15002F_008EA,C15002F_008MA,C15002F_009M,C15002F_009EA,C15002F_009MA,C15002F_010M,C15002F_010EA,C15002F_010MA,C15002F_011M,C15002F_011EA,C15002F_011MA,state
1558,545,515,252,7,14,140,127,163,116,205,181,1043,488,59,71,364,372,220,207,400,271,545,null,null,252,null,null,14,null,null,127,null,null,116,null,null,181,null,null,488,null,null,71,null,null,372,null,null,207,null,null,271,null,null,23
135656,7794,73057,4953,38374,3707,16801,2802,10417,1845,7465,1550,62599,4090,24037,2598,16242,2599,12600,2468,9720,1626,7794,null,null,4953,null,null,3707,null,null,2802,null,null,1845,null,null,1550,null,null,4090,null,null,2598,null,null,2599,null,null,2468,null,null,1626,null,null,24
169839,8980,83628,4829,26384,2945,30734,3318,17164,2187,9346,2121,86211,5493,26504,3192,26697,3005,21350,2881,11660,2023,8980,null,null,4829,null,null,2945,null,null,3318,null,null,2187,null,null,2121,null,null,5493,null,null,3192,null,null,3005,null,null,2881,null,null,2023,null,null,25
66028,4503,34521,2869,14532,1683,9203,1348,6452,1182,4334,1005,31507,2411,9703,1412,7584,1407,8919,1411,5301,1121,4503,null,null,2869,null,null,1683,null,null,1348,null,null,1182,null,null,1005,null,null,2411,null,null,1412,null,null,1407,null,null,1411,null,null,1121,null,null,26
59433,3952,32944,2302,15122,1991,9557,1762,4722,968,3543,1249,26489,2377,11912,1904,7157,1366,4157,957,3263,774,3952,null,null,2302,null,null,1991,null,null,1762,null,null,968,null,null,1249,null,null,2377,null,null,1904,null,null,1366,null,null,957,null,null,774,null,null,27
16659,2763,9551,1830,4951,1431,2234,753,1938,836,428,291,7108,1495,2324,800,2445,1007,1078,621,1261,665,2763,null,null,1830,null,null,1431,null,null,753,null,null,836,null,null,291,null,null,1495,null,null,800,null,null,1007,null,null,621,null,null,665,null,null,28
33435,3012,16786,2144,5221,1205,5495,1523,2880,1186,3190,947,16649,1880,5687,1109,4749,1165,4131,1193,2082,595,3012,null,null,2144,null,null,1205,null,null,1523,null,null,1186,null,null,947,null,null,1880,null,null,1109,null,null,1165,null,null,1193,null,null,595,null,null,29
1966,712,1001,471,308,220,112,108,361,322,220,238,965,490,116,130,400,326,112,149,337,297,712,null,null,471,null,null,220,null,null,108,null,null,322,null,null,238,null,null,490,null,null,130,null,null,326,null,null,149,null,null,297,null,null,30
19454,3058,9764,1768,4848,1230,2318,815,1896,707,702,344,9690,1645,4949,1293,2244,832,1774,673,723,366,3058,null,null,1768,null,null,1230,null,null,815,null,null,707,null,null,344,null,null,1645,null,null,1293,null,null,832,null,null,673,null,null,366,null,null,31
157870,9006,82554,5448,34875,3531,26939,3026,15455,2124,5285,1400,75316,4565,30472,3345,23249,2691,15402,2091,6193,1431,9006,null,null,5448,null,null,3531,null,null,3026,null,null,2124,null,null,1400,null,null,4565,null,null,3345,null,null,2691,null,null,2091,null,null,1431,null,null,32
4959,1204,2683,860,299,240,384,297,639,345,1361,870,2276,752,608,393,412,253,759,489,497,329,1204,null,null,860,null,null,240,null,null,297,null,null,345,null,null,870,null,null,752,null,null,393,null,null,253,null,null,489,null,null,329,null,null,33
324085,13187,163959,7322,53655,4164,61397,4727,33899,3294,15008,2035,160126,7778,46697,4230,51264,4375,39807,3322,22358,2654,13187,null,null,7322,null,null,4164,null,null,4727,null,null,3294,null,null,2035,null,null,7778,null,null,4230,null,null,4375,null,null,3322,null,null,2654,null,null,34
134886,6679,67232,4367,20784,2798,23961,2099,15270,2058,7217,1567,67654,3790,17113,2162,21480,2692,20315,2706,8746,1789,6679,null,null,4367,null,null,2798,null,null,2099,null,null,2058,null,null,1567,null,null,3790,null,null,2162,null,null,2692,null,null,2706,null,null,1789,null,null,35
1077678,21187,520920,12246,185230,7539,164529,8711,108007,6866,63154,4915,556758,12119,190511,8756,155749,6949,127767,6827,82731,5531,21187,null,null,12246,null,null,7539,null,null,8711,null,null,6866,null,null,4915,null,null,12119,null,null,8756,null,null,6949,null,null,6827,null,null,5531,null,null,36
154534,7770,82089,5179,39437,2797,20199,2507,16190,2483,6263,1685,72445,4097,32392,3110,19194,2432,11812,2079,9047,1742,7770,null,null,5179,null,null,2797,null,null,2507,null,null,2483,null,null,1685,null,null,4097,null,null,3110,null,null,2432,null,null,2079,null,null,1742,null,null,37
2812,1035,1551,591,766,433,310,254,263,193,212,244,1261,587,564,465,169,171,389,281,139,120,1035,null,null,591,null,null,433,null,null,254,null,null,193,null,null,244,null,null,587,null,null,465,null,null,171,null,null,281,null,null,120,null,null,38
60380,5150,32743,3656,11326,2300,10773,1642,6579,1444,4065,1171,27637,2745,6980,1422,7891,1593,9074,1375,3692,984,5150,null,null,3656,null,null,2300,null,null,1642,null,null,1444,null,null,1171,null,null,2745,null,null,1422,null,null,1593,null,null,1375,null,null,984,null,null,39
56550,3957,31343,2413,15063,1697,9063,1228,5507,1125,1710,565,25207,2110,10214,1233,6786,1078,5974,1109,2233,706,3957,null,null,2413,null,null,1697,null,null,1228,null,null,1125,null,null,565,null,null,2110,null,null,1233,null,null,1078,null,null,1109,null,null,706,null,null,40
68488,5456,37419,3536,15378,2221,11454,2375,7218,1458,3369,1015,31069,2999,13162,2058,7144,1420,6189,1212,4574,1010,5456,null,null,3536,null,null,2221,null,null,2375,null,null,1458,null,null,1015,null,null,2999,null,null,2058,null,null,1420,null,null,1212,null,null,1010,null,null,41
143367,7141,71564,4368,27178,3143,25549,2957,12501,2161,6336,1469,71803,3822,21212,2663,24346,2585,18921,2337,7324,1421,7141,null,null,4368,null,null,3143,null,null,2957,null,null,2161,null,null,1469,null,null,3822,null,null,2663,null,null,2585,null,null,2337,null,null,1421,null,null,42
34021,3376,17287,2230,6063,1505,6049,1221,3066,1015,2109,947,16734,2008,5689,1236,4451,1165,4434,1089,2160,860,3376,null,null,2230,null,null,1505,null,null,1221,null,null,1015,null,null,947,null,null,2008,null,null,1236,null,null,1165,null,null,1089,null,null,860,null,null,44
39514,5644,20064,3387,8464,1909,5777,1776,4173,1483,1650,913,19450,3013,7068,1506,4535,1348,3832,1089,4015,1420,5644,null,null,3387,null,null,1909,null,null,1776,null,null,1483,null,null,913,null,null,3013,null,null,1506,null,null,1348,null,null,1089,null,null,1420,null,null,45
3492,1023,2222,789,1072,479,273,184,704,438,173,154,1270,485,920,387,87,108,206,229,57,75,1023,null,null,789,null,null,479,null,null,184,null,null,438,null,null,154,null,null,485,null,null,387,null,null,108,null,null,229,null,null,75,null,null,46
36963,3455,20404,2173,9072,1621,6040,1355,2714,982,2578,1007,16559,1962,7081,1246,3961,969,3803,956,1714,607,3455,null,null,2173,null,null,1621,null,null,1355,null,null,982,null,null,1007,null,null,1962,null,null,1246,null,null,969,null,null,956,null,null,607,null,null,47
950136,22026,494842,14062,198935,8700,151471,8056,93634,6165,50802,4923,455294,12125,176233,7503,128656,7644,97593,5878,52812,4559,22026,null,null,14062,null,null,8700,null,null,8056,null,null,6165,null,null,4923,null,null,12125,null,null,7503,null,null,7644,null,null,5878,null,null,4559,null,null,48
87224,4825,45885,2975,20111,2708,13351,1818,9050,1815,3373,1202,41339,2760,16602,2618,11878,1695,7508,1344,5351,1443,4825,null,null,2975,null,null,2708,null,null,1818,null,null,1815,null,null,1202,null,null,2760,null,null,2618,null,null,1695,null,null,1344,null,null,1443,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
133859,7476,75042,5051,30145,4549,20108,2784,13916,2200,10873,1990,58817,3971,19910,2935,14153,2236,12995,1939,11759,2058,7476,null,null,5051,null,null,4549,null,null,2784,null,null,2200,null,null,1990,null,null,3971,null,null,2935,null,null,2236,null,null,1939,null,null,2058,null,null,51
183132,6998,98216,4258,46100,3603,24880,2889,18282,2584,8954,1542,84916,3967,36723,3077,20298,2569,17496,2219,10399,1784,6998,null,null,4258,null,null,3603,null,null,2889,null,null,2584,null,null,1542,null,null,3967,null,null,3077,null,null,2569,null,null,2219,null,null,1784,null,null,53
4693,1257,2567,771,564,379,867,468,438,201,698,498,2126,743,483,310,718,471,470,292,455,311,1257,null,null,771,null,null,379,null,null,468,null,null,201,null,null,498,null,null,743,null,null,310,null,null,471,null,null,292,null,null,311,null,null,54
67221,3811,34989,2192,13887,1954,11334,1637,7100,1379,2668,970,32232,2468,11424,1657,9309,1482,8657,1470,2842,738,3811,null,null,2192,null,null,1954,null,null,1637,null,null,1379,null,null,970,null,null,2468,null,null,1657,null,null,1482,null,null,1470,null,null,738,null,null,55
3945,1295,2471,1030,881,698,649,349,886,737,55,78,1474,543,561,355,223,146,327,251,363,373,1295,null,null,1030,null,null,698,null,null,349,null,null,737,null,null,78,null,null,543,null,null,355,null,null,146,null,null,251,null,null,373,null,null,56
381768,13059,178945,7619,54208,4809,58344,4331,35585,3803,30808,3775,202823,7550,52626,3929,53817,4255,43058,3494,53322,4236,13059,null,null,7619,null,null,4809,null,null,4331,null,null,3803,null,null,3775,null,null,7550,null,null,3929,null,null,4255,null,null,3494,null,null,4236,null,null,72
34822,3496,19256,2146,10304,1637,4408,976,2764,887,1780,653,15566,1945,7138,1576,3893,979,2338,640,2197,931,3496,null,null,2146,null,null,1637,null,null,976,null,null,887,null,null,653,null,null,1945,null,null,1576,null,null,979,null,null,640,null,null,931,null,null,01
7846,1848,3791,1517,277,235,1522,1054,1743,1152,249,232,4055,956,1323,729,986,585,1198,636,548,412,1848,null,null,1517,null,null,235,null,null,1054,null,null,1152,null,null,232,null,null,956,null,null,729,null,null,585,null,null,636,null,null,412,null,null,02
324505,12033,163235,6865,70869,4860,41508,3271,39367,3864,11491,1843,161270,7159,59977,4122,41456,3752,44111,3924,15726,2012,12033,null,null,6865,null,null,4860,null,null,3271,null,null,3864,null,null,1843,null,null,7159,null,null,4122,null,null,3752,null,null,3924,null,null,2012,null,null,04
41779,3369,22875,2170,12984,2087,5917,1632,2433,978,1541,1066,18904,1805,9638,1509,3877,1305,3190,943,2199,938,3369,null,null,2170,null,null,2087,null,null,1632,null,null,978,null,null,1066,null,null,1805,null,null,1509,null,null,1305,null,null,943,null,null,938,null,null,05
3291611,36309,1667932,21365,695367,15729,474390,13606,357711,11096,140464,7359,1623679,19061,667400,13036,415233,11221,375509,9947,165537,6992,36309,null,null,21365,null,null,15729,null,null,13606,null,null,11096,null,null,7359,null,null,19061,null,null,13036,null,null,11221,null,null,9947,null,null,6992,null,null,06
133169,6658,69057,4546,21027,2772,28276,3093,11737,1919,8017,1742,64112,3726,20022,2812,21573,2381,14523,2046,7994,1760,6658,null,null,4546,null,null,2772,null,null,3093,null,null,1919,null,null,1742,null,null,3726,null,null,2812,null,null,2381,null,null,2046,null,null,1760,null,null,08
103172,7065,52943,4467,19850,3033,19271,2372,8379,1784,5443,1478,50229,3624,15769,2300,14976,2155,12010,1694,7474,1658,7065,null,null,4467,null,null,3033,null,null,2372,null,null,1784,null,null,1478,null,null,3624,null,null,2300,null,null,2155,null,null,1694,null,null,1658,null,null,09
9547,2925,5344,1762,1343,628,2676,1222,688,441,637,441,4203,1320,934,615,1871,971,392,441,1006,522,2925,null,null,1762,null,null,628,null,null,1222,null,null,441,null,null,441,null,null,1320,null,null,615,null,null,971,null,null,441,null,null,522,null,null,10
21627,2789,11330,1959,5327,1583,2188,880,1401,763,2414,871,10297,1408,3998,1259,1726,749,1777,926,2796,897,2789,null,null,1959,null,null,1583,null,null,880,null,null,763,null,null,871,null,null,1408,null,null,1259,null,null,749,null,null,926,null,null,897,null,null,11
