B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,B16005A_001M,B16005A_001EA,B16005A_001MA,B16005A_002M,B16005A_002EA,B16005A_002MA,B16005A_003M,B16005A_003EA,B16005A_003MA,B16005A_004M,B16005A_004EA,B16005A_004MA,B16005A_005M,B16005A_005EA,B16005A_005MA,B16005A_006M,B16005A_006EA,B16005A_006MA,B16005A_007M,B16005A_007EA,B16005A_007MA,B16005A_008M,B16005A_008EA,B16005A_008MA,B16005A_009M,B16005A_009EA,B16005A_009MA,B16005A_010M,B16005A_010EA,B16005A_010MA,B16005A_011M,B16005A_011EA,B16005A_011MA,state
1858564,13445,1597187,12780,1400629,11364,196558,9595,173392,8977,23166,3272,261377,9777,43944,3490,217433,9487,88876,6009,128557,7757,13445,null,null,12780,null,null,11364,null,null,9595,null,null,8977,null,null,3272,null,null,9777,null,null,3490,null,null,9487,null,null,6009,null,null,7757,null,null,32
1190586,2526,1148976,4571,1109587,5926,39389,3911,34876,3886,4513,1029,41610,3824,18308,2368,23302,3115,12189,1682,11113,2333,2526,null,null,4571,null,null,5926,null,null,3911,null,null,3886,null,null,1029,null,null,3824,null,null,2368,null,null,3115,null,null,1682,null,null,2333,null,null,33
5773399,20795,4877952,19544,4282640,18807,595312,16798,502142,15020,93170,5563,895447,20172,133759,6266,761688,19358,324271,10221,437417,15466,20795,null,null,19544,null,null,18807,null,null,16798,null,null,15020,null,null,5563,null,null,20172,null,null,6266,null,null,19358,null,null,10221,null,null,15466,null,null,34
1451809,10848,1315709,11927,1020998,11955,294711,13164,258333,12734,36378,3609,136100,8131,16489,2804,119611,7172,46722,4388,72889,6151,10848,null,null,11927,null,null,11955,null,null,13164,null,null,12734,null,null,3609,null,null,8131,null,null,2804,null,null,7172,null,null,4388,null,null,6151,null,null,35
11893129,27393,10370509,26349,9230336,26916,1140173,22990,913455,22160,226718,9123,1522620,25070,292788,9647,1229832,23707,539998,15903,689834,17130,27393,null,null,26349,null,null,26916,null,null,22990,null,null,22160,null,null,9123,null,null,25070,null,null,9647,null,null,23707,null,null,15903,null,null,17130,null,null,36
6624327,13052,6265679,13476,6000295,13321,265384,9654,224992,9529,40392,3258,358648,13010,75212,5538,283436,11067,110286,6732,173150,7307,13052,null,null,13476,null,null,13321,null,null,9654,null,null,9529,null,null,3258,null,null,13010,null,null,5538,null,null,11067,null,null,6732,null,null,7307,null,null,37
618093,2808,609100,2813,595480,2657,13620,2240,11229,1967,2391,697,8993,1399,3759,960,5234,1264,3503,984,1731,782,2808,null,null,2813,null,null,2657,null,null,2240,null,null,1967,null,null,697,null,null,1399,null,null,960,null,null,1264,null,null,984,null,null,782,null,null,38
8962322,9608,8735886,13541,8474425,14179,261461,9321,202028,8409,59433,4988,226436,9904,68232,4690,158204,8412,80972,4983,77232,5718,9608,null,null,13541,null,null,14179,null,null,9321,null,null,8409,null,null,4988,null,null,9904,null,null,4690,null,null,8412,null,null,4983,null,null,5718,null,null,39
2674405,7092,2568221,6650,2466816,6444,101405,6212,85276,5717,16129,2371,106184,5349,18300,1968,87884,5168,34077,3142,53807,3939,7092,null,null,6650,null,null,6444,null,null,6212,null,null,5717,null,null,2371,null,null,5349,null,null,1968,null,null,5168,null,null,3142,null,null,3939,null,null,40
3273246,11748,3070690,11766,2906138,13216,164552,9315,140914,9639,23638,3008,202556,9577,44900,3732,157656,8944,65901,5306,91755,6402,11748,null,null,11766,null,null,13216,null,null,9315,null,null,9639,null,null,3008,null,null,9577,null,null,3732,null,null,8944,null,null,5306,null,null,6402,null,null,41
9826689,13683,9476944,14195,9052581,19173,424363,13936,321094,12482,103269,6632,349745,14241,86111,4778,263634,12823,123037,6207,140597,8955,13683,null,null,14195,null,null,19173,null,null,13936,null,null,12482,null,null,6632,null,null,14241,null,null,4778,null,null,12823,null,null,6207,null,null,8955,null,null,42
813281,5660,742001,6667,682534,6615,59467,4721,48903,3575,10564,2120,71280,4969,13714,1811,57566,5032,26899,3523,30667,3540,5660,null,null,6667,null,null,6615,null,null,4721,null,null,3575,null,null,2120,null,null,4969,null,null,1811,null,null,5032,null,null,3523,null,null,3540,null,null,44
3166042,9259,3031148,8812,2944720,8218,86428,5775,71116,4904,15312,2480,134894,8385,37876,3278,97018,7206,41881,5030,55137,5910,9259,null,null,8812,null,null,8218,null,null,5775,null,null,4904,null,null,2480,null,null,8385,null,null,3278,null,null,7206,null,null,5030,null,null,5910,null,null,45
687422,2358,676562,2413,662444,2482,14118,1980,12098,1896,2020,648,10860,1764,3531,926,7329,1639,3503,1047,3826,1068,2358,null,null,2413,null,null,2482,null,null,1980,null,null,1896,null,null,648,null,null,1764,null,null,926,null,null,1639,null,null,1047,null,null,1068,null,null,46
4891434,7854,4726532,10382,4602776,10690,123756,7882,100287,7404,23469,3555,164902,9272,35910,3266,128992,8751,49420,5537,79572,6329,7854,null,null,10382,null,null,10690,null,null,7882,null,null,7404,null,null,3555,null,null,9272,null,null,3266,null,null,8751,null,null,5537,null,null,6329,null,null,47
19256487,38196,16413055,37524,12479649,33837,3933406,37467,3190315,36849,743091,21023,2843432,36327,237446,9123,2605986,37087,827229,21570,1778757,33063,38196,null,null,37524,null,null,33837,null,null,37467,null,null,36849,null,null,21023,null,null,36327,null,null,9123,null,null,37087,null,null,21570,null,null,33063,null,null,48
2420672,9241,2309435,9211,2181477,10657,127958,7747,112855,7375,15103,2749,111237,7241,28102,2302,83135,6638,42333,4230,40802,4391,9241,null,null,9211,null,null,10657,null,null,7747,null,null,7375,null,null,2749,null,null,7241,null,null,2302,null,null,6638,null,null,4230,null,null,4391,null,null,49
561821,838,544349,2167,531025,3273,13324,1771,12490,1729,834,327,17472,1954,8572,1118,8900,1839,6246,1178,2654,980,838,null,null,2167,null,null,3273,null,null,1771,null,null,1729,null,null,327,null,null,1954,null,null,1118,null,null,1839,null,null,1178,null,null,980,null,null,50
5397786,9795,5013055,12796,4768649,15688,244406,9649,211616,9150,32790,3702,384731,12755,72893,4776,311838,11565,155676,8273,156162,7900,9795,null,null,12796,null,null,15688,null,null,9649,null,null,9150,null,null,3702,null,null,12755,null,null,4776,null,null,11565,null,null,8273,null,null,7900,null,null,51
5213320,12558,4855664,15914,4607583,17204,248081,10049,210079,9761,38002,3906,357656,13167,106873,5808,250783,12065,118620,7096,132163,7659,12558,null,null,15914,null,null,17204,null,null,10049,null,null,9761,null,null,3906,null,null,13167,null,null,5808,null,null,12065,null,null,7096,null,null,7659,null,null,53
1613033,2331,1600100,2945,1582216,3637,17884,2284,13222,1895,4662,1363,12933,2234,5863,1221,7070,1723,4565,1431,2505,983,2331,null,null,2945,null,null,3637,null,null,2284,null,null,1895,null,null,1363,null,null,2234,null,null,1221,null,null,1723,null,null,1431,null,null,983,null,null,54
4686777,7504,4560269,6957,4409251,8621,151018,6717,118270,6131,32748,2784,126508,6692,30413,2021,96095,6549,43590,4147,52505,4251,7504,null,null,6957,null,null,8621,null,null,6717,null,null,6131,null,null,2784,null,null,6692,null,null,2021,null,null,6549,null,null,4147,null,null,4251,null,null,55
505027,2257,493815,2569,471537,3803,22278,3282,19978,2766,2300,1013,11212,1971,2826,782,8386,1945,3281,1128,5105,1639,2257,null,null,2569,null,null,3803,null,null,3282,null,null,2766,null,null,1013,null,null,1971,null,null,782,null,null,1945,null,null,1128,null,null,1639,null,null,56
2170286,19669,2128049,19556,145239,9702,1982810,21056,410978,12209,1571832,20405,42237,3769,2525,847,39712,3612,9763,1874,29949,2934,19669,null,null,19556,null,null,9702,null,null,21056,null,null,12209,null,null,20405,null,null,3769,null,null,847,null,null,3612,null,null,1874,null,null,2934,null,null,72
3139491,5758,3070821,5884,3009030,7222,61791,4984,49964,4817,11827,2051,68670,4622,18295,2751,50375,4335,19664,2352,30711,3583,5758,null,null,5884,null,null,7222,null,null,4984,null,null,4817,null,null,2051,null,null,4622,null,null,2751,null,null,4335,null,null,2352,null,null,3583,null,null,01
449360,3016,434422,3406,413508,3821,20914,3298,18491,2795,2423,1522,14938,2080,5822,1249,9116,1887,6266,1544,2850,996,3016,null,null,3406,null,null,3821,null,null,3298,null,null,2795,null,null,1522,null,null,2080,null,null,1249,null,null,1887,null,null,1544,null,null,996,null,null,02
4963565,19449,4434468,20126,3861310,22230,573158,18633,500958,17002,72200,5646,529097,16861,114448,6863,414649,14410,175047,8543,239602,10287,19449,null,null,20126,null,null,22230,null,null,18633,null,null,17002,null,null,5646,null,null,16861,null,null,6863,null,null,14410,null,null,8543,null,null,10287,null,null,04
2160939,4852,2103955,5149,2054164,6513,49791,4626,42795,4161,6996,2155,56984,4739,17524,2529,39460,4372,13038,2322,26422,3695,4852,null,null,5149,null,null,6513,null,null,4626,null,null,4161,null,null,2155,null,null,4739,null,null,2529,null,null,4372,null,null,2322,null,null,3695,null,null,05
22071864,56773,17752496,51496,14195016,45250,3557480,37082,3097199,36019,460281,13449,4319368,42035,548276,12084,3771092,41355,1431014,24719,2340078,29559,56773,null,null,51496,null,null,45250,null,null,37082,null,null,36019,null,null,13449,null,null,42035,null,null,12084,null,null,41355,null,null,24719,null,null,29559,null,null,06
4392028,12078,4086196,12740,3780269,13928,305927,9752,265715,9197,40212,3614,305832,12503,61902,5235,243930,10568,100649,5704,143281,8985,12078,null,null,12740,null,null,13928,null,null,9752,null,null,9197,null,null,3614,null,null,12503,null,null,5235,null,null,10568,null,null,5704,null,null,8985,null,null,08
2619821,11417,2368772,12160,2133706,13660,235066,10675,192577,9403,42489,4279,251049,10624,56561,3657,194488,9189,96893,6433,97595,6068,11417,null,null,12160,null,null,13660,null,null,10675,null,null,9403,null,null,4279,null,null,10624,null,null,3657,null,null,9189,null,null,6433,null,null,6068,null,null,09
627319,4292,590165,5119,557491,4367,32674,3871,26568,3329,6106,1782,37154,4051,8060,1377,29094,3680,13329,2596,15765,2250,4292,null,null,5119,null,null,4367,null,null,3871,null,null,3329,null,null,1782,null,null,4051,null,null,1377,null,null,3680,null,null,2596,null,null,2250,null,null,10
262612,3063,229606,3516,209116,4027,20490,2283,18756,2014,1734,784,33006,3355,11355,1896,21651,2742,15580,2120,6071,1748,3063,null,null,3516,null,null,4027,null,null,2283,null,null,2014,null,null,784,null,null,3355,null,null,1896,null,null,2742,null,null,2120,null,null,1748,null,null,11
