C01001F_001E,C01001F_001M,C01001F_002E,C01001F_002M,C01001F_003E,C01001F_003M,C01001F_004E,C01001F_004M,C01001F_005E,C01001F_005M,C01001F_006E,C01001F_006M,C01001F_007E,C01001F_007M,C01001F_008E,C01001F_008M,C01001F_009E,C01001F_009M,C01001F_001M,C01001F_001EA,C01001F_001MA,C01001F_002M,C01001F_002EA,C01001F_002MA,C01001F_003M,C01001F_003EA,C01001F_003MA,C01001F_004M,C01001F_004EA,C01001F_004MA,C01001F_005M,C01001F_005EA,C01001F_005MA,C01001F_006M,C01001F_006EA,C01001F_006MA,C01001F_007M,C01001F_007EA,C01001F_007MA,C01001F_008M,C01001F_008EA,C01001F_008MA,C01001F_009M,C01001F_009EA,C01001F_009MA,state
120779,10539,63233,5437,18602,3145,42773,3669,1858,668,57546,6097,19278,3393,35806,3623,2462,751,10539,null,null,5437,null,null,3145,null,null,3669,null,null,668,null,null,6097,null,null,3393,null,null,3623,null,null,751,null,null,41
262396,14058,132362,8607,43629,4728,84268,5271,4465,1025,130034,7184,42679,3998,81150,4442,6205,924,14058,null,null,8607,null,null,4728,null,null,5271,null,null,1025,null,null,7184,null,null,3998,null,null,4442,null,null,924,null,null,42
62292,6199,32239,4013,9898,1882,20444,2697,1897,593,30053,3104,8511,1757,19846,1843,1696,658,6199,null,null,4013,null,null,1882,null,null,2697,null,null,593,null,null,3104,null,null,1757,null,null,1843,null,null,658,null,null,44
77386,9581,40361,5494,13394,2697,26412,3762,555,399,37025,5108,12098,2720,23420,3135,1507,656,9581,null,null,5494,null,null,2697,null,null,3762,null,null,399,null,null,5108,null,null,2720,null,null,3135,null,null,656,null,null,45
5894,1933,3361,1123,937,585,2349,782,75,92,2533,1001,1179,711,1186,468,168,174,1933,null,null,1123,null,null,585,null,null,782,null,null,92,null,null,1001,null,null,711,null,null,468,null,null,174,null,null,46
79206,7466,43000,4444,16691,2572,25782,2696,527,347,36206,4095,15887,2530,18910,2308,1409,480,7466,null,null,4444,null,null,2572,null,null,2696,null,null,347,null,null,4095,null,null,2530,null,null,2308,null,null,480,null,null,47
1622087,41067,837527,24040,246590,12089,548071,15623,42866,3263,784560,22121,240057,10497,488290,15018,56213,4157,41067,null,null,24040,null,null,12089,null,null,15623,null,null,3263,null,null,22121,null,null,10497,null,null,15018,null,null,4157,null,null,48
164775,9993,85533,5436,29225,3406,54285,3380,2023,516,79242,5630,29900,3093,47191,3096,2151,613,9993,null,null,5436,null,null,3406,null,null,3380,null,null,516,null,null,5630,null,null,3093,null,null,3096,null,null,613,null,null,49
3163,1496,1486,694,966,647,502,337,18,28,1677,948,639,441,1038,568,0,151,1496,null,null,694,null,null,647,null,null,337,null,null,28,null,null,948,null,null,441,null,null,568,null,null,151,null,null,50
228627,12459,124637,7375,35362,3738,87390,5261,1885,965,103990,6932,32451,3657,68318,4293,3221,1135,12459,null,null,7375,null,null,3738,null,null,5261,null,null,965,null,null,6932,null,null,3657,null,null,4293,null,null,1135,null,null,51
350251,13940,186284,8661,61653,5152,120064,5587,4567,1020,163967,7813,55510,4579,103086,5211,5371,1028,13940,null,null,8661,null,null,5152,null,null,5587,null,null,1020,null,null,7813,null,null,4579,null,null,5211,null,null,1028,null,null,53
7494,1784,4097,1052,788,484,3216,880,93,123,3397,1127,771,502,2297,776,329,392,1784,null,null,1052,null,null,484,null,null,880,null,null,123,null,null,1127,null,null,502,null,null,776,null,null,392,null,null,54
125644,7705,64495,4147,21877,2526,40872,2681,1746,604,61149,4612,22770,2810,37063,2619,1316,514,7705,null,null,4147,null,null,2526,null,null,2681,null,null,604,null,null,4612,null,null,2810,null,null,2619,null,null,514,null,null,55
5782,1948,3334,1349,711,637,2294,1046,329,221,2448,963,838,591,1359,525,251,175,1948,null,null,1349,null,null,637,null,null,1046,null,null,221,null,null,963,null,null,591,null,null,525,null,null,175,null,null,56
575686,19645,280225,11818,71363,5513,170223,8106,38639,2960,295461,10315,61540,4406,185022,7352,48899,2848,19645,null,null,11818,null,null,5513,null,null,8106,null,null,2960,null,null,10315,null,null,4406,null,null,7352,null,null,2848,null,null,72
70333,6866,37054,3707,14466,2430,22069,2559,519,451,33279,4163,13861,2476,18300,2478,1118,600,6866,null,null,3707,null,null,2430,null,null,2559,null,null,451,null,null,4163,null,null,2476,null,null,2478,null,null,600,null,null,01
12712,3236,6185,2338,1004,589,5062,2199,119,153,6527,1661,1682,989,4825,1096,20,36,3236,null,null,2338,null,null,589,null,null,2199,null,null,153,null,null,1661,null,null,989,null,null,1096,null,null,36,null,null,02
585948,20745,297493,10570,91988,5391,192168,7623,13337,1616,288455,13124,86238,6154,185239,8369,16978,2012,20745,null,null,10570,null,null,5391,null,null,7623,null,null,1616,null,null,13124,null,null,6154,null,null,8369,null,null,2012,null,null,04
86797,6034,46501,3517,17337,2152,27953,2307,1211,480,40296,3703,16692,2139,22443,2239,1161,616,6034,null,null,3517,null,null,2152,null,null,2307,null,null,480,null,null,3703,null,null,2139,null,null,2239,null,null,616,null,null,05
5642125,65579,2864615,36698,833693,17297,1889073,25408,141849,5106,2777510,35877,803481,17336,1786513,22624,187516,6772,65579,null,null,36698,null,null,17297,null,null,25408,null,null,5106,null,null,35877,null,null,17336,null,null,22624,null,null,6772,null,null,06
228102,12919,120303,7695,34125,3458,80722,5551,5456,1037,107799,7514,33090,4020,67550,4425,7159,1035,12919,null,null,7695,null,null,3458,null,null,5551,null,null,1037,null,null,7514,null,null,4020,null,null,4425,null,null,1035,null,null,08
171008,10843,89426,6350,23956,2831,62243,5283,3227,873,81582,5807,22680,2852,53575,3654,5327,989,10843,null,null,6350,null,null,2831,null,null,5283,null,null,873,null,null,5807,null,null,2852,null,null,3654,null,null,989,null,null,09
15595,4525,8131,2628,1791,1044,5837,1900,503,407,7464,2315,2619,1161,4367,1470,478,340,4525,null,null,2628,null,null,1044,null,null,1900,null,null,407,null,null,2315,null,null,1161,null,null,1470,null,null,340,null,null,10
37132,4302,19575,2650,6462,1115,12764,2046,349,284,17557,2340,5992,1211,10445,1484,1120,582,4302,null,null,2650,null,null,1115,null,null,2046,null,null,284,null,null,2340,null,null,1211,null,null,1484,null,null,582,null,null,11
