B28009A_001E,B28009A_001M,B28009A_002E,B28009A_002M,B28009A_003E,B28009A_003M,B28009A_004E,B28009A_004M,B28009A_005E,B28009A_005M,B28009A_006E,B28009A_006M,B28009A_001M,B28009A_001EA,B28009A_001MA,B28009A_002M,B28009A_002EA,B28009A_002MA,B28009A_003M,B28009A_003EA,B28009A_003MA,B28009A_004M,B28009A_004EA,B28009A_004MA,B28009A_005M,B28009A_005EA,B28009A_005MA,B28009A_006M,B28009A_006EA,B28009A_006MA,state
4495221,6940,4234416,9745,23902,2446,3975956,14232,234558,10841,260805,8061,6940,null,null,9745,null,null,2446,null,null,14232,null,null,10841,null,null,8061,null,null,27
1705229,4886,1543225,9678,6295,1799,1384384,15207,152546,13010,162004,9304,4886,null,null,9678,null,null,1799,null,null,15207,null,null,13010,null,null,9304,null,null,28
4878009,7147,4499293,14378,19235,2624,4111344,18211,368714,14874,378716,13192,7147,null,null,14378,null,null,2624,null,null,18211,null,null,14874,null,null,13192,null,null,29
903180,1910,837037,4951,6406,1379,759184,9127,71447,7924,66143,4454,1910,null,null,4951,null,null,1379,null,null,9127,null,null,7924,null,null,4454,null,null,30
1632843,6108,1515899,7780,10390,2700,1417582,10993,87927,5927,116944,6805,6108,null,null,7780,null,null,2700,null,null,10993,null,null,5927,null,null,6805,null,null,31
1945897,14790,1838285,14744,6618,2062,1664782,17952,166885,13020,107612,7655,14790,null,null,14744,null,null,2062,null,null,17952,null,null,13020,null,null,7655,null,null,32
1212173,2806,1156504,4804,4904,1518,1093586,8080,58014,7134,55669,4038,2806,null,null,4804,null,null,1518,null,null,8080,null,null,7134,null,null,4038,null,null,33
5981638,22487,5661392,23317,17170,3414,5319016,25378,325206,17126,320246,13569,22487,null,null,23317,null,null,3414,null,null,25378,null,null,17126,null,null,13569,null,null,34
1510970,11550,1370544,13500,6164,1413,1217212,16358,147168,11642,140426,8568,11550,null,null,13500,null,null,1413,null,null,16358,null,null,11642,null,null,8568,null,null,35
12191358,30562,11314467,35584,47515,6094,10547047,39644,719905,25749,876891,21801,30562,null,null,35584,null,null,6094,null,null,39644,null,null,25749,null,null,21801,null,null,36
6838475,14590,6345940,22218,25895,3226,5829227,29176,490818,21988,492535,15384,14590,null,null,22218,null,null,3226,null,null,29176,null,null,21988,null,null,15384,null,null,37
638742,3011,597782,4004,1348,447,556489,4514,39945,3678,40960,2971,3011,null,null,4004,null,null,447,null,null,4514,null,null,3678,null,null,2971,null,null,38
9248830,11679,8537339,20751,41633,4241,7972654,25733,523052,17865,711491,16837,11679,null,null,20751,null,null,4241,null,null,25733,null,null,17865,null,null,16837,null,null,39
2769657,7838,2543129,11091,9590,1944,2283024,12780,250515,9775,226528,9326,7838,null,null,11091,null,null,1944,null,null,12780,null,null,9775,null,null,9326,null,null,40
3389978,13173,3216476,15551,15810,3389,2996548,23672,204118,16528,173502,8700,13173,null,null,15551,null,null,3389,null,null,23672,null,null,16528,null,null,8700,null,null,41
10042099,15134,9186676,18894,48599,3781,8644653,22823,493424,18639,855423,17292,15134,null,null,18894,null,null,3781,null,null,22823,null,null,18639,null,null,17292,null,null,42
817631,6465,762227,8215,1064,661,728036,9305,33127,4171,55404,4210,6465,null,null,8215,null,null,661,null,null,9305,null,null,4171,null,null,4210,null,null,44
3263626,10176,3045209,13797,9565,1781,2791147,19440,244497,13554,218417,9363,10176,null,null,13797,null,null,1781,null,null,19440,null,null,13554,null,null,9363,null,null,45
706218,2802,657362,4152,3396,815,606596,5917,47370,4275,48856,3622,2802,null,null,4152,null,null,815,null,null,5917,null,null,4275,null,null,3622,null,null,46
5075135,9445,4622361,17066,16849,3090,4194342,23486,411170,18684,452774,14474,9445,null,null,17066,null,null,3090,null,null,23486,null,null,18684,null,null,14474,null,null,47
20302334,42415,18888115,45989,50354,7608,16883206,62014,1954555,50177,1414219,34485,42415,null,null,45989,null,null,7608,null,null,62014,null,null,50177,null,null,34485,null,null,48
2595850,10568,2526057,10178,5841,1284,2327146,15244,193070,13314,69793,6188,10568,null,null,10178,null,null,1284,null,null,15244,null,null,13314,null,null,6188,null,null,49
567712,1150,528974,3672,4248,917,486156,5883,38570,4583,38738,3496,1150,null,null,3672,null,null,917,null,null,5883,null,null,4583,null,null,3496,null,null,50
5561130,12136,5241058,16986,19180,2627,4918895,22232,302983,15539,320072,12379,12136,null,null,16986,null,null,2627,null,null,22232,null,null,15539,null,null,12379,null,null,51
5419743,14300,5195684,16011,21030,4441,4916513,22259,258141,16121,224059,9280,14300,null,null,16011,null,null,4441,null,null,22259,null,null,16121,null,null,9280,null,null,53
1667563,2750,1472221,9978,6247,1813,1321741,12145,144233,9951,195342,9796,2750,null,null,9978,null,null,1813,null,null,12145,null,null,9951,null,null,9796,null,null,54
4829741,8243,4480306,12133,30584,2547,4191902,16392,257820,10876,349435,8943,8243,null,null,12133,null,null,2547,null,null,16392,null,null,10876,null,null,8943,null,null,55
526892,2363,497502,4191,2442,970,463743,5656,31317,4142,29390,3551,2363,null,null,4191,null,null,970,null,null,5656,null,null,4142,null,null,3551,null,null,56
2253375,20504,1716952,21663,27212,4755,1441393,22880,248347,11330,536423,15053,20504,null,null,21663,null,null,4755,null,null,22880,null,null,11330,null,null,15053,null,null,72
3249583,6962,2948555,13135,12761,2793,2675266,18791,260528,14024,301028,12176,6962,null,null,13135,null,null,2793,null,null,18791,null,null,14024,null,null,12176,null,null,01
461651,3741,450429,4251,2290,980,418473,6106,29666,3840,11222,2211,3741,null,null,4251,null,null,980,null,null,6106,null,null,3840,null,null,2211,null,null,02
5144376,21710,4856211,25587,11860,2373,4497827,25098,346524,18665,288165,13892,21710,null,null,25587,null,null,2373,null,null,25098,null,null,18665,null,null,13892,null,null,04
2232760,5896,2009922,11034,7541,1484,1698535,18920,303846,16251,222838,9654,5896,null,null,11034,null,null,1484,null,null,18920,null,null,16251,null,null,9654,null,null,05
22959595,62686,21730708,61495,66298,8244,20272727,78677,1391683,41353,1228887,26767,62686,null,null,61495,null,null,8244,null,null,78677,null,null,41353,null,null,26767,null,null,06
4559067,13505,4386443,15928,15683,3277,4117571,18473,253189,13562,172624,10129,13505,null,null,15928,null,null,3277,null,null,18473,null,null,13562,null,null,10129,null,null,08
2665521,12515,2501877,14340,12482,4025,2382050,16542,107345,9281,163644,8998,12515,null,null,14340,null,null,4025,null,null,16542,null,null,9281,null,null,8998,null,null,09
644510,4975,607327,6478,1169,832,569742,7614,36416,5457,37183,3980,4975,null,null,6478,null,null,832,null,null,7614,null,null,5457,null,null,3980,null,null,10
259520,3892,254531,3760,30,50,247208,4260,7293,2442,4989,1206,3892,null,null,3760,null,null,50,null,null,4260,null,null,2442,null,null,1206,null,null,11
