B18101D_001E,B18101D_001M,B18101D_002E,B18101D_002M,B18101D_003E,B18101D_003M,B18101D_004E,B18101D_004M,B18101D_005E,B18101D_005M,B18101D_006E,B18101D_006M,B18101D_007E,B18101D_007M,B18101D_008E,B18101D_008M,B18101D_009E,B18101D_009M,B18101D_010E,B18101D_010M,B18101D_001M,B18101D_001EA,B18101D_001MA,B18101D_002M,B18101D_002EA,B18101D_002MA,B18101D_003M,B18101D_003EA,B18101D_003MA,B18101D_004M,B18101D_004EA,B18101D_004MA,B18101D_005M,B18101D_005EA,B18101D_005MA,B18101D_006M,B18101D_006EA,B18101D_006MA,B18101D_007M,B18101D_007EA,B18101D_007MA,B18101D_008M,B18101D_008EA,B18101D_008MA,B18101D_009M,B18101D_009EA,B18101D_009MA,B18101D_010M,B18101D_010EA,B18101D_010MA,state
115748,3703,24833,2171,250,222,24583,2170,82475,2377,2453,813,80022,2442,8440,1123,2173,832,6267,1118,3703,null,null,2171,null,null,222,null,null,2170,null,null,2377,null,null,813,null,null,2442,null,null,1123,null,null,832,null,null,1118,null,null,29
8432,1383,1514,651,122,130,1392,637,6535,1338,536,374,5999,1282,383,305,202,239,181,153,1383,null,null,651,null,null,130,null,null,637,null,null,1338,null,null,374,null,null,1282,null,null,305,null,null,239,null,null,153,null,null,30
41434,3328,11032,1878,121,146,10911,1863,27820,2214,1378,713,26442,2183,2582,519,826,386,1756,523,3328,null,null,1878,null,null,146,null,null,1863,null,null,2214,null,null,713,null,null,2183,null,null,519,null,null,386,null,null,523,null,null,31
243725,5196,40651,3119,1392,647,39259,3087,163114,2930,9704,1614,153410,3299,39960,1220,10430,1352,29530,1783,5196,null,null,3119,null,null,647,null,null,3087,null,null,2930,null,null,1614,null,null,3299,null,null,1220,null,null,1352,null,null,1783,null,null,32
32374,2292,7606,1386,435,380,7171,1359,22532,1648,955,552,21577,1630,2236,805,1013,546,1223,448,2292,null,null,1386,null,null,380,null,null,1359,null,null,1648,null,null,552,null,null,1630,null,null,805,null,null,546,null,null,448,null,null,33
852180,6370,185522,3363,2982,814,182540,3216,575498,3627,18051,2304,557447,4238,91160,1589,21402,1966,69758,2498,6370,null,null,3363,null,null,814,null,null,3216,null,null,3627,null,null,2304,null,null,4238,null,null,1589,null,null,1966,null,null,2498,null,null,34
32176,2294,6390,1248,139,132,6251,1241,22223,1522,741,565,21482,1417,3563,613,595,369,2968,626,2294,null,null,1248,null,null,132,null,null,1241,null,null,1522,null,null,565,null,null,1417,null,null,613,null,null,369,null,null,626,null,null,35
1662286,11904,315189,4749,5590,1090,309599,4803,1155878,8068,51522,3497,1104356,9072,191219,2239,57548,3271,133671,3665,11904,null,null,4749,null,null,1090,null,null,4803,null,null,8068,null,null,3497,null,null,9072,null,null,2239,null,null,3271,null,null,3665,null,null,36
273142,4398,66494,2354,1084,452,65410,2326,187032,3513,6931,1416,180101,3729,19616,1306,5867,1089,13749,1582,4398,null,null,2354,null,null,452,null,null,2326,null,null,3513,null,null,1416,null,null,3729,null,null,1306,null,null,1089,null,null,1582,null,null,37
8926,1841,1370,838,0,155,1370,838,7182,1312,399,394,6783,1349,374,260,91,137,283,211,1841,null,null,838,null,null,155,null,null,838,null,null,1312,null,null,394,null,null,1349,null,null,260,null,null,137,null,null,211,null,null,38
238460,3773,50420,2320,732,389,49688,2378,168572,2882,6759,1479,161813,2937,19468,1596,5171,954,14297,1731,3773,null,null,2320,null,null,389,null,null,2378,null,null,2882,null,null,1479,null,null,2937,null,null,1596,null,null,954,null,null,1731,null,null,39
78620,2919,17891,1671,324,242,17567,1653,54414,2072,2355,910,52059,2008,6315,784,2006,517,4309,740,2919,null,null,1671,null,null,242,null,null,1653,null,null,2072,null,null,910,null,null,2008,null,null,784,null,null,517,null,null,740,null,null,40
168993,4992,30308,3080,649,405,29659,3048,120081,3580,6419,1318,113662,3526,18604,1212,6913,1060,11691,1503,4992,null,null,3080,null,null,405,null,null,3048,null,null,3580,null,null,1318,null,null,3526,null,null,1212,null,null,1060,null,null,1503,null,null,41
422109,5217,90972,3367,1940,771,89032,3452,293085,3198,14967,2014,278118,3853,38052,1631,12479,1653,25573,2105,5217,null,null,3367,null,null,771,null,null,3452,null,null,3198,null,null,2014,null,null,3853,null,null,1631,null,null,1653,null,null,2105,null,null,42
36803,2199,7922,1022,0,208,7922,1022,26427,1787,1054,551,25373,1876,2454,346,793,438,1661,425,2199,null,null,1022,null,null,208,null,null,1022,null,null,1787,null,null,551,null,null,1876,null,null,346,null,null,438,null,null,425,null,null,44
75366,3768,16001,1964,465,400,15536,1958,51095,2701,3194,1039,47901,2680,8270,1509,2271,1087,5999,1138,3768,null,null,1964,null,null,400,null,null,1958,null,null,2701,null,null,1039,null,null,2680,null,null,1509,null,null,1087,null,null,1138,null,null,45
12849,1804,4287,1285,64,109,4223,1291,7802,867,269,162,7533,882,760,649,79,95,681,635,1804,null,null,1285,null,null,109,null,null,1291,null,null,867,null,null,162,null,null,882,null,null,649,null,null,95,null,null,635,null,null,46
115980,3915,27798,1762,567,459,27231,1730,78487,2747,4675,1348,73812,2685,9695,1220,3621,777,6074,1158,3915,null,null,1762,null,null,459,null,null,1730,null,null,2747,null,null,1348,null,null,2685,null,null,1220,null,null,777,null,null,1158,null,null,47
1292825,10795,301004,5924,5668,1367,295336,6031,873239,8208,34382,3969,838857,7775,118582,2119,33697,2918,84885,3436,10795,null,null,5924,null,null,1367,null,null,6031,null,null,8208,null,null,3969,null,null,7775,null,null,2119,null,null,2918,null,null,3436,null,null,48
69876,3400,14650,2229,352,272,14298,2192,49153,1817,2492,767,46661,1837,6073,955,1136,457,4937,1025,3400,null,null,2229,null,null,272,null,null,2192,null,null,1817,null,null,767,null,null,1837,null,null,955,null,null,457,null,null,1025,null,null,49
9396,1080,1623,672,0,151,1623,672,6706,754,0,151,6706,754,1067,350,204,239,863,310,1080,null,null,672,null,null,151,null,null,672,null,null,754,null,null,151,null,null,754,null,null,350,null,null,239,null,null,310,null,null,50
527906,7301,116249,4162,2782,829,113467,4063,356719,4688,13750,1965,342969,4698,54938,1787,15940,1950,38998,1961,7301,null,null,4162,null,null,829,null,null,4063,null,null,4688,null,null,1965,null,null,4698,null,null,1787,null,null,1950,null,null,1961,null,null,51
592094,8385,111383,4496,1921,442,109462,4497,411328,5159,20082,2472,391246,5367,69383,1551,21159,1769,48224,2184,8385,null,null,4496,null,null,442,null,null,4497,null,null,5159,null,null,2472,null,null,5367,null,null,1551,null,null,1769,null,null,2184,null,null,53
13939,1466,2627,764,133,212,2494,730,9870,1292,371,228,9499,1298,1442,499,571,311,871,423,1466,null,null,764,null,null,212,null,null,730,null,null,1292,null,null,228,null,null,1298,null,null,499,null,null,311,null,null,423,null,null,54
154791,3126,42592,2069,984,501,41608,1998,103205,2277,5162,1336,98043,2400,8994,1209,2673,672,6321,1126,3126,null,null,2069,null,null,501,null,null,1998,null,null,2277,null,null,1336,null,null,2400,null,null,1209,null,null,672,null,null,1126,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
5617,1549,870,517,81,137,789,528,3506,1052,645,400,2861,965,1241,500,520,402,721,393,1549,null,null,517,null,null,137,null,null,528,null,null,1052,null,null,400,null,null,965,null,null,500,null,null,402,null,null,393,null,null,72
65061,3681,17226,2194,785,471,16441,2175,42204,2542,1989,812,40215,2623,5631,875,1168,534,4463,847,3681,null,null,2194,null,null,471,null,null,2175,null,null,2542,null,null,812,null,null,2623,null,null,875,null,null,534,null,null,847,null,null,01
44949,3117,10108,2090,740,718,9368,1981,30563,1701,2439,1053,28124,1955,4278,564,2064,673,2214,547,3117,null,null,2090,null,null,718,null,null,1981,null,null,1701,null,null,1053,null,null,1955,null,null,564,null,null,673,null,null,547,null,null,02
219165,4831,43776,2784,1156,507,42620,2712,151241,3097,7543,1552,143698,3270,24148,1025,6370,1063,17778,1371,4831,null,null,2784,null,null,507,null,null,2712,null,null,3097,null,null,1552,null,null,3270,null,null,1025,null,null,1063,null,null,1371,null,null,04
41511,2675,8647,1485,194,245,8453,1479,29461,1939,1370,681,28091,1884,3403,854,818,422,2585,812,2675,null,null,1485,null,null,245,null,null,1479,null,null,1939,null,null,681,null,null,1884,null,null,854,null,null,422,null,null,812,null,null,05
5575522,18960,1030869,10540,20683,2673,1010186,10699,3738429,10165,175746,7443,3562683,12203,806224,4670,263293,6458,542931,7228,18960,null,null,10540,null,null,2673,null,null,10699,null,null,10165,null,null,7443,null,null,12203,null,null,4670,null,null,6458,null,null,7228,null,null,06
174876,4639,39095,2491,1569,680,37526,2480,119178,3082,4722,1444,114456,3343,16603,933,4599,1034,12004,1146,4639,null,null,2491,null,null,680,null,null,2480,null,null,3082,null,null,1444,null,null,3343,null,null,933,null,null,1034,null,null,1146,null,null,08
161709,3544,37012,2195,621,394,36391,2138,111755,2375,4106,1079,107649,2708,12942,696,3023,681,9919,936,3544,null,null,2195,null,null,394,null,null,2138,null,null,2375,null,null,1079,null,null,2708,null,null,696,null,null,681,null,null,936,null,null,09
35487,1612,6942,932,48,79,6894,933,24471,1113,616,399,23855,1104,4074,252,836,354,3238,402,1612,null,null,932,null,null,79,null,null,933,null,null,1113,null,null,399,null,null,1104,null,null,252,null,null,354,null,null,402,null,null,10
26436,1256,2042,749,0,203,2042,749,22495,947,623,315,21872,995,1899,349,644,368,1255,442,1256,null,null,749,null,null,203,null,null,749,null,null,947,null,null,315,null,null,995,null,null,349,null,null,368,null,null,442,null,null,11
