B20017C_001E,B20017C_001M,B20017C_002E,B20017C_002M,B20017C_003E,B20017C_003M,B20017C_004E,B20017C_004M,B20017C_005E,B20017C_005M,B20017C_006E,B20017C_006M,B20017C_007E,B20017C_007M,B20017C_001M,B20017C_001EA,B20017C_001MA,B20017C_002M,B20017C_002EA,B20017C_002MA,B20017C_003M,B20017C_003EA,B20017C_003MA,B20017C_004M,B20017C_004EA,B20017C_004MA,B20017C_005M,B20017C_005EA,B20017C_005MA,B20017C_006M,B20017C_006EA,B20017C_006MA,B20017C_007M,B20017C_007EA,B20017C_007MA,state
26181,4913,32408,8488,45545,4923,10982,7306,22002,1885,31082,3238,10418,2631,4913,null,null,8488,null,null,4923,null,null,7306,null,null,1885,null,null,3238,null,null,2631,null,null,38
27651,5085,27572,6950,36390,7015,16226,4937,29737,13760,43691,1593,10264,9034,5085,null,null,6950,null,null,7015,null,null,4937,null,null,13760,null,null,1593,null,null,9034,null,null,39
25516,975,30330,1492,40790,813,9541,1594,22095,863,31924,599,8374,1697,975,null,null,1492,null,null,813,null,null,1594,null,null,863,null,null,599,null,null,1697,null,null,40
25601,5657,24910,9125,37288,8805,11005,989,26224,6007,37849,2322,12948,3537,5657,null,null,9125,null,null,8805,null,null,989,null,null,6007,null,null,2322,null,null,3537,null,null,41
21046,4778,26842,6812,45687,10277,7371,7145,12793,6849,27013,7678,4761,3105,4778,null,null,6812,null,null,10277,null,null,7145,null,null,6849,null,null,7678,null,null,3105,null,null,42
19734,7142,31964,19445,39690,12355,7115,16907,10282,11790,20251,16941,4253,972,7142,null,null,19445,null,null,12355,null,null,16907,null,null,11790,null,null,16941,null,null,972,null,null,44
31627,8690,32153,13382,48470,8408,7509,5866,31169,13149,41101,31593,11907,6389,8690,null,null,13382,null,null,8408,null,null,5866,null,null,13149,null,null,31593,null,null,6389,null,null,45
16638,1194,17139,2502,32516,4987,9080,3185,15892,2251,27017,1788,6570,1915,1194,null,null,2502,null,null,4987,null,null,3185,null,null,2251,null,null,1788,null,null,1915,null,null,46
25646,4590,30469,6953,36550,21584,5216,4203,20570,5473,31709,12665,8750,8087,4590,null,null,6953,null,null,21584,null,null,4203,null,null,5473,null,null,12665,null,null,8087,null,null,47
28658,1833,31313,1394,40568,2961,11936,2936,22930,4050,35458,4219,10163,1970,1833,null,null,1394,null,null,2961,null,null,2936,null,null,4050,null,null,4219,null,null,1970,null,null,48
22818,4116,24644,4849,31650,4589,11530,12974,20549,6246,30532,3678,4552,3151,4116,null,null,4849,null,null,4589,null,null,12974,null,null,6246,null,null,3678,null,null,3151,null,null,49
38957,3106,39408,5514,42727,26767,34471,24362,38862,7275,39274,7695,-666666666,-222222222,3106,null,null,5514,null,null,26767,null,null,24362,null,null,7275,null,null,7695,null,null,-222222222,-,**,50
30471,4814,34809,6080,38456,2193,10141,3452,26694,4379,40006,10466,17550,10357,4814,null,null,6080,null,null,2193,null,null,3452,null,null,4379,null,null,10466,null,null,10357,null,null,51
26848,2145,28969,3858,40755,2790,7045,3105,25180,3656,47154,4972,7999,2413,2145,null,null,3858,null,null,2790,null,null,3105,null,null,3656,null,null,4972,null,null,2413,null,null,53
21391,11020,28105,13385,29599,66396,10721,2461,19397,11641,31992,14367,5125,11340,11020,null,null,13385,null,null,66396,null,null,2461,null,null,11641,null,null,14367,null,null,11340,null,null,54
22171,2078,25117,3724,39933,4843,8787,2074,20716,2607,32187,5870,8728,1366,2078,null,null,3724,null,null,4843,null,null,2074,null,null,2607,null,null,5870,null,null,1366,null,null,55
20689,8026,22397,10897,40381,17253,12596,9752,19625,13555,31806,8792,10469,4059,8026,null,null,10897,null,null,17253,null,null,9752,null,null,13555,null,null,8792,null,null,4059,null,null,56
16181,3477,18076,2393,18694,1555,5926,20598,12719,8173,17037,4374,4781,3953,3477,null,null,2393,null,null,1555,null,null,20598,null,null,8173,null,null,4374,null,null,3953,null,null,72
26492,6644,30162,11951,45739,23154,10422,6353,21343,3723,32171,9079,11780,10885,6644,null,null,11951,null,null,23154,null,null,6353,null,null,3723,null,null,9079,null,null,10885,null,null,01
22104,1139,21843,2507,46255,1779,10684,1407,22270,1434,39851,4943,14145,3081,1139,null,null,2507,null,null,1779,null,null,1407,null,null,1434,null,null,4943,null,null,3081,null,null,02
23260,1547,23395,2409,32366,3566,9570,1749,23155,1823,31664,1182,10433,1132,1547,null,null,2409,null,null,3566,null,null,1749,null,null,1823,null,null,1182,null,null,1132,null,null,04
21317,1746,31250,19919,40376,7954,6636,11348,15748,5101,35612,12489,4767,3487,1746,null,null,19919,null,null,7954,null,null,11348,null,null,5101,null,null,12489,null,null,3487,null,null,05
24754,1184,29624,3067,37479,2205,11949,1171,20285,1584,37188,3278,10671,1037,1184,null,null,3067,null,null,2205,null,null,1171,null,null,1584,null,null,3278,null,null,1037,null,null,06
22336,4192,25201,6701,34613,5212,10238,2030,20067,4173,30548,5032,10386,3058,4192,null,null,6701,null,null,5212,null,null,2030,null,null,4173,null,null,5032,null,null,3058,null,null,08
28387,12411,35346,10307,36587,6640,18305,13485,23104,11416,41844,14233,7411,10593,12411,null,null,10307,null,null,6640,null,null,13485,null,null,11416,null,null,14233,null,null,10593,null,null,09
35207,9649,35379,6721,36873,4822,27741,14283,27316,19157,36163,24049,10060,15018,9649,null,null,6721,null,null,4822,null,null,14283,null,null,19157,null,null,24049,null,null,15018,null,null,10
16099,10036,17183,30648,50343,15831,12560,8488,15774,1663,16131,1390,-666666666,-222222222,10036,null,null,30648,null,null,15831,null,null,8488,null,null,1663,null,null,1390,null,null,-222222222,-,**,11
