B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,B18101A_001M,B18101A_001EA,B18101A_001MA,B18101A_002M,B18101A_002EA,B18101A_002MA,B18101A_003M,B18101A_003EA,B18101A_003MA,B18101A_004M,B18101A_004EA,B18101A_004MA,B18101A_005M,B18101A_005EA,B18101A_005MA,B18101A_006M,B18101A_006EA,B18101A_006MA,B18101A_007M,B18101A_007EA,B18101A_007MA,B18101A_008M,B18101A_008EA,B18101A_008MA,B18101A_009M,B18101A_009EA,B18101A_009MA,B18101A_010M,B18101A_010EA,B18101A_010MA,state
1244291,1866,229226,858,13954,2122,215272,2287,769946,1578,103337,4373,666609,4512,245119,801,81662,3182,163457,3319,1866,null,null,858,null,null,2122,null,null,2287,null,null,1578,null,null,4373,null,null,4512,null,null,801,null,null,3182,null,null,3319,null,null,23
3343098,13348,673430,5664,30023,3709,643407,5873,2086295,9030,195094,6827,1891201,11388,583373,2468,180133,4808,403240,4720,13348,null,null,5664,null,null,3709,null,null,5873,null,null,9030,null,null,6827,null,null,11388,null,null,2468,null,null,4808,null,null,4720,null,null,24
5292381,15934,982172,7631,44273,3814,937899,8554,3384915,10276,309204,10355,3075711,12243,925294,2173,287297,6484,637997,6897,15934,null,null,7631,null,null,3814,null,null,8554,null,null,10276,null,null,10355,null,null,12243,null,null,2173,null,null,6484,null,null,6897,null,null,25
7727734,10483,1583223,5712,71440,4368,1511783,6099,4781800,6453,564351,10915,4217449,13123,1362711,2029,464100,6984,898611,6906,10483,null,null,5712,null,null,4368,null,null,6099,null,null,6453,null,null,10915,null,null,13123,null,null,2029,null,null,6984,null,null,6906,null,null,26
4552519,6744,955773,3961,32800,2531,922973,4303,2837613,4158,245754,5921,2591859,6978,759133,1310,233417,4900,525716,4919,6744,null,null,3961,null,null,2531,null,null,4303,null,null,4158,null,null,5921,null,null,6978,null,null,1310,null,null,4900,null,null,4919,null,null,27
1716181,4891,372185,2576,21860,3288,350325,4417,1028796,3477,148303,7899,880493,8024,315200,1261,125800,4378,189400,4079,4891,null,null,2576,null,null,3288,null,null,4417,null,null,3477,null,null,7899,null,null,8024,null,null,1261,null,null,4378,null,null,4079,null,null,28
4926235,7085,1064646,3670,46823,4247,1017823,5102,3019489,4613,377075,9907,2642414,10634,842100,1848,305112,6721,536988,6800,7085,null,null,3670,null,null,4247,null,null,5102,null,null,4613,null,null,9907,null,null,10634,null,null,1848,null,null,6721,null,null,6800,null,null,29
915185,1927,187139,1263,6991,1319,180148,1762,556135,1637,66014,4100,490121,4512,171911,623,58697,2565,113214,2629,1927,null,null,1263,null,null,1319,null,null,1762,null,null,1637,null,null,4100,null,null,4512,null,null,623,null,null,2565,null,null,2629,null,null,30
1651835,6009,391197,3242,12904,1597,378293,3300,1000105,3624,96135,4320,903970,5480,260533,1386,88958,2660,171575,2736,6009,null,null,3242,null,null,1597,null,null,3300,null,null,3624,null,null,4320,null,null,5480,null,null,1386,null,null,2660,null,null,2736,null,null,31
1947153,14712,404863,7374,19349,2844,385514,8092,1195385,9387,137629,6390,1057756,10512,346905,2072,123083,4146,223822,4111,14712,null,null,7374,null,null,2844,null,null,8092,null,null,9387,null,null,6390,null,null,10512,null,null,2072,null,null,4146,null,null,4111,null,null,32
1232156,2949,234302,1284,11152,2186,223150,2396,785499,2256,82594,5102,702905,5264,212355,861,64923,3046,147432,3022,2949,null,null,1284,null,null,2186,null,null,2396,null,null,2256,null,null,5102,null,null,5264,null,null,861,null,null,3046,null,null,3022,null,null,33
6028899,22249,1241596,9623,38634,3213,1202962,9517,3725692,15458,291781,11182,3433911,18754,1061611,3428,336390,7288,725221,7641,22249,null,null,9623,null,null,3213,null,null,9517,null,null,15458,null,null,11182,null,null,18754,null,null,3428,null,null,7288,null,null,7641,null,null,34
1514823,11775,340723,5443,13242,1923,327481,5631,893251,7979,107096,5552,786155,10144,280849,2911,107067,4225,173782,4300,11775,null,null,5443,null,null,1923,null,null,5631,null,null,7979,null,null,5552,null,null,10144,null,null,2911,null,null,4225,null,null,4300,null,null,35
12395999,29690,2393008,13455,91397,4537,2301611,13063,7791061,20291,690089,15364,7100972,24976,2211930,6049,709909,9667,1502021,10993,29690,null,null,13455,null,null,4537,null,null,13063,null,null,20291,null,null,15364,null,null,24976,null,null,6049,null,null,9667,null,null,10993,null,null,36
6868933,14014,1416591,7826,60857,4443,1355734,8975,4227273,8887,481173,12524,3746100,14993,1225069,2778,421639,7686,803430,8112,14014,null,null,7826,null,null,4443,null,null,8975,null,null,8887,null,null,12524,null,null,14993,null,null,2778,null,null,7686,null,null,8112,null,null,37
646710,3347,140226,1515,4877,1079,135349,1795,406051,2392,35433,2668,370618,3544,100433,662,33853,1914,66580,1913,3347,null,null,1515,null,null,1079,null,null,1795,null,null,2392,null,null,2668,null,null,3544,null,null,662,null,null,1914,null,null,1913,null,null,38
9356168,11751,1968355,6145,90094,5546,1878261,7684,5769096,7038,669928,11328,5099168,14122,1618717,2702,563094,9116,1055623,8969,11751,null,null,6145,null,null,5546,null,null,7684,null,null,7038,null,null,11328,null,null,14122,null,null,2702,null,null,9116,null,null,8969,null,null,39
2792067,7840,612367,4843,28304,2190,584063,5600,1694744,4343,239672,6404,1455072,7918,484956,1405,200501,4501,284455,4836,7840,null,null,4843,null,null,2190,null,null,5600,null,null,4343,null,null,6404,null,null,7918,null,null,1405,null,null,4501,null,null,4836,null,null,40
3426423,13275,677553,6741,28500,2907,649053,7465,2115623,8140,259996,9406,1855627,10196,633247,1684,234863,5984,398384,5866,13275,null,null,6741,null,null,2907,null,null,7465,null,null,8140,null,null,9406,null,null,10196,null,null,1684,null,null,5984,null,null,5866,null,null,41
10208459,15362,1971343,7953,101612,4902,1869731,9484,6309258,9306,707854,14654,5601404,15611,1927858,3267,653112,8987,1274746,8639,15362,null,null,7953,null,null,4902,null,null,9484,null,null,9306,null,null,14654,null,null,15611,null,null,3267,null,null,8987,null,null,8639,null,null,42
837061,6269,149249,3291,9422,1617,139827,3446,534287,3853,61551,4090,472736,5715,153525,1194,48134,2877,105391,3064,6269,null,null,3291,null,null,1617,null,null,3446,null,null,3853,null,null,4090,null,null,5715,null,null,1194,null,null,2877,null,null,3064,null,null,44
3287906,10127,665674,5099,32832,3027,632842,5886,1989816,6669,240110,8440,1749706,10339,632416,1562,220556,5821,411860,5908,10127,null,null,5099,null,null,3027,null,null,5886,null,null,6669,null,null,8440,null,null,10339,null,null,1562,null,null,5821,null,null,5908,null,null,45
721186,2721,160932,1449,5637,1269,155295,1845,435365,1702,39587,3203,395778,3308,124889,497,41653,2422,83236,2464,2721,null,null,1449,null,null,1269,null,null,1845,null,null,1702,null,null,3203,null,null,3308,null,null,497,null,null,2422,null,null,2464,null,null,46
5107524,9623,1079072,5589,49628,4103,1029444,5838,3141949,5804,442042,10345,2699907,12040,886503,2009,337778,5626,548725,5714,9623,null,null,5589,null,null,4103,null,null,5838,null,null,5804,null,null,10345,null,null,12040,null,null,2009,null,null,5626,null,null,5714,null,null,47
20394402,41608,5246570,21965,215100,9446,5031470,23426,12445813,26805,1219034,19844,11226779,31962,2702019,7511,1037043,11673,1664976,13260,41608,null,null,21965,null,null,9446,null,null,23426,null,null,26805,null,null,19844,null,null,31962,null,null,7511,null,null,11673,null,null,13260,null,null,48
2612234,10675,769094,5934,28038,2821,741056,5828,1544296,6156,138851,6737,1405445,9067,298844,1413,102232,4240,196612,4198,10675,null,null,5934,null,null,2821,null,null,5828,null,null,6156,null,null,6737,null,null,9067,null,null,1413,null,null,4240,null,null,4198,null,null,49
583970,1054,107635,769,6221,1117,101414,1320,368324,855,45832,3355,322492,3477,108011,519,33686,1928,74325,2007,1054,null,null,769,null,null,1117,null,null,1320,null,null,855,null,null,3355,null,null,3477,null,null,519,null,null,1928,null,null,2007,null,null,50
5570822,12569,1154551,6596,43124,3371,1111427,7460,3475651,9066,331860,10038,3143791,12401,940620,2401,300136,6466,640484,6703,12569,null,null,6596,null,null,3371,null,null,7460,null,null,9066,null,null,10038,null,null,12401,null,null,2401,null,null,6466,null,null,6703,null,null,51
5441559,14186,1105125,7811,46489,4244,1058636,8383,3403531,8837,385829,10980,3017702,13119,932903,2065,331658,7360,601245,7550,14186,null,null,7811,null,null,4244,null,null,8383,null,null,8837,null,null,10980,null,null,13119,null,null,2065,null,null,7360,null,null,7550,null,null,53
1683372,2507,339317,1507,20645,2485,318672,3147,1022022,2005,184282,6836,837740,6891,322033,1073,138344,3990,183689,4011,2507,null,null,1507,null,null,2485,null,null,3147,null,null,2005,null,null,6836,null,null,6891,null,null,1073,null,null,3990,null,null,4011,null,null,54
4891563,8202,997763,4862,38988,3326,958775,4965,3040844,4713,284201,7551,2756643,8677,852956,1487,266647,4767,586309,4881,8202,null,null,4862,null,null,3326,null,null,4965,null,null,4713,null,null,7551,null,null,8677,null,null,1487,null,null,4767,null,null,4881,null,null,55
531354,2498,123496,1434,5993,1386,117503,1797,325558,1903,36743,3095,288815,3368,82300,675,31559,1802,50741,1804,2498,null,null,1434,null,null,1386,null,null,1797,null,null,1903,null,null,3095,null,null,3368,null,null,675,null,null,1802,null,null,1804,null,null,56
2262080,20185,454493,8826,34451,3091,420042,8851,1351261,13328,237823,8080,1113438,13881,456326,6714,221627,5552,234699,5723,20185,null,null,8826,null,null,3091,null,null,8851,null,null,13328,null,null,8080,null,null,13881,null,null,6714,null,null,5552,null,null,5723,null,null,72
3269825,7086,682209,3350,31877,2787,650332,4088,1982086,4917,272332,8915,1709754,10530,605530,1926,240276,6406,365254,6404,7086,null,null,3350,null,null,2787,null,null,4088,null,null,4917,null,null,8915,null,null,10530,null,null,1926,null,null,6406,null,null,6404,null,null,01
461203,3465,100240,1401,4053,877,96187,1508,304069,2768,31338,2858,272731,3943,56894,491,20316,1945,36578,2022,3465,null,null,1401,null,null,877,null,null,1508,null,null,2768,null,null,2858,null,null,3943,null,null,491,null,null,1945,null,null,2022,null,null,02
5181587,21758,1111727,10816,43728,3945,1067999,11400,3028586,13903,327886,10189,2700700,18509,1041274,2702,352000,7562,689274,6997,21758,null,null,10816,null,null,3945,null,null,11400,null,null,13903,null,null,10189,null,null,18509,null,null,2702,null,null,7562,null,null,6997,null,null,04
2253566,5680,491547,3064,25871,2943,465676,4019,1348755,4041,204243,7012,1144512,8100,413264,1536,164091,4828,249173,5150,5680,null,null,3064,null,null,2943,null,null,4019,null,null,4041,null,null,7012,null,null,8100,null,null,1536,null,null,4828,null,null,5150,null,null,05
23136911,61816,5009175,30495,176461,7617,4832714,29425,14422534,38361,1267950,19943,13154584,38512,3705202,9949,1304760,16811,2400442,15967,61816,null,null,30495,null,null,7617,null,null,29425,null,null,38361,null,null,19943,null,null,38512,null,null,9949,null,null,16811,null,null,15967,null,null,06
4580019,13577,995133,7318,30161,2540,964972,7801,2919935,8634,256081,6859,2663854,10555,664951,2296,206951,5512,458000,5643,13577,null,null,7318,null,null,2540,null,null,7801,null,null,8634,null,null,6859,null,null,10555,null,null,2296,null,null,5512,null,null,5643,null,null,08
2708598,12254,521455,5010,16557,2045,504898,5149,1693312,8569,142812,6386,1550500,9898,493831,1916,155371,4233,338460,4215,12254,null,null,5010,null,null,2045,null,null,5149,null,null,8569,null,null,6386,null,null,9898,null,null,1916,null,null,4233,null,null,4215,null,null,09
651055,5039,123835,2569,5381,1413,118454,2932,394160,3068,39407,3112,354753,4416,133060,1059,39331,2378,93729,2607,5039,null,null,2569,null,null,1413,null,null,2932,null,null,3068,null,null,3112,null,null,4416,null,null,1059,null,null,2378,null,null,2607,null,null,10
273546,3643,32326,1722,804,345,31522,1762,213587,2628,8219,1414,205368,2899,27633,693,5879,1131,21754,1218,3643,null,null,1722,null,null,345,null,null,1762,null,null,2628,null,null,1414,null,null,2899,null,null,693,null,null,1131,null,null,1218,null,null,11
