B13002D_001E,B13002D_001M,B13002D_002E,B13002D_002M,B13002D_003E,B13002D_003M,B13002D_004E,B13002D_004M,B13002D_005E,B13002D_005M,B13002D_006E,B13002D_006M,B13002D_007E,B13002D_007M,B13002D_001M,B13002D_001EA,B13002D_001MA,B13002D_002M,B13002D_002EA,B13002D_002MA,B13002D_003M,B13002D_003EA,B13002D_003MA,B13002D_004M,B13002D_004EA,B13002D_004MA,B13002D_005M,B13002D_005EA,B13002D_005MA,B13002D_006M,B13002D_006EA,B13002D_006MA,B13002D_007M,B13002D_007EA,B13002D_007MA,state
88356,2152,3950,831,3666,787,284,194,84406,2316,48382,2004,36024,2397,2152,null,null,831,null,null,787,null,null,194,null,null,2316,null,null,2004,null,null,2397,null,null,26
80064,2315,5108,1089,3776,821,1332,710,74956,2364,35666,2258,39290,2850,2315,null,null,1089,null,null,821,null,null,710,null,null,2364,null,null,2258,null,null,2850,null,null,27
8627,1628,279,277,279,277,0,213,8348,1645,4631,1121,3717,1214,1628,null,null,277,null,null,277,null,null,213,null,null,1645,null,null,1121,null,null,1214,null,null,28
37810,1438,2273,898,2074,874,199,174,35537,1621,20404,1809,15133,1641,1438,null,null,898,null,null,874,null,null,174,null,null,1621,null,null,1809,null,null,1641,null,null,29
3883,1147,134,163,134,163,0,168,3749,1158,1493,661,2256,1093,1147,null,null,163,null,null,163,null,null,168,null,null,1158,null,null,661,null,null,1093,null,null,30
12648,1377,391,268,391,268,0,159,12257,1346,7180,1109,5077,801,1377,null,null,268,null,null,268,null,null,159,null,null,1346,null,null,1109,null,null,801,null,null,31
66682,2244,3000,906,2150,723,850,522,63682,2308,32787,2124,30895,2316,2244,null,null,906,null,null,723,null,null,522,null,null,2308,null,null,2124,null,null,2316,null,null,32
9753,1139,465,299,465,299,0,187,9288,1125,5150,740,4138,1185,1139,null,null,299,null,null,299,null,null,187,null,null,1125,null,null,740,null,null,1185,null,null,33
240633,2486,13111,1788,12766,1801,345,220,227522,2957,141797,3413,85725,3312,2486,null,null,1788,null,null,1801,null,null,220,null,null,2957,null,null,3413,null,null,3312,null,null,34
10581,916,781,436,723,422,58,99,9800,1016,5638,762,4162,872,916,null,null,436,null,null,422,null,null,99,null,null,1016,null,null,762,null,null,872,null,null,35
488817,4997,22271,2430,20281,2212,1990,669,466546,5358,238846,5575,227700,5479,4997,null,null,2430,null,null,2212,null,null,669,null,null,5358,null,null,5575,null,null,5479,null,null,36
86241,2444,4284,929,3685,862,599,470,81957,2552,50274,2620,31683,2278,2444,null,null,929,null,null,862,null,null,470,null,null,2552,null,null,2620,null,null,2278,null,null,37
3093,983,411,318,383,312,28,53,2682,1015,1195,481,1487,773,983,null,null,318,null,null,312,null,null,53,null,null,1015,null,null,481,null,null,773,null,null,38
72224,1991,4478,1286,4339,1266,139,178,67746,2087,38650,2083,29096,2190,1991,null,null,1286,null,null,1266,null,null,178,null,null,2087,null,null,2083,null,null,2190,null,null,39
25764,1192,2051,511,1566,451,485,312,23713,1246,12569,1140,11144,1246,1192,null,null,511,null,null,451,null,null,312,null,null,1246,null,null,1140,null,null,1246,null,null,40
52988,1945,2599,764,2373,711,226,228,50389,2018,27323,1720,23066,1774,1945,null,null,764,null,null,711,null,null,228,null,null,2018,null,null,1720,null,null,1774,null,null,41
129033,2361,6169,1343,5420,1266,749,407,122864,2563,66633,2712,56231,2284,2361,null,null,1343,null,null,1266,null,null,407,null,null,2563,null,null,2712,null,null,2284,null,null,42
12072,1062,1332,1040,1275,1041,57,101,10740,1444,4012,1021,6728,1070,1062,null,null,1040,null,null,1041,null,null,101,null,null,1444,null,null,1021,null,null,1070,null,null,44
23936,1745,1602,694,1312,645,290,231,22334,1785,12715,1224,9619,1634,1745,null,null,694,null,null,645,null,null,231,null,null,1785,null,null,1224,null,null,1634,null,null,45
3567,730,194,156,140,111,54,88,3373,749,2000,506,1373,583,730,null,null,156,null,null,111,null,null,88,null,null,749,null,null,506,null,null,583,null,null,46
37079,1845,1704,578,1576,559,128,154,35375,1897,21070,1494,14305,1980,1845,null,null,578,null,null,559,null,null,154,null,null,1897,null,null,1494,null,null,1980,null,null,47
376971,4816,21855,2627,20012,2629,1843,1030,355116,5541,209757,5681,145359,5764,4816,null,null,2627,null,null,2629,null,null,1030,null,null,5541,null,null,5681,null,null,5764,null,null,48
21214,1193,1764,777,1764,777,0,190,19450,1344,11562,1320,7888,1303,1193,null,null,777,null,null,777,null,null,190,null,null,1344,null,null,1320,null,null,1303,null,null,49
3327,523,58,101,58,101,0,151,3269,521,1524,469,1745,509,523,null,null,101,null,null,101,null,null,151,null,null,521,null,null,469,null,null,509,null,null,50
158694,2627,7973,1369,7350,1310,623,501,150721,2955,89803,3809,60918,3342,2627,null,null,1369,null,null,1310,null,null,501,null,null,2955,null,null,3809,null,null,3342,null,null,51
179247,3524,9106,1520,7983,1402,1123,605,170141,3593,96098,3484,74043,2898,3524,null,null,1520,null,null,1402,null,null,605,null,null,3593,null,null,3484,null,null,2898,null,null,53
4940,1094,316,211,316,211,0,193,4624,1061,2226,591,2398,897,1094,null,null,211,null,null,211,null,null,193,null,null,1061,null,null,591,null,null,897,null,null,54
48584,1837,3557,933,2547,774,1010,568,45027,2039,22390,1406,22637,1904,1837,null,null,933,null,null,774,null,null,568,null,null,2039,null,null,1406,null,null,1904,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
18588,1851,1060,517,919,458,141,225,17528,1841,10189,1483,7339,1529,1851,null,null,517,null,null,458,null,null,225,null,null,1841,null,null,1483,null,null,1529,null,null,01
13950,1333,720,460,349,249,371,385,13230,1351,6767,1050,6463,1294,1333,null,null,460,null,null,249,null,null,385,null,null,1351,null,null,1050,null,null,1294,null,null,02
64397,1728,3125,786,2382,662,743,470,61272,1782,37310,1793,23962,1817,1728,null,null,786,null,null,662,null,null,470,null,null,1782,null,null,1793,null,null,1817,null,null,04
13178,1437,1029,645,1029,645,0,197,12149,1437,7298,1002,4851,1163,1437,null,null,645,null,null,645,null,null,197,null,null,1437,null,null,1002,null,null,1163,null,null,05
1516583,6970,68802,4085,62064,3951,6738,1268,1447781,7937,746649,10270,701132,11205,6970,null,null,4085,null,null,3951,null,null,1268,null,null,7937,null,null,10270,null,null,11205,null,null,06
54313,1859,2522,697,2280,671,242,207,51791,1776,29431,1637,22360,1961,1859,null,null,697,null,null,671,null,null,207,null,null,1776,null,null,1637,null,null,1961,null,null,08
50349,1909,2652,846,2277,799,375,321,47697,1965,28615,1726,19082,1712,1909,null,null,846,null,null,799,null,null,321,null,null,1965,null,null,1726,null,null,1712,null,null,09
9713,766,349,236,349,236,0,193,9364,788,6286,706,3078,559,766,null,null,236,null,null,236,null,null,193,null,null,788,null,null,706,null,null,559,null,null,10
12204,640,563,318,563,318,0,203,11641,653,3543,624,8098,694,640,null,null,318,null,null,318,null,null,203,null,null,653,null,null,624,null,null,694,null,null,11
