C15002E_001E,C15002E_001M,C15002E_002E,C15002E_002M,C15002E_003E,C15002E_003M,C15002E_004E,C15002E_004M,C15002E_005E,C15002E_005M,C15002E_006E,C15002E_006M,C15002E_007E,C15002E_007M,C15002E_008E,C15002E_008M,C15002E_009E,C15002E_009M,C15002E_010E,C15002E_010M,C15002E_011E,C15002E_011M,C15002E_001M,C15002E_001EA,C15002E_001MA,C15002E_002M,C15002E_002EA,C15002E_002MA,C15002E_003M,C15002E_003EA,C15002E_003MA,C15002E_004M,C15002E_004EA,C15002E_004MA,C15002E_005M,C15002E_005EA,C15002E_005MA,C15002E_006M,C15002E_006EA,C15002E_006MA,C15002E_007M,C15002E_007EA,C15002E_007MA,C15002E_008M,C15002E_008EA,C15002E_008MA,C15002E_009M,C15002E_009EA,C15002E_009MA,C15002E_010M,C15002E_010EA,C15002E_010MA,C15002E_011M,C15002E_011EA,C15002E_011MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
4692,1315,1967,896,608,514,386,507,517,345,456,372,2725,976,1279,619,337,245,686,584,423,418,1315,null,null,896,null,null,514,null,null,507,null,null,345,null,null,372,null,null,976,null,null,619,null,null,245,null,null,584,null,null,418,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
11123,922,5754,641,581,304,2485,686,1950,565,738,322,5369,628,180,166,2522,606,1897,616,770,369,922,null,null,641,null,null,304,null,null,686,null,null,565,null,null,322,null,null,628,null,null,166,null,null,606,null,null,616,null,null,369,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
6144,1699,2602,856,436,334,890,421,416,326,860,598,3542,1172,857,591,749,411,743,439,1193,589,1699,null,null,856,null,null,334,null,null,421,null,null,326,null,null,598,null,null,1172,null,null,591,null,null,411,null,null,439,null,null,589,null,null,36
3716,1031,1785,833,367,342,541,438,565,465,312,383,1931,671,190,145,662,450,960,495,119,187,1031,null,null,833,null,null,342,null,null,438,null,null,465,null,null,383,null,null,671,null,null,145,null,null,450,null,null,495,null,null,187,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
2195,628,1110,503,187,232,337,279,126,174,460,389,1085,347,57,71,176,194,501,278,351,164,628,null,null,503,null,null,232,null,null,279,null,null,174,null,null,389,null,null,347,null,null,71,null,null,194,null,null,278,null,null,164,null,null,39
3867,912,1585,516,290,157,856,493,295,230,144,151,2282,669,291,175,1362,655,323,308,306,188,912,null,null,516,null,null,157,null,null,493,null,null,230,null,null,151,null,null,669,null,null,175,null,null,655,null,null,308,null,null,188,null,null,40
8401,1498,3880,967,255,191,885,395,1831,787,909,509,4521,1026,766,424,580,308,2664,1018,511,326,1498,null,null,967,null,null,191,null,null,395,null,null,787,null,null,509,null,null,1026,null,null,424,null,null,308,null,null,1018,null,null,326,null,null,41
2633,887,953,530,91,111,256,254,220,217,386,302,1680,591,413,352,398,274,571,360,298,193,887,null,null,530,null,null,111,null,null,254,null,null,217,null,null,302,null,null,591,null,null,352,null,null,274,null,null,360,null,null,193,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
2434,1103,1085,625,105,82,299,321,313,282,368,434,1349,722,252,204,113,162,826,634,158,155,1103,null,null,625,null,null,82,null,null,321,null,null,282,null,null,434,null,null,722,null,null,204,null,null,162,null,null,634,null,null,155,null,null,47
15520,2237,4867,1097,252,205,1746,735,2167,824,702,346,10653,1920,1827,844,4172,1246,2555,874,2099,913,2237,null,null,1097,null,null,205,null,null,735,null,null,824,null,null,346,null,null,1920,null,null,844,null,null,1246,null,null,874,null,null,913,null,null,48
15028,1284,7980,1228,757,500,2871,799,3524,1082,828,463,7048,1021,777,508,2865,945,2451,782,955,442,1284,null,null,1228,null,null,500,null,null,799,null,null,1082,null,null,463,null,null,1021,null,null,508,null,null,945,null,null,782,null,null,442,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
5534,1348,2424,967,114,141,1004,668,420,314,886,508,3110,1022,789,560,450,335,1168,611,703,376,1348,null,null,967,null,null,141,null,null,668,null,null,314,null,null,508,null,null,1022,null,null,560,null,null,335,null,null,611,null,null,376,null,null,51
29505,1757,13936,1128,2171,774,6541,1147,3575,956,1649,666,15569,1445,2436,1003,6477,1415,4878,1310,1778,639,1757,null,null,1128,null,null,774,null,null,1147,null,null,956,null,null,666,null,null,1445,null,null,1003,null,null,1415,null,null,1310,null,null,639,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
5381,524,2615,396,142,170,1639,416,709,350,125,132,2766,369,381,338,1018,377,1030,399,337,284,524,null,null,396,null,null,170,null,null,416,null,null,350,null,null,132,null,null,369,null,null,338,null,null,377,null,null,399,null,null,284,null,null,02
8919,1082,4945,872,894,515,1566,595,1421,496,1064,526,3974,678,443,301,929,530,1770,648,832,500,1082,null,null,872,null,null,515,null,null,595,null,null,496,null,null,526,null,null,678,null,null,301,null,null,530,null,null,648,null,null,500,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
99235,3622,47333,2278,6539,1385,14931,1843,15717,2218,10146,1787,51902,2603,6807,1535,16368,2244,18612,2290,10115,1618,3622,null,null,2278,null,null,1385,null,null,1843,null,null,2218,null,null,1787,null,null,2603,null,null,1535,null,null,2244,null,null,2290,null,null,1618,null,null,06
5019,900,2697,680,468,397,984,532,751,421,494,317,2322,536,25,44,784,474,1179,510,334,269,900,null,null,680,null,null,397,null,null,532,null,null,421,null,null,317,null,null,536,null,null,44,null,null,474,null,null,510,null,null,269,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
