B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,B12002G_001M,B12002G_001EA,B12002G_001MA,B12002G_002M,B12002G_002EA,B12002G_002MA,B12002G_003M,B12002G_003EA,B12002G_003MA,B12002G_004M,B12002G_004EA,B12002G_004MA,B12002G_005M,B12002G_005EA,B12002G_005MA,B12002G_006M,B12002G_006EA,B12002G_006MA,B12002G_007M,B12002G_007EA,B12002G_007MA,B12002G_008M,B12002G_008EA,B12002G_008MA,B12002G_009M,B12002G_009EA,B12002G_009MA,B12002G_010M,B12002G_010EA,B12002G_010MA,B12002G_011M,B12002G_011EA,B12002G_011MA,B12002G_012M,B12002G_012EA,B12002G_012MA,B12002G_013M,B12002G_013EA,B12002G_013MA,state
16644,2359,7690,1605,4107,1196,2317,682,244,426,123,154,899,611,8954,1460,3747,1002,3268,842,51,123,522,323,1366,544,2359,null,null,1605,null,null,1196,null,null,682,null,null,426,null,null,154,null,null,611,null,null,1460,null,null,1002,null,null,842,null,null,123,null,null,323,null,null,544,null,null,54
72509,4828,36627,3267,23404,2486,8821,1269,673,297,414,251,3315,880,35882,2896,19964,2342,10150,1235,535,319,945,430,4288,1016,4828,null,null,3267,null,null,2486,null,null,1269,null,null,297,null,null,251,null,null,880,null,null,2896,null,null,2342,null,null,1235,null,null,319,null,null,430,null,null,1016,null,null,55
9358,1754,4424,1102,1524,792,2024,644,261,272,80,146,535,417,4934,1200,1413,622,2464,935,191,186,71,91,795,481,1754,null,null,1102,null,null,792,null,null,644,null,null,272,null,null,146,null,null,417,null,null,1200,null,null,622,null,null,935,null,null,186,null,null,91,null,null,481,null,null,56
120159,7955,60857,4896,29371,3862,21443,2369,1701,756,1561,635,6781,1626,59302,4397,23275,2645,19060,2163,1912,737,4949,1175,10106,1799,7955,null,null,4896,null,null,3862,null,null,2369,null,null,756,null,null,635,null,null,1626,null,null,4397,null,null,2645,null,null,2163,null,null,737,null,null,1175,null,null,1799,null,null,72
50120,4235,25104,2573,11509,2028,9272,1282,433,414,636,321,3254,968,25016,2793,10851,2118,8887,1493,551,543,2318,611,2409,746,4235,null,null,2573,null,null,2028,null,null,1282,null,null,414,null,null,321,null,null,968,null,null,2793,null,null,2118,null,null,1493,null,null,543,null,null,611,null,null,746,null,null,01
37774,3752,19668,2338,12562,2169,5420,1092,168,183,99,79,1419,582,18106,2087,8331,1543,6390,1170,236,216,394,253,2755,861,3752,null,null,2338,null,null,2169,null,null,1092,null,null,183,null,null,79,null,null,582,null,null,2087,null,null,1543,null,null,1170,null,null,216,null,null,253,null,null,861,null,null,02
149078,8823,76832,5427,43855,3867,22718,2462,1461,714,1596,723,7202,1674,72246,5465,36271,3475,23617,2472,2871,1002,1818,642,7669,1265,8823,null,null,5427,null,null,3867,null,null,2462,null,null,714,null,null,723,null,null,1674,null,null,5465,null,null,3475,null,null,2472,null,null,1002,null,null,642,null,null,1265,null,null,04
45236,3727,20783,2421,9457,1604,7453,1229,585,323,761,508,2527,797,24453,2564,9784,2076,8811,1516,1195,597,1609,524,3054,828,3727,null,null,2421,null,null,1604,null,null,1229,null,null,323,null,null,508,null,null,797,null,null,2564,null,null,2076,null,null,1516,null,null,597,null,null,524,null,null,828,null,null,05
1183610,19066,579648,12104,323098,8739,200253,7072,8641,1601,6877,1195,40779,3105,603962,12214,295512,9841,203266,8110,14366,2032,27290,2784,63528,4388,19066,null,null,12104,null,null,8739,null,null,7072,null,null,1601,null,null,1195,null,null,3105,null,null,12214,null,null,9841,null,null,8110,null,null,2032,null,null,2784,null,null,4388,null,null,06
112778,6031,58734,4529,31970,3216,19560,2084,1149,655,563,323,5492,1562,54044,3501,24044,2435,20569,2037,1603,699,1802,630,6026,1150,6031,null,null,4529,null,null,3216,null,null,2084,null,null,655,null,null,323,null,null,1562,null,null,3501,null,null,2435,null,null,2037,null,null,699,null,null,630,null,null,1150,null,null,08
66034,5703,33440,3143,19988,2400,9485,1597,1206,628,242,225,2519,759,32594,3667,18054,2745,9837,1692,383,299,831,368,3489,922,5703,null,null,3143,null,null,2400,null,null,1597,null,null,628,null,null,225,null,null,759,null,null,3667,null,null,2745,null,null,1692,null,null,299,null,null,368,null,null,922,null,null,09
14659,2022,4643,891,2553,676,1714,626,29,51,117,129,230,201,10016,1691,4444,1215,3065,868,118,146,377,301,2012,837,2022,null,null,891,null,null,676,null,null,626,null,null,51,null,null,129,null,null,201,null,null,1691,null,null,1215,null,null,868,null,null,146,null,null,301,null,null,837,null,null,10
11684,1968,5025,1108,2978,868,1591,587,196,169,70,79,190,144,6659,1250,3378,871,1933,729,102,147,200,205,1046,368,1968,null,null,1108,null,null,868,null,null,587,null,null,169,null,null,79,null,null,144,null,null,1250,null,null,871,null,null,729,null,null,147,null,null,205,null,null,368,null,null,11
