B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,B05003D_001M,B05003D_001EA,B05003D_001MA,B05003D_002M,B05003D_002EA,B05003D_002MA,B05003D_003M,B05003D_003EA,B05003D_003MA,B05003D_004M,B05003D_004EA,B05003D_004MA,B05003D_005M,B05003D_005EA,B05003D_005MA,B05003D_006M,B05003D_006EA,B05003D_006MA,B05003D_007M,B05003D_007EA,B05003D_007MA,B05003D_008M,B05003D_008EA,B05003D_008MA,B05003D_009M,B05003D_009EA,B05003D_009MA,B05003D_010M,B05003D_010EA,B05003D_010MA,B05003D_011M,B05003D_011EA,B05003D_011MA,B05003D_012M,B05003D_012EA,B05003D_012MA,B05003D_013M,B05003D_013EA,B05003D_013MA,B05003D_014M,B05003D_014EA,B05003D_014MA,B05003D_015M,B05003D_015EA,B05003D_015MA,B05003D_016M,B05003D_016EA,B05003D_016MA,B05003D_017M,B05003D_017EA,B05003D_017MA,B05003D_018M,B05003D_018EA,B05003D_018MA,B05003D_019M,B05003D_019EA,B05003D_019MA,B05003D_020M,B05003D_020EA,B05003D_020MA,B05003D_021M,B05003D_021EA,B05003D_021MA,B05003D_022M,B05003D_022EA,B05003D_022MA,B05003D_023M,B05003D_023EA,B05003D_023MA,state
17499,1510,7053,1064,1743,701,1511,556,232,287,14,24,218,275,5310,858,1337,645,3973,645,1643,575,2330,669,10446,1180,1756,613,995,490,761,376,542,323,219,223,8690,1059,1531,703,7159,1117,4203,835,2956,908,1510,null,null,1064,null,null,701,null,null,556,null,null,287,null,null,24,null,null,275,null,null,858,null,null,645,null,null,645,null,null,575,null,null,669,null,null,1180,null,null,613,null,null,490,null,null,376,null,null,323,null,null,223,null,null,1059,null,null,703,null,null,1117,null,null,835,null,null,908,null,null,23
376518,4946,180705,3617,40509,2331,33132,2134,7377,1263,2509,760,4868,1194,140196,2135,25241,2578,114955,2974,74338,2746,40617,3195,195813,2858,34900,1789,26903,1747,7997,1501,4267,1147,3730,1118,160913,1921,25983,2680,134930,2963,86969,3083,47961,3237,4946,null,null,3617,null,null,2331,null,null,2134,null,null,1263,null,null,760,null,null,1194,null,null,2135,null,null,2578,null,null,2974,null,null,2746,null,null,3195,null,null,2858,null,null,1789,null,null,1747,null,null,1501,null,null,1147,null,null,1118,null,null,1921,null,null,2680,null,null,2963,null,null,3083,null,null,3237,null,null,24
440845,5571,212224,3136,48481,1782,39576,1898,8905,1415,3188,924,5717,1115,163743,2394,33267,3032,130476,3729,69038,3371,61438,3396,228621,3388,44567,1756,35422,1995,9145,1503,3878,911,5267,1238,184054,2578,36703,2974,147351,3525,80897,3232,66454,3157,5571,null,null,3136,null,null,1782,null,null,1898,null,null,1415,null,null,924,null,null,1115,null,null,2394,null,null,3032,null,null,3729,null,null,3371,null,null,3396,null,null,3388,null,null,1756,null,null,1995,null,null,1503,null,null,911,null,null,1238,null,null,2578,null,null,2974,null,null,3525,null,null,3232,null,null,3157,null,null,25
292514,4773,142932,2588,30269,1428,22417,1605,7852,1140,1853,573,5999,1022,112663,1891,19834,1923,92829,2143,43283,2167,49546,2726,149582,3275,32442,1770,22977,2070,9465,1719,3427,909,6038,1358,117140,2097,16070,1512,101070,2689,51079,2682,49991,3306,4773,null,null,2588,null,null,1428,null,null,1605,null,null,1140,null,null,573,null,null,1022,null,null,1891,null,null,1923,null,null,2143,null,null,2167,null,null,2726,null,null,3275,null,null,1770,null,null,2070,null,null,1719,null,null,909,null,null,1358,null,null,2097,null,null,1512,null,null,2689,null,null,2682,null,null,3306,null,null,26
258899,4686,127119,2872,38102,1679,30955,1937,7147,1166,2413,800,4734,1232,89017,1858,23516,2244,65501,2551,38904,2005,26597,2173,131780,3292,35212,1892,26745,2097,8467,1606,4148,1136,4319,1351,96568,2161,20793,2098,75775,2597,46934,2386,28841,2306,4686,null,null,2872,null,null,1679,null,null,1937,null,null,1166,null,null,800,null,null,1232,null,null,1858,null,null,2244,null,null,2551,null,null,2005,null,null,2173,null,null,3292,null,null,1892,null,null,2097,null,null,1606,null,null,1136,null,null,1351,null,null,2161,null,null,2098,null,null,2597,null,null,2386,null,null,2306,null,null,27
26708,2267,10347,1490,2329,515,1902,530,427,346,23,41,404,344,8018,1550,2049,854,5969,1243,3047,985,2922,1045,16361,1880,3995,926,3277,884,718,495,473,383,245,259,12366,1624,2432,852,9934,1445,4244,914,5690,1563,2267,null,null,1490,null,null,515,null,null,530,null,null,346,null,null,41,null,null,344,null,null,1550,null,null,854,null,null,1243,null,null,985,null,null,1045,null,null,1880,null,null,926,null,null,884,null,null,495,null,null,383,null,null,259,null,null,1624,null,null,852,null,null,1445,null,null,914,null,null,1563,null,null,28
117335,3722,54953,2801,12742,1638,10574,1782,2168,921,328,309,1840,885,42211,1853,7791,1381,34420,1891,17235,1587,17185,2073,62382,2376,12161,1524,8431,1417,3730,977,1783,811,1947,633,50221,1706,9958,1659,40263,1898,21702,1829,18561,2088,3722,null,null,2801,null,null,1638,null,null,1782,null,null,921,null,null,309,null,null,885,null,null,1853,null,null,1381,null,null,1891,null,null,1587,null,null,2073,null,null,2376,null,null,1524,null,null,1417,null,null,977,null,null,811,null,null,633,null,null,1706,null,null,1659,null,null,1898,null,null,1829,null,null,2088,null,null,29
8432,1383,2693,808,964,547,400,256,564,481,401,434,163,226,1729,585,359,210,1370,603,681,464,689,388,5739,1253,550,275,362,241,188,175,188,175,0,168,5189,1235,1085,557,4104,1077,2772,1080,1332,608,1383,null,null,808,null,null,547,null,null,256,null,null,481,null,null,434,null,null,226,null,null,585,null,null,210,null,null,603,null,null,464,null,null,388,null,null,1253,null,null,275,null,null,241,null,null,175,null,null,175,null,null,168,null,null,1235,null,null,557,null,null,1077,null,null,1080,null,null,608,null,null,30
41548,3337,19481,1496,4921,816,2710,805,2211,554,453,275,1758,504,14560,1093,1966,829,12594,1039,3967,762,8627,1150,22067,2235,6111,1512,3054,911,3057,1242,1052,539,2005,1156,15956,1262,1985,507,13971,1215,5753,728,8218,1217,3337,null,null,1496,null,null,816,null,null,805,null,null,554,null,null,275,null,null,504,null,null,1093,null,null,829,null,null,1039,null,null,762,null,null,1150,null,null,2235,null,null,1512,null,null,911,null,null,1242,null,null,539,null,null,1156,null,null,1262,null,null,507,null,null,1215,null,null,728,null,null,1217,null,null,31
244373,5223,109193,2749,20746,2033,17256,2025,3490,1056,1555,668,1935,917,88447,1715,27666,2822,60781,3255,41788,2787,18993,2534,135180,3634,19950,1745,16159,1688,3791,1145,1269,588,2522,1012,115230,2669,23918,2264,91312,2940,62627,3141,28685,2766,5223,null,null,2749,null,null,2033,null,null,2025,null,null,1056,null,null,668,null,null,917,null,null,1715,null,null,2822,null,null,3255,null,null,2787,null,null,2534,null,null,3634,null,null,1745,null,null,1688,null,null,1145,null,null,588,null,null,1012,null,null,2669,null,null,2264,null,null,2940,null,null,3141,null,null,2766,null,null,32
32679,2286,15307,1491,3238,836,1484,583,1754,773,404,272,1350,760,12069,1170,1911,873,10158,1058,5136,1196,5022,1150,17372,1565,4368,914,2415,997,1953,747,1095,426,858,552,13004,1027,2550,880,10454,851,5432,970,5022,1078,2286,null,null,1491,null,null,836,null,null,583,null,null,773,null,null,272,null,null,760,null,null,1170,null,null,873,null,null,1058,null,null,1196,null,null,1150,null,null,1565,null,null,914,null,null,997,null,null,747,null,null,426,null,null,552,null,null,1027,null,null,880,null,null,851,null,null,970,null,null,1078,null,null,33
854181,6311,416212,3534,94742,2110,76799,2982,17943,2178,5085,1606,12858,1624,321470,2264,55743,3114,265727,3373,154352,4354,111375,4382,437969,3554,90801,2154,72038,2823,18763,2369,5554,1402,13209,1784,347168,2350,49626,3606,297542,3689,174512,4791,123030,5200,6311,null,null,3534,null,null,2110,null,null,2982,null,null,2178,null,null,1606,null,null,1624,null,null,2264,null,null,3114,null,null,3373,null,null,4354,null,null,4382,null,null,3554,null,null,2154,null,null,2823,null,null,2369,null,null,1402,null,null,1784,null,null,2350,null,null,3606,null,null,3689,null,null,4791,null,null,5200,null,null,34
32346,2297,14479,1583,2808,671,2445,670,363,290,25,45,338,283,11671,1406,3864,1097,7807,1095,3760,873,4047,964,17867,1397,3582,959,2503,757,1079,514,513,314,566,448,14285,1071,3009,696,11276,1017,6606,1123,4670,1159,2297,null,null,1583,null,null,671,null,null,670,null,null,290,null,null,45,null,null,283,null,null,1406,null,null,1097,null,null,1095,null,null,873,null,null,964,null,null,1397,null,null,959,null,null,757,null,null,514,null,null,314,null,null,448,null,null,1071,null,null,696,null,null,1017,null,null,1123,null,null,1159,null,null,35
1668036,11780,794533,5970,161961,2829,130205,3474,31756,3032,8480,1412,23276,2735,632572,4573,119563,5237,513009,6322,285984,6561,227025,6428,873503,7142,153354,3512,121290,4011,32064,2799,12361,1746,19703,2542,720149,5169,123405,4569,596744,6106,340007,6093,256737,6612,11780,null,null,5970,null,null,2829,null,null,3474,null,null,3032,null,null,1412,null,null,2735,null,null,4573,null,null,5237,null,null,6322,null,null,6561,null,null,6428,null,null,7142,null,null,3512,null,null,4011,null,null,2799,null,null,1746,null,null,2542,null,null,5169,null,null,4569,null,null,6106,null,null,6093,null,null,6612,null,null,36
275428,4413,133559,2957,34682,1595,26117,1803,8565,1304,2582,1042,5983,1389,98877,2216,19715,2276,79162,2650,41867,2628,37295,2751,141869,2912,31812,1708,23626,1897,8186,1336,3444,1078,4742,1119,110057,2300,16148,1962,93909,2522,54660,2645,39249,2971,4413,null,null,2957,null,null,1595,null,null,1803,null,null,1304,null,null,1042,null,null,1389,null,null,2216,null,null,2276,null,null,2650,null,null,2628,null,null,2751,null,null,2912,null,null,1708,null,null,1897,null,null,1336,null,null,1078,null,null,1119,null,null,2300,null,null,1962,null,null,2522,null,null,2645,null,null,2971,null,null,37
9200,1807,4447,1001,796,548,483,458,313,300,12,21,301,300,3651,688,709,460,2942,612,655,310,2287,603,4753,1104,574,396,145,178,429,350,50,88,379,331,4179,865,816,462,3363,865,1554,648,1809,594,1807,null,null,1001,null,null,548,null,null,458,null,null,300,null,null,21,null,null,300,null,null,688,null,null,460,null,null,612,null,null,310,null,null,603,null,null,1104,null,null,396,null,null,178,null,null,350,null,null,88,null,null,331,null,null,865,null,null,462,null,null,865,null,null,648,null,null,594,null,null,38
239025,3799,117018,3043,26727,1774,20162,1765,6565,1565,1664,737,4901,1327,90291,2359,15116,1814,75175,2598,32356,2673,42819,3136,122007,2586,23693,1801,15296,1656,8397,1433,3185,851,5212,1186,98314,2032,15585,2023,82729,2319,39824,2383,42905,2813,3799,null,null,3043,null,null,1774,null,null,1765,null,null,1565,null,null,737,null,null,1327,null,null,2359,null,null,1814,null,null,2598,null,null,2673,null,null,3136,null,null,2586,null,null,1801,null,null,1656,null,null,1433,null,null,851,null,null,1186,null,null,2032,null,null,2023,null,null,2319,null,null,2383,null,null,2813,null,null,39
79246,2991,36102,2006,8755,964,7351,950,1404,378,263,214,1141,323,27347,1426,5019,937,22328,1511,11585,1479,10743,1447,43144,1717,9136,1216,6939,1080,2197,611,429,229,1768,591,34008,1352,5313,947,28695,1566,17030,1657,11665,1619,2991,null,null,2006,null,null,964,null,null,950,null,null,378,null,null,214,null,null,323,null,null,1426,null,null,937,null,null,1511,null,null,1479,null,null,1447,null,null,1717,null,null,1216,null,null,1080,null,null,611,null,null,229,null,null,591,null,null,1352,null,null,947,null,null,1566,null,null,1657,null,null,1619,null,null,40
169459,4996,77467,3178,15049,1833,13377,1720,1672,611,373,303,1299,504,62418,2241,18499,2244,43919,2549,22732,1884,21187,2413,91992,3015,15259,1837,12027,1596,3232,1020,1292,576,1940,755,76733,2384,18507,1836,58226,2682,34888,2382,23338,2243,4996,null,null,3178,null,null,1833,null,null,1720,null,null,611,null,null,303,null,null,504,null,null,2241,null,null,2244,null,null,2549,null,null,1884,null,null,2413,null,null,3015,null,null,1837,null,null,1596,null,null,1020,null,null,576,null,null,755,null,null,2384,null,null,1836,null,null,2682,null,null,2382,null,null,2243,null,null,41
423180,5309,202208,3617,46293,2094,35693,2462,10600,1755,3575,1097,7025,1529,155915,2529,28609,2673,127306,3465,65957,2907,61349,2932,220972,3518,44679,2356,32321,2287,12358,1689,6222,1320,6136,1293,176293,2253,32033,2925,144260,3459,77890,3602,66370,3236,5309,null,null,3617,null,null,2094,null,null,2462,null,null,1755,null,null,1097,null,null,1529,null,null,2529,null,null,2673,null,null,3465,null,null,2907,null,null,2932,null,null,3518,null,null,2356,null,null,2287,null,null,1689,null,null,1320,null,null,1293,null,null,2253,null,null,2925,null,null,3459,null,null,3602,null,null,3236,null,null,42
36875,2185,17099,1426,3232,972,1995,777,1237,797,300,310,937,689,13867,952,4333,995,9534,1142,4612,763,4922,927,19776,1611,4690,1039,3107,1069,1583,1065,427,346,1156,968,15086,1095,4743,1329,10343,1394,5978,966,4365,1371,2185,null,null,1426,null,null,972,null,null,777,null,null,797,null,null,310,null,null,689,null,null,952,null,null,995,null,null,1142,null,null,763,null,null,927,null,null,1611,null,null,1039,null,null,1069,null,null,1065,null,null,346,null,null,968,null,null,1095,null,null,1329,null,null,1394,null,null,966,null,null,1371,null,null,44
76870,3837,33704,2511,7610,1270,5978,1203,1632,726,488,348,1144,609,26094,2097,6307,1154,19787,1879,10955,1430,8832,1568,43166,2622,8391,1594,5894,1372,2497,936,1181,693,1316,590,34775,1962,7266,1582,27509,2275,15827,1875,11682,1689,3837,null,null,2511,null,null,1270,null,null,1203,null,null,726,null,null,348,null,null,609,null,null,2097,null,null,1154,null,null,1879,null,null,1430,null,null,1568,null,null,2622,null,null,1594,null,null,1372,null,null,936,null,null,693,null,null,590,null,null,1962,null,null,1582,null,null,2275,null,null,1875,null,null,1689,null,null,45
12953,1806,6244,1036,2317,691,1296,393,1021,562,154,141,867,560,3927,672,452,295,3475,689,1327,505,2148,581,6709,1333,1970,835,1013,395,957,718,173,270,784,667,4739,892,786,667,3953,581,1386,541,2567,513,1806,null,null,1036,null,null,691,null,null,393,null,null,562,null,null,141,null,null,560,null,null,672,null,null,295,null,null,689,null,null,505,null,null,581,null,null,1333,null,null,835,null,null,395,null,null,718,null,null,270,null,null,667,null,null,892,null,null,667,null,null,581,null,null,541,null,null,513,null,null,46
116375,3917,51380,2189,12587,1378,9365,1407,3222,873,569,461,2653,855,38793,1697,6784,1271,32009,1532,13340,1642,18669,1958,64995,3089,15211,1638,10353,1716,4858,1041,2744,937,2114,729,49784,2049,8531,1435,41253,2450,21123,2133,20130,2104,3917,null,null,2189,null,null,1378,null,null,1407,null,null,873,null,null,461,null,null,855,null,null,1697,null,null,1271,null,null,1532,null,null,1642,null,null,1958,null,null,3089,null,null,1638,null,null,1716,null,null,1041,null,null,937,null,null,729,null,null,2049,null,null,1435,null,null,2450,null,null,2133,null,null,2104,null,null,47
1300300,10959,630427,6337,152301,3760,122548,4139,29753,3227,7284,1312,22469,2939,478126,4845,88919,4968,389207,6098,228546,6236,160661,6781,669873,6881,148703,4458,117075,4269,31628,3686,10840,2223,20788,2623,521170,4825,78356,4569,442814,6258,263123,7278,179691,7629,10959,null,null,6337,null,null,3760,null,null,4139,null,null,3227,null,null,1312,null,null,2939,null,null,4845,null,null,4968,null,null,6098,null,null,6236,null,null,6781,null,null,6881,null,null,4458,null,null,4269,null,null,3686,null,null,2223,null,null,2623,null,null,4825,null,null,4569,null,null,6258,null,null,7278,null,null,7629,null,null,48
70150,3381,34464,2022,7844,1455,5802,1301,2042,750,554,367,1488,705,26620,1256,7721,1191,18899,1318,7834,1180,11065,1493,35686,2117,6806,1146,4029,1004,2777,803,1274,547,1503,659,28880,1457,6307,1399,22573,1479,10980,1251,11593,1567,3381,null,null,2022,null,null,1455,null,null,1301,null,null,750,null,null,367,null,null,705,null,null,1256,null,null,1191,null,null,1318,null,null,1180,null,null,1493,null,null,2117,null,null,1146,null,null,1004,null,null,803,null,null,547,null,null,659,null,null,1457,null,null,1399,null,null,1479,null,null,1251,null,null,1567,null,null,49
9406,1088,3816,767,721,442,538,382,183,227,84,120,99,120,3095,553,531,342,2564,537,1258,528,1306,539,5590,680,902,419,525,375,377,278,153,179,224,211,4688,532,645,315,4043,565,2070,544,1973,557,1088,null,null,767,null,null,442,null,null,382,null,null,227,null,null,120,null,null,120,null,null,553,null,null,342,null,null,537,null,null,528,null,null,539,null,null,680,null,null,419,null,null,375,null,null,278,null,null,179,null,null,211,null,null,532,null,null,315,null,null,565,null,null,544,null,null,557,null,null,50
532320,7196,249966,4977,59959,3198,48957,3082,11002,1638,3787,933,7215,1444,190007,3257,37099,2722,152908,3797,92622,3967,60286,3514,282354,3684,56330,2146,43533,2278,12797,1913,4357,1080,8440,1623,226024,2871,35950,2685,190074,3565,114290,3973,75784,3810,7196,null,null,4977,null,null,3198,null,null,3082,null,null,1638,null,null,933,null,null,1444,null,null,3257,null,null,2722,null,null,3797,null,null,3967,null,null,3514,null,null,3684,null,null,2146,null,null,2278,null,null,1913,null,null,1080,null,null,1623,null,null,2871,null,null,2685,null,null,3565,null,null,3973,null,null,3810,null,null,51
597215,8484,274515,5199,55164,3099,47366,3032,7798,1543,2376,779,5422,1304,219351,3300,57335,3652,162016,4602,89610,3753,72406,4706,322700,4759,56219,2275,45210,2517,11009,1712,3837,1162,7172,1512,266481,3572,56675,3723,209806,4777,126385,4254,83421,4042,8484,null,null,5199,null,null,3099,null,null,3032,null,null,1543,null,null,779,null,null,1304,null,null,3300,null,null,3652,null,null,4602,null,null,3753,null,null,4706,null,null,4759,null,null,2275,null,null,2517,null,null,1712,null,null,1162,null,null,1512,null,null,3572,null,null,3723,null,null,4777,null,null,4254,null,null,4042,null,null,53
14133,1491,5640,1168,940,459,644,341,296,274,124,179,172,208,4700,1065,623,460,4077,1063,1842,702,2235,896,8493,1234,1748,572,1433,558,315,295,249,281,66,109,6745,1075,1429,500,5316,1019,3101,899,2215,557,1491,null,null,1168,null,null,459,null,null,341,null,null,274,null,null,179,null,null,208,null,null,1065,null,null,460,null,null,1063,null,null,702,null,null,896,null,null,1234,null,null,572,null,null,558,null,null,295,null,null,281,null,null,109,null,null,1075,null,null,500,null,null,1019,null,null,899,null,null,557,null,null,54
155252,3125,74307,2848,19837,1895,16490,1721,3347,991,964,499,2383,811,54470,1670,14405,1445,40065,1946,20099,1784,19966,1942,80945,2455,22755,1767,17802,1689,4953,1181,2387,741,2566,928,58190,1419,12722,1292,45468,1536,25246,1719,20222,1692,3125,null,null,2848,null,null,1895,null,null,1721,null,null,991,null,null,499,null,null,811,null,null,1670,null,null,1445,null,null,1946,null,null,1784,null,null,1942,null,null,2455,null,null,1767,null,null,1689,null,null,1181,null,null,741,null,null,928,null,null,1419,null,null,1292,null,null,1536,null,null,1719,null,null,1692,null,null,55
6012,1394,2492,858,958,482,846,414,112,188,0,197,112,188,1534,658,293,294,1241,554,336,299,905,571,3520,1119,1247,953,725,645,522,636,522,636,0,197,2273,769,394,372,1879,610,772,394,1107,498,1394,null,null,858,null,null,482,null,null,414,null,null,188,null,null,197,null,null,188,null,null,658,null,null,294,null,null,554,null,null,299,null,null,571,null,null,1119,null,null,953,null,null,645,null,null,636,null,null,636,null,null,197,null,null,769,null,null,372,null,null,610,null,null,394,null,null,498,null,null,56
