B18101E_001E,B18101E_001M,B18101E_002E,B18101E_002M,B18101E_003E,B18101E_003M,B18101E_004E,B18101E_004M,B18101E_005E,B18101E_005M,B18101E_006E,B18101E_006M,B18101E_007E,B18101E_007M,B18101E_008E,B18101E_008M,B18101E_009E,B18101E_009M,B18101E_010E,B18101E_010M,B18101E_001M,B18101E_001EA,B18101E_001MA,B18101E_002M,B18101E_002EA,B18101E_002MA,B18101E_003M,B18101E_003EA,B18101E_003MA,B18101E_004M,B18101E_004EA,B18101E_004MA,B18101E_005M,B18101E_005EA,B18101E_005MA,B18101E_006M,B18101E_006EA,B18101E_006MA,B18101E_007M,B18101E_007EA,B18101E_007MA,B18101E_008M,B18101E_008EA,B18101E_008MA,B18101E_009M,B18101E_009EA,B18101E_009MA,B18101E_010M,B18101E_010EA,B18101E_010MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
4676,2306,1780,965,13,53,1767,968,2458,1490,230,224,2228,1449,438,320,325,263,113,159,2306,null,null,965,null,null,53,null,null,968,null,null,1490,null,null,224,null,null,1449,null,null,320,null,null,263,null,null,159,null,null,47
24537,3281,6482,1284,254,274,6228,1330,16985,2278,1914,793,15071,2015,1070,539,334,316,736,436,3281,null,null,1284,null,null,274,null,null,1330,null,null,2278,null,null,793,null,null,2015,null,null,539,null,null,316,null,null,436,null,null,48
29197,2246,9828,1640,107,148,9721,1686,18049,1305,2194,935,15855,1543,1320,642,288,259,1032,616,2246,null,null,1640,null,null,148,null,null,1686,null,null,1305,null,null,935,null,null,1543,null,null,642,null,null,259,null,null,616,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
8099,2070,1509,987,190,221,1319,893,5961,1372,530,338,5431,1374,629,299,237,183,392,239,2070,null,null,987,null,null,221,null,null,893,null,null,1372,null,null,338,null,null,1374,null,null,299,null,null,183,null,null,239,null,null,51
47396,3068,13578,1925,167,184,13411,1916,31448,2151,3359,982,28089,2272,2370,930,1191,632,1179,590,3068,null,null,1925,null,null,184,null,null,1916,null,null,2151,null,null,982,null,null,2272,null,null,930,null,null,632,null,null,590,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
1503,588,184,186,0,195,184,186,1204,565,676,472,528,320,115,147,44,33,71,137,588,null,null,186,null,null,195,null,null,186,null,null,565,null,null,472,null,null,320,null,null,147,null,null,33,null,null,137,null,null,01
9534,901,3557,397,208,299,3349,505,5636,699,395,278,5241,621,341,181,150,179,191,140,901,null,null,397,null,null,299,null,null,505,null,null,699,null,null,278,null,null,621,null,null,181,null,null,179,null,null,140,null,null,02
12719,1303,3500,907,119,141,3381,916,7974,921,878,436,7096,882,1245,498,462,238,783,401,1303,null,null,907,null,null,141,null,null,916,null,null,921,null,null,436,null,null,882,null,null,498,null,null,238,null,null,401,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
147361,5992,33475,3466,1288,640,32187,3410,100466,4118,8060,1658,92406,3906,13420,1319,5658,1115,7762,1285,5992,null,null,3466,null,null,640,null,null,3410,null,null,4118,null,null,1658,null,null,3906,null,null,1319,null,null,1115,null,null,1285,null,null,06
8042,1565,2123,736,106,195,2017,660,5597,1072,671,479,4926,882,322,217,64,119,258,188,1565,null,null,736,null,null,195,null,null,660,null,null,1072,null,null,479,null,null,882,null,null,217,null,null,119,null,null,188,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
