C16006_001E,C16006_001M,C16006_002E,C16006_002M,C16006_003E,C16006_003M,C16006_004E,C16006_004M,C16006_005E,C16006_005M,C16006_006E,C16006_006M,C16006_001M,C16006_001EA,C16006_001MA,C16006_002M,C16006_002EA,C16006_002MA,C16006_003M,C16006_003EA,C16006_003MA,C16006_004M,C16006_004EA,C16006_004MA,C16006_005M,C16006_005EA,C16006_005MA,C16006_006M,C16006_006EA,C16006_006MA,state
471562,716,162732,8499,306584,8619,176329,8010,130255,6633,2246,1162,716,null,null,8499,null,null,8619,null,null,8010,null,null,6633,null,null,1162,null,null,41
808485,1697,273630,11653,530526,11651,311009,10719,219517,9831,4329,1389,1697,null,null,11653,null,null,11651,null,null,10719,null,null,9831,null,null,1389,null,null,42
141890,506,27300,3172,113558,3271,66028,4556,47530,3463,1032,730,506,null,null,3172,null,null,3271,null,null,4556,null,null,3463,null,null,730,null,null,44
245088,3604,69998,5100,174115,6705,92265,5089,81850,5976,975,711,3604,null,null,5100,null,null,6705,null,null,5089,null,null,5976,null,null,711,null,null,45
27794,1307,14260,1589,13172,1382,7465,1228,5707,964,362,337,1307,null,null,1589,null,null,1382,null,null,1228,null,null,964,null,null,337,null,null,46
305211,2900,90248,6377,213574,5830,109165,5146,104409,5832,1389,666,2900,null,null,6377,null,null,5830,null,null,5146,null,null,5832,null,null,666,null,null,47
9879924,2145,2517513,33527,7345372,33369,4310152,40452,3035220,42107,17039,3333,2145,null,null,33527,null,null,33369,null,null,40452,null,null,42107,null,null,3333,null,null,48
374017,1002,129719,7386,242836,7672,149242,7482,93594,6821,1462,527,1002,null,null,7386,null,null,7672,null,null,7482,null,null,6821,null,null,527,null,null,49
11558,1064,7716,1385,3797,846,3077,822,720,341,45,40,1064,null,null,1385,null,null,846,null,null,822,null,null,341,null,null,40,null,null,50
688658,3020,182113,8823,500722,9703,273997,9132,226725,8524,5823,1525,3020,null,null,8823,null,null,9703,null,null,9132,null,null,8524,null,null,1525,null,null,51
810048,1210,274588,11549,527577,11984,297504,10929,230073,9586,7883,2476,1210,null,null,11549,null,null,11984,null,null,10929,null,null,9586,null,null,2476,null,null,53
23891,2104,13438,1853,10353,1852,5979,1197,4374,1313,100,120,2104,null,null,1853,null,null,1852,null,null,1197,null,null,1313,null,null,120,null,null,54
348154,1245,135400,6694,211452,6599,121403,5726,90049,4330,1302,508,1245,null,null,6694,null,null,6599,null,null,5726,null,null,4330,null,null,508,null,null,55
50454,1124,28248,2942,21898,3050,14863,2285,7035,1711,308,258,1124,null,null,2942,null,null,3050,null,null,2285,null,null,1711,null,null,258,null,null,56
3207117,5457,176757,11088,3028501,13397,566805,14475,2461696,18548,1859,791,5457,null,null,11088,null,null,13397,null,null,14475,null,null,18548,null,null,791,null,null,72
175561,2397,50275,4845,123888,4773,66748,4698,57140,3867,1398,1028,2397,null,null,4845,null,null,4773,null,null,4698,null,null,3867,null,null,1028,null,null,01
46166,487,25952,2763,19117,2715,11379,1528,7738,2502,1097,781,487,null,null,2763,null,null,2715,null,null,1528,null,null,2502,null,null,781,null,null,02
1952216,1269,702533,18574,1244032,18355,812746,15507,431286,11329,5651,1279,1269,null,null,18574,null,null,18355,null,null,15507,null,null,11329,null,null,1279,null,null,04
192155,1808,61907,4753,129758,4841,67057,4810,62701,4589,490,316,1808,null,null,4753,null,null,4841,null,null,4810,null,null,4589,null,null,316,null,null,05
13996490,877,3621347,50981,10311365,51404,5962749,40527,4348616,39898,63778,6723,877,null,null,50981,null,null,51404,null,null,40527,null,null,39898,null,null,6723,null,null,06
1079281,1371,504235,13420,571613,13233,355655,10484,215958,9613,3433,1097,1371,null,null,13420,null,null,13233,null,null,10484,null,null,9613,null,null,1097,null,null,08
514904,451,131850,6480,380088,6734,235218,8210,144870,6992,2966,1099,451,null,null,6480,null,null,6734,null,null,8210,null,null,6992,null,null,1099,null,null,09
78057,-555555555,20731,3195,57276,3185,35812,3343,21464,2813,50,77,-555555555,null,*****,3195,null,null,3185,null,null,3343,null,null,2813,null,null,77,null,null,10
66887,-555555555,14738,2117,51446,2230,26314,2856,25132,2943,703,489,-555555555,null,*****,2117,null,null,2230,null,null,2856,null,null,2943,null,null,489,null,null,11
