B05003C_001E,B05003C_001M,B05003C_002E,B05003C_002M,B05003C_003E,B05003C_003M,B05003C_004E,B05003C_004M,B05003C_005E,B05003C_005M,B05003C_006E,B05003C_006M,B05003C_007E,B05003C_007M,B05003C_008E,B05003C_008M,B05003C_009E,B05003C_009M,B05003C_010E,B05003C_010M,B05003C_011E,B05003C_011M,B05003C_012E,B05003C_012M,B05003C_013E,B05003C_013M,B05003C_014E,B05003C_014M,B05003C_015E,B05003C_015M,B05003C_016E,B05003C_016M,B05003C_017E,B05003C_017M,B05003C_018E,B05003C_018M,B05003C_019E,B05003C_019M,B05003C_020E,B05003C_020M,B05003C_021E,B05003C_021M,B05003C_022E,B05003C_022M,B05003C_023E,B05003C_023M,B05003C_001M,B05003C_001EA,B05003C_001MA,B05003C_002M,B05003C_002EA,B05003C_002MA,B05003C_003M,B05003C_003EA,B05003C_003MA,B05003C_004M,B05003C_004EA,B05003C_004MA,B05003C_005M,B05003C_005EA,B05003C_005MA,B05003C_006M,B05003C_006EA,B05003C_006MA,B05003C_007M,B05003C_007EA,B05003C_007MA,B05003C_008M,B05003C_008EA,B05003C_008MA,B05003C_009M,B05003C_009EA,B05003C_009MA,B05003C_010M,B05003C_010EA,B05003C_010MA,B05003C_011M,B05003C_011EA,B05003C_011MA,B05003C_012M,B05003C_012EA,B05003C_012MA,B05003C_013M,B05003C_013EA,B05003C_013MA,B05003C_014M,B05003C_014EA,B05003C_014MA,B05003C_015M,B05003C_015EA,B05003C_015MA,B05003C_016M,B05003C_016EA,B05003C_016MA,B05003C_017M,B05003C_017EA,B05003C_017MA,B05003C_018M,B05003C_018EA,B05003C_018MA,B05003C_019M,B05003C_019EA,B05003C_019MA,B05003C_020M,B05003C_020EA,B05003C_020MA,B05003C_021M,B05003C_021EA,B05003C_021MA,B05003C_022M,B05003C_022EA,B05003C_022MA,B05003C_023M,B05003C_023EA,B05003C_023MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
15234,2478,7641,1442,1376,975,1341,970,35,61,0,198,35,61,6265,1255,5694,1212,571,340,447,315,124,148,7593,1591,1247,609,1095,569,152,165,152,165,0,198,6346,1390,5711,1247,635,476,545,457,90,144,2478,null,null,1442,null,null,975,null,null,970,null,null,61,null,null,198,null,null,61,null,null,1255,null,null,1212,null,null,340,null,null,315,null,null,148,null,null,1591,null,null,609,null,null,569,null,null,165,null,null,165,null,null,198,null,null,1390,null,null,1247,null,null,476,null,null,457,null,null,144,null,null,24
12547,2138,6805,1503,1415,536,1270,496,145,152,77,95,68,124,5390,1418,3955,1052,1435,693,769,442,666,565,5742,1188,1109,445,929,386,180,184,180,184,0,203,4633,1015,3405,838,1228,642,392,325,836,556,2138,null,null,1503,null,null,536,null,null,496,null,null,152,null,null,95,null,null,124,null,null,1418,null,null,1052,null,null,693,null,null,442,null,null,565,null,null,1188,null,null,445,null,null,386,null,null,184,null,null,184,null,null,203,null,null,1015,null,null,838,null,null,642,null,null,325,null,null,556,null,null,25
51161,3519,25690,2091,6032,1127,6032,1127,0,168,0,168,0,168,19658,1568,18636,1564,1022,462,249,199,773,422,25471,2195,5578,949,5305,889,273,190,188,168,85,77,19893,1710,19122,1717,771,435,209,198,562,378,3519,null,null,2091,null,null,1127,null,null,1127,null,null,168,null,null,168,null,null,168,null,null,1568,null,null,1564,null,null,462,null,null,199,null,null,422,null,null,2195,null,null,949,null,null,889,null,null,190,null,null,168,null,null,77,null,null,1710,null,null,1717,null,null,435,null,null,198,null,null,378,null,null,26
63229,2949,31544,1810,11978,1346,11568,1204,410,335,410,335,0,149,19566,1208,18515,1244,1051,471,577,295,474,363,31685,1730,9251,947,9168,944,83,89,73,87,10,19,22434,1181,21564,1116,870,349,116,119,754,370,2949,null,null,1810,null,null,1346,null,null,1204,null,null,335,null,null,335,null,null,149,null,null,1208,null,null,1244,null,null,471,null,null,295,null,null,363,null,null,1730,null,null,947,null,null,944,null,null,89,null,null,87,null,null,19,null,null,1181,null,null,1116,null,null,349,null,null,119,null,null,370,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
34267,3549,17850,2230,5876,1197,5876,1197,0,210,0,210,0,210,11974,1400,10679,1153,1295,674,725,484,570,483,16417,1791,3331,842,3316,839,15,25,15,25,0,210,13086,1244,12186,1149,900,545,339,306,561,458,3549,null,null,2230,null,null,1197,null,null,1197,null,null,210,null,null,210,null,null,210,null,null,1400,null,null,1153,null,null,674,null,null,484,null,null,483,null,null,1791,null,null,842,null,null,839,null,null,25,null,null,25,null,null,210,null,null,1244,null,null,1149,null,null,545,null,null,306,null,null,458,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
20185,3332,10560,2303,3113,1032,2822,982,291,294,0,200,291,294,7447,1618,4800,1184,2647,990,1147,587,1500,829,9625,1689,2343,763,2077,731,266,266,44,73,222,256,7282,1430,4665,1012,2617,929,1341,652,1276,635,3332,null,null,2303,null,null,1032,null,null,982,null,null,294,null,null,200,null,null,294,null,null,1618,null,null,1184,null,null,990,null,null,587,null,null,829,null,null,1689,null,null,763,null,null,731,null,null,266,null,null,73,null,null,256,null,null,1430,null,null,1012,null,null,929,null,null,652,null,null,635,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
73052,6204,34779,3498,8330,1570,8101,1537,229,233,94,123,135,196,26449,2697,20607,2214,5842,1352,2274,709,3568,1308,38273,3731,8916,1650,8481,1570,435,372,296,351,139,189,29357,2725,22229,2285,7128,1346,3223,873,3905,972,6204,null,null,3498,null,null,1570,null,null,1537,null,null,233,null,null,123,null,null,196,null,null,2697,null,null,2214,null,null,1352,null,null,709,null,null,1308,null,null,3731,null,null,1650,null,null,1570,null,null,372,null,null,351,null,null,189,null,null,2725,null,null,2285,null,null,1346,null,null,873,null,null,972,null,null,36
120843,4912,59708,3064,15616,1970,15406,1928,210,199,0,203,210,199,44092,2268,40841,2059,3251,1109,453,401,2798,1094,61135,2951,13967,1463,13690,1444,277,176,82,104,195,151,47168,2213,44860,1858,2308,898,805,579,1503,724,4912,null,null,3064,null,null,1970,null,null,1928,null,null,199,null,null,203,null,null,199,null,null,2268,null,null,2059,null,null,1109,null,null,401,null,null,1094,null,null,2951,null,null,1463,null,null,1444,null,null,176,null,null,104,null,null,151,null,null,2213,null,null,1858,null,null,898,null,null,579,null,null,724,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
297948,7020,145325,4181,45599,2238,45406,2219,193,302,193,302,0,159,99726,2985,98785,2899,941,446,84,97,857,420,152623,4205,44260,2533,44166,2526,94,112,0,159,94,112,108363,2743,107506,2647,857,550,78,93,779,537,7020,null,null,4181,null,null,2238,null,null,2219,null,null,302,null,null,302,null,null,159,null,null,2985,null,null,2899,null,null,446,null,null,97,null,null,420,null,null,4205,null,null,2533,null,null,2526,null,null,112,null,null,159,null,null,112,null,null,2743,null,null,2647,null,null,550,null,null,93,null,null,537,null,null,40
45426,4348,24895,2793,6258,1197,6072,1182,186,224,100,165,86,144,18637,2302,16994,2172,1643,731,550,342,1093,607,20531,2350,4627,964,4627,964,0,201,0,201,0,201,15904,1940,14472,1810,1432,783,482,360,950,675,4348,null,null,2793,null,null,1197,null,null,1182,null,null,224,null,null,165,null,null,144,null,null,2302,null,null,2172,null,null,731,null,null,342,null,null,607,null,null,2350,null,null,964,null,null,964,null,null,201,null,null,201,null,null,201,null,null,1940,null,null,1810,null,null,783,null,null,360,null,null,675,null,null,41
23556,3760,12969,2136,2238,771,2076,712,162,207,38,69,124,196,10731,1669,8661,1330,2070,954,448,403,1622,923,10587,2251,2347,889,2025,845,322,243,193,151,129,212,8240,1715,6717,1465,1523,608,639,458,884,421,3760,null,null,2136,null,null,771,null,null,712,null,null,207,null,null,69,null,null,196,null,null,1669,null,null,1330,null,null,954,null,null,403,null,null,923,null,null,2251,null,null,889,null,null,845,null,null,243,null,null,151,null,null,212,null,null,1715,null,null,1465,null,null,608,null,null,458,null,null,421,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
135275,9522,69959,5386,16083,2156,15600,2120,483,390,247,300,236,249,53876,4828,43477,4230,10399,2370,2277,647,8122,2292,65316,5400,18295,2443,17909,2375,386,342,273,292,113,188,47021,4368,39958,4029,7063,1423,1931,831,5132,1110,9522,null,null,5386,null,null,2156,null,null,2120,null,null,390,null,null,300,null,null,249,null,null,4828,null,null,4230,null,null,2370,null,null,647,null,null,2292,null,null,5400,null,null,2443,null,null,2375,null,null,342,null,null,292,null,null,188,null,null,4368,null,null,4029,null,null,1423,null,null,831,null,null,1110,null,null,48
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
23156,3519,10784,2072,1301,695,1197,695,104,130,104,130,0,201,9483,1938,8564,1631,919,767,334,247,585,691,12372,2033,2305,1046,2305,1046,0,201,0,201,0,201,10067,1561,9045,1428,1022,574,561,340,461,420,3519,null,null,2072,null,null,695,null,null,695,null,null,130,null,null,130,null,null,201,null,null,1938,null,null,1631,null,null,767,null,null,247,null,null,691,null,null,2033,null,null,1046,null,null,1046,null,null,201,null,null,201,null,null,201,null,null,1561,null,null,1428,null,null,574,null,null,340,null,null,420,null,null,51
94637,6519,47735,3190,13793,1898,13561,1886,232,286,0,198,232,286,33942,2172,32409,2078,1533,683,233,206,1300,642,46902,4355,13768,2172,13605,2137,163,146,111,120,52,88,33134,3027,31742,2802,1392,597,351,229,1041,568,6519,null,null,3190,null,null,1898,null,null,1886,null,null,286,null,null,198,null,null,286,null,null,2172,null,null,2078,null,null,683,null,null,206,null,null,642,null,null,4355,null,null,2172,null,null,2137,null,null,146,null,null,120,null,null,88,null,null,3027,null,null,2802,null,null,597,null,null,229,null,null,568,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
52608,2643,27066,1810,8322,1060,8079,1066,243,253,198,234,45,78,18744,1449,18375,1416,369,231,195,157,174,189,25542,1793,6091,851,5883,801,208,187,208,187,0,147,19451,1529,18952,1539,499,279,234,180,265,219,2643,null,null,1810,null,null,1060,null,null,1066,null,null,253,null,null,234,null,null,78,null,null,1449,null,null,1416,null,null,231,null,null,157,null,null,189,null,null,1793,null,null,851,null,null,801,null,null,187,null,null,187,null,null,147,null,null,1529,null,null,1539,null,null,279,null,null,180,null,null,219,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
306247,6886,149377,4080,46164,2592,46089,2573,75,89,25,41,50,83,103213,2405,99503,2019,3710,1429,999,563,2711,1277,156870,4167,47964,2351,47868,2327,96,113,0,204,96,113,108906,2935,107281,2913,1625,689,720,417,905,507,6886,null,null,4080,null,null,2592,null,null,2573,null,null,89,null,null,41,null,null,83,null,null,2405,null,null,2019,null,null,1429,null,null,563,null,null,1277,null,null,4167,null,null,2351,null,null,2327,null,null,113,null,null,204,null,null,113,null,null,2935,null,null,2913,null,null,689,null,null,417,null,null,507,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
290133,15511,142773,8002,35049,4013,34120,3956,929,463,72,120,857,439,107724,5997,87940,5195,19784,2718,7530,1491,12254,2259,147360,9274,34559,5317,33598,5326,961,478,108,137,853,455,112801,5803,92946,4963,19855,2592,8439,1707,11416,1882,15511,null,null,8002,null,null,4013,null,null,3956,null,null,463,null,null,120,null,null,439,null,null,5997,null,null,5195,null,null,2718,null,null,1491,null,null,2259,null,null,9274,null,null,5317,null,null,5326,null,null,478,null,null,137,null,null,455,null,null,5803,null,null,4963,null,null,2592,null,null,1707,null,null,1882,null,null,06
