C14007F_001E,C14007F_001M,C14007F_002E,C14007F_002M,C14007F_003E,C14007F_003M,C14007F_004E,C14007F_004M,C14007F_005E,C14007F_005M,C14007F_006E,C14007F_006M,C14007F_007E,C14007F_007M,C14007F_001M,C14007F_001EA,C14007F_001MA,C14007F_002M,C14007F_002EA,C14007F_002MA,C14007F_003M,C14007F_003EA,C14007F_003MA,C14007F_004M,C14007F_004EA,C14007F_004MA,C14007F_005M,C14007F_005EA,C14007F_005MA,C14007F_006M,C14007F_006EA,C14007F_006MA,C14007F_007M,C14007F_007EA,C14007F_007MA,state
287617,14052,101532,6869,9448,1752,54744,4520,22881,2805,14459,2624,186085,8996,14052,null,null,6869,null,null,1752,null,null,4520,null,null,2805,null,null,2624,null,null,8996,null,null,37
4664,1782,1568,833,329,287,762,532,207,226,270,335,3096,1103,1782,null,null,833,null,null,287,null,null,532,null,null,226,null,null,335,null,null,1103,null,null,38
101861,8202,34241,4174,4857,1445,14791,2238,8430,1485,6163,1419,67620,5409,8202,null,null,4174,null,null,1445,null,null,2238,null,null,1485,null,null,1419,null,null,5409,null,null,39
101503,7156,34595,3810,4978,1073,15969,2183,8114,1546,5534,1358,66908,4724,7156,null,null,3810,null,null,1073,null,null,2183,null,null,1546,null,null,1358,null,null,4724,null,null,40
116285,10086,40468,5388,3930,1274,18839,3507,9155,1922,8544,2056,75817,6652,10086,null,null,5388,null,null,1274,null,null,3507,null,null,1922,null,null,2056,null,null,6652,null,null,41
247761,13008,82839,6683,8766,1789,39140,4222,21037,2610,13896,2087,164922,8503,13008,null,null,6683,null,null,1789,null,null,4222,null,null,2610,null,null,2087,null,null,8503,null,null,42
57829,5803,18026,2873,2223,960,6669,1561,4345,1121,4789,1077,39803,3937,5803,null,null,2873,null,null,960,null,null,1561,null,null,1121,null,null,1077,null,null,3937,null,null,44
73155,9271,25976,4444,2843,969,12107,2699,5796,1898,5230,1423,47179,6001,9271,null,null,4444,null,null,969,null,null,2699,null,null,1898,null,null,1423,null,null,6001,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
74012,6747,26360,3347,3473,1095,15287,2242,4509,1141,3091,1022,47652,4662,6747,null,null,3347,null,null,1095,null,null,2242,null,null,1141,null,null,1022,null,null,4662,null,null,47
1545668,38008,479996,18069,53837,4647,228246,10868,106746,6564,91167,6136,1065672,25988,38008,null,null,18069,null,null,4647,null,null,10868,null,null,6564,null,null,6136,null,null,25988,null,null,48
155959,9441,55182,5350,6025,1624,28927,3191,13207,1993,7023,1885,100777,5903,9441,null,null,5350,null,null,1624,null,null,3191,null,null,1993,null,null,1885,null,null,5903,null,null,49
2819,1412,1523,975,179,174,543,452,592,455,209,185,1296,595,1412,null,null,975,null,null,174,null,null,452,null,null,455,null,null,185,null,null,595,null,null,50
217102,11369,65843,4921,6281,1581,30898,3380,13579,2034,15085,2323,151259,8695,11369,null,null,4921,null,null,1581,null,null,3380,null,null,2034,null,null,2323,null,null,8695,null,null,51
333247,13114,114703,7265,9767,2113,56291,4423,27033,3447,21612,3445,218544,8853,13114,null,null,7265,null,null,2113,null,null,4423,null,null,3447,null,null,3445,null,null,8853,null,null,53
7169,1692,2053,994,48,90,691,448,180,230,1134,649,5116,1187,1692,null,null,994,null,null,90,null,null,448,null,null,230,null,null,649,null,null,1187,null,null,54
118347,7382,42289,4117,5639,1380,20000,2834,9112,1808,7538,1429,76058,4422,7382,null,null,4117,null,null,1380,null,null,2834,null,null,1808,null,null,1429,null,null,4422,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
560381,19125,157498,8111,14726,2276,64204,4887,32597,3039,45971,3828,402883,14668,19125,null,null,8111,null,null,2276,null,null,4887,null,null,3039,null,null,3828,null,null,14668,null,null,72
66486,6551,25360,3622,3485,1320,11715,2188,7201,1733,2959,1016,41126,4133,6551,null,null,3622,null,null,1320,null,null,2188,null,null,1733,null,null,1016,null,null,4133,null,null,01
12008,2833,2563,1281,118,123,1442,849,607,476,396,359,9445,2575,2833,null,null,1281,null,null,123,null,null,849,null,null,476,null,null,359,null,null,2575,null,null,02
558592,19333,178824,8511,14516,2113,79833,5585,46765,3507,37710,3906,379768,13880,19333,null,null,8511,null,null,2113,null,null,5585,null,null,3507,null,null,3906,null,null,13880,null,null,04
80851,6006,30360,3439,4026,1147,14835,2248,7216,1358,4283,1361,50491,3895,6006,null,null,3439,null,null,1147,null,null,2248,null,null,1358,null,null,1361,null,null,3895,null,null,05
5386663,62444,1758551,30249,190294,7261,711944,15501,406718,11288,449595,13333,3628112,43114,62444,null,null,30249,null,null,7261,null,null,15501,null,null,11288,null,null,13333,null,null,43114,null,null,06
218092,12302,65580,6051,6682,1388,30237,3662,18201,2597,10460,2012,152512,7951,12302,null,null,6051,null,null,1388,null,null,3662,null,null,2597,null,null,2012,null,null,7951,null,null,08
163284,10521,50898,5076,4898,1433,22937,3118,12324,2262,10739,1911,112386,7247,10521,null,null,5076,null,null,1433,null,null,3118,null,null,2262,null,null,1911,null,null,7247,null,null,09
14935,4437,3255,1536,27,45,2017,1179,680,430,531,440,11680,3609,4437,null,null,1536,null,null,45,null,null,1179,null,null,430,null,null,440,null,null,3609,null,null,10
34428,4135,11938,1833,2049,876,4911,902,2713,791,2265,771,22490,3235,4135,null,null,1833,null,null,876,null,null,902,null,null,791,null,null,771,null,null,3235,null,null,11
