B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,B15002H_001M,B15002H_001EA,B15002H_001MA,B15002H_002M,B15002H_002EA,B15002H_002MA,B15002H_003M,B15002H_003EA,B15002H_003MA,B15002H_004M,B15002H_004EA,B15002H_004MA,B15002H_005M,B15002H_005EA,B15002H_005MA,B15002H_006M,B15002H_006EA,B15002H_006MA,B15002H_007M,B15002H_007EA,B15002H_007MA,B15002H_008M,B15002H_008EA,B15002H_008MA,B15002H_009M,B15002H_009EA,B15002H_009MA,B15002H_010M,B15002H_010EA,B15002H_010MA,B15002H_011M,B15002H_011EA,B15002H_011MA,B15002H_012M,B15002H_012EA,B15002H_012MA,B15002H_013M,B15002H_013EA,B15002H_013MA,B15002H_014M,B15002H_014EA,B15002H_014MA,B15002H_015M,B15002H_015EA,B15002H_015MA,B15002H_016M,B15002H_016EA,B15002H_016MA,B15002H_017M,B15002H_017EA,B15002H_017MA,B15002H_018M,B15002H_018EA,B15002H_018MA,B15002H_019M,B15002H_019EA,B15002H_019MA,state
876857,829,427304,779,9130,1480,24935,2266,99172,4536,21424,2232,78455,3673,41796,2716,96266,4139,56126,2696,449553,211,6223,1157,17076,2087,103253,4668,14615,2357,90725,4060,49991,3195,103460,4011,64210,3344,829,null,null,779,null,null,1480,null,null,2266,null,null,4536,null,null,2232,null,null,3673,null,null,2716,null,null,4139,null,null,2696,null,null,211,null,null,1157,null,null,2087,null,null,4668,null,null,2357,null,null,4060,null,null,3195,null,null,4011,null,null,3344,null,null,33
3649289,2737,1746043,1582,38126,3010,75060,4027,413398,10025,53408,3464,301963,8306,102344,4228,470584,8857,291160,7186,1903246,1525,44032,3341,70632,3935,500380,8456,36862,2920,297871,7782,145015,5551,504700,9215,303754,7165,2737,null,null,1582,null,null,3010,null,null,4027,null,null,10025,null,null,3464,null,null,8306,null,null,4228,null,null,8857,null,null,7186,null,null,1525,null,null,3341,null,null,3935,null,null,8456,null,null,2920,null,null,7782,null,null,5551,null,null,9215,null,null,7165,null,null,34
616225,2235,301272,1509,3980,865,12720,1679,53915,3301,12716,1633,73062,4073,24895,2181,65896,3317,54088,2760,314953,1695,3927,1007,11605,1831,52135,2991,9999,1535,79024,4230,30281,2815,69218,3407,58764,3542,2235,null,null,1509,null,null,865,null,null,1679,null,null,3301,null,null,1633,null,null,4073,null,null,2181,null,null,3317,null,null,2760,null,null,1695,null,null,1007,null,null,1831,null,null,2991,null,null,1535,null,null,4230,null,null,2815,null,null,3407,null,null,3542,null,null,35
8003987,4104,3854295,2497,94483,4503,189915,6027,835957,10288,163636,5112,632102,10112,340180,8288,904730,14525,693292,9583,4149692,2326,97309,5049,174703,6057,949630,11520,112097,4757,613506,11093,433751,9225,915881,11931,852815,11760,4104,null,null,2497,null,null,4503,null,null,6027,null,null,10288,null,null,5112,null,null,10112,null,null,8288,null,null,14525,null,null,9583,null,null,2326,null,null,5049,null,null,6057,null,null,11520,null,null,4757,null,null,11093,null,null,9225,null,null,11931,null,null,11760,null,null,36
4675664,3425,2236018,2234,66833,3862,163403,6483,462214,9741,114854,5616,474229,8970,196953,6531,488602,9027,268930,7134,2439646,2091,57671,3477,134966,5664,496254,10117,100020,5291,530115,11848,282060,8092,543309,10112,295251,7097,3425,null,null,2234,null,null,3862,null,null,6483,null,null,9741,null,null,5616,null,null,8970,null,null,6531,null,null,9027,null,null,7134,null,null,2091,null,null,3477,null,null,5664,null,null,10117,null,null,5291,null,null,11848,null,null,8092,null,null,10112,null,null,7097,null,null,37
436670,999,221415,593,6436,909,10064,1460,53676,2714,9383,1290,48971,2991,30453,2213,46075,2978,16357,1700,215255,669,4586,650,6657,950,48547,2302,5279,854,47142,2330,30051,1894,54272,2855,18721,2036,999,null,null,593,null,null,909,null,null,1460,null,null,2714,null,null,1290,null,null,2991,null,null,2213,null,null,2978,null,null,1700,null,null,669,null,null,650,null,null,950,null,null,2302,null,null,854,null,null,2330,null,null,1894,null,null,2855,null,null,2036,null,null,38
6537930,2035,3151327,1532,78295,2921,213239,7034,959305,14005,136208,4947,632539,12563,235141,7263,575159,8974,321441,6570,3386603,1057,75959,3252,206739,7517,1025573,12713,105422,4675,659383,11050,340874,7350,610771,10683,361882,7894,2035,null,null,1532,null,null,2921,null,null,7034,null,null,14005,null,null,4947,null,null,12563,null,null,7263,null,null,8974,null,null,6570,null,null,1057,null,null,3252,null,null,7517,null,null,12713,null,null,4675,null,null,11050,null,null,7350,null,null,10683,null,null,7894,null,null,39
1857205,1511,897158,943,20205,1727,65249,2989,240755,5972,46523,2967,214549,4897,66173,3536,160493,5574,83211,2849,960047,958,20635,1861,63574,3159,250380,5339,42589,2287,232687,4611,82615,4108,180681,4328,86886,3660,1511,null,null,943,null,null,1727,null,null,2989,null,null,5972,null,null,2967,null,null,4897,null,null,3536,null,null,5574,null,null,2849,null,null,958,null,null,1861,null,null,3159,null,null,5339,null,null,2287,null,null,4611,null,null,4108,null,null,4328,null,null,3660,null,null,40
2318767,1877,1125879,1100,16902,2245,59457,3736,211396,6947,60327,4021,295312,7750,95208,5349,237651,6377,149626,5017,1192888,997,14606,1835,55432,3964,224314,6851,41643,3366,337737,8777,106945,5154,256431,6592,155780,4422,1877,null,null,1100,null,null,2245,null,null,3736,null,null,6947,null,null,4021,null,null,7750,null,null,5349,null,null,6377,null,null,5017,null,null,997,null,null,1835,null,null,3964,null,null,6851,null,null,3366,null,null,8777,null,null,5154,null,null,6592,null,null,4422,null,null,41
7197043,1640,3466031,1085,81728,4551,204364,6223,1116486,14387,144213,5562,541723,10688,261449,6992,699027,12874,417041,9384,3731012,1018,79755,3620,194501,6230,1224187,12684,115757,4470,570144,9579,347340,8255,727000,10489,472328,8000,1640,null,null,1085,null,null,4551,null,null,6223,null,null,14387,null,null,5562,null,null,10688,null,null,6992,null,null,12874,null,null,9384,null,null,1018,null,null,3620,null,null,6230,null,null,12684,null,null,4470,null,null,9579,null,null,8255,null,null,10489,null,null,8000,null,null,42
