B18101B_001E,B18101B_001M,B18101B_002E,B18101B_002M,B18101B_003E,B18101B_003M,B18101B_004E,B18101B_004M,B18101B_005E,B18101B_005M,B18101B_006E,B18101B_006M,B18101B_007E,B18101B_007M,B18101B_008E,B18101B_008M,B18101B_009E,B18101B_009M,B18101B_010E,B18101B_010M,B18101B_001M,B18101B_001EA,B18101B_001MA,B18101B_002M,B18101B_002EA,B18101B_002MA,B18101B_003M,B18101B_003EA,B18101B_003MA,B18101B_004M,B18101B_004EA,B18101B_004MA,B18101B_005M,B18101B_005EA,B18101B_005MA,B18101B_006M,B18101B_006EA,B18101B_006MA,B18101B_007M,B18101B_007EA,B18101B_007MA,B18101B_008M,B18101B_008EA,B18101B_008MA,B18101B_009M,B18101B_009EA,B18101B_009MA,B18101B_010M,B18101B_010EA,B18101B_010MA,state
13487,1396,4715,1123,42,80,4673,1107,8670,698,866,587,7804,675,102,107,0,157,102,107,1396,null,null,1123,null,null,80,null,null,1107,null,null,698,null,null,587,null,null,675,null,null,107,null,null,157,null,null,107,null,null,46
1083541,9334,285889,5903,12344,2140,273545,5514,688581,5162,94624,6113,593957,7647,109071,2172,42124,2724,66947,3467,9334,null,null,5903,null,null,2140,null,null,5514,null,null,5162,null,null,6113,null,null,7647,null,null,2172,null,null,2724,null,null,3467,null,null,47
3243110,17402,878890,10984,48819,5098,830071,12194,2069834,10230,251091,9150,1818743,11969,294386,3975,126471,4563,167915,5015,17402,null,null,10984,null,null,5098,null,null,12194,null,null,10230,null,null,9150,null,null,11969,null,null,3975,null,null,4563,null,null,5015,null,null,48
31693,3050,12458,2217,456,311,12002,2264,18218,1450,2955,947,15263,1442,1017,500,480,372,537,398,3050,null,null,2217,null,null,311,null,null,2264,null,null,1450,null,null,947,null,null,1442,null,null,500,null,null,372,null,null,398,null,null,49
7568,1055,2236,1018,74,73,2162,1011,4959,795,799,445,4160,738,373,238,40,44,333,229,1055,null,null,1018,null,null,73,null,null,1011,null,null,795,null,null,445,null,null,738,null,null,238,null,null,44,null,null,229,null,null,50
1541998,11684,372320,7340,20901,3343,351419,6966,985906,7317,124608,6155,861298,8769,183772,2649,67850,2963,115922,3832,11684,null,null,7340,null,null,3343,null,null,6966,null,null,7317,null,null,6155,null,null,8769,null,null,2649,null,null,2963,null,null,3832,null,null,51
256411,8994,67818,5170,2399,846,65419,5150,168496,5213,21730,2856,146766,5576,20097,1504,7986,1209,12111,1455,8994,null,null,5170,null,null,846,null,null,5150,null,null,5213,null,null,2856,null,null,5576,null,null,1504,null,null,1209,null,null,1455,null,null,53
63787,3219,14656,1825,1115,562,13541,1759,40237,2310,5138,1021,35099,2351,8894,1512,3129,858,5765,1364,3219,null,null,1825,null,null,562,null,null,1759,null,null,2310,null,null,1021,null,null,2351,null,null,1512,null,null,858,null,null,1364,null,null,54
346353,4787,107319,3428,6844,1411,100475,3320,211914,3016,31709,2590,180205,3613,27120,1146,11282,1372,15838,1329,4787,null,null,3428,null,null,1411,null,null,3320,null,null,3016,null,null,2590,null,null,3613,null,null,1146,null,null,1372,null,null,1329,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
392218,12277,71595,4784,7467,1420,64128,4540,248254,8635,39933,3483,208321,8135,72369,4134,31142,2755,41227,3230,12277,null,null,4784,null,null,1420,null,null,4540,null,null,8635,null,null,3483,null,null,8135,null,null,4134,null,null,2755,null,null,3230,null,null,72
1269831,7489,326515,5340,19257,2675,307258,5601,802075,4466,132514,6113,669561,7675,141241,2178,63937,2801,77304,2979,7489,null,null,5340,null,null,2675,null,null,5601,null,null,4466,null,null,6113,null,null,7675,null,null,2178,null,null,2801,null,null,2979,null,null,01
22186,1988,5304,1092,174,297,5130,1098,15104,1434,1779,992,13325,1382,1778,528,630,315,1148,371,1988,null,null,1092,null,null,297,null,null,1098,null,null,1434,null,null,992,null,null,1382,null,null,528,null,null,315,null,null,371,null,null,02
288061,6607,79341,4094,4748,1267,74593,4012,182830,4071,22542,2648,160288,4573,25890,858,10238,1445,15652,1459,6607,null,null,4094,null,null,1267,null,null,4012,null,null,4071,null,null,2648,null,null,4573,null,null,858,null,null,1445,null,null,1459,null,null,04
449341,4893,125068,3278,8378,1596,116690,3461,278609,3199,50266,4135,228343,4851,45664,1633,21413,1886,24251,2128,4893,null,null,3278,null,null,1596,null,null,3461,null,null,3199,null,null,4135,null,null,4851,null,null,1633,null,null,1886,null,null,2128,null,null,05
2186120,15695,493760,8471,22823,2747,470937,8576,1423976,10667,199791,7258,1224185,11932,268384,2965,109234,4235,159150,5042,15695,null,null,8471,null,null,2747,null,null,8576,null,null,10667,null,null,7258,null,null,11932,null,null,2965,null,null,4235,null,null,5042,null,null,06
222864,5782,60373,3470,2945,1311,57428,3583,142061,3729,16591,2187,125470,3650,20430,1147,6159,927,14271,1347,5782,null,null,3470,null,null,1311,null,null,3583,null,null,3729,null,null,2187,null,null,3650,null,null,1147,null,null,927,null,null,1347,null,null,08
368742,7817,90283,3794,3435,1001,86848,3910,240665,5121,23785,2618,216880,5071,37794,999,13059,1189,24735,1418,7817,null,null,3794,null,null,1001,null,null,3910,null,null,5121,null,null,2618,null,null,5071,null,null,999,null,null,1189,null,null,1418,null,null,09
204442,4223,54339,3100,2363,829,51976,3044,127219,1977,12605,2105,114614,2612,22884,550,8921,1283,13963,1304,4223,null,null,3100,null,null,829,null,null,3044,null,null,1977,null,null,2105,null,null,2612,null,null,550,null,null,1283,null,null,1304,null,null,10
314308,2844,67094,1227,3599,1137,63495,1588,202869,2012,33727,2879,169142,3455,44345,569,18528,1444,25817,1513,2844,null,null,1227,null,null,1137,null,null,1588,null,null,2012,null,null,2879,null,null,3455,null,null,569,null,null,1444,null,null,1513,null,null,11
