B01001G_001E,B01001G_001M,B01001G_002E,B01001G_002M,B01001G_003E,B01001G_003M,B01001G_004E,B01001G_004M,B01001G_005E,B01001G_005M,B01001G_006E,B01001G_006M,B01001G_007E,B01001G_007M,B01001G_008E,B01001G_008M,B01001G_009E,B01001G_009M,B01001G_010E,B01001G_010M,B01001G_011E,B01001G_011M,B01001G_012E,B01001G_012M,B01001G_013E,B01001G_013M,B01001G_014E,B01001G_014M,B01001G_015E,B01001G_015M,B01001G_016E,B01001G_016M,B01001G_017E,B01001G_017M,B01001G_018E,B01001G_018M,B01001G_019E,B01001G_019M,B01001G_020E,B01001G_020M,B01001G_021E,B01001G_021M,B01001G_022E,B01001G_022M,B01001G_023E,B01001G_023M,B01001G_024E,B01001G_024M,B01001G_025E,B01001G_025M,B01001G_026E,B01001G_026M,B01001G_027E,B01001G_027M,B01001G_028E,B01001G_028M,B01001G_029E,B01001G_029M,B01001G_030E,B01001G_030M,B01001G_031E,B01001G_031M,B01001G_001M,B01001G_001EA,B01001G_001MA,B01001G_002M,B01001G_002EA,B01001G_002MA,B01001G_003M,B01001G_003EA,B01001G_003MA,B01001G_004M,B01001G_004EA,B01001G_004MA,B01001G_005M,B01001G_005EA,B01001G_005MA,B01001G_006M,B01001G_006EA,B01001G_006MA,B01001G_007M,B01001G_007EA,B01001G_007MA,B01001G_008M,B01001G_008EA,B01001G_008MA,B01001G_009M,B01001G_009EA,B01001G_009MA,B01001G_010M,B01001G_010EA,B01001G_010MA,B01001G_011M,B01001G_011EA,B01001G_011MA,B01001G_012M,B01001G_012EA,B01001G_012MA,B01001G_013M,B01001G_013EA,B01001G_013MA,B01001G_014M,B01001G_014EA,B01001G_014MA,B01001G_015M,B01001G_015EA,B01001G_015MA,B01001G_016M,B01001G_016EA,B01001G_016MA,B01001G_017M,B01001G_017EA,B01001G_017MA,B01001G_018M,B01001G_018EA,B01001G_018MA,B01001G_019M,B01001G_019EA,B01001G_019MA,B01001G_020M,B01001G_020EA,B01001G_020MA,B01001G_021M,B01001G_021EA,B01001G_021MA,B01001G_022M,B01001G_022EA,B01001G_022MA,B01001G_023M,B01001G_023EA,B01001G_023MA,B01001G_024M,B01001G_024EA,B01001G_024MA,B01001G_025M,B01001G_025EA,B01001G_025MA,B01001G_026M,B01001G_026EA,B01001G_026MA,B01001G_027M,B01001G_027EA,B01001G_027MA,B01001G_028M,B01001G_028EA,B01001G_028MA,B01001G_029M,B01001G_029EA,B01001G_029MA,B01001G_030M,B01001G_030EA,B01001G_030MA,B01001G_031M,B01001G_031EA,B01001G_031MA,state
26340,2599,13542,1658,935,372,3044,790,1055,397,1314,477,587,304,1052,446,865,494,600,355,925,410,1396,543,1065,457,468,253,55,53,181,305,12798,1814,1673,581,1506,617,1523,790,262,169,265,200,788,362,463,367,1640,595,995,421,1943,802,886,488,552,303,285,228,17,46,2599,null,null,1658,null,null,372,null,null,790,null,null,397,null,null,477,null,null,304,null,null,446,null,null,494,null,null,355,null,null,410,null,null,543,null,null,457,null,null,253,null,null,53,null,null,305,null,null,1814,null,null,581,null,null,617,null,null,790,null,null,169,null,null,200,null,null,362,null,null,367,null,null,595,null,null,421,null,null,802,null,null,488,null,null,303,null,null,228,null,null,46,null,null,23
201041,10942,98886,6633,16998,2104,15989,2327,12387,2116,6532,1140,3363,918,7942,1710,6181,1114,6190,1296,8471,1566,6637,1454,5017,1181,2283,545,741,324,155,215,102155,6503,15015,2039,13273,1942,11995,1902,6734,1278,4210,1163,8313,1973,7068,1204,6515,1347,10094,1550,7755,1292,5435,1127,3376,878,1922,858,450,300,10942,null,null,6633,null,null,2104,null,null,2327,null,null,2116,null,null,1140,null,null,918,null,null,1710,null,null,1114,null,null,1296,null,null,1566,null,null,1454,null,null,1181,null,null,545,null,null,324,null,null,215,null,null,6503,null,null,2039,null,null,1942,null,null,1902,null,null,1278,null,null,1163,null,null,1973,null,null,1204,null,null,1347,null,null,1550,null,null,1292,null,null,1127,null,null,878,null,null,858,null,null,300,null,null,24
212365,11429,104890,6489,15146,2218,12360,1912,10439,1621,6434,1096,4438,1051,8659,1333,9151,1730,7850,1531,12612,2016,8771,1554,5370,1285,2172,707,1266,533,222,162,107475,7335,15332,2173,11480,1785,12350,2061,6508,1316,5797,1458,9498,1851,8258,1795,6935,1399,10507,1945,8587,1453,6551,1256,3095,856,2000,581,577,333,11429,null,null,6489,null,null,2218,null,null,1912,null,null,1621,null,null,1096,null,null,1051,null,null,1333,null,null,1730,null,null,1531,null,null,2016,null,null,1554,null,null,1285,null,null,707,null,null,533,null,null,162,null,null,7335,null,null,2173,null,null,1785,null,null,2061,null,null,1316,null,null,1458,null,null,1851,null,null,1795,null,null,1399,null,null,1945,null,null,1453,null,null,1256,null,null,856,null,null,581,null,null,333,null,null,25
306220,11961,154402,6454,22137,1972,22211,2343,20397,2119,10641,1254,7258,1402,14598,2152,11172,1675,6833,1158,11975,1403,11262,1518,9896,1272,4589,991,1270,377,163,124,151818,7371,19986,2368,20337,2388,18062,2177,11107,1727,6925,1233,14818,2445,11657,1738,8600,1211,12601,1761,10402,1423,8593,1238,5306,854,2864,800,560,363,11961,null,null,6454,null,null,1972,null,null,2343,null,null,2119,null,null,1254,null,null,1402,null,null,2152,null,null,1675,null,null,1158,null,null,1403,null,null,1518,null,null,1272,null,null,991,null,null,377,null,null,124,null,null,7371,null,null,2368,null,null,2388,null,null,2177,null,null,1727,null,null,1233,null,null,2445,null,null,1738,null,null,1211,null,null,1761,null,null,1423,null,null,1238,null,null,854,null,null,800,null,null,363,null,null,26
156646,7970,78770,5076,13355,1550,13247,1957,9872,1491,6080,1088,3653,958,7838,1591,5105,1079,3400,737,7271,1236,4425,935,2596,703,1368,486,513,288,47,56,77876,4853,12570,1552,11879,1893,10453,1568,4633,973,3770,901,6658,1627,5731,1274,5025,1083,5987,981,5032,947,4041,1103,1379,458,680,344,38,49,7970,null,null,5076,null,null,1550,null,null,1957,null,null,1491,null,null,1088,null,null,958,null,null,1591,null,null,1079,null,null,737,null,null,1236,null,null,935,null,null,703,null,null,486,null,null,288,null,null,56,null,null,4853,null,null,1552,null,null,1893,null,null,1568,null,null,973,null,null,901,null,null,1627,null,null,1274,null,null,1083,null,null,981,null,null,947,null,null,1103,null,null,458,null,null,344,null,null,49,null,null,27
33852,4789,16084,3136,2027,858,2233,898,3251,1238,840,611,996,684,1136,656,1074,562,753,380,1425,707,815,446,1014,539,309,223,211,169,0,213,17768,2546,2420,1048,2927,955,2449,1091,754,310,447,333,1451,652,559,402,1017,518,1450,618,1497,625,1501,558,588,261,494,343,214,219,4789,null,null,3136,null,null,858,null,null,898,null,null,1238,null,null,611,null,null,684,null,null,656,null,null,562,null,null,380,null,null,707,null,null,446,null,null,539,null,null,223,null,null,169,null,null,213,null,null,2546,null,null,1048,null,null,955,null,null,1091,null,null,310,null,null,333,null,null,652,null,null,402,null,null,518,null,null,618,null,null,625,null,null,558,null,null,261,null,null,343,null,null,219,null,null,28
150100,8621,76767,5833,10685,1605,9577,1472,11614,1951,6659,1656,4239,1382,6768,1591,4530,1280,3151,977,6056,1239,5074,1101,4958,931,2061,631,1182,400,213,172,73333,4945,10749,1809,11278,2097,9331,2029,4693,992,3169,946,5583,1443,5530,1244,2971,894,5781,1229,4484,980,4570,896,3564,863,1047,473,583,447,8621,null,null,5833,null,null,1605,null,null,1472,null,null,1951,null,null,1656,null,null,1382,null,null,1591,null,null,1280,null,null,977,null,null,1239,null,null,1101,null,null,931,null,null,631,null,null,400,null,null,172,null,null,4945,null,null,1809,null,null,2097,null,null,2029,null,null,992,null,null,946,null,null,1443,null,null,1244,null,null,894,null,null,1229,null,null,980,null,null,896,null,null,863,null,null,473,null,null,447,null,null,29
32218,2943,16212,2089,1801,760,1309,692,2142,730,1203,510,622,486,1320,746,1086,513,785,423,1400,719,1378,542,2118,804,680,361,336,219,32,55,16006,1920,1756,766,1372,648,1903,762,901,483,1077,551,2135,778,687,415,1102,632,1160,483,1484,495,1487,573,455,265,332,230,155,273,2943,null,null,2089,null,null,760,null,null,692,null,null,730,null,null,510,null,null,486,null,null,746,null,null,513,null,null,423,null,null,719,null,null,542,null,null,804,null,null,361,null,null,219,null,null,55,null,null,1920,null,null,766,null,null,648,null,null,762,null,null,483,null,null,551,null,null,778,null,null,415,null,null,632,null,null,483,null,null,495,null,null,573,null,null,265,null,null,230,null,null,273,null,null,30
45386,4417,23897,2763,3921,956,3074,859,3348,1144,2088,561,846,368,2077,784,2312,800,1504,685,1907,574,1514,644,851,389,367,257,88,91,0,159,21489,2513,4028,1045,2680,771,2470,705,1918,629,1239,608,1743,614,1168,465,1358,487,1766,539,1874,647,540,267,395,263,310,226,0,159,4417,null,null,2763,null,null,956,null,null,859,null,null,1144,null,null,561,null,null,368,null,null,784,null,null,800,null,null,685,null,null,574,null,null,644,null,null,389,null,null,257,null,null,91,null,null,159,null,null,2513,null,null,1045,null,null,771,null,null,705,null,null,629,null,null,608,null,null,614,null,null,465,null,null,487,null,null,539,null,null,647,null,null,267,null,null,263,null,null,226,null,null,159,null,null,31
139202,9741,69895,5809,10851,1844,9390,1891,6845,1455,5127,1143,2031,767,6628,1213,6645,1449,4290,961,6466,1420,4540,1172,4097,942,2101,585,749,368,135,124,69307,5582,10647,1718,8709,1791,6989,1377,3988,1087,2044,592,5744,1213,5837,1300,4580,1181,7257,1430,5057,1154,4336,1054,2438,733,1319,708,362,269,9741,null,null,5809,null,null,1844,null,null,1891,null,null,1455,null,null,1143,null,null,767,null,null,1213,null,null,1449,null,null,961,null,null,1420,null,null,1172,null,null,942,null,null,585,null,null,368,null,null,124,null,null,5582,null,null,1718,null,null,1791,null,null,1377,null,null,1087,null,null,592,null,null,1213,null,null,1300,null,null,1181,null,null,1430,null,null,1154,null,null,1054,null,null,733,null,null,708,null,null,269,null,null,32
28717,2992,15577,2113,2278,812,1910,795,1992,718,581,330,1116,568,1497,530,1085,555,1310,651,731,404,1437,774,1039,578,387,252,49,73,165,232,13140,1849,1253,535,1620,648,1104,570,516,350,1020,555,1098,563,979,617,963,539,1583,655,663,435,658,489,1210,661,155,128,318,217,2992,null,null,2113,null,null,812,null,null,795,null,null,718,null,null,330,null,null,568,null,null,530,null,null,555,null,null,651,null,null,404,null,null,774,null,null,578,null,null,252,null,null,73,null,null,232,null,null,1849,null,null,535,null,null,648,null,null,570,null,null,350,null,null,555,null,null,563,null,null,617,null,null,539,null,null,655,null,null,435,null,null,489,null,null,661,null,null,128,null,null,217,null,null,33
237326,12507,116608,7340,18582,2475,16605,1873,14086,1969,7202,1345,5304,1029,9018,1686,7899,1827,7011,1533,9570,1559,8233,1396,6596,1135,4606,990,1505,544,391,334,120718,7055,18428,1907,15391,1670,13185,2028,6328,1127,4104,1209,8664,1760,6440,1386,7057,1339,11779,1872,12971,1831,8655,1406,5150,1103,2074,674,492,274,12507,null,null,7340,null,null,2475,null,null,1873,null,null,1969,null,null,1345,null,null,1029,null,null,1686,null,null,1827,null,null,1533,null,null,1559,null,null,1396,null,null,1135,null,null,990,null,null,544,null,null,334,null,null,7055,null,null,1907,null,null,1670,null,null,2028,null,null,1127,null,null,1209,null,null,1760,null,null,1386,null,null,1339,null,null,1872,null,null,1831,null,null,1406,null,null,1103,null,null,674,null,null,274,null,null,34
65905,6313,34520,4004,4010,1030,3225,847,3794,962,2564,776,1534,721,2847,1154,2773,865,1519,635,3711,1202,2608,744,3253,932,1248,476,1205,623,229,163,31385,3472,2923,977,4264,1276,3232,1012,1673,596,1470,639,2140,741,1702,660,1663,562,3817,1221,2976,800,2788,1005,1612,503,481,321,644,556,6313,null,null,4004,null,null,1030,null,null,847,null,null,962,null,null,776,null,null,721,null,null,1154,null,null,865,null,null,635,null,null,1202,null,null,744,null,null,932,null,null,476,null,null,623,null,null,163,null,null,3472,null,null,977,null,null,1276,null,null,1012,null,null,596,null,null,639,null,null,741,null,null,660,null,null,562,null,null,1221,null,null,800,null,null,1005,null,null,503,null,null,321,null,null,556,null,null,35
616861,22455,301380,13743,45674,3460,38723,3529,29106,3070,17293,2065,11761,1696,28076,3253,25149,3493,16851,2273,30416,3551,26803,3014,17061,1937,9195,1239,3944,981,1328,587,315481,11496,46453,3909,34569,3298,28610,2649,17187,2017,10764,1531,29833,3277,25056,2470,22645,2411,31571,3228,27739,2439,19214,1972,12297,1594,7158,1364,2385,827,22455,null,null,13743,null,null,3460,null,null,3529,null,null,3070,null,null,2065,null,null,1696,null,null,3253,null,null,3493,null,null,2273,null,null,3551,null,null,3014,null,null,1937,null,null,1239,null,null,981,null,null,587,null,null,11496,null,null,3909,null,null,3298,null,null,2649,null,null,2017,null,null,1531,null,null,3277,null,null,2470,null,null,2411,null,null,3228,null,null,2439,null,null,1972,null,null,1594,null,null,1364,null,null,827,null,null,36
268866,12841,128695,7637,23742,2985,20566,2486,18363,2484,7799,1694,6975,1452,10520,1972,6869,1817,5882,1434,10982,2046,7066,1428,5287,983,3173,993,1023,441,448,341,140171,7580,22253,2878,18502,2265,17295,2332,8914,1673,6323,1358,10781,1762,8547,1608,9140,1738,15357,2324,8457,1479,8250,1532,3589,900,2120,668,643,335,12841,null,null,7637,null,null,2985,null,null,2486,null,null,2484,null,null,1694,null,null,1452,null,null,1972,null,null,1817,null,null,1434,null,null,2046,null,null,1428,null,null,983,null,null,993,null,null,441,null,null,341,null,null,7580,null,null,2878,null,null,2265,null,null,2332,null,null,1673,null,null,1358,null,null,1762,null,null,1608,null,null,1738,null,null,2324,null,null,1479,null,null,1532,null,null,900,null,null,668,null,null,335,null,null,37
21588,2952,12499,2075,3079,923,2685,832,784,355,220,212,403,239,744,490,1615,695,857,528,628,330,909,565,471,267,22,28,25,34,57,122,9089,1611,1074,556,849,448,674,339,418,230,748,512,641,412,1665,762,1354,769,201,157,953,455,346,233,80,83,86,84,0,155,2952,null,null,2075,null,null,923,null,null,832,null,null,355,null,null,212,null,null,239,null,null,490,null,null,695,null,null,528,null,null,330,null,null,565,null,null,267,null,null,28,null,null,34,null,null,122,null,null,1611,null,null,556,null,null,448,null,null,339,null,null,230,null,null,512,null,null,412,null,null,762,null,null,769,null,null,157,null,null,455,null,null,233,null,null,83,null,null,84,null,null,155,null,null,38
324432,12837,159412,7605,24408,2364,24938,2924,19834,2337,12040,1657,8804,1545,15550,2544,11935,1727,7204,1391,12417,1829,9272,1332,7722,1295,3652,876,1187,406,449,312,165020,7761,27762,2786,23896,2484,21346,2133,11161,1975,7196,1515,16450,2354,10739,1778,8566,1504,11537,1552,10356,1346,7974,1322,4838,1051,2610,895,589,314,12837,null,null,7605,null,null,2364,null,null,2924,null,null,2337,null,null,1657,null,null,1545,null,null,2544,null,null,1727,null,null,1391,null,null,1829,null,null,1332,null,null,1295,null,null,876,null,null,406,null,null,312,null,null,7761,null,null,2786,null,null,2484,null,null,2133,null,null,1975,null,null,1515,null,null,2354,null,null,1778,null,null,1504,null,null,1552,null,null,1346,null,null,1322,null,null,1051,null,null,895,null,null,314,null,null,39
303606,7998,153670,4930,21184,1728,20269,1980,18176,1658,8746,1126,5357,953,12946,1836,10382,1176,8089,1201,16012,1327,13049,1116,10449,1083,6339,773,2082,441,590,300,149936,4707,16573,1668,17968,2187,16742,1507,7990,947,5315,995,12845,1598,11116,1137,10040,1164,15039,1367,13212,1204,10543,1058,6871,946,3878,734,1804,392,7998,null,null,4930,null,null,1728,null,null,1980,null,null,1658,null,null,1126,null,null,953,null,null,1836,null,null,1176,null,null,1201,null,null,1327,null,null,1116,null,null,1083,null,null,773,null,null,441,null,null,300,null,null,4707,null,null,1668,null,null,2187,null,null,1507,null,null,947,null,null,995,null,null,1598,null,null,1137,null,null,1164,null,null,1367,null,null,1204,null,null,1058,null,null,946,null,null,734,null,null,392,null,null,40
207593,10682,104239,7179,14138,2014,13404,1944,11394,2218,5913,1475,4632,1161,9573,1746,7746,1573,6759,1343,12644,1850,7737,1429,5947,932,2907,761,788,452,657,308,103354,6019,12656,1683,12906,1930,10514,1805,5113,1217,5323,1331,7420,1580,6990,1411,8207,1370,11963,1871,8986,1381,6766,1220,3867,905,2037,624,606,327,10682,null,null,7179,null,null,2014,null,null,1944,null,null,2218,null,null,1475,null,null,1161,null,null,1746,null,null,1573,null,null,1343,null,null,1850,null,null,1429,null,null,932,null,null,761,null,null,452,null,null,308,null,null,6019,null,null,1683,null,null,1930,null,null,1805,null,null,1217,null,null,1331,null,null,1580,null,null,1411,null,null,1370,null,null,1871,null,null,1381,null,null,1220,null,null,905,null,null,624,null,null,327,null,null,41
323754,13735,162059,7112,26881,2662,23901,2688,20780,2427,11270,1602,5845,1369,12706,1689,11022,1963,9883,1841,15285,2099,11534,1681,7795,1348,3148,683,1364,595,645,366,161695,8883,21744,2433,24347,2692,23420,2863,11171,1723,5975,1254,11746,1867,10451,1707,8632,1398,15419,2040,11656,1561,10123,1518,4440,1005,2184,730,387,305,13735,null,null,7112,null,null,2662,null,null,2688,null,null,2427,null,null,1602,null,null,1369,null,null,1689,null,null,1963,null,null,1841,null,null,2099,null,null,1681,null,null,1348,null,null,683,null,null,595,null,null,366,null,null,8883,null,null,2433,null,null,2692,null,null,2863,null,null,1723,null,null,1254,null,null,1867,null,null,1707,null,null,1398,null,null,2040,null,null,1561,null,null,1518,null,null,1005,null,null,730,null,null,305,null,null,42
