C21001H_001E,C21001H_001M,C21001H_002E,C21001H_002M,C21001H_003E,C21001H_003M,C21001H_004E,C21001H_004M,C21001H_005E,C21001H_005M,C21001H_006E,C21001H_006M,C21001H_007E,C21001H_007M,C21001H_008E,C21001H_008M,C21001H_009E,C21001H_009M,C21001H_010E,C21001H_010M,C21001H_011E,C21001H_011M,C21001H_012E,C21001H_012M,C21001H_013E,C21001H_013M,C21001H_014E,C21001H_014M,C21001H_015E,C21001H_015M,C21001H_001M,C21001H_001EA,C21001H_001MA,C21001H_002M,C21001H_002EA,C21001H_002MA,C21001H_003M,C21001H_003EA,C21001H_003MA,C21001H_004M,C21001H_004EA,C21001H_004MA,C21001H_005M,C21001H_005EA,C21001H_005MA,C21001H_006M,C21001H_006EA,C21001H_006MA,C21001H_007M,C21001H_007EA,C21001H_007MA,C21001H_008M,C21001H_008EA,C21001H_008MA,C21001H_009M,C21001H_009EA,C21001H_009MA,C21001H_010M,C21001H_010EA,C21001H_010MA,C21001H_011M,C21001H_011EA,C21001H_011MA,C21001H_012M,C21001H_012EA,C21001H_012MA,C21001H_013M,C21001H_013EA,C21001H_013MA,C21001H_014M,C21001H_014EA,C21001H_014MA,C21001H_015M,C21001H_015EA,C21001H_015MA,state
1016767,589,491414,511,377484,502,38991,3085,338493,3033,113930,120,54748,2150,59182,2145,525353,388,388299,347,5227,1179,383072,1247,137054,135,2300,624,134754,629,589,null,null,511,null,null,502,null,null,3085,null,null,3033,null,null,120,null,null,2150,null,null,2145,null,null,388,null,null,347,null,null,1179,null,null,1247,null,null,135,null,null,624,null,null,629,null,null,23
2498690,2474,1205025,2089,945484,2090,97089,4149,848395,4517,259541,127,118587,2809,140954,2806,1293665,1239,968512,1220,15759,1615,952753,1979,325153,162,2752,611,322401,617,2474,null,null,2089,null,null,2090,null,null,4149,null,null,4517,null,null,127,null,null,2809,null,null,2806,null,null,1239,null,null,1220,null,null,1615,null,null,1979,null,null,162,null,null,611,null,null,617,null,null,24
4069462,4914,1944218,2529,1540366,2512,100535,4426,1439831,5273,403852,531,166280,3659,237572,3700,2125244,3093,1595789,2949,10489,1689,1585300,3346,529455,910,3886,804,525569,1199,4914,null,null,2529,null,null,2512,null,null,4426,null,null,5273,null,null,531,null,null,3659,null,null,3700,null,null,3093,null,null,2949,null,null,1689,null,null,3346,null,null,910,null,null,804,null,null,1199,null,null,25
6000373,1748,2936361,1316,2318725,1245,180627,5454,2138098,5627,617636,253,267731,4510,349905,4517,3064012,1116,2306460,1063,21834,1898,2284626,2094,757552,294,7154,1125,750398,1163,1748,null,null,1316,null,null,1245,null,null,5454,null,null,5627,null,null,253,null,null,4510,null,null,4517,null,null,1116,null,null,1063,null,null,1898,null,null,2094,null,null,294,null,null,1125,null,null,1163,null,null,26
3541459,1824,1740521,1361,1388247,1302,109999,4067,1278248,4410,352274,319,160968,3370,191306,3338,1800938,849,1371995,823,14102,1627,1357893,1779,428943,143,3703,805,425240,825,1824,null,null,1361,null,null,1302,null,null,4067,null,null,4410,null,null,319,null,null,3370,null,null,3338,null,null,849,null,null,823,null,null,1627,null,null,1779,null,null,143,null,null,805,null,null,825,null,null,27
1335184,1511,645148,1290,501830,1435,50832,3771,450998,3760,143318,592,63355,3007,79963,3094,690036,745,510041,856,7925,1600,502116,1747,179995,457,2078,695,177917,842,1511,null,null,1290,null,null,1435,null,null,3771,null,null,3760,null,null,592,null,null,3007,null,null,3094,null,null,745,null,null,856,null,null,1600,null,null,1747,null,null,457,null,null,695,null,null,842,null,null,28
3828022,2277,1856593,1838,1471030,1802,148652,5179,1322378,5423,385563,320,190861,4021,194702,4006,1971429,1296,1489026,1264,18713,2121,1470313,2421,482403,257,5565,951,476838,985,2277,null,null,1838,null,null,1802,null,null,5179,null,null,5423,null,null,320,null,null,4021,null,null,4006,null,null,1296,null,null,1264,null,null,2121,null,null,2421,null,null,257,null,null,951,null,null,985,null,null,29
720296,754,360482,638,276499,632,30735,2587,245764,2663,83983,52,39904,2013,44079,2014,359814,458,269034,466,5006,1160,264028,1227,90780,47,1792,617,88988,609,754,null,null,638,null,null,632,null,null,2587,null,null,2663,null,null,52,null,null,2013,null,null,2014,null,null,458,null,null,466,null,null,1160,null,null,1227,null,null,47,null,null,617,null,null,609,null,null,30
1185422,1184,579753,988,460570,975,44419,2824,416151,2973,119183,179,56292,2137,62891,2085,605669,561,457934,529,6189,900,451745,1017,147735,234,1938,553,145797,614,1184,null,null,988,null,null,975,null,null,2824,null,null,2973,null,null,179,null,null,2137,null,null,2085,null,null,561,null,null,529,null,null,900,null,null,1017,null,null,234,null,null,553,null,null,614,null,null,31
1217688,1368,616983,997,462374,977,62079,3880,400295,4042,154609,172,81447,2492,73162,2512,600705,923,437743,916,9096,1485,428647,1661,162962,215,2499,564,160463,624,1368,null,null,997,null,null,977,null,null,3880,null,null,4042,null,null,172,null,null,2492,null,null,2512,null,null,923,null,null,916,null,null,1485,null,null,1661,null,null,215,null,null,564,null,null,624,null,null,32
986006,1258,481674,1116,381805,1117,41492,3254,340313,3233,99869,18,45975,2050,53894,2046,504332,401,385322,401,4128,937,381194,1030,119010,187,1444,507,117566,507,1258,null,null,1116,null,null,1117,null,null,3254,null,null,3233,null,null,18,null,null,2050,null,null,2046,null,null,401,null,null,401,null,null,937,null,null,1030,null,null,187,null,null,507,null,null,507,null,null,33
4032816,3151,1941480,1930,1509999,1846,71962,3950,1438037,4214,431481,489,173212,4351,258269,4395,2091336,1835,1525063,1640,9530,1669,1515533,2085,566273,523,4025,969,562248,1132,3151,null,null,1930,null,null,1846,null,null,3950,null,null,4214,null,null,489,null,null,4351,null,null,4395,null,null,1835,null,null,1640,null,null,1669,null,null,2085,null,null,523,null,null,969,null,null,1132,null,null,34
661949,2202,323385,1471,229617,1472,32727,2836,196890,3207,93768,150,44141,1932,49627,1939,338564,1282,230727,1099,4712,929,226015,1506,107837,534,2847,951,104990,1086,2202,null,null,1471,null,null,1472,null,null,2836,null,null,3207,null,null,150,null,null,1932,null,null,1939,null,null,1282,null,null,1099,null,null,929,null,null,1506,null,null,534,null,null,951,null,null,1086,null,null,35
8947666,5001,4325402,3223,3401758,3035,193929,5531,3207829,5754,923644,634,350571,5062,573073,5075,4622264,2812,3433993,2547,25258,2332,3408735,3062,1188271,935,8127,1128,1180144,1505,5001,null,null,3223,null,null,3035,null,null,5531,null,null,5754,null,null,634,null,null,5062,null,null,5075,null,null,2812,null,null,2547,null,null,2332,null,null,3062,null,null,935,null,null,1128,null,null,1505,null,null,36
5177830,3909,2475020,3077,1927302,3131,194846,6998,1732456,7412,547718,359,248284,5381,299434,5387,2702810,1467,2015606,1469,31967,2946,1983639,3510,687204,199,8238,1154,678966,1170,3909,null,null,3077,null,null,3131,null,null,6998,null,null,7412,null,null,359,null,null,5381,null,null,5387,null,null,1467,null,null,1469,null,null,2946,null,null,3510,null,null,199,null,null,1154,null,null,1170,null,null,37
504355,1228,255195,1203,207262,1204,18529,1808,188733,2289,47933,25,20861,1154,27072,1158,249160,152,191759,142,2824,844,188935,851,57401,51,424,311,56977,320,1228,null,null,1203,null,null,1204,null,null,1808,null,null,2289,null,null,25,null,null,1154,null,null,1158,null,null,152,null,null,142,null,null,844,null,null,851,null,null,51,null,null,311,null,null,320,null,null,38
7329971,2296,3552689,1685,2822164,1685,257474,7684,2564690,7997,730525,314,326843,5584,403682,5612,3777282,1133,2847012,1116,32376,2585,2814636,2775,930270,259,10871,1517,919399,1488,2296,null,null,1685,null,null,1685,null,null,7684,null,null,7997,null,null,314,null,null,5584,null,null,5612,null,null,1133,null,null,1116,null,null,2585,null,null,2775,null,null,259,null,null,1517,null,null,1488,null,null,39
2068787,1475,1004258,1452,784560,1430,93152,4317,691408,4323,219698,181,108212,2512,111486,2513,1064529,752,792685,743,14119,1658,778566,1938,271844,190,3680,648,268164,669,1475,null,null,1452,null,null,1430,null,null,4317,null,null,4323,null,null,181,null,null,2512,null,null,2513,null,null,752,null,null,743,null,null,1658,null,null,1938,null,null,190,null,null,648,null,null,669,null,null,40
2561391,1570,1248368,1104,961326,1105,106381,4405,854945,4406,287042,85,140189,4173,146853,4174,1313023,937,972757,832,13788,1685,958969,1874,340266,269,5405,1230,334861,1242,1570,null,null,1104,null,null,1105,null,null,4405,null,null,4406,null,null,85,null,null,4173,null,null,4174,null,null,937,null,null,832,null,null,1685,null,null,1874,null,null,269,null,null,1230,null,null,1242,null,null,41
8024447,2846,3883398,2114,3022300,2064,255672,6126,2766628,6393,861098,248,400552,5210,460546,5151,4141049,1229,3034216,1192,30228,2425,3003988,2638,1106833,273,11119,1727,1095714,1752,2846,null,null,2114,null,null,2064,null,null,6126,null,null,6393,null,null,248,null,null,5210,null,null,5151,null,null,1229,null,null,1192,null,null,2425,null,null,2638,null,null,273,null,null,1727,null,null,1752,null,null,42
644236,1517,305108,1092,238554,940,16274,2048,222280,2296,66554,362,30607,1644,35947,1682,339128,715,250237,686,2054,702,248183,1004,88891,159,662,337,88229,372,1517,null,null,1092,null,null,940,null,null,2048,null,null,2296,null,null,362,null,null,1644,null,null,1682,null,null,715,null,null,686,null,null,702,null,null,1004,null,null,159,null,null,337,null,null,372,null,null,44
2542329,2880,1222819,2565,933084,2580,107275,4816,825809,5310,289735,115,138726,3807,151009,3802,1319510,1340,972605,1348,16285,2158,956320,2500,346905,182,3079,743,343826,759,2880,null,null,2565,null,null,2580,null,null,4816,null,null,5310,null,null,115,null,null,3807,null,null,3802,null,null,1340,null,null,1348,null,null,2158,null,null,2500,null,null,182,null,null,743,null,null,759,null,null,45
557952,612,277416,596,217291,596,25079,2074,192212,2151,60125,12,26919,2022,33206,2023,280536,158,210111,158,3769,773,206342,784,70425,17,1131,480,69294,481,612,null,null,596,null,null,596,null,null,2074,null,null,2151,null,null,12,null,null,2022,null,null,2023,null,null,158,null,null,158,null,null,773,null,null,784,null,null,17,null,null,480,null,null,481,null,null,46
3932183,2554,1891137,2321,1488349,2339,149178,6446,1339171,7236,402788,172,175034,4157,227754,4176,2041046,1065,1541563,1054,21632,2126,1519931,2379,499483,241,4985,1047,494498,1089,2554,null,null,2321,null,null,2339,null,null,6446,null,null,7236,null,null,172,null,null,4157,null,null,4176,null,null,1065,null,null,1054,null,null,2126,null,null,2379,null,null,241,null,null,1047,null,null,1089,null,null,47
9471867,5351,4634389,4115,3667158,4287,413088,11589,3254070,12131,967231,989,463987,6351,503244,6400,4837478,3012,3663057,2732,68689,4501,3594368,5079,1174421,1378,16296,1902,1158125,2517,5351,null,null,4115,null,null,4287,null,null,11589,null,null,12131,null,null,989,null,null,6351,null,null,6400,null,null,3012,null,null,2732,null,null,4501,null,null,5079,null,null,1378,null,null,1902,null,null,2517,null,null,48
1714821,1578,850518,1039,715138,1019,46762,3222,668376,3650,135380,71,56793,2802,78587,2801,864303,881,708618,834,5118,1181,703500,1428,155685,357,1454,536,154231,679,1578,null,null,1039,null,null,1019,null,null,3222,null,null,3650,null,null,71,null,null,2802,null,null,2801,null,null,881,null,null,834,null,null,1181,null,null,1428,null,null,357,null,null,536,null,null,679,null,null,49
474456,438,231478,344,181336,345,13160,1459,168176,1520,50142,7,19878,1219,30264,1219,242978,270,183371,255,2313,587,181058,665,59607,90,679,339,58928,346,438,null,null,344,null,null,345,null,null,1459,null,null,1520,null,null,7,null,null,1219,null,null,1219,null,null,270,null,null,255,null,null,587,null,null,665,null,null,90,null,null,339,null,null,346,null,null,50
4153224,4259,2007728,3552,1585720,3565,219802,6058,1365918,6942,422008,289,201849,3916,220159,3933,2145496,2435,1628859,2458,41299,3216,1587560,4510,516637,239,7861,1094,508776,1156,4259,null,null,3552,null,null,3565,null,null,6058,null,null,6942,null,null,289,null,null,3916,null,null,3933,null,null,2435,null,null,2458,null,null,3216,null,null,4510,null,null,239,null,null,1094,null,null,1156,null,null,51
4092047,2939,2013844,2720,1588198,2709,201935,7292,1386263,7367,425646,169,214830,4845,210816,4860,2078203,1149,1576693,1116,29167,2700,1547526,2571,501510,285,8702,1331,492808,1379,2939,null,null,2720,null,null,2709,null,null,7292,null,null,7367,null,null,169,null,null,4845,null,null,4860,null,null,1149,null,null,1116,null,null,2700,null,null,2571,null,null,285,null,null,1331,null,null,1379,null,null,53
1351309,1685,657729,1287,508941,1291,53705,3212,455236,3279,148788,171,69295,2832,79493,2802,693580,925,514168,755,4700,1044,509468,1240,179412,568,1807,607,177605,799,1685,null,null,1287,null,null,1291,null,null,3212,null,null,3279,null,null,171,null,null,2832,null,null,2802,null,null,925,null,null,755,null,null,1044,null,null,1240,null,null,568,null,null,607,null,null,799,null,null,54
3799230,1412,1870055,1081,1477164,1073,114823,4346,1362341,4508,392891,142,173286,3107,219605,3120,1929175,694,1454791,621,16306,1490,1438485,1631,474384,166,4725,704,469659,742,1412,null,null,1081,null,null,1073,null,null,4346,null,null,4508,null,null,142,null,null,3107,null,null,3120,null,null,694,null,null,621,null,null,1490,null,null,1631,null,null,166,null,null,704,null,null,742,null,null,55
384628,672,194542,521,155937,516,19986,2118,135951,2123,38605,45,18957,1442,19648,1448,190086,382,147697,382,3145,1188,144552,1255,42389,5,616,358,41773,358,672,null,null,521,null,null,516,null,null,2118,null,null,2123,null,null,45,null,null,1442,null,null,1448,null,null,382,null,null,382,null,null,1188,null,null,1255,null,null,5,null,null,358,null,null,358,null,null,56
28297,3510,14368,2309,11909,2285,1001,554,10908,2066,2459,820,714,499,1745,682,13929,2080,11806,2037,119,211,11687,2041,2123,746,0,222,2123,746,3510,null,null,2309,null,null,2285,null,null,554,null,null,2066,null,null,820,null,null,499,null,null,682,null,null,2080,null,null,2037,null,null,211,null,null,2041,null,null,746,null,null,222,null,null,746,null,null,72
2552054,1754,1229591,1407,958501,1360,102798,6237,855703,6324,271090,281,126521,3506,144569,3527,1322463,816,980365,882,13237,1863,967128,2044,342098,310,4529,965,337569,958,1754,null,null,1407,null,null,1360,null,null,6237,null,null,6324,null,null,281,null,null,3506,null,null,3527,null,null,816,null,null,882,null,null,1863,null,null,2044,null,null,310,null,null,965,null,null,958,null,null,01
349278,1613,183668,1514,154074,1559,30196,2917,123878,3099,29594,122,15306,1087,14288,1096,165610,1012,137876,1001,5358,1271,132518,1613,27734,25,330,198,27404,203,1613,null,null,1514,null,null,1559,null,null,2917,null,null,3099,null,null,122,null,null,1087,null,null,1096,null,null,1012,null,null,1001,null,null,1271,null,null,1613,null,null,25,null,null,198,null,null,203,null,null,02
3179539,3017,1555034,1862,1116025,1787,134142,6014,981883,6124,439009,516,221107,4926,217902,4801,1624505,1576,1120444,1531,21213,2375,1099231,2908,504061,271,7619,1030,496442,1071,3017,null,null,1862,null,null,1787,null,null,6014,null,null,6124,null,null,516,null,null,4926,null,null,4801,null,null,1576,null,null,1531,null,null,2375,null,null,2908,null,null,271,null,null,1030,null,null,1071,null,null,04
1723697,1153,835420,886,647237,860,69600,4259,577637,4486,188183,179,87597,3326,100586,3311,888277,505,656057,504,8159,1380,647898,1421,232220,56,2165,564,230055,565,1153,null,null,886,null,null,860,null,null,4259,null,null,4486,null,null,179,null,null,3326,null,null,3311,null,null,505,null,null,504,null,null,1380,null,null,1421,null,null,56,null,null,564,null,null,565,null,null,05
12313275,7480,6090689,5527,4685334,5498,381771,10599,4303563,10779,1405355,832,598132,8093,807223,8080,6222586,3693,4526757,3389,54534,4217,4472223,5705,1695829,946,20885,1802,1674944,2105,7480,null,null,5527,null,null,5498,null,null,10599,null,null,10779,null,null,832,null,null,8093,null,null,8080,null,null,3693,null,null,3389,null,null,4217,null,null,5705,null,null,946,null,null,1802,null,null,2105,null,null,06
3060344,2344,1516477,2145,1231693,2117,136505,4421,1095188,4829,284784,232,134685,3774,150099,3764,1543867,1101,1207239,1052,23295,2319,1183944,2672,336628,236,4549,906,332079,946,2344,null,null,2145,null,null,2117,null,null,4421,null,null,4829,null,null,232,null,null,3774,null,null,3764,null,null,1101,null,null,1052,null,null,2319,null,null,2672,null,null,236,null,null,906,null,null,946,null,null,08
1985369,2448,953962,1702,740779,1713,48134,2979,692645,3289,213183,109,89919,2922,123264,2934,1031407,1254,755223,1217,5406,965,749817,1607,276184,175,3169,879,273015,942,2448,null,null,1702,null,null,1713,null,null,2979,null,null,3289,null,null,109,null,null,2922,null,null,2934,null,null,1254,null,null,1217,null,null,965,null,null,1607,null,null,175,null,null,879,null,null,942,null,null,09
493747,883,235993,491,175847,456,16287,1851,159560,1769,60146,182,29299,1983,30847,1971,257754,630,184372,605,2647,1128,181725,1424,73382,143,1033,468,72349,482,883,null,null,491,null,null,456,null,null,1851,null,null,1769,null,null,182,null,null,1983,null,null,1971,null,null,630,null,null,605,null,null,1128,null,null,1424,null,null,143,null,null,468,null,null,482,null,null,10
218413,843,108120,486,95781,486,4391,1022,91390,1180,12339,203,3690,819,8649,819,110293,572,96625,429,1222,518,95403,674,13668,373,177,180,13491,416,843,null,null,486,null,null,486,null,null,1022,null,null,1180,null,null,203,null,null,819,null,null,819,null,null,572,null,null,429,null,null,518,null,null,674,null,null,373,null,null,180,null,null,416,null,null,11
