C15010D_001E,C15010D_001M,C15010D_002E,C15010D_002M,C15010D_003E,C15010D_003M,C15010D_004E,C15010D_004M,C15010D_005E,C15010D_005M,C15010D_006E,C15010D_006M,C15010D_001M,C15010D_001EA,C15010D_001MA,C15010D_002M,C15010D_002EA,C15010D_002MA,C15010D_003M,C15010D_003EA,C15010D_003MA,C15010D_004M,C15010D_004EA,C15010D_004MA,C15010D_005M,C15010D_005EA,C15010D_005MA,C15010D_006M,C15010D_006EA,C15010D_006MA,state
548388,11045,234204,7756,66813,3688,118061,6532,25317,2560,103993,5802,11045,null,null,7756,null,null,3688,null,null,6532,null,null,2560,null,null,5802,null,null,36
103674,3710,58633,3361,11186,1908,16573,1989,4142,1171,13140,2064,3710,null,null,3361,null,null,1908,null,null,1989,null,null,1171,null,null,2064,null,null,37
2291,825,815,414,726,419,168,178,269,275,313,230,825,null,null,414,null,null,419,null,null,178,null,null,275,null,null,230,null,null,38
95125,4264,51927,3174,8538,1334,17467,2638,4425,1009,12768,1869,4264,null,null,3174,null,null,1334,null,null,2638,null,null,1009,null,null,1869,null,null,39
22288,1802,11094,1262,3625,869,3324,907,1219,560,3026,779,1802,null,null,1262,null,null,869,null,null,907,null,null,560,null,null,779,null,null,40
60912,3126,32082,2423,5907,1311,9869,1523,3021,884,10033,1556,3126,null,null,2423,null,null,1311,null,null,1523,null,null,884,null,null,1556,null,null,41
155628,4684,85134,3309,18280,1981,24201,2425,8200,1346,19813,2330,4684,null,null,3309,null,null,1981,null,null,2425,null,null,1346,null,null,2330,null,null,42
11344,1592,6446,1381,868,505,885,461,417,268,2728,740,1592,null,null,1381,null,null,505,null,null,461,null,null,268,null,null,740,null,null,44
23549,2149,11387,1509,2561,926,4436,1152,2094,735,3071,912,2149,null,null,1509,null,null,926,null,null,1152,null,null,735,null,null,912,null,null,45
2994,828,1582,597,406,260,752,402,88,84,166,132,828,null,null,597,null,null,260,null,null,402,null,null,84,null,null,132,null,null,46
42087,3210,20328,2295,5410,1364,7076,1386,2844,889,6429,1585,3210,null,null,2295,null,null,1364,null,null,1386,null,null,889,null,null,1585,null,null,47
500722,11336,263703,8677,65588,5148,96665,4828,19300,2432,55466,4808,11336,null,null,8677,null,null,5148,null,null,4828,null,null,2432,null,null,4808,null,null,48
21875,1999,10723,1395,2429,712,3792,992,1161,505,3770,933,1999,null,null,1395,null,null,712,null,null,992,null,null,505,null,null,933,null,null,49
3129,815,1445,558,194,225,683,401,170,144,637,507,815,null,null,558,null,null,225,null,null,401,null,null,144,null,null,507,null,null,50
218907,5451,120063,5338,16176,1943,40190,3039,8114,1324,34364,3336,5451,null,null,5338,null,null,1943,null,null,3039,null,null,1324,null,null,3336,null,null,51
224252,5469,120607,4461,21992,2580,38525,2518,11483,1585,31645,2788,5469,null,null,4461,null,null,2580,null,null,2518,null,null,1585,null,null,2788,null,null,53
6377,1221,3899,1008,1064,459,433,343,122,114,859,439,1221,null,null,1008,null,null,459,null,null,343,null,null,114,null,null,439,null,null,54
43497,2538,25842,2280,4785,1083,5663,1025,2057,598,5150,955,2538,null,null,2280,null,null,1083,null,null,1025,null,null,598,null,null,955,null,null,55
2518,935,1175,448,210,218,491,451,107,125,535,412,935,null,null,448,null,null,218,null,null,451,null,null,125,null,null,412,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
20507,2220,10688,1352,2796,1023,2958,865,1144,484,2921,746,2220,null,null,1352,null,null,1023,null,null,865,null,null,484,null,null,746,null,null,01
8130,1450,2985,866,1142,419,2212,708,394,280,1397,685,1450,null,null,866,null,null,419,null,null,708,null,null,280,null,null,685,null,null,02
83961,4252,39923,3011,11997,1947,15108,2257,5390,1004,11543,1676,4252,null,null,3011,null,null,1947,null,null,2257,null,null,1004,null,null,1676,null,null,04
13491,1720,7282,1528,1937,688,2554,794,1110,516,608,376,1720,null,null,1528,null,null,688,null,null,794,null,null,516,null,null,376,null,null,05
2115649,21168,1028102,13898,227807,8202,432104,10793,86544,4379,341092,10705,21168,null,null,13898,null,null,8202,null,null,10793,null,null,4379,null,null,10705,null,null,06
60252,3090,33134,2707,4226,1022,10499,1359,3046,685,9347,1426,3090,null,null,2707,null,null,1022,null,null,1359,null,null,685,null,null,1426,null,null,08
69801,2921,39673,2692,5889,900,12835,1748,3246,1015,8158,1416,2921,null,null,2692,null,null,900,null,null,1748,null,null,1015,null,null,1416,null,null,09
16318,1505,10298,1459,1365,527,2391,682,148,127,2116,825,1505,null,null,1459,null,null,527,null,null,682,null,null,127,null,null,825,null,null,10
17086,975,9314,1079,742,331,3473,886,480,427,3077,788,975,null,null,1079,null,null,331,null,null,886,null,null,427,null,null,788,null,null,11
