C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,C23002I_001M,C23002I_001EA,C23002I_001MA,C23002I_002M,C23002I_002EA,C23002I_002MA,C23002I_003M,C23002I_003EA,C23002I_003MA,C23002I_004M,C23002I_004EA,C23002I_004MA,C23002I_005M,C23002I_005EA,C23002I_005MA,C23002I_006M,C23002I_006EA,C23002I_006MA,C23002I_007M,C23002I_007EA,C23002I_007MA,C23002I_008M,C23002I_008EA,C23002I_008MA,C23002I_009M,C23002I_009EA,C23002I_009MA,C23002I_010M,C23002I_010EA,C23002I_010MA,C23002I_011M,C23002I_011EA,C23002I_011MA,C23002I_012M,C23002I_012EA,C23002I_012MA,C23002I_013M,C23002I_013EA,C23002I_013MA,C23002I_014M,C23002I_014EA,C23002I_014MA,C23002I_015M,C23002I_015EA,C23002I_015MA,C23002I_016M,C23002I_016EA,C23002I_016MA,C23002I_017M,C23002I_017EA,C23002I_017MA,C23002I_018M,C23002I_018EA,C23002I_018MA,C23002I_019M,C23002I_019EA,C23002I_019MA,C23002I_020M,C23002I_020EA,C23002I_020MA,C23002I_021M,C23002I_021EA,C23002I_021MA,C23002I_022M,C23002I_022EA,C23002I_022MA,C23002I_023M,C23002I_023EA,C23002I_023MA,C23002I_024M,C23002I_024EA,C23002I_024MA,C23002I_025M,C23002I_025EA,C23002I_025MA,C23002I_026M,C23002I_026EA,C23002I_026MA,C23002I_027M,C23002I_027EA,C23002I_027MA,state
15569,934,7860,899,7374,939,5477,904,298,271,5179,977,4641,937,538,371,1897,621,486,327,213,248,213,248,0,172,273,209,7709,859,6923,780,4631,762,0,172,4631,762,4547,756,84,122,2292,730,786,394,114,168,114,168,0,172,672,389,934,null,null,899,null,null,939,null,null,904,null,null,271,null,null,977,null,null,937,null,null,371,null,null,621,null,null,327,null,null,248,null,null,248,null,null,172,null,null,209,null,null,859,null,null,780,null,null,762,null,null,172,null,null,762,null,null,756,null,null,122,null,null,730,null,null,394,null,null,168,null,null,168,null,null,172,null,null,389,null,null,23
409566,1453,212319,1884,201106,1930,177594,2279,2700,810,174894,2489,168496,3014,6398,1772,23512,2204,11213,679,4366,982,3974,951,392,361,6847,1047,197247,1593,180773,1706,128991,3844,705,469,128286,3790,119838,3733,8448,1492,51782,3711,16474,880,3390,726,3318,698,72,121,13084,1088,1453,null,null,1884,null,null,1930,null,null,2279,null,null,810,null,null,2489,null,null,3014,null,null,1772,null,null,2204,null,null,679,null,null,982,null,null,951,null,null,361,null,null,1047,null,null,1593,null,null,1706,null,null,3844,null,null,469,null,null,3790,null,null,3733,null,null,1492,null,null,3711,null,null,880,null,null,726,null,null,698,null,null,121,null,null,1088,null,null,24
560560,1985,276542,1444,258084,1477,192071,3689,341,257,191730,3640,176683,3833,15047,2216,66013,3759,18458,465,3628,808,3472,796,156,152,14830,892,284018,1246,258103,1350,178417,3808,21,36,178396,3800,160213,4187,18183,2601,79686,4123,25915,410,2397,676,2184,624,213,180,23518,658,1985,null,null,1444,null,null,1477,null,null,3689,null,null,257,null,null,3640,null,null,3833,null,null,2216,null,null,3759,null,null,465,null,null,808,null,null,796,null,null,152,null,null,892,null,null,1246,null,null,1350,null,null,3808,null,null,36,null,null,3800,null,null,4187,null,null,2601,null,null,4123,null,null,410,null,null,676,null,null,624,null,null,180,null,null,658,null,null,25
331496,1751,168433,1981,155748,1784,122359,2523,299,261,122060,2510,112501,2622,9559,1486,33389,2396,12685,870,2732,700,2700,701,32,52,9953,822,163063,1575,149314,1579,97498,2581,67,113,97431,2592,90924,2800,6507,1286,51816,2925,13749,844,2221,720,2085,696,136,190,11528,1014,1751,null,null,1981,null,null,1784,null,null,2523,null,null,261,null,null,2510,null,null,2622,null,null,1486,null,null,2396,null,null,870,null,null,700,null,null,701,null,null,52,null,null,822,null,null,1575,null,null,1579,null,null,2581,null,null,113,null,null,2592,null,null,2800,null,null,1286,null,null,2925,null,null,844,null,null,720,null,null,696,null,null,190,null,null,1014,null,null,26
187733,1801,98220,1612,93225,1612,79399,2075,149,244,79250,2109,74479,2034,4771,1205,13826,1659,4995,819,1320,626,1234,605,86,172,3675,687,89513,1517,84303,1660,61572,2744,0,149,61572,2744,57286,2793,4286,1132,22731,2135,5210,712,914,465,914,465,0,149,4296,635,1801,null,null,1612,null,null,1612,null,null,2075,null,null,244,null,null,2109,null,null,2034,null,null,1205,null,null,1659,null,null,819,null,null,626,null,null,605,null,null,172,null,null,687,null,null,1517,null,null,1660,null,null,2744,null,null,149,null,null,2744,null,null,2793,null,null,1132,null,null,2135,null,null,712,null,null,465,null,null,465,null,null,149,null,null,635,null,null,27
58932,2535,31910,2181,30454,2045,21395,1721,467,337,20928,1658,19937,1553,991,526,9059,1465,1456,731,211,285,211,285,0,213,1245,693,27022,1877,25792,1773,14711,1815,191,201,14520,1849,13149,1868,1371,623,11081,1534,1230,512,48,60,48,60,0,213,1182,509,2535,null,null,2181,null,null,2045,null,null,1721,null,null,337,null,null,1658,null,null,1553,null,null,526,null,null,1465,null,null,731,null,null,285,null,null,285,null,null,213,null,null,693,null,null,1877,null,null,1773,null,null,1815,null,null,201,null,null,1849,null,null,1868,null,null,623,null,null,1534,null,null,512,null,null,60,null,null,60,null,null,213,null,null,509,null,null,28
161502,1803,82506,1942,76302,1899,63036,2403,1971,569,61065,2407,57827,2559,3238,945,13266,1910,6204,1019,2020,685,1965,679,55,97,4184,926,78996,1499,72089,1690,49545,2160,455,334,49090,2160,45900,2231,3190,875,22544,2194,6907,843,901,425,901,425,0,187,6006,929,1803,null,null,1942,null,null,1899,null,null,2403,null,null,569,null,null,2407,null,null,2559,null,null,945,null,null,1910,null,null,1019,null,null,685,null,null,679,null,null,97,null,null,926,null,null,1499,null,null,1690,null,null,2160,null,null,334,null,null,2160,null,null,2231,null,null,875,null,null,2194,null,null,843,null,null,425,null,null,425,null,null,187,null,null,929,null,null,29
24310,1089,11620,1361,10758,1284,8219,1099,457,129,7762,1127,6615,1079,1147,531,2539,889,862,456,153,192,153,192,0,168,709,375,12690,982,11699,922,8094,1060,0,168,8094,1060,7911,1049,183,190,3605,925,991,330,278,231,278,231,0,168,713,251,1089,null,null,1361,null,null,1284,null,null,1099,null,null,129,null,null,1127,null,null,1079,null,null,531,null,null,889,null,null,456,null,null,192,null,null,192,null,null,168,null,null,375,null,null,982,null,null,922,null,null,1060,null,null,168,null,null,1060,null,null,1049,null,null,190,null,null,925,null,null,330,null,null,231,null,null,231,null,null,168,null,null,251,null,null,30
128465,1329,67813,1589,64200,1638,55069,2051,304,228,54765,2073,51022,2280,3743,1128,9131,1653,3613,677,621,415,621,415,0,159,2992,652,60652,1599,57335,1513,39791,1811,69,79,39722,1823,35991,1894,3731,925,17544,2051,3317,658,469,213,469,213,0,159,2848,653,1329,null,null,1589,null,null,1638,null,null,2051,null,null,228,null,null,2073,null,null,2280,null,null,1128,null,null,1653,null,null,677,null,null,415,null,null,415,null,null,159,null,null,652,null,null,1599,null,null,1513,null,null,1811,null,null,79,null,null,1823,null,null,1894,null,null,925,null,null,2051,null,null,658,null,null,213,null,null,213,null,null,159,null,null,653,null,null,31
589366,1715,298058,1451,276920,1355,226646,3399,568,278,226078,3407,213329,3206,12749,2117,50274,3465,21138,831,5708,1245,5393,1228,315,296,15430,1187,291308,1479,266023,1517,180740,3866,364,252,180376,3845,168646,3925,11730,1894,85283,3980,25285,556,3360,829,3360,829,0,210,21925,982,1715,null,null,1451,null,null,1355,null,null,3399,null,null,278,null,null,3407,null,null,3206,null,null,2117,null,null,3465,null,null,831,null,null,1245,null,null,1228,null,null,296,null,null,1187,null,null,1479,null,null,1517,null,null,3866,null,null,252,null,null,3845,null,null,3925,null,null,1894,null,null,3980,null,null,556,null,null,829,null,null,829,null,null,210,null,null,982,null,null,32
33908,1099,19203,1124,18147,1252,13229,1138,196,262,13033,1157,11840,1246,1193,838,4918,1364,1056,499,61,86,61,86,0,187,995,506,14705,608,13583,672,9383,896,0,187,9383,896,9241,907,142,126,4200,892,1122,356,247,211,207,198,40,68,875,335,1099,null,null,1124,null,null,1252,null,null,1138,null,null,262,null,null,1157,null,null,1246,null,null,838,null,null,1364,null,null,499,null,null,86,null,null,86,null,null,187,null,null,506,null,null,608,null,null,672,null,null,896,null,null,187,null,null,896,null,null,907,null,null,126,null,null,892,null,null,356,null,null,211,null,null,198,null,null,68,null,null,335,null,null,33
1318463,2184,658804,1466,602362,1514,494526,5378,1478,724,493048,5329,467084,6087,25964,2676,107836,5612,56442,429,15248,1642,14400,1539,848,439,41194,1686,659659,1825,582702,1821,400149,5874,135,131,400014,5874,367340,6277,32674,3020,182553,5366,76957,340,12039,1566,11685,1602,354,267,64918,1579,2184,null,null,1466,null,null,1514,null,null,5378,null,null,724,null,null,5329,null,null,6087,null,null,2676,null,null,5612,null,null,429,null,null,1642,null,null,1539,null,null,439,null,null,1686,null,null,1825,null,null,1821,null,null,5874,null,null,131,null,null,5874,null,null,6277,null,null,3020,null,null,5366,null,null,340,null,null,1566,null,null,1602,null,null,267,null,null,1579,null,null,34
748763,2069,368996,1650,319129,1717,232263,4633,1380,566,230883,4682,210734,5019,20149,3107,86866,4508,49867,564,6422,1112,5841,1031,581,361,43445,1136,379767,1404,318423,1478,208453,5298,151,175,208302,5311,195888,5153,12414,2005,109970,5375,61344,475,8511,1169,8511,1169,0,195,52833,1180,2069,null,null,1650,null,null,1717,null,null,4633,null,null,566,null,null,4682,null,null,5019,null,null,3107,null,null,4508,null,null,564,null,null,1112,null,null,1031,null,null,361,null,null,1136,null,null,1404,null,null,1478,null,null,5298,null,null,175,null,null,5311,null,null,5153,null,null,2005,null,null,5375,null,null,475,null,null,1169,null,null,1169,null,null,195,null,null,1180,null,null,35
2827675,3854,1382443,3113,1250382,3164,959291,6873,2678,651,956613,6972,887640,9204,68973,5299,291091,7493,132061,890,27587,2706,25808,2635,1779,759,104474,2893,1445232,2825,1247783,2713,812081,9170,752,366,811329,9208,741663,8837,69666,5114,435702,9444,197449,1055,21013,2278,20596,2259,417,268,176436,2421,3854,null,null,3113,null,null,3164,null,null,6873,null,null,651,null,null,6972,null,null,9204,null,null,5299,null,null,7493,null,null,890,null,null,2706,null,null,2635,null,null,759,null,null,2893,null,null,2825,null,null,2713,null,null,9170,null,null,366,null,null,9208,null,null,8837,null,null,5114,null,null,9444,null,null,1055,null,null,2278,null,null,2259,null,null,268,null,null,2421,null,null,36
607765,4021,314581,3476,299749,3602,259446,4331,10037,1377,249409,4466,237340,4589,12069,2040,40303,3723,14832,1914,3238,950,3238,950,0,203,11594,1939,293184,3574,276764,3671,167144,5322,1605,798,165539,5357,150996,4855,14543,2427,109620,5526,16420,1883,2259,770,2212,771,47,79,14161,1811,4021,null,null,3476,null,null,3602,null,null,4331,null,null,1377,null,null,4466,null,null,4589,null,null,2040,null,null,3723,null,null,1914,null,null,950,null,null,950,null,null,203,null,null,1939,null,null,3574,null,null,3671,null,null,5322,null,null,798,null,null,5357,null,null,4855,null,null,2427,null,null,5526,null,null,1883,null,null,770,null,null,771,null,null,79,null,null,1811,null,null,37
17649,1732,10286,1666,9953,1695,8174,1666,1098,598,7076,1571,6748,1594,328,211,1779,803,333,359,0,155,0,155,0,155,333,359,7363,1109,6784,1002,4320,1067,218,305,4102,1056,3617,1033,485,280,2464,582,579,441,314,405,314,405,0,155,265,230,1732,null,null,1666,null,null,1695,null,null,1666,null,null,598,null,null,1571,null,null,1594,null,null,211,null,null,803,null,null,359,null,null,155,null,null,155,null,null,155,null,null,359,null,null,1109,null,null,1002,null,null,1067,null,null,305,null,null,1056,null,null,1033,null,null,280,null,null,582,null,null,441,null,null,405,null,null,405,null,null,155,null,null,230,null,null,38
280668,2245,141279,2149,131376,2144,102527,2723,400,303,102127,2727,94231,2736,7896,1579,28849,2286,9903,961,2272,684,2165,675,107,124,7631,949,139389,2058,127468,2206,85738,3027,0,189,85738,3027,78752,3118,6986,1396,41730,2990,11921,1215,1755,659,1755,659,0,189,10166,1248,2245,null,null,2149,null,null,2144,null,null,2723,null,null,303,null,null,2727,null,null,2736,null,null,1579,null,null,2286,null,null,961,null,null,684,null,null,675,null,null,124,null,null,949,null,null,2058,null,null,2206,null,null,3027,null,null,189,null,null,3027,null,null,3118,null,null,1396,null,null,2990,null,null,1215,null,null,659,null,null,659,null,null,189,null,null,1248,null,null,39
257629,1227,136315,1234,130087,1177,104769,2616,1951,694,102818,2541,96494,2769,6324,1238,25318,2545,6228,743,2103,624,2103,624,0,159,4125,637,121314,1026,113470,1041,70120,2597,715,432,69405,2698,63697,2547,5708,1183,43350,2787,7844,795,1315,516,1315,516,0,159,6529,762,1227,null,null,1234,null,null,1177,null,null,2616,null,null,694,null,null,2541,null,null,2769,null,null,1238,null,null,2545,null,null,743,null,null,624,null,null,624,null,null,159,null,null,637,null,null,1026,null,null,1041,null,null,2597,null,null,432,null,null,2698,null,null,2547,null,null,1183,null,null,2787,null,null,795,null,null,516,null,null,516,null,null,159,null,null,762,null,null,40
353516,2076,183874,1754,173719,1750,143436,2877,47,76,143389,2883,134385,3251,9004,1984,30283,2959,10155,1001,3521,906,3392,913,129,118,6634,1049,169642,2097,158295,2233,110008,3032,3,18,110005,3032,102638,3287,7367,1864,48287,3310,11347,737,2391,758,2176,744,215,210,8956,884,2076,null,null,1754,null,null,1750,null,null,2877,null,null,76,null,null,2883,null,null,3251,null,null,1984,null,null,2959,null,null,1001,null,null,906,null,null,913,null,null,118,null,null,1049,null,null,2097,null,null,2233,null,null,3032,null,null,18,null,null,3032,null,null,3287,null,null,1864,null,null,3310,null,null,737,null,null,758,null,null,744,null,null,210,null,null,884,null,null,41
620104,2484,316888,2327,295451,2281,210623,4667,342,294,210281,4630,190299,4828,19982,2374,84828,4651,21437,978,4466,952,4239,950,227,196,16971,1152,303216,1997,278265,2124,178787,4648,171,176,178616,4634,156137,4896,22479,2603,99478,4719,24951,936,3587,936,3278,876,309,353,21364,1198,2484,null,null,2327,null,null,2281,null,null,4667,null,null,294,null,null,4630,null,null,4828,null,null,2374,null,null,4651,null,null,978,null,null,952,null,null,950,null,null,196,null,null,1152,null,null,1997,null,null,2124,null,null,4648,null,null,176,null,null,4634,null,null,4896,null,null,2603,null,null,4719,null,null,936,null,null,936,null,null,876,null,null,353,null,null,1198,null,null,42
110910,994,53685,974,50205,920,35321,1729,90,195,35231,1689,33087,1775,2144,776,14884,1715,3480,188,947,566,947,566,0,208,2533,586,57225,741,52303,977,36774,1676,0,208,36774,1676,33378,1871,3396,1057,15529,1593,4922,625,666,451,468,398,198,198,4256,654,994,null,null,974,null,null,920,null,null,1729,null,null,195,null,null,1689,null,null,1775,null,null,776,null,null,1715,null,null,188,null,null,566,null,null,566,null,null,208,null,null,586,null,null,741,null,null,977,null,null,1676,null,null,208,null,null,1676,null,null,1871,null,null,1057,null,null,1593,null,null,625,null,null,451,null,null,398,null,null,198,null,null,654,null,null,44
182980,2955,96304,2061,91505,2247,76791,2445,3098,1052,73693,2569,70815,2468,2878,1093,14714,1900,4799,1040,890,491,890,491,0,207,3909,951,86676,2413,79376,2654,47978,2633,1069,481,46909,2669,43391,2561,3518,1012,31398,2664,7300,1074,1130,479,1130,479,0,207,6170,1152,2955,null,null,2061,null,null,2247,null,null,2445,null,null,1052,null,null,2569,null,null,2468,null,null,1093,null,null,1900,null,null,1040,null,null,491,null,null,491,null,null,207,null,null,951,null,null,2413,null,null,2654,null,null,2633,null,null,481,null,null,2669,null,null,2561,null,null,1012,null,null,2664,null,null,1074,null,null,479,null,null,479,null,null,207,null,null,1152,null,null,45
19770,1421,11056,1176,10905,1208,9472,1185,199,171,9273,1151,7871,1212,1402,550,1433,536,151,137,66,76,66,76,0,157,85,116,8714,1001,7820,948,5020,909,95,140,4925,885,4473,1023,452,480,2800,713,894,475,120,162,120,162,0,157,774,462,1421,null,null,1176,null,null,1208,null,null,1185,null,null,171,null,null,1151,null,null,1212,null,null,550,null,null,536,null,null,137,null,null,76,null,null,76,null,null,157,null,null,116,null,null,1001,null,null,948,null,null,909,null,null,140,null,null,885,null,null,1023,null,null,480,null,null,713,null,null,475,null,null,162,null,null,162,null,null,157,null,null,462,null,null,46
220187,2436,116422,2569,111799,2582,94467,2439,2619,1015,91848,2583,89396,2645,2452,821,17332,2629,4623,868,1248,631,1156,624,92,190,3375,827,103765,2265,97204,2264,59117,3548,77,96,59040,3544,54947,3578,4093,1028,38087,2553,6561,1030,622,467,622,467,0,204,5939,1004,2436,null,null,2569,null,null,2582,null,null,2439,null,null,1015,null,null,2583,null,null,2645,null,null,821,null,null,2629,null,null,868,null,null,631,null,null,624,null,null,190,null,null,827,null,null,2265,null,null,2264,null,null,3548,null,null,96,null,null,3544,null,null,3578,null,null,1028,null,null,2553,null,null,1030,null,null,467,null,null,467,null,null,204,null,null,1004,null,null,47
7667020,7702,3836345,6018,3507531,6697,2800705,13472,13572,1995,2787133,13565,2635191,15627,151942,8230,706826,13861,328814,2114,75682,4279,72503,4188,3179,990,253132,4382,3830675,5485,3406162,5639,2125669,16842,2351,940,2123318,16669,1985670,16162,137648,7044,1280493,18111,424513,2021,56604,3527,54543,3500,2061,731,367909,3969,7702,null,null,6018,null,null,6697,null,null,13472,null,null,1995,null,null,13565,null,null,15627,null,null,8230,null,null,13861,null,null,2114,null,null,4279,null,null,4188,null,null,990,null,null,4382,null,null,5485,null,null,5639,null,null,16842,null,null,940,null,null,16669,null,null,16162,null,null,7044,null,null,18111,null,null,2021,null,null,3527,null,null,3500,null,null,731,null,null,3969,null,null,48
277634,1576,142393,1687,135337,1914,114999,3091,946,572,114053,3038,109305,3066,4748,1116,20338,2687,7056,777,2546,733,2546,733,0,190,4510,694,135241,1764,125860,1785,89021,3802,0,190,89021,3802,85054,3927,3967,918,36839,3670,9381,1113,1220,537,1220,537,0,190,8161,1243,1576,null,null,1687,null,null,1914,null,null,3091,null,null,572,null,null,3038,null,null,3066,null,null,1116,null,null,2687,null,null,777,null,null,733,null,null,733,null,null,190,null,null,694,null,null,1764,null,null,1785,null,null,3802,null,null,190,null,null,3802,null,null,3927,null,null,918,null,null,3670,null,null,1113,null,null,537,null,null,537,null,null,190,null,null,1243,null,null,49
