C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,C27001I_001M,C27001I_001EA,C27001I_001MA,C27001I_002M,C27001I_002EA,C27001I_002MA,C27001I_003M,C27001I_003EA,C27001I_003MA,C27001I_004M,C27001I_004EA,C27001I_004MA,C27001I_005M,C27001I_005EA,C27001I_005MA,C27001I_006M,C27001I_006EA,C27001I_006MA,C27001I_007M,C27001I_007EA,C27001I_007MA,C27001I_008M,C27001I_008EA,C27001I_008MA,C27001I_009M,C27001I_009EA,C27001I_009MA,C27001I_010M,C27001I_010EA,C27001I_010MA,state
200437,686,81181,674,71052,2404,10129,2333,112392,1364,74707,4520,37685,4236,6864,995,6631,973,233,242,686,null,null,674,null,null,2404,null,null,2333,null,null,1364,null,null,4520,null,null,4236,null,null,995,null,null,973,null,null,242,null,null,31
829202,850,276481,107,250086,3942,26395,3951,506569,1260,358036,7842,148533,7767,46152,943,42657,1284,3495,1102,850,null,null,107,null,null,3942,null,null,3951,null,null,1260,null,null,7842,null,null,7767,null,null,943,null,null,1284,null,null,1102,null,null,32
45698,950,15175,530,14551,776,624,540,28605,1049,24211,1575,4394,1552,1918,701,1918,701,0,187,950,null,null,530,null,null,776,null,null,540,null,null,1049,null,null,1575,null,null,1552,null,null,701,null,null,701,null,null,187,null,null,33
1770105,2291,520307,609,485361,4382,34946,4471,1120034,2017,811447,13184,308587,12829,129764,980,123832,1597,5932,1379,2291,null,null,609,null,null,4382,null,null,4471,null,null,2017,null,null,13184,null,null,12829,null,null,980,null,null,1597,null,null,1379,null,null,34
993888,1120,294380,181,280631,2563,13749,2559,590352,1342,497989,6638,92363,6438,109156,894,108001,1097,1155,621,1120,null,null,181,null,null,2563,null,null,2559,null,null,1342,null,null,6638,null,null,6438,null,null,894,null,null,1097,null,null,621,null,null,35
3708814,2597,1025327,1092,1001377,3518,23950,3414,2363328,2761,1956354,14986,406974,15358,320159,1567,313850,2488,6309,1861,2597,null,null,1092,null,null,3518,null,null,3414,null,null,2761,null,null,14986,null,null,15358,null,null,1567,null,null,2488,null,null,1861,null,null,36
915195,1876,359112,2971,320097,5548,39015,4623,525083,4221,295177,9162,229906,8935,31000,2599,29135,2667,1865,656,1876,null,null,2971,null,null,5548,null,null,4623,null,null,4221,null,null,9162,null,null,8935,null,null,2599,null,null,2667,null,null,656,null,null,37
24899,1968,9946,992,8804,1013,1142,811,14047,1674,10738,1764,3309,1112,906,572,906,572,0,155,1968,null,null,992,null,null,1013,null,null,811,null,null,1674,null,null,1764,null,null,1112,null,null,572,null,null,572,null,null,155,null,null,38
413927,1797,153040,1854,144890,2896,8150,2252,239883,2216,189195,4527,50688,4118,21004,1812,20617,1703,387,376,1797,null,null,1854,null,null,2896,null,null,2252,null,null,2216,null,null,4527,null,null,4118,null,null,1812,null,null,1703,null,null,376,null,null,39
395218,1313,159948,538,146927,2250,13021,2104,221449,1696,129417,4225,92032,3978,13821,957,12669,968,1152,623,1313,null,null,538,null,null,2250,null,null,2104,null,null,1696,null,null,4225,null,null,3978,null,null,957,null,null,968,null,null,623,null,null,40
517665,1179,189409,775,179610,2793,9799,2598,306965,1612,239996,5740,66969,5754,21291,1126,20083,1200,1208,671,1179,null,null,775,null,null,2793,null,null,2598,null,null,1612,null,null,5740,null,null,5754,null,null,1126,null,null,1200,null,null,671,null,null,41
879607,2264,310299,1288,292433,3980,17866,3837,524871,2384,423208,7999,101663,7839,44437,1412,43305,1522,1132,602,2264,null,null,1288,null,null,3980,null,null,3837,null,null,2384,null,null,7999,null,null,7839,null,null,1412,null,null,1522,null,null,602,null,null,42
155922,417,51605,519,50401,832,1204,631,96233,785,81366,2856,14867,2646,8084,773,7930,806,154,190,417,null,null,519,null,null,832,null,null,631,null,null,785,null,null,2856,null,null,2646,null,null,773,null,null,806,null,null,190,null,null,44
264992,3600,99697,2301,91551,3208,8146,2210,153402,2696,83739,4882,69663,4989,11893,1467,11299,1547,594,522,3600,null,null,2301,null,null,3208,null,null,2210,null,null,2696,null,null,4882,null,null,4989,null,null,1467,null,null,1547,null,null,522,null,null,45
31171,1507,13460,893,12660,903,800,491,16666,1290,11262,1432,5404,1369,1045,497,1043,497,2,6,1507,null,null,893,null,null,903,null,null,491,null,null,1290,null,null,1432,null,null,1369,null,null,497,null,null,497,null,null,6,null,null,46
342661,2508,139747,2012,124797,3604,14950,2889,191783,2680,102481,4972,89302,4733,11131,1476,10807,1502,324,291,2508,null,null,2012,null,null,3604,null,null,2889,null,null,2680,null,null,4972,null,null,4733,null,null,1476,null,null,1502,null,null,291,null,null,47
10740382,4414,3593394,1044,3141566,17076,451828,17068,6412853,5413,4075938,31403,2336915,31299,734135,3851,695609,5307,38526,4010,4414,null,null,1044,null,null,17076,null,null,17068,null,null,5413,null,null,31403,null,null,31299,null,null,3851,null,null,5307,null,null,4010,null,null,48
415788,895,158700,807,139587,3802,19113,3733,240969,1683,165166,5779,75803,5465,16119,1392,14912,1556,1207,686,895,null,null,807,null,null,3802,null,null,3733,null,null,1683,null,null,5779,null,null,5465,null,null,1392,null,null,1556,null,null,686,null,null,49
12471,1057,3751,906,3727,906,24,38,7722,750,7063,702,659,452,998,407,998,407,0,151,1057,null,null,906,null,null,906,null,null,38,null,null,750,null,null,702,null,null,452,null,null,407,null,null,407,null,null,151,null,null,50
743395,3975,243588,2920,213188,5711,30400,5134,469798,3518,314736,8532,155062,7899,30009,2052,27976,2025,2033,920,3975,null,null,2920,null,null,5711,null,null,5134,null,null,3518,null,null,8532,null,null,7899,null,null,2052,null,null,2025,null,null,920,null,null,51
895208,1677,340751,663,327583,3444,13168,3433,519858,2439,387131,7638,132727,7536,34599,1516,32965,1769,1634,786,1677,null,null,663,null,null,3444,null,null,3433,null,null,2439,null,null,7638,null,null,7536,null,null,1516,null,null,1769,null,null,786,null,null,53
25383,2456,9405,1716,9228,1734,177,204,13696,1354,10870,1269,2826,896,2282,769,2282,769,0,193,2456,null,null,1716,null,null,1734,null,null,204,null,null,1354,null,null,1269,null,null,896,null,null,769,null,null,769,null,null,193,null,null,54
382250,1033,148412,986,140680,1897,7732,1521,218545,1674,164064,4680,54481,4539,15293,1130,14581,1301,712,485,1033,null,null,986,null,null,1897,null,null,1521,null,null,1674,null,null,4680,null,null,4539,null,null,1130,null,null,1301,null,null,485,null,null,55
55179,791,19528,834,15676,1647,3852,1894,31054,1163,24147,1953,6907,1483,4597,747,4560,745,37,67,791,null,null,834,null,null,1647,null,null,1894,null,null,1163,null,null,1953,null,null,1483,null,null,747,null,null,745,null,null,67,null,null,56
3340237,5300,686365,2600,667071,3610,19294,2969,2020390,3721,1839583,9303,180807,8994,633482,1250,628840,1657,4642,1089,5300,null,null,2600,null,null,3610,null,null,2969,null,null,3721,null,null,9303,null,null,8994,null,null,1250,null,null,1657,null,null,1089,null,null,72
197020,1815,79234,2004,73047,2335,6187,1692,109328,2662,61293,4351,48035,3555,8458,1705,7276,1550,1182,770,1815,null,null,2004,null,null,2335,null,null,1692,null,null,2662,null,null,4351,null,null,3555,null,null,1705,null,null,1550,null,null,770,null,null,01
48324,700,17293,449,15826,935,1467,861,30161,932,23993,1642,6168,1702,870,391,761,366,109,150,700,null,null,449,null,null,935,null,null,861,null,null,932,null,null,1642,null,null,1702,null,null,391,null,null,366,null,null,150,null,null,02
2107154,2370,713919,274,642119,6867,71800,6844,1252271,2349,967321,11993,284950,11734,140964,842,136921,1256,4043,992,2370,null,null,274,null,null,6867,null,null,6844,null,null,2349,null,null,11993,null,null,11734,null,null,842,null,null,1256,null,null,992,null,null,04
212283,1430,84991,1854,77860,2564,7131,1697,119501,1928,76977,3863,42524,3507,7791,1486,6669,1534,1122,743,1430,null,null,1854,null,null,2564,null,null,1697,null,null,1928,null,null,3863,null,null,3507,null,null,1486,null,null,1534,null,null,743,null,null,05
15122149,5720,4716612,969,4542841,11142,173771,11039,9372911,5703,7741149,28512,1631762,28317,1032626,2201,1001882,3903,30744,3256,5720,null,null,969,null,null,11142,null,null,11039,null,null,5703,null,null,28512,null,null,28317,null,null,2201,null,null,3903,null,null,3256,null,null,06
1160443,1934,391274,616,364214,5263,27060,5367,695415,2368,530815,8055,164600,7795,73754,1648,70773,1775,2981,1161,1934,null,null,616,null,null,5263,null,null,5367,null,null,2368,null,null,8055,null,null,7795,null,null,1648,null,null,1775,null,null,1161,null,null,08
554728,1118,176076,404,168913,2282,7163,2314,346445,1151,286042,6186,60403,6153,32207,681,31482,888,725,578,1118,null,null,404,null,null,2282,null,null,2314,null,null,1151,null,null,6186,null,null,6153,null,null,681,null,null,888,null,null,578,null,null,09
86365,228,31572,101,30476,559,1096,556,51020,531,38574,2372,12446,2339,3773,514,3773,514,0,193,228,null,null,101,null,null,559,null,null,556,null,null,531,null,null,2372,null,null,2339,null,null,514,null,null,514,null,null,193,null,null,10
73906,240,19614,40,18443,949,1171,946,50117,241,43254,1531,6863,1526,4175,4,4032,183,143,183,240,null,null,40,null,null,949,null,null,946,null,null,241,null,null,1531,null,null,1526,null,null,4,null,null,183,null,null,183,null,null,11
