C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,C17010I_001M,C17010I_001EA,C17010I_001MA,C17010I_002M,C17010I_002EA,C17010I_002MA,C17010I_003M,C17010I_003EA,C17010I_003MA,C17010I_004M,C17010I_004EA,C17010I_004MA,C17010I_005M,C17010I_005EA,C17010I_005MA,C17010I_006M,C17010I_006EA,C17010I_006MA,C17010I_007M,C17010I_007EA,C17010I_007MA,C17010I_008M,C17010I_008EA,C17010I_008MA,C17010I_009M,C17010I_009EA,C17010I_009MA,C17010I_010M,C17010I_010EA,C17010I_010MA,C17010I_011M,C17010I_011EA,C17010I_011MA,C17010I_012M,C17010I_012EA,C17010I_012MA,C17010I_013M,C17010I_013EA,C17010I_013MA,C17010I_014M,C17010I_014EA,C17010I_014MA,C17010I_015M,C17010I_015EA,C17010I_015MA,C17010I_016M,C17010I_016EA,C17010I_016MA,C17010I_017M,C17010I_017EA,C17010I_017MA,state
3932,918,401,260,78,64,78,64,323,252,84,118,84,118,239,235,239,235,3531,936,2340,654,985,541,1191,716,506,526,21,40,685,487,626,495,918,null,null,260,null,null,64,null,null,64,null,null,252,null,null,118,null,null,118,null,null,235,null,null,235,null,null,936,null,null,654,null,null,541,null,null,716,null,null,526,null,null,40,null,null,487,null,null,495,null,null,23
108542,3898,11327,1798,4373,1172,3695,1138,6954,1403,1587,704,1587,704,5367,1307,4987,1291,97215,3816,64568,4148,43126,3296,32647,3008,14603,2055,8993,1524,18044,2415,12087,1882,3898,null,null,1798,null,null,1172,null,null,1138,null,null,1403,null,null,704,null,null,704,null,null,1307,null,null,1291,null,null,3816,null,null,4148,null,null,3296,null,null,3008,null,null,2055,null,null,1524,null,null,2415,null,null,1882,null,null,24
161026,4186,39419,2685,8093,1508,4415,1159,31326,2690,3566,1231,2487,1091,27760,2848,25197,2625,121607,4683,65459,3601,39703,2629,56148,4147,16700,2349,9577,1853,39448,3353,27471,2742,4186,null,null,2685,null,null,1508,null,null,1159,null,null,2690,null,null,1231,null,null,1091,null,null,2848,null,null,2625,null,null,4683,null,null,3601,null,null,2629,null,null,4147,null,null,2349,null,null,1853,null,null,3353,null,null,2742,null,null,25
95346,2638,17947,1831,6200,1196,5362,1102,11747,1812,2148,767,1706,641,9599,1618,9057,1634,77399,3005,53833,3226,32487,2736,23566,2486,8068,1313,4876,1140,15498,1871,10705,1611,2638,null,null,1831,null,null,1196,null,null,1102,null,null,1812,null,null,767,null,null,641,null,null,1618,null,null,1634,null,null,3005,null,null,3226,null,null,2736,null,null,2486,null,null,1313,null,null,1140,null,null,1871,null,null,1611,null,null,26
52530,2254,8941,1460,3545,1106,3051,1034,5396,1313,517,332,386,326,4879,1281,4715,1188,43589,2354,27070,2009,18684,1712,16519,1831,7090,1317,5115,1089,9429,1349,6597,1317,2254,null,null,1460,null,null,1106,null,null,1034,null,null,1313,null,null,332,null,null,326,null,null,1281,null,null,1188,null,null,2354,null,null,2009,null,null,1712,null,null,1831,null,null,1317,null,null,1089,null,null,1349,null,null,1317,null,null,27
15264,1739,3603,1058,1885,680,1263,568,1718,780,246,239,246,239,1472,722,1399,736,11661,1554,8301,1478,5640,1329,3360,1031,2031,847,1374,799,1329,623,1013,539,1739,null,null,1058,null,null,680,null,null,568,null,null,780,null,null,239,null,null,239,null,null,722,null,null,736,null,null,1554,null,null,1478,null,null,1329,null,null,1031,null,null,847,null,null,799,null,null,623,null,null,539,null,null,28
48202,2343,11560,1884,5284,1439,4312,1055,6276,1414,1096,601,818,565,5180,1303,4910,1293,36642,2039,27618,1964,16808,2005,9024,1253,2910,988,2118,800,6114,1041,3711,855,2343,null,null,1884,null,null,1439,null,null,1055,null,null,1414,null,null,601,null,null,565,null,null,1303,null,null,1293,null,null,2039,null,null,1964,null,null,2005,null,null,1253,null,null,988,null,null,800,null,null,1041,null,null,855,null,null,29
5656,926,1399,591,573,410,70,112,826,493,159,233,159,233,667,447,667,447,4257,798,3648,775,2157,715,609,274,179,129,75,69,430,272,157,152,926,null,null,591,null,null,410,null,null,112,null,null,493,null,null,233,null,null,233,null,null,447,null,null,447,null,null,798,null,null,775,null,null,715,null,null,274,null,null,129,null,null,69,null,null,272,null,null,152,null,null,30
39666,2107,8087,1403,3288,1009,3113,1016,4799,980,565,329,565,329,4234,946,3807,942,31579,2030,22671,1904,16386,1717,8908,1380,3485,923,2217,820,5423,1007,4526,1026,2107,null,null,1403,null,null,1009,null,null,1016,null,null,980,null,null,329,null,null,329,null,null,946,null,null,942,null,null,2030,null,null,1904,null,null,1717,null,null,1380,null,null,923,null,null,820,null,null,1007,null,null,1026,null,null,31
163684,4156,27436,2648,9879,1585,7793,1431,17557,2120,2335,834,1975,793,15222,1985,13860,1896,136248,4141,89120,4168,55529,3374,47128,3105,20084,2288,11706,1598,27044,2318,16983,1806,4156,null,null,2648,null,null,1585,null,null,1431,null,null,2120,null,null,834,null,null,793,null,null,1985,null,null,1896,null,null,4141,null,null,4168,null,null,3374,null,null,3105,null,null,2288,null,null,1598,null,null,2318,null,null,1806,null,null,32
9542,1098,784,494,54,74,12,19,730,496,48,88,48,88,682,481,682,481,8758,1125,5587,1101,3932,946,3171,885,674,378,484,345,2497,851,1864,854,1098,null,null,494,null,null,74,null,null,19,null,null,496,null,null,88,null,null,88,null,null,481,null,null,481,null,null,1125,null,null,1101,null,null,946,null,null,885,null,null,378,null,null,345,null,null,851,null,null,854,null,null,33
388219,5788,62713,4099,18032,2220,12859,2185,44681,3434,7780,1130,6299,1163,36901,3240,34386,3306,325506,5231,210815,4942,119497,4954,114691,5093,39970,3193,22032,2556,74721,4404,45012,3506,5788,null,null,4099,null,null,2220,null,null,2185,null,null,3434,null,null,1130,null,null,1163,null,null,3240,null,null,3306,null,null,5231,null,null,4942,null,null,4954,null,null,5093,null,null,3193,null,null,2556,null,null,4404,null,null,3506,null,null,34
212408,4853,43721,3350,16579,2071,11776,1685,27142,2605,5070,1320,4709,1252,22072,2686,20006,2488,168687,5199,116603,5342,54397,4002,52084,3802,18272,2390,8901,1664,33812,3193,19208,2281,4853,null,null,3350,null,null,2071,null,null,1685,null,null,2605,null,null,1320,null,null,1252,null,null,2686,null,null,2488,null,null,5199,null,null,5342,null,null,4002,null,null,3802,null,null,2390,null,null,1664,null,null,3193,null,null,2281,null,null,35
771954,9830,168200,6002,50756,4016,36014,2832,117444,5153,16040,2098,12013,1936,101404,4534,82406,4009,603754,10323,350326,8688,190437,6482,253428,7552,76604,5070,38387,3756,176824,5681,99691,5350,9830,null,null,6002,null,null,4016,null,null,2832,null,null,5153,null,null,2098,null,null,1936,null,null,4534,null,null,4009,null,null,10323,null,null,8688,null,null,6482,null,null,7552,null,null,5070,null,null,3756,null,null,5681,null,null,5350,null,null,36
182204,5649,43475,3890,20039,3023,17502,2796,23436,2717,3902,1114,3447,1022,19534,2295,18610,2193,138729,5549,101860,5198,67087,3924,36869,3098,16943,2224,10214,1840,19926,2294,13045,2096,5649,null,null,3890,null,null,3023,null,null,2796,null,null,2717,null,null,1114,null,null,1022,null,null,2295,null,null,2193,null,null,5549,null,null,5198,null,null,3924,null,null,3098,null,null,2224,null,null,1840,null,null,2294,null,null,2096,null,null,37
4213,930,881,626,173,187,133,171,708,575,0,155,0,155,708,575,708,575,3332,701,2470,682,1841,681,862,543,561,538,431,522,301,290,288,290,930,null,null,626,null,null,187,null,null,171,null,null,575,null,null,155,null,null,155,null,null,575,null,null,575,null,null,701,null,null,682,null,null,681,null,null,543,null,null,538,null,null,522,null,null,290,null,null,290,null,null,38
81241,2924,19419,2591,5053,1203,3548,1026,14366,2148,3684,1157,3358,1130,10682,1723,10220,1675,61822,2841,39743,3008,20980,2275,22079,2331,7840,1493,4496,1365,14239,1822,10339,1620,2924,null,null,2591,null,null,1203,null,null,1026,null,null,2148,null,null,1157,null,null,1130,null,null,1723,null,null,1675,null,null,2841,null,null,3008,null,null,2275,null,null,2331,null,null,1493,null,null,1365,null,null,1822,null,null,1620,null,null,39
76522,2283,17276,1566,7844,1189,6333,1097,9432,1238,2077,662,1832,644,7355,1038,7103,1032,59246,2543,43672,2805,28563,2471,15574,1861,7621,1125,4817,884,7953,1490,5496,1227,2283,null,null,1566,null,null,1189,null,null,1097,null,null,1238,null,null,662,null,null,644,null,null,1038,null,null,1032,null,null,2543,null,null,2805,null,null,2471,null,null,1861,null,null,1125,null,null,884,null,null,1490,null,null,1227,null,null,40
98818,3508,20200,2627,7774,1870,6981,1816,12426,2246,1243,684,1173,654,11183,2133,10123,1938,78618,3384,56058,3500,34385,2572,22560,2684,9471,2022,5748,1574,13089,1727,9123,1629,3508,null,null,2627,null,null,1870,null,null,1816,null,null,2246,null,null,684,null,null,654,null,null,2133,null,null,1938,null,null,3384,null,null,3500,null,null,2572,null,null,2684,null,null,2022,null,null,1574,null,null,1727,null,null,1629,null,null,41
178068,4526,45993,3202,12089,2082,9758,1882,33904,2939,6949,1660,6000,1640,26955,2613,24719,2614,132075,4501,80516,3973,47189,3587,51559,3585,14832,2370,9545,2079,36727,3074,25153,2779,4526,null,null,3202,null,null,2082,null,null,1882,null,null,2939,null,null,1660,null,null,1640,null,null,2613,null,null,2614,null,null,4501,null,null,3973,null,null,3587,null,null,3585,null,null,2370,null,null,2079,null,null,3074,null,null,2779,null,null,42
31411,1601,6181,1136,2040,722,1643,706,4141,967,395,293,316,279,3746,971,3022,912,25230,1722,13090,1834,8378,1678,12140,1873,2504,967,1386,670,9636,1472,6717,1424,1601,null,null,1136,null,null,722,null,null,706,null,null,967,null,null,293,null,null,279,null,null,971,null,null,912,null,null,1722,null,null,1834,null,null,1678,null,null,1873,null,null,967,null,null,670,null,null,1472,null,null,1424,null,null,44
51436,3031,11388,1855,6810,1546,6349,1568,4578,1128,360,341,298,318,4218,1162,3989,1135,40048,2906,29853,3181,17503,2871,10195,2035,4256,1360,2895,1118,5939,1427,4665,1276,3031,null,null,1855,null,null,1546,null,null,1568,null,null,1128,null,null,341,null,null,318,null,null,1162,null,null,1135,null,null,2906,null,null,3181,null,null,2871,null,null,2035,null,null,1360,null,null,1118,null,null,1427,null,null,1276,null,null,45
5380,851,1060,480,193,145,163,144,867,486,199,191,93,86,668,450,581,444,4320,829,2850,752,1970,676,1470,571,713,458,373,250,757,394,503,295,851,null,null,480,null,null,145,null,null,144,null,null,486,null,null,191,null,null,86,null,null,450,null,null,444,null,null,829,null,null,752,null,null,676,null,null,571,null,null,458,null,null,250,null,null,394,null,null,295,null,null,46
64267,3047,15869,1988,7420,1828,6636,1622,8449,1250,1218,602,1132,575,7231,1210,7071,1206,48398,2902,35903,2778,26154,2516,12495,2007,5946,1341,3596,934,6549,1338,4300,1004,3047,null,null,1988,null,null,1828,null,null,1622,null,null,1250,null,null,602,null,null,575,null,null,1210,null,null,1206,null,null,2902,null,null,2778,null,null,2516,null,null,2007,null,null,1341,null,null,934,null,null,1338,null,null,1004,null,null,47
2305796,15240,463909,11185,202846,8600,153737,7646,261063,8925,39751,3377,30365,2909,221312,8104,200969,8071,1841887,17799,1288450,17576,763517,15123,553437,13078,199384,9235,110089,6643,354053,10556,227116,8786,15240,null,null,11185,null,null,8600,null,null,7646,null,null,8925,null,null,3377,null,null,2909,null,null,8104,null,null,8071,null,null,17799,null,null,17576,null,null,15123,null,null,13078,null,null,9235,null,null,6643,null,null,10556,null,null,8786,null,null,48
81842,3382,13179,1987,5479,1182,4636,1105,7700,1752,2082,989,1832,951,5618,1508,5147,1480,68663,3149,48956,3233,32467,2871,19707,2649,8385,1887,5812,1497,11322,1878,8302,1626,3382,null,null,1987,null,null,1182,null,null,1105,null,null,1752,null,null,989,null,null,951,null,null,1508,null,null,1480,null,null,3149,null,null,3233,null,null,2871,null,null,2649,null,null,1887,null,null,1497,null,null,1878,null,null,1626,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
154704,4692,20799,2593,7064,2014,5804,1943,13735,2176,1707,671,1478,650,12028,2094,11542,2040,133905,4475,94280,4056,61673,4211,39625,3728,18038,2765,11401,2367,21587,2648,14725,2142,4692,null,null,2593,null,null,2014,null,null,1943,null,null,2176,null,null,671,null,null,650,null,null,2094,null,null,2040,null,null,4475,null,null,4056,null,null,4211,null,null,3728,null,null,2765,null,null,2367,null,null,2648,null,null,2142,null,null,51
170903,5161,30346,2877,10320,1744,8484,1666,20026,2248,3708,1050,2849,957,16318,2072,15414,2038,140557,5008,100564,4743,69616,4140,39993,3318,16769,2467,11998,2059,23224,2885,16232,2345,5161,null,null,2877,null,null,1744,null,null,1666,null,null,2248,null,null,1050,null,null,957,null,null,2072,null,null,2038,null,null,5008,null,null,4743,null,null,4140,null,null,3318,null,null,2467,null,null,2059,null,null,2885,null,null,2345,null,null,53
3632,736,1036,494,324,310,201,251,712,425,14,26,14,26,698,424,698,424,2596,567,1829,481,712,263,767,312,408,262,335,234,359,218,292,208,736,null,null,494,null,null,310,null,null,251,null,null,425,null,null,26,null,null,26,null,null,424,null,null,424,null,null,567,null,null,481,null,null,263,null,null,312,null,null,262,null,null,234,null,null,218,null,null,208,null,null,54
74088,2946,15194,2146,5001,1354,4255,1186,10193,1799,2056,844,1588,777,8137,1588,7159,1459,58894,2814,37572,2537,23131,2183,21322,2147,8879,1615,5774,1364,12443,1501,9204,1402,2946,null,null,2146,null,null,1354,null,null,1186,null,null,1799,null,null,844,null,null,777,null,null,1588,null,null,1459,null,null,2814,null,null,2537,null,null,2183,null,null,2147,null,null,1615,null,null,1364,null,null,1501,null,null,1402,null,null,55
10678,1586,1567,693,722,433,451,335,845,519,7,15,7,15,838,519,649,464,9111,1503,5950,1148,3026,895,3161,994,1082,659,1036,654,2079,785,1400,677,1586,null,null,693,null,null,433,null,null,335,null,null,519,null,null,15,null,null,15,null,null,519,null,null,464,null,null,1503,null,null,1148,null,null,895,null,null,994,null,null,659,null,null,654,null,null,785,null,null,677,null,null,56
826362,9581,325876,7574,121834,4134,45929,3406,204042,7228,37332,3319,23067,2737,166710,6638,114664,5453,500486,8705,335480,7861,105437,5075,165006,5659,43985,3195,16520,2368,121021,5321,49629,3447,9581,null,null,7574,null,null,4134,null,null,3406,null,null,7228,null,null,3319,null,null,2737,null,null,6638,null,null,5453,null,null,8705,null,null,7861,null,null,5075,null,null,5659,null,null,3195,null,null,2368,null,null,5321,null,null,3447,null,null,72
37433,2075,11253,1871,6418,1523,6091,1537,4835,1176,940,389,786,344,3895,1114,3857,1117,26180,2251,19978,2040,12421,1863,6202,1342,3270,1103,1816,872,2932,1050,1769,792,2075,null,null,1871,null,null,1523,null,null,1537,null,null,1176,null,null,389,null,null,344,null,null,1114,null,null,1117,null,null,2251,null,null,2040,null,null,1863,null,null,1342,null,null,1103,null,null,872,null,null,1050,null,null,792,null,null,01
7675,1587,1161,605,372,333,298,318,789,513,46,62,46,62,743,513,743,513,6514,1339,4395,1174,2608,947,2119,808,504,374,343,378,1615,644,985,494,1587,null,null,605,null,null,333,null,null,318,null,null,513,null,null,62,null,null,62,null,null,513,null,null,513,null,null,1339,null,null,1174,null,null,947,null,null,808,null,null,374,null,null,378,null,null,644,null,null,494,null,null,02
435032,6089,91681,4640,36719,3247,30697,3069,54962,3469,11369,1763,9352,1682,43593,2975,39615,2956,343351,6595,222831,5881,130951,6090,120520,5059,42496,4161,25966,3211,78024,4472,49163,3622,6089,null,null,4640,null,null,3247,null,null,3069,null,null,3469,null,null,1763,null,null,1682,null,null,2975,null,null,2956,null,null,6595,null,null,5881,null,null,6090,null,null,5059,null,null,4161,null,null,3211,null,null,4472,null,null,3622,null,null,04
42534,2327,9647,1721,5507,1458,4585,1276,4140,1135,858,543,732,508,3282,1085,3189,1071,32887,2476,24409,2568,17369,1950,8478,1541,3132,973,2205,843,5346,1153,3963,1017,2327,null,null,1721,null,null,1458,null,null,1276,null,null,1135,null,null,543,null,null,508,null,null,1085,null,null,1071,null,null,2476,null,null,2568,null,null,1950,null,null,1541,null,null,973,null,null,843,null,null,1153,null,null,1017,null,null,05
3029919,16237,507152,11160,217263,8130,176868,6823,289889,8594,60755,3971,49918,3466,229134,8061,205626,7566,2522767,17067,1719268,16852,1039043,13371,803499,12014,305627,8514,166899,6613,497872,9709,294628,7677,16237,null,null,11160,null,null,8130,null,null,6823,null,null,8594,null,null,3971,null,null,3466,null,null,8061,null,null,7566,null,null,17067,null,null,16852,null,null,13371,null,null,12014,null,null,8514,null,null,6613,null,null,9709,null,null,7677,null,null,06
233277,4975,35910,3153,14904,2021,13049,1895,21006,2632,2805,969,2021,777,18201,2389,16632,2427,197367,5248,140184,5186,87514,4529,57183,4257,20960,2777,12351,2041,36223,3060,25539,2754,4975,null,null,3153,null,null,2021,null,null,1895,null,null,2632,null,null,969,null,null,777,null,null,2389,null,null,2427,null,null,5248,null,null,5186,null,null,4529,null,null,4257,null,null,2777,null,null,2041,null,null,3060,null,null,2754,null,null,08
119384,4093,21567,2450,5025,1254,3101,894,16542,2002,2341,729,1625,649,14201,1802,12582,1686,97817,4114,56910,3694,31439,2360,40907,3526,13674,2437,7597,1818,27233,2769,18779,2312,4093,null,null,2450,null,null,1254,null,null,894,null,null,2002,null,null,729,null,null,649,null,null,1802,null,null,1686,null,null,4114,null,null,3694,null,null,2360,null,null,3526,null,null,2437,null,null,1818,null,null,2769,null,null,2312,null,null,09
18087,1425,4395,1037,1452,682,1195,598,2943,1040,555,438,406,354,2388,916,2025,951,13692,1268,9619,1353,5513,1134,4073,1122,1283,694,912,556,2790,862,1840,716,1425,null,null,1037,null,null,682,null,null,598,null,null,1040,null,null,438,null,null,354,null,null,916,null,null,951,null,null,1268,null,null,1353,null,null,1134,null,null,1122,null,null,694,null,null,556,null,null,862,null,null,716,null,null,10
14289,1491,2518,1027,369,349,330,338,2149,987,155,253,155,253,1994,960,1885,934,11771,1553,7162,1393,4050,1216,4609,963,1777,642,825,506,2832,756,1400,540,1491,null,null,1027,null,null,349,null,null,338,null,null,987,null,null,253,null,null,253,null,null,960,null,null,934,null,null,1553,null,null,1393,null,null,1216,null,null,963,null,null,642,null,null,506,null,null,756,null,null,540,null,null,11
