B12002D_001E,B12002D_001M,B12002D_002E,B12002D_002M,B12002D_003E,B12002D_003M,B12002D_004E,B12002D_004M,B12002D_005E,B12002D_005M,B12002D_006E,B12002D_006M,B12002D_007E,B12002D_007M,B12002D_008E,B12002D_008M,B12002D_009E,B12002D_009M,B12002D_010E,B12002D_010M,B12002D_011E,B12002D_011M,B12002D_012E,B12002D_012M,B12002D_013E,B12002D_013M,B12002D_001M,B12002D_001EA,B12002D_001MA,B12002D_002M,B12002D_002EA,B12002D_002MA,B12002D_003M,B12002D_003EA,B12002D_003MA,B12002D_004M,B12002D_004EA,B12002D_004MA,B12002D_005M,B12002D_005EA,B12002D_005MA,B12002D_006M,B12002D_006EA,B12002D_006MA,B12002D_007M,B12002D_007EA,B12002D_007MA,B12002D_008M,B12002D_008EA,B12002D_008MA,B12002D_009M,B12002D_009EA,B12002D_009MA,B12002D_010M,B12002D_010EA,B12002D_010MA,B12002D_011M,B12002D_011EA,B12002D_011MA,B12002D_012M,B12002D_012EA,B12002D_012MA,B12002D_013M,B12002D_013EA,B12002D_013MA,state
7379,1363,2025,583,1375,425,461,262,0,168,157,287,32,51,5354,1248,2102,1076,2322,777,70,121,443,354,417,394,1363,null,null,583,null,null,425,null,null,262,null,null,168,null,null,287,null,null,51,null,null,1248,null,null,1076,null,null,777,null,null,121,null,null,354,null,null,394,null,null,30
31929,2127,15119,1097,6597,768,7534,1024,30,53,405,265,553,358,16810,1323,4959,748,9771,1121,255,233,1065,401,760,465,2127,null,null,1097,null,null,768,null,null,1024,null,null,53,null,null,265,null,null,358,null,null,1323,null,null,748,null,null,1121,null,null,233,null,null,401,null,null,465,null,null,31
211036,3737,91888,1940,33600,2139,47468,2196,1726,703,1865,594,7229,1480,119148,2867,28570,2393,67341,3207,2354,1011,8527,1217,12356,2142,3737,null,null,1940,null,null,2139,null,null,2196,null,null,703,null,null,594,null,null,1480,null,null,2867,null,null,2393,null,null,3207,null,null,1011,null,null,1217,null,null,2142,null,null,32
26441,1638,12812,1238,4571,1170,7875,925,37,62,0,187,329,237,13629,1081,3519,1196,8460,1005,50,79,744,476,856,586,1638,null,null,1238,null,null,1170,null,null,925,null,null,62,null,null,187,null,null,237,null,null,1081,null,null,1196,null,null,1005,null,null,79,null,null,476,null,null,586,null,null,33
698399,4407,336542,2502,99202,2715,222258,3580,2933,979,4044,841,8105,1531,361857,2644,85690,3514,234770,4238,3624,911,21443,2112,16330,1806,4407,null,null,2502,null,null,2715,null,null,3580,null,null,979,null,null,841,null,null,1531,null,null,2644,null,null,3514,null,null,4238,null,null,911,null,null,2112,null,null,1806,null,null,34
27445,1840,12220,1479,4824,917,6788,1202,0,195,110,123,498,345,15225,1032,3554,880,9893,982,64,77,352,339,1362,652,1840,null,null,1479,null,null,917,null,null,1202,null,null,195,null,null,123,null,null,345,null,null,1032,null,null,880,null,null,982,null,null,77,null,null,339,null,null,652,null,null,35
1404688,9301,658375,5078,235434,5947,385659,5235,5897,1204,10963,1754,20422,2086,746313,5438,227781,5337,417210,6021,11419,1750,52198,3129,37705,2763,9301,null,null,5078,null,null,5947,null,null,5235,null,null,1204,null,null,1754,null,null,2086,null,null,5438,null,null,5337,null,null,6021,null,null,1750,null,null,3129,null,null,2763,null,null,36
219632,3635,104189,2662,37256,3299,61713,2969,779,449,1074,491,3367,1140,115443,2309,28623,2166,73359,2550,1743,687,5218,1218,6500,1289,3635,null,null,2662,null,null,3299,null,null,2969,null,null,449,null,null,491,null,null,1140,null,null,2309,null,null,2166,null,null,2550,null,null,687,null,null,1218,null,null,1289,null,null,37
8030,1414,3684,702,2320,650,1197,366,54,96,0,155,113,156,4346,1024,1242,668,2380,632,0,155,175,175,549,481,1414,null,null,702,null,null,650,null,null,366,null,null,96,null,null,155,null,null,156,null,null,1024,null,null,668,null,null,632,null,null,155,null,null,175,null,null,481,null,null,38
196646,3199,94946,2561,34475,2202,56607,2438,361,217,1047,418,2456,783,101700,2154,26924,2109,63154,2203,933,480,4500,786,6189,1256,3199,null,null,2561,null,null,2202,null,null,2438,null,null,217,null,null,418,null,null,783,null,null,2154,null,null,2109,null,null,2203,null,null,480,null,null,786,null,null,1256,null,null,39
64286,2299,28485,1525,10838,1071,16109,1197,321,273,415,277,802,478,35801,1439,10564,1064,20834,1465,191,173,1791,618,2421,823,2299,null,null,1525,null,null,1071,null,null,1197,null,null,273,null,null,277,null,null,478,null,null,1439,null,null,1064,null,null,1465,null,null,173,null,null,618,null,null,823,null,null,40
144326,3764,65086,2305,23645,1986,36367,1738,521,327,1491,677,3062,883,79240,2491,22214,1905,45803,2205,577,445,5660,1050,4986,1200,3764,null,null,2305,null,null,1986,null,null,1738,null,null,327,null,null,677,null,null,883,null,null,2491,null,null,1905,null,null,2205,null,null,445,null,null,1050,null,null,1200,null,null,41
347765,3425,164336,2738,61511,2632,92408,3196,1732,988,2207,786,6478,1291,183429,2340,54629,2321,105882,3165,3454,950,10868,1444,8596,1477,3425,null,null,2738,null,null,2632,null,null,3196,null,null,988,null,null,786,null,null,1291,null,null,2340,null,null,2321,null,null,3165,null,null,950,null,null,1444,null,null,1477,null,null,42
30665,1810,14360,980,6750,882,6818,955,0,208,79,143,713,488,16305,1177,6477,986,8445,1173,142,215,643,399,598,375,1810,null,null,980,null,null,882,null,null,955,null,null,208,null,null,143,null,null,488,null,null,1177,null,null,986,null,null,1173,null,null,215,null,null,399,null,null,375,null,null,44
63013,2936,27011,2294,8903,1435,15566,1628,153,218,680,427,1709,755,36002,1963,8277,1548,20566,1571,651,370,3141,1096,3367,1060,2936,null,null,2294,null,null,1435,null,null,1628,null,null,218,null,null,427,null,null,755,null,null,1963,null,null,1548,null,null,1571,null,null,370,null,null,1096,null,null,1060,null,null,45
9293,1086,4340,711,2247,619,1588,461,38,64,0,157,467,281,4953,931,1741,857,2603,544,56,94,295,238,258,180,1086,null,null,711,null,null,619,null,null,461,null,null,64,null,null,157,null,null,281,null,null,931,null,null,857,null,null,544,null,null,94,null,null,238,null,null,180,null,null,46
92778,2990,40668,1642,13590,1643,23426,1842,622,578,1141,717,1889,659,52110,2420,13290,1775,32119,1942,178,209,2872,865,3651,953,2990,null,null,1642,null,null,1643,null,null,1842,null,null,578,null,null,717,null,null,659,null,null,2420,null,null,1775,null,null,1942,null,null,209,null,null,865,null,null,953,null,null,47
1046350,8428,502278,5004,164820,4800,309847,5244,4426,1243,7327,1757,15858,2110,544072,5094,135743,4690,336890,6516,7008,1448,30347,2252,34084,3495,8428,null,null,5004,null,null,4800,null,null,5244,null,null,1243,null,null,1757,null,null,2110,null,null,5094,null,null,4690,null,null,6516,null,null,1448,null,null,2252,null,null,3495,null,null,48
58240,2049,28383,1336,12172,1410,13857,1133,459,395,236,126,1659,707,29857,1486,6414,1224,18802,1623,460,727,1491,553,2690,806,2049,null,null,1336,null,null,1410,null,null,1133,null,null,395,null,null,126,null,null,707,null,null,1486,null,null,1224,null,null,1623,null,null,727,null,null,553,null,null,806,null,null,49
7932,808,3152,573,1694,590,1364,574,0,151,94,139,0,151,4780,545,1454,436,2390,567,103,131,431,342,402,360,808,null,null,573,null,null,590,null,null,574,null,null,151,null,null,139,null,null,151,null,null,545,null,null,436,null,null,567,null,null,131,null,null,342,null,null,360,null,null,50
435691,5451,200240,3649,66296,3392,122199,3280,2439,788,2047,695,7259,1475,235451,3121,57667,3211,144864,3924,2905,817,15257,1646,14758,1827,5451,null,null,3649,null,null,3392,null,null,3280,null,null,788,null,null,695,null,null,1475,null,null,3121,null,null,3211,null,null,3924,null,null,817,null,null,1646,null,null,1827,null,null,51
504525,5925,227857,3536,84483,4076,129248,4145,1778,677,4633,1010,7715,1411,276668,3732,70019,3272,161838,4634,4365,1193,19291,1760,21155,2322,5925,null,null,3536,null,null,4076,null,null,4145,null,null,677,null,null,1010,null,null,1411,null,null,3732,null,null,3272,null,null,4634,null,null,1193,null,null,1760,null,null,2322,null,null,53
11677,1365,4761,1072,1153,724,3289,813,0,193,25,43,294,288,6916,1088,2105,860,3800,684,50,89,434,314,527,305,1365,null,null,1072,null,null,724,null,null,813,null,null,193,null,null,43,null,null,288,null,null,1088,null,null,860,null,null,684,null,null,89,null,null,314,null,null,305,null,null,54
119607,2475,57352,1884,24901,1615,29083,1570,624,371,744,375,2000,765,62255,1799,21836,1715,33539,1725,907,514,2230,690,3743,1022,2475,null,null,1884,null,null,1615,null,null,1570,null,null,371,null,null,375,null,null,765,null,null,1799,null,null,1715,null,null,1725,null,null,514,null,null,690,null,null,1022,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
5120,1361,1599,687,530,415,902,508,0,222,104,131,63,101,3521,1059,1155,614,1580,663,101,182,368,252,317,298,1361,null,null,687,null,null,415,null,null,508,null,null,222,null,null,131,null,null,101,null,null,1059,null,null,614,null,null,663,null,null,182,null,null,252,null,null,298,null,null,72
50192,2723,22721,1648,7163,1349,13991,1458,76,118,510,384,981,683,27471,2120,6401,1468,16743,1623,274,293,1995,693,2058,690,2723,null,null,1648,null,null,1349,null,null,1458,null,null,118,null,null,384,null,null,683,null,null,2120,null,null,1468,null,null,1623,null,null,293,null,null,693,null,null,690,null,null,01
37561,2025,16767,1218,5740,1126,9215,1185,388,319,438,350,986,565,20794,1413,6526,1427,11158,1055,175,178,1161,329,1774,538,2025,null,null,1218,null,null,1126,null,null,1185,null,null,319,null,null,350,null,null,565,null,null,1413,null,null,1427,null,null,1055,null,null,178,null,null,329,null,null,538,null,null,02
183756,3406,84596,2352,29680,2064,48974,1963,484,309,1628,648,3830,938,99160,2030,23069,1789,61880,2267,1184,532,5854,1108,7173,1187,3406,null,null,2352,null,null,2064,null,null,1963,null,null,309,null,null,648,null,null,938,null,null,2030,null,null,1789,null,null,2267,null,null,532,null,null,1108,null,null,1187,null,null,04
34375,1927,15702,1263,6316,1208,7926,1144,262,244,295,251,903,379,18673,1519,4255,983,12119,1345,82,169,725,405,1492,815,1927,null,null,1263,null,null,1208,null,null,1144,null,null,244,null,null,251,null,null,379,null,null,1519,null,null,983,null,null,1345,null,null,169,null,null,405,null,null,815,null,null,05
4749402,11873,2212287,7459,800089,10445,1256285,10576,23223,2145,40106,3024,92584,5035,2537115,7320,711924,12363,1410439,13594,36381,2940,208549,5492,169822,6473,11873,null,null,7459,null,null,10445,null,null,10576,null,null,2145,null,null,3024,null,null,5035,null,null,7320,null,null,12363,null,null,13594,null,null,2940,null,null,5492,null,null,6473,null,null,06
142601,3272,62747,2017,22053,1810,36425,1932,752,464,1413,667,2104,700,79854,2129,20335,1845,48056,2261,1138,504,4691,933,5634,1143,3272,null,null,2017,null,null,1810,null,null,1932,null,null,464,null,null,667,null,null,700,null,null,2129,null,null,1845,null,null,2261,null,null,504,null,null,933,null,null,1143,null,null,08
130703,2398,60687,1576,20219,1704,38507,1723,224,229,618,313,1119,473,70016,1738,18647,1676,42681,1896,532,401,3731,930,4425,1066,2398,null,null,1576,null,null,1704,null,null,1723,null,null,229,null,null,313,null,null,473,null,null,1738,null,null,1676,null,null,1896,null,null,401,null,null,930,null,null,1066,null,null,09
29647,1286,14764,840,5295,945,9043,740,33,61,0,193,393,257,14883,836,3546,951,10183,1002,0,193,378,313,776,463,1286,null,null,840,null,null,945,null,null,740,null,null,61,null,null,193,null,null,257,null,null,836,null,null,951,null,null,1002,null,null,193,null,null,313,null,null,463,null,null,10
24791,1032,9879,733,5335,841,4253,807,85,152,0,203,206,243,14912,631,7592,802,5161,704,33,55,761,338,1365,582,1032,null,null,733,null,null,841,null,null,807,null,null,152,null,null,203,null,null,243,null,null,631,null,null,802,null,null,704,null,null,55,null,null,338,null,null,582,null,null,11
