B07004G_001E,B07004G_001M,B07004G_002E,B07004G_002M,B07004G_003E,B07004G_003M,B07004G_004E,B07004G_004M,B07004G_005E,B07004G_005M,B07004G_006E,B07004G_006M,B07004G_001M,B07004G_001EA,B07004G_001MA,B07004G_002M,B07004G_002EA,B07004G_002MA,B07004G_003M,B07004G_003EA,B07004G_003MA,B07004G_004M,B07004G_004EA,B07004G_004MA,B07004G_005M,B07004G_005EA,B07004G_005MA,B07004G_006M,B07004G_006EA,B07004G_006MA,state
30219,3387,23301,2926,3831,1474,1686,695,1187,540,214,173,3387,null,null,2926,null,null,1474,null,null,695,null,null,540,null,null,173,null,null,54
135403,7806,105881,7310,17358,2554,6352,1903,4841,1492,971,582,7806,null,null,7310,null,null,2554,null,null,1903,null,null,1492,null,null,582,null,null,55
14788,2055,11385,1890,2539,1104,450,382,360,316,54,85,2055,null,null,1890,null,null,1104,null,null,382,null,null,316,null,null,85,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
81146,6964,65019,5307,10846,3413,3160,1228,1811,680,310,295,6964,null,null,5307,null,null,3413,null,null,1228,null,null,680,null,null,295,null,null,01
62113,5197,49969,4890,8447,2066,2182,745,1300,542,215,280,5197,null,null,4890,null,null,2066,null,null,745,null,null,542,null,null,280,null,null,02
241502,13255,184909,12129,35286,5357,5922,1387,14239,2664,1146,712,13255,null,null,12129,null,null,5357,null,null,1387,null,null,2664,null,null,712,null,null,04
73769,5868,56721,4839,10381,2697,3226,1279,2819,1194,622,492,5868,null,null,4839,null,null,2697,null,null,1279,null,null,1194,null,null,492,null,null,05
1829693,29664,1521183,25842,191130,10035,74098,5918,30207,4318,13075,3028,29664,null,null,25842,null,null,10035,null,null,5918,null,null,4318,null,null,3028,null,null,06
179155,9751,143747,9559,17084,2648,9703,1686,7733,1680,888,461,9751,null,null,9559,null,null,2648,null,null,1686,null,null,1680,null,null,461,null,null,08
108938,7986,89169,7209,12708,2597,2613,980,3674,1213,774,566,7986,null,null,7209,null,null,2597,null,null,980,null,null,1213,null,null,566,null,null,09
25336,3459,19651,3093,3839,2553,351,282,1288,584,207,267,3459,null,null,3093,null,null,2553,null,null,282,null,null,584,null,null,267,null,null,10
16843,2357,13101,2113,1730,798,0,203,1763,616,249,183,2357,null,null,2113,null,null,798,null,null,203,null,null,616,null,null,183,null,null,11
