C01001H_001E,C01001H_001M,C01001H_002E,C01001H_002M,C01001H_003E,C01001H_003M,C01001H_004E,C01001H_004M,C01001H_005E,C01001H_005M,C01001H_006E,C01001H_006M,C01001H_007E,C01001H_007M,C01001H_008E,C01001H_008M,C01001H_009E,C01001H_009M,C01001H_001M,C01001H_001EA,C01001H_001MA,C01001H_002M,C01001H_002EA,C01001H_002MA,C01001H_003M,C01001H_003EA,C01001H_003MA,C01001H_004M,C01001H_004EA,C01001H_004MA,C01001H_005M,C01001H_005EA,C01001H_005MA,C01001H_006M,C01001H_006EA,C01001H_006MA,C01001H_007M,C01001H_007EA,C01001H_007MA,C01001H_008M,C01001H_008EA,C01001H_008MA,C01001H_009M,C01001H_009EA,C01001H_009MA,state
6438334,2989,3143885,2390,620681,2301,1975486,1087,547718,359,3294449,2857,588823,2246,2018422,1362,687204,199,2989,null,null,2390,null,null,2301,null,null,1087,null,null,359,null,null,2857,null,null,2246,null,null,1362,null,null,199,null,null,37
644710,219,328909,553,69173,522,211803,140,47933,25,315801,522,66467,510,191933,98,57401,51,219,null,null,553,null,null,522,null,null,140,null,null,25,null,null,522,null,null,510,null,null,98,null,null,51,null,null,38
9216496,3128,4524535,2430,965698,1656,2828312,1376,730525,314,4691961,2266,913852,1829,2847839,1118,930270,259,3128,null,null,2430,null,null,1656,null,null,1376,null,null,314,null,null,2266,null,null,1829,null,null,1118,null,null,259,null,null,39
2595562,1047,1278173,1229,265786,985,792689,557,219698,181,1317389,1129,251296,1017,794249,549,271844,190,1047,null,null,1229,null,null,985,null,null,557,null,null,181,null,null,1129,null,null,1017,null,null,549,null,null,190,null,null,40
3119464,1806,1534383,1426,284213,1114,963128,869,287042,85,1585081,1381,271791,1005,973024,822,340266,269,1806,null,null,1426,null,null,1114,null,null,869,null,null,85,null,null,1381,null,null,1005,null,null,822,null,null,269,null,null,41
9832127,3145,4811349,2218,924408,1066,3025843,1687,861098,248,5020778,1402,878943,871,3035002,1096,1106833,273,3145,null,null,2218,null,null,1066,null,null,1687,null,null,248,null,null,1402,null,null,871,null,null,1096,null,null,273,null,null,42
768815,2294,369486,1830,61935,1127,240997,780,66554,362,399329,832,59761,527,250677,539,88891,159,2294,null,null,1830,null,null,1127,null,null,780,null,null,362,null,null,832,null,null,527,null,null,539,null,null,159,null,null,44
3161469,2864,1545196,2395,306127,1898,949334,1081,289735,115,1616273,2455,293667,2079,975701,1020,346905,182,2864,null,null,2395,null,null,1898,null,null,1081,null,null,115,null,null,2455,null,null,2079,null,null,1020,null,null,182,null,null,45
713315,376,358152,839,79828,763,218199,377,60125,12,355163,769,74371,763,210367,19,70425,17,376,null,null,839,null,null,763,null,null,377,null,null,12,null,null,769,null,null,763,null,null,19,null,null,17,null,null,46
4929450,2243,2409426,2587,506181,2388,1500457,967,402788,172,2520024,2802,477768,2444,1542773,883,499483,241,2243,null,null,2587,null,null,2388,null,null,967,null,null,172,null,null,2802,null,null,2444,null,null,883,null,null,241,null,null,47
11843864,5014,5869419,4867,1194536,4260,3707652,3010,967231,989,5974445,5450,1130802,4343,3669222,2356,1174421,1378,5014,null,null,4867,null,null,4260,null,null,3010,null,null,989,null,null,5450,null,null,4343,null,null,2356,null,null,1378,null,null,48
2401230,1818,1204972,1062,351076,650,718516,614,135380,71,1196258,1166,331700,705,708873,783,155685,357,1818,null,null,1062,null,null,650,null,null,614,null,null,71,null,null,1166,null,null,705,null,null,783,null,null,357,null,null,49
580616,446,286372,455,54457,447,181773,77,50142,7,294244,477,51210,384,183427,243,59607,90,446,null,null,455,null,null,447,null,null,77,null,null,7,null,null,477,null,null,384,null,null,243,null,null,90,null,null,50
5235564,2770,2586749,2784,516054,2288,1648687,1183,422008,289,2648815,2417,490755,2265,1641423,1174,516637,239,2770,null,null,2784,null,null,2288,null,null,1183,null,null,289,null,null,2417,null,null,2265,null,null,1174,null,null,239,null,null,51
5053546,1957,2519756,1377,477058,1147,1617052,706,425646,169,2533790,1577,452592,1311,1579688,718,501510,285,1957,null,null,1377,null,null,1147,null,null,706,null,null,169,null,null,1577,null,null,1311,null,null,718,null,null,285,null,null,53
1684936,2541,828414,2332,169902,1736,509724,1302,148788,171,856522,2403,162893,1937,514217,739,179412,568,2541,null,null,2332,null,null,1736,null,null,1302,null,null,171,null,null,2403,null,null,1937,null,null,739,null,null,568,null,null,54
4718160,1374,2342715,980,470409,489,1479415,773,392891,142,2375445,763,445576,536,1455485,416,474384,166,1374,null,null,980,null,null,489,null,null,773,null,null,142,null,null,763,null,null,536,null,null,416,null,null,166,null,null,55
494078,768,251532,1181,55769,1168,157158,180,38605,45,242546,1264,52252,1281,147905,316,42389,5,768,null,null,1181,null,null,1168,null,null,180,null,null,45,null,null,1264,null,null,1281,null,null,316,null,null,5,null,null,56
36168,4848,19569,3250,4795,1814,12315,2203,2459,820,16599,2460,2574,1152,11902,2050,2123,746,4848,null,null,3250,null,null,1814,null,null,2203,null,null,820,null,null,2460,null,null,1152,null,null,2050,null,null,746,null,null,72
3197147,1701,1566221,1670,328085,1697,967046,533,271090,281,1630926,2166,307594,1892,981234,697,342098,310,1701,null,null,1670,null,null,1697,null,null,533,null,null,281,null,null,2166,null,null,1892,null,null,697,null,null,310,null,null,01
452757,719,241953,1059,48586,730,163773,878,29594,122,210804,1046,43944,661,139126,936,27734,25,719,null,null,1059,null,null,730,null,null,878,null,null,122,null,null,1046,null,null,661,null,null,936,null,null,25,null,null,02
3834724,2943,1893967,1678,329635,1017,1125323,1153,439009,516,1940757,1799,315044,912,1121652,1313,504061,271,2943,null,null,1678,null,null,1017,null,null,1153,null,null,516,null,null,1799,null,null,912,null,null,1313,null,null,271,null,null,04
2175226,981,1070615,1851,232476,1597,649956,643,188183,179,1104611,1702,216001,1658,656390,478,232220,56,981,null,null,1851,null,null,1597,null,null,643,null,null,179,null,null,1702,null,null,1658,null,null,478,null,null,56,null,null,05
14725729,8629,7355125,5587,1201386,3419,4748384,3122,1405355,832,7370604,4616,1140403,2494,4534372,2899,1695829,946,8629,null,null,5587,null,null,3419,null,null,3122,null,null,832,null,null,4616,null,null,2494,null,null,2899,null,null,946,null,null,06
3796733,1461,1903851,1746,367223,1383,1251844,675,284784,232,1892882,1614,345526,1338,1210728,745,336628,236,1461,null,null,1746,null,null,1383,null,null,675,null,null,232,null,null,1614,null,null,1338,null,null,745,null,null,236,null,null,08
2411769,2753,1175407,1810,216075,654,746149,1589,213183,109,1236362,1387,204409,494,755769,1106,276184,175,2753,null,null,1810,null,null,654,null,null,1589,null,null,109,null,null,1387,null,null,494,null,null,1106,null,null,175,null,null,09
597331,751,289055,364,51889,207,177020,231,60146,182,308276,478,49855,112,185039,438,73382,143,751,null,null,364,null,null,207,null,null,231,null,null,182,null,null,478,null,null,112,null,null,438,null,null,143,null,null,10
247185,552,123555,110,13391,203,97825,110,12339,203,123630,530,13005,149,96957,335,13668,373,552,null,null,110,null,null,203,null,null,110,null,null,203,null,null,530,null,null,149,null,null,335,null,null,373,null,null,11
