C17010B_001E,C17010B_001M,C17010B_002E,C17010B_002M,C17010B_003E,C17010B_003M,C17010B_004E,C17010B_004M,C17010B_005E,C17010B_005M,C17010B_006E,C17010B_006M,C17010B_007E,C17010B_007M,C17010B_008E,C17010B_008M,C17010B_009E,C17010B_009M,C17010B_010E,C17010B_010M,C17010B_011E,C17010B_011M,C17010B_012E,C17010B_012M,C17010B_013E,C17010B_013M,C17010B_014E,C17010B_014M,C17010B_015E,C17010B_015M,C17010B_016E,C17010B_016M,C17010B_017E,C17010B_017M,C17010B_001M,C17010B_001EA,C17010B_001MA,C17010B_002M,C17010B_002EA,C17010B_002MA,C17010B_003M,C17010B_003EA,C17010B_003MA,C17010B_004M,C17010B_004EA,C17010B_004MA,C17010B_005M,C17010B_005EA,C17010B_005MA,C17010B_006M,C17010B_006EA,C17010B_006MA,C17010B_007M,C17010B_007EA,C17010B_007MA,C17010B_008M,C17010B_008EA,C17010B_008MA,C17010B_009M,C17010B_009EA,C17010B_009MA,C17010B_010M,C17010B_010EA,C17010B_010MA,C17010B_011M,C17010B_011EA,C17010B_011MA,C17010B_012M,C17010B_012EA,C17010B_012MA,C17010B_013M,C17010B_013EA,C17010B_013MA,C17010B_014M,C17010B_014EA,C17010B_014MA,C17010B_015M,C17010B_015EA,C17010B_015MA,C17010B_016M,C17010B_016EA,C17010B_016MA,C17010B_017M,C17010B_017EA,C17010B_017MA,state
3151,769,1163,556,675,447,675,447,488,384,76,117,76,117,412,371,412,371,1988,813,848,465,473,312,1140,740,710,643,0,172,430,380,430,380,769,null,null,556,null,null,447,null,null,447,null,null,384,null,null,117,null,null,117,null,null,371,null,null,371,null,null,813,null,null,465,null,null,312,null,null,740,null,null,643,null,null,172,null,null,380,null,null,380,null,null,23
409069,6644,42532,3465,6574,1229,3999,877,35958,3204,5384,1457,4052,1387,30574,2848,25968,2597,366537,6984,197931,5949,94360,4699,168606,6666,35166,3649,19270,2728,133440,6213,76634,4426,6644,null,null,3465,null,null,1229,null,null,877,null,null,3204,null,null,1457,null,null,1387,null,null,2848,null,null,2597,null,null,6984,null,null,5949,null,null,4699,null,null,6666,null,null,3649,null,null,2728,null,null,6213,null,null,4426,null,null,24
109908,3807,19301,2813,3040,889,2134,816,16261,2562,1844,988,1427,950,14417,2139,12774,1900,90607,3312,48244,3009,24664,2541,42363,2916,10000,1757,5707,1325,32363,2410,18461,1953,3807,null,null,2813,null,null,889,null,null,816,null,null,2562,null,null,988,null,null,950,null,null,2139,null,null,1900,null,null,3312,null,null,3009,null,null,2541,null,null,2916,null,null,1757,null,null,1325,null,null,2410,null,null,1953,null,null,25
298551,6081,71503,3743,9280,1453,5810,1115,62223,3682,6410,1176,4721,1076,55813,3565,49010,3377,227048,6000,98766,4587,39082,2997,128282,5218,27315,2755,12162,2069,100967,4454,58050,3479,6081,null,null,3743,null,null,1453,null,null,1115,null,null,3682,null,null,1176,null,null,1076,null,null,3565,null,null,3377,null,null,6000,null,null,4587,null,null,2997,null,null,5218,null,null,2755,null,null,2069,null,null,4454,null,null,3479,null,null,26
61692,2599,15311,2071,3706,1055,3449,1023,11605,2025,1026,554,1026,554,10579,1995,10011,1999,46381,2516,24650,2142,17113,1854,21731,2190,5407,1367,3214,1156,16324,1929,12580,1931,2599,null,null,2071,null,null,1055,null,null,1023,null,null,2025,null,null,554,null,null,554,null,null,1995,null,null,1999,null,null,2516,null,null,2142,null,null,1854,null,null,2190,null,null,1367,null,null,1156,null,null,1929,null,null,1931,null,null,27
254801,6418,72699,5063,12731,1865,7302,1709,59968,4738,4463,1344,2977,1205,55505,4322,47867,3988,182102,6289,99093,4753,42114,3447,83009,4617,16742,1971,7730,1566,66267,4382,38649,3866,6418,null,null,5063,null,null,1865,null,null,1709,null,null,4738,null,null,1344,null,null,1205,null,null,4322,null,null,3988,null,null,6289,null,null,4753,null,null,3447,null,null,4617,null,null,1971,null,null,1566,null,null,4382,null,null,3866,null,null,28
158012,5051,31875,3149,4061,1375,2833,1111,27814,2989,3375,1158,2673,1061,24439,2840,22208,2663,126137,4569,57287,3867,22034,2216,68850,4232,13594,2011,6545,1562,55256,3627,31522,2889,5051,null,null,3149,null,null,1375,null,null,1111,null,null,2989,null,null,1158,null,null,1061,null,null,2840,null,null,2663,null,null,4569,null,null,3867,null,null,2216,null,null,4232,null,null,2011,null,null,1562,null,null,3627,null,null,2889,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
19245,1427,4327,1055,537,336,257,198,3790,1049,432,349,269,271,3358,1033,3207,1036,14918,1542,7536,1210,4634,1104,7382,1297,1579,633,1016,528,5803,1215,4118,1125,1427,null,null,1055,null,null,336,null,null,198,null,null,1049,null,null,349,null,null,271,null,null,1033,null,null,1036,null,null,1542,null,null,1210,null,null,1104,null,null,1297,null,null,633,null,null,528,null,null,1215,null,null,1125,null,null,31
53695,2784,9772,1638,2276,924,1315,713,7496,1389,922,516,922,516,6574,1352,5142,1302,43923,2588,22735,1961,10000,1657,21188,2411,6159,1336,3351,1042,15029,1923,9596,1633,2784,null,null,1638,null,null,924,null,null,713,null,null,1389,null,null,516,null,null,516,null,null,1352,null,null,1302,null,null,2588,null,null,1961,null,null,1657,null,null,2411,null,null,1336,null,null,1042,null,null,1923,null,null,1633,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
257018,5811,36730,3413,5602,1166,3054,992,31128,3221,3437,978,2527,952,27691,3166,22013,2700,220288,5520,115337,4805,58446,3962,104951,4761,22401,2754,10312,1553,82550,3681,47557,2944,5811,null,null,3413,null,null,1166,null,null,992,null,null,3221,null,null,978,null,null,952,null,null,3166,null,null,2700,null,null,5520,null,null,4805,null,null,3962,null,null,4761,null,null,2754,null,null,1553,null,null,3681,null,null,2944,null,null,34
8023,1020,1021,460,493,293,225,182,528,316,53,98,53,98,475,304,404,270,7002,1069,3940,884,2108,775,3062,800,1159,556,440,314,1903,601,948,483,1020,null,null,460,null,null,293,null,null,182,null,null,316,null,null,98,null,null,98,null,null,304,null,null,270,null,null,1069,null,null,884,null,null,775,null,null,800,null,null,556,null,null,314,null,null,601,null,null,483,null,null,35
659545,9372,117657,5521,18203,2378,11259,1857,99454,5025,14333,2450,7985,1897,85121,4397,67461,3967,541888,9693,247953,6243,116487,4438,293935,7914,63885,4510,28301,2924,230050,6623,120298,4898,9372,null,null,5521,null,null,2378,null,null,1857,null,null,5025,null,null,2450,null,null,1897,null,null,4397,null,null,3967,null,null,9693,null,null,6243,null,null,4438,null,null,7914,null,null,4510,null,null,2924,null,null,6623,null,null,4898,null,null,36
496674,9008,98187,4979,15700,2221,8991,1800,82487,4739,10736,1605,7518,1669,71751,4597,61231,4166,398487,8725,219793,7059,86885,4689,178694,6931,32348,3166,16371,2417,146346,5965,88649,5341,9008,null,null,4979,null,null,2221,null,null,1800,null,null,4739,null,null,1605,null,null,1669,null,null,4597,null,null,4166,null,null,8725,null,null,7059,null,null,4689,null,null,6931,null,null,3166,null,null,2417,null,null,5965,null,null,5341,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
324019,5702,86590,4325,12097,1941,7820,1800,74493,4198,8431,1438,6961,1386,66062,3918,59567,3614,237429,5424,116075,4849,47237,3815,121354,4683,24926,2335,13923,2087,96428,4696,59374,4265,5702,null,null,4325,null,null,1941,null,null,1800,null,null,4198,null,null,1438,null,null,1386,null,null,3918,null,null,3614,null,null,5424,null,null,4849,null,null,3815,null,null,4683,null,null,2335,null,null,2087,null,null,4696,null,null,4265,null,null,39
62040,2470,15006,2035,1675,603,1070,542,13331,1942,1725,813,1281,667,11606,1731,10937,1716,47034,2615,25445,1997,12289,1680,21589,2329,5988,1346,3297,1049,15601,1822,9461,1479,2470,null,null,2035,null,null,603,null,null,542,null,null,1942,null,null,813,null,null,667,null,null,1731,null,null,1716,null,null,2615,null,null,1997,null,null,1680,null,null,2329,null,null,1346,null,null,1049,null,null,1822,null,null,1479,null,null,40
13848,1794,2539,917,564,453,507,445,1975,837,77,94,77,94,1898,827,1572,729,11309,1648,7465,1563,3744,1272,3844,1189,921,520,519,405,2923,998,1640,711,1794,null,null,917,null,null,453,null,null,445,null,null,837,null,null,94,null,null,94,null,null,827,null,null,729,null,null,1648,null,null,1563,null,null,1272,null,null,1189,null,null,520,null,null,405,null,null,998,null,null,711,null,null,41
285881,6078,62368,3898,9510,1631,5126,1208,52858,3423,6928,1362,4671,1256,45930,3202,37137,2921,223513,6562,99997,4887,42482,3106,123516,5326,25183,2588,13005,2363,98333,4666,58085,3605,6078,null,null,3898,null,null,1631,null,null,1208,null,null,3423,null,null,1362,null,null,1256,null,null,3202,null,null,2921,null,null,6562,null,null,4887,null,null,3106,null,null,5326,null,null,2588,null,null,2363,null,null,4666,null,null,3605,null,null,42
14302,1501,2637,890,765,561,484,421,1872,732,212,242,212,242,1660,683,1401,615,11665,1336,5994,1099,3707,960,5671,1211,1286,560,758,460,4385,1139,2520,1045,1501,null,null,890,null,null,561,null,null,421,null,null,732,null,null,242,null,null,242,null,null,683,null,null,615,null,null,1336,null,null,1099,null,null,960,null,null,1211,null,null,560,null,null,460,null,null,1139,null,null,1045,null,null,44
298044,6358,59855,4194,9679,1858,5438,1610,50176,3713,6285,1431,4238,1107,43891,3436,36881,3237,238189,6891,123889,5101,48050,3641,114300,6292,24137,2992,10230,2105,90163,5569,49570,3941,6358,null,null,4194,null,null,1858,null,null,1610,null,null,3713,null,null,1431,null,null,1107,null,null,3436,null,null,3237,null,null,6891,null,null,5101,null,null,3641,null,null,6292,null,null,2992,null,null,2105,null,null,5569,null,null,3941,null,null,45
2761,677,746,480,142,245,0,157,604,394,170,246,170,246,434,286,398,280,2015,592,845,362,385,308,1170,568,840,504,633,492,330,307,330,307,677,null,null,480,null,null,245,null,null,157,null,null,394,null,null,246,null,null,246,null,null,286,null,null,280,null,null,592,null,null,362,null,null,308,null,null,568,null,null,504,null,null,492,null,null,307,null,null,307,null,null,46
250298,6291,55165,4126,6954,1474,3667,1044,48211,3738,7305,1600,6124,1489,40906,3509,35153,3424,195133,5967,101200,4780,40070,3093,93933,4784,19180,2274,9164,1743,74753,3955,43983,3832,6291,null,null,4126,null,null,1474,null,null,1044,null,null,3738,null,null,1600,null,null,1489,null,null,3509,null,null,3424,null,null,5967,null,null,4780,null,null,3093,null,null,4784,null,null,2274,null,null,1743,null,null,3955,null,null,3832,null,null,47
748972,11545,129241,6712,21764,2875,12612,2055,107477,6072,13404,2415,10040,1954,94073,5747,82220,5988,619731,11425,336878,9070,164512,7458,282853,8832,61919,5291,30989,3769,220934,7210,134827,6735,11545,null,null,6712,null,null,2875,null,null,2055,null,null,6072,null,null,2415,null,null,1954,null,null,5747,null,null,5988,null,null,11425,null,null,9070,null,null,7458,null,null,8832,null,null,5291,null,null,3769,null,null,7210,null,null,6735,null,null,48
7029,1101,2437,1018,1483,788,1428,778,954,705,248,371,248,371,706,449,549,439,4592,916,2180,590,1294,500,2412,845,1361,689,833,638,1051,595,920,616,1101,null,null,1018,null,null,788,null,null,778,null,null,705,null,null,371,null,null,371,null,null,449,null,null,439,null,null,916,null,null,590,null,null,500,null,null,845,null,null,689,null,null,638,null,null,595,null,null,616,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
363808,6519,53388,4139,8829,1489,5089,1253,44559,3937,6389,1557,4940,1428,38170,3733,33454,3346,310420,6290,182808,5187,78041,3876,127612,5384,26542,2500,13863,1866,101070,4911,57894,3952,6519,null,null,4139,null,null,1489,null,null,1253,null,null,3937,null,null,1557,null,null,1428,null,null,3733,null,null,3346,null,null,6290,null,null,5187,null,null,3876,null,null,5384,null,null,2500,null,null,1866,null,null,4911,null,null,3952,null,null,51
56845,3895,10945,2070,3733,1000,2873,985,7212,1879,1575,837,1091,714,5637,1562,5199,1540,45900,3609,28060,2606,14836,1895,17840,2620,5623,1441,2888,1111,12217,2175,7931,2020,3895,null,null,2070,null,null,1000,null,null,985,null,null,1879,null,null,837,null,null,714,null,null,1562,null,null,1540,null,null,3609,null,null,2606,null,null,1895,null,null,2620,null,null,1441,null,null,1111,null,null,2175,null,null,2020,null,null,53
14650,1653,3696,1115,629,425,169,175,3067,1038,568,515,480,490,2499,760,2112,710,10954,1407,6104,1153,2539,920,4850,1235,1057,598,818,557,3793,1052,1524,736,1653,null,null,1115,null,null,425,null,null,175,null,null,1038,null,null,515,null,null,490,null,null,760,null,null,710,null,null,1407,null,null,1153,null,null,920,null,null,1235,null,null,598,null,null,557,null,null,1052,null,null,736,null,null,54
74212,2851,22259,2430,1863,643,954,420,20396,2388,2813,971,2422,940,17583,2071,15886,2011,51953,2806,20847,1874,9885,1567,31106,2452,6639,1369,4571,1162,24467,2334,16230,2120,2851,null,null,2430,null,null,643,null,null,420,null,null,2388,null,null,971,null,null,940,null,null,2071,null,null,2011,null,null,2806,null,null,1874,null,null,1567,null,null,2452,null,null,1369,null,null,1162,null,null,2334,null,null,2120,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
97589,4526,39993,2945,13951,1466,5964,1181,26042,2546,4285,1061,2979,876,21757,2395,14601,2123,57596,3559,35755,3081,9638,1491,21841,2292,7408,1574,3844,1239,14433,1706,5396,1051,4526,null,null,2945,null,null,1466,null,null,1181,null,null,2546,null,null,1061,null,null,876,null,null,2395,null,null,2123,null,null,3559,null,null,3081,null,null,1491,null,null,2292,null,null,1574,null,null,1239,null,null,1706,null,null,1051,null,null,72
296319,6678,68921,4499,10074,1551,5184,1099,58847,4342,6141,1714,4386,1547,52706,3866,45357,3472,227398,6068,123313,5280,46082,3571,104085,6197,21681,2551,10208,1787,82404,5123,45816,3964,6678,null,null,4499,null,null,1551,null,null,1099,null,null,4342,null,null,1714,null,null,1547,null,null,3866,null,null,3472,null,null,6068,null,null,5280,null,null,3571,null,null,6197,null,null,2551,null,null,1787,null,null,5123,null,null,3964,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
63364,2695,12306,1923,3398,993,1593,686,8908,1647,1288,624,968,506,7620,1398,7019,1368,51058,2719,27652,2806,12267,1584,23406,2614,6738,1661,3815,1346,16668,2219,11852,1863,2695,null,null,1923,null,null,993,null,null,686,null,null,1647,null,null,624,null,null,506,null,null,1398,null,null,1368,null,null,2719,null,null,2806,null,null,1584,null,null,2614,null,null,1661,null,null,1346,null,null,2219,null,null,1863,null,null,04
105282,3382,25592,2486,3614,1196,1979,894,21978,2249,1768,709,1448,671,20210,2311,17222,2093,79690,3534,41202,2943,16486,1984,38488,2865,6567,1302,3106,1007,31921,2612,20549,2149,3382,null,null,2486,null,null,1196,null,null,894,null,null,2249,null,null,709,null,null,671,null,null,2311,null,null,2093,null,null,3534,null,null,2943,null,null,1984,null,null,2865,null,null,1302,null,null,1007,null,null,2612,null,null,2149,null,null,05
478801,8628,82902,5164,14532,2310,9586,1744,68370,4688,10167,1897,6689,1428,58203,4447,47903,4022,395899,7996,206960,6247,91675,4399,188939,7457,45570,4054,23356,2770,143369,5688,76428,4695,8628,null,null,5164,null,null,2310,null,null,1744,null,null,4688,null,null,1897,null,null,1428,null,null,4447,null,null,4022,null,null,7996,null,null,6247,null,null,4399,null,null,7457,null,null,4054,null,null,2770,null,null,5688,null,null,4695,null,null,06
49000,2795,8070,1699,2158,1004,2158,1004,5912,1298,780,580,446,317,5132,1121,3705,988,40930,2807,24128,2369,12823,1936,16802,2273,5153,1135,2376,929,11649,1893,7825,1852,2795,null,null,1699,null,null,1004,null,null,1004,null,null,1298,null,null,580,null,null,317,null,null,1121,null,null,988,null,null,2807,null,null,2369,null,null,1936,null,null,2273,null,null,1135,null,null,929,null,null,1893,null,null,1852,null,null,08
83572,3203,12517,1889,2262,858,1440,744,10255,1818,1122,601,754,403,9133,1746,7784,1612,71055,3004,35144,2749,16076,2154,35911,2946,5625,1352,3080,949,30286,2597,18995,2141,3203,null,null,1889,null,null,858,null,null,744,null,null,1818,null,null,601,null,null,403,null,null,1746,null,null,1612,null,null,3004,null,null,2749,null,null,2154,null,null,2946,null,null,1352,null,null,949,null,null,2597,null,null,2141,null,null,09
46925,2594,6654,1662,972,507,292,241,5682,1531,614,372,421,320,5068,1427,4469,1319,40271,2390,21863,2055,9915,1576,18408,2273,3605,849,2197,771,14803,2120,7801,1514,2594,null,null,1662,null,null,507,null,null,241,null,null,1531,null,null,372,null,null,320,null,null,1427,null,null,1319,null,null,2390,null,null,2055,null,null,1576,null,null,2273,null,null,849,null,null,771,null,null,2120,null,null,1514,null,null,10
60572,2301,13778,1757,1102,598,244,265,12676,1717,828,389,428,275,11848,1670,9492,1573,46794,2210,18391,1936,6829,1384,28403,2707,4880,1274,1846,647,23523,2177,12007,1613,2301,null,null,1757,null,null,598,null,null,265,null,null,1717,null,null,389,null,null,275,null,null,1670,null,null,1573,null,null,2210,null,null,1936,null,null,1384,null,null,2707,null,null,1274,null,null,647,null,null,2177,null,null,1613,null,null,11
