C16002_001E,C16002_001M,C16002_002E,C16002_002M,C16002_003E,C16002_003M,C16002_004E,C16002_004M,C16002_005E,C16002_005M,C16002_006E,C16002_006M,C16002_007E,C16002_007M,C16002_008E,C16002_008M,C16002_009E,C16002_009M,C16002_010E,C16002_010M,C16002_011E,C16002_011M,C16002_012E,C16002_012M,C16002_013E,C16002_013M,C16002_014E,C16002_014M,C16002_001M,C16002_001EA,C16002_001MA,C16002_002M,C16002_002EA,C16002_002MA,C16002_003M,C16002_003EA,C16002_003MA,C16002_004M,C16002_004EA,C16002_004MA,C16002_005M,C16002_005EA,C16002_005MA,C16002_006M,C16002_006EA,C16002_006MA,C16002_007M,C16002_007EA,C16002_007MA,C16002_008M,C16002_008EA,C16002_008MA,C16002_009M,C16002_009EA,C16002_009MA,C16002_010M,C16002_010EA,C16002_010MA,C16002_011M,C16002_011EA,C16002_011MA,C16002_012M,C16002_012EA,C16002_012MA,C16002_013M,C16002_013EA,C16002_013MA,C16002_014M,C16002_014EA,C16002_014MA,state
747562,4452,664644,4873,50914,2378,12809,1720,38105,2463,13114,1422,1552,607,11562,1283,11800,1614,3653,852,8147,1444,7090,1396,1436,568,5654,1405,4452,null,null,4873,null,null,2378,null,null,1720,null,null,2463,null,null,1422,null,null,607,null,null,1283,null,null,1614,null,null,852,null,null,1444,null,null,1396,null,null,568,null,null,1405,null,null,31
1055158,6433,737233,7068,201440,5088,47262,3773,154178,5242,35919,3156,4587,1053,31332,3102,68818,2742,12804,1532,56014,2366,11748,1847,2442,788,9306,1556,6433,null,null,7068,null,null,5088,null,null,3773,null,null,5242,null,null,3156,null,null,1053,null,null,3102,null,null,2742,null,null,1532,null,null,2366,null,null,1847,null,null,788,null,null,1556,null,null,32
520643,5191,467855,5791,13197,1510,1816,790,11381,1459,26239,2221,2730,853,23509,2042,9664,1366,2371,907,7293,1231,3688,1159,1008,604,2680,962,5191,null,null,5791,null,null,1510,null,null,790,null,null,1459,null,null,2221,null,null,853,null,null,2042,null,null,1366,null,null,907,null,null,1231,null,null,1159,null,null,604,null,null,962,null,null,33
3194519,10274,2150643,11540,505070,7209,130540,5830,374530,8462,310033,8415,53119,3464,256914,7924,169559,5341,40097,3249,129462,4857,59214,3586,8648,1432,50566,3192,10274,null,null,11540,null,null,7209,null,null,5830,null,null,8462,null,null,8415,null,null,3464,null,null,7924,null,null,5341,null,null,3249,null,null,4857,null,null,3586,null,null,1432,null,null,3192,null,null,34
758364,6296,465796,6829,228508,5697,30292,3076,198216,5546,14432,1794,956,532,13476,1703,8073,1215,986,532,7087,1055,41555,2208,3158,678,38397,2227,6296,null,null,6829,null,null,5697,null,null,3076,null,null,5546,null,null,1794,null,null,532,null,null,1703,null,null,1215,null,null,532,null,null,1055,null,null,2208,null,null,678,null,null,2227,null,null,35
7209054,17665,4952716,19353,1048915,10639,286191,8928,762724,11355,710612,11138,153252,5286,557360,10331,363650,7141,138098,4445,225552,5943,133161,5313,20305,2249,112856,5120,17665,null,null,19353,null,null,10639,null,null,8928,null,null,11355,null,null,11138,null,null,5286,null,null,10331,null,null,7141,null,null,4445,null,null,5943,null,null,5313,null,null,2249,null,null,5120,null,null,36
3882423,16063,3446912,15646,259019,6376,62187,4074,196832,6282,87771,4449,8202,1508,79569,4316,63835,3558,12500,1621,51335,3397,24886,2636,3566,1414,21320,2469,16063,null,null,15646,null,null,6376,null,null,4074,null,null,6282,null,null,4449,null,null,1508,null,null,4316,null,null,3558,null,null,1621,null,null,3397,null,null,2636,null,null,1414,null,null,2469,null,null,37
315134,3356,293693,3789,6222,1219,528,460,5694,1196,9572,1790,2100,1233,7472,1249,2094,537,129,145,1965,535,3553,1306,1347,1156,2206,743,3356,null,null,3789,null,null,1219,null,null,460,null,null,1196,null,null,1790,null,null,1233,null,null,1249,null,null,537,null,null,145,null,null,535,null,null,1306,null,null,1156,null,null,743,null,null,38
4624669,14929,4261903,14098,122241,4103,21529,2589,100712,3921,134649,5345,18851,1972,115798,5297,56255,3012,13748,2014,42507,2851,49621,3630,8825,1413,40796,3397,14929,null,null,14098,null,null,4103,null,null,2589,null,null,3921,null,null,5345,null,null,1972,null,null,5297,null,null,3012,null,null,2014,null,null,2851,null,null,3630,null,null,1413,null,null,3397,null,null,39
1469342,7193,1313284,7644,96509,2931,22550,1921,73959,3158,18992,1606,1458,517,17534,1666,24917,1528,6002,862,18915,1518,15640,1851,1828,715,13812,1717,7193,null,null,7644,null,null,2931,null,null,1921,null,null,3158,null,null,1606,null,null,517,null,null,1666,null,null,1528,null,null,862,null,null,1518,null,null,1851,null,null,715,null,null,1717,null,null,40
1571678,6691,1333852,7562,125381,4135,22178,2758,103203,4088,53585,3492,6397,1236,47188,3395,48958,2568,9905,1487,39053,2695,9902,1564,1623,636,8279,1473,6691,null,null,7562,null,null,4135,null,null,2758,null,null,4088,null,null,3492,null,null,1236,null,null,3395,null,null,2568,null,null,1487,null,null,2695,null,null,1564,null,null,636,null,null,1473,null,null,41
4937771,13721,4344689,16248,253349,5961,54863,4311,198486,5287,203575,6965,32907,3138,170668,6383,96627,4431,26198,2529,70429,3410,39531,3087,7207,1444,32324,2671,13721,null,null,16248,null,null,5961,null,null,4311,null,null,5287,null,null,6965,null,null,3138,null,null,6383,null,null,4431,null,null,2529,null,null,3410,null,null,3087,null,null,1444,null,null,2671,null,null,42
408239,4139,312270,4953,43896,2485,10838,1800,33058,2353,39115,2890,6060,1222,33055,2748,8566,1329,1923,710,6643,1220,4392,1174,493,330,3899,1056,4139,null,null,4953,null,null,2485,null,null,1800,null,null,2353,null,null,2890,null,null,1222,null,null,2748,null,null,1329,null,null,710,null,null,1220,null,null,1174,null,null,330,null,null,1056,null,null,44
1877887,10574,1738140,10133,78978,3861,19016,2514,59962,3924,34702,3251,3339,1167,31363,2812,19742,2191,3521,984,16221,2346,6325,1760,747,506,5578,1691,10574,null,null,10133,null,null,3861,null,null,2514,null,null,3924,null,null,3251,null,null,1167,null,null,2812,null,null,2191,null,null,984,null,null,2346,null,null,1760,null,null,506,null,null,1691,null,null,45
334003,3659,310106,3445,7482,1170,1431,448,6051,1218,6690,1023,397,284,6293,978,3232,741,1439,642,1793,523,6493,910,1292,634,5201,856,3659,null,null,3445,null,null,1170,null,null,448,null,null,1218,null,null,1023,null,null,284,null,null,978,null,null,741,null,null,642,null,null,523,null,null,910,null,null,634,null,null,856,null,null,46
2556332,11690,2369905,11958,103662,4470,25122,2728,78540,3794,37679,2805,3293,1007,34386,2768,29398,2075,6588,1288,22810,2246,15688,2476,3784,1295,11904,2193,11690,null,null,11958,null,null,4470,null,null,2728,null,null,3794,null,null,2805,null,null,1007,null,null,2768,null,null,2075,null,null,1288,null,null,2246,null,null,2476,null,null,1295,null,null,2193,null,null,47
9535612,20125,6076026,22665,2785842,14554,655059,13872,2130783,17394,260747,8944,28119,3437,232628,8339,306492,6841,71785,4604,234707,6473,106505,6013,17041,2564,89464,5659,20125,null,null,22665,null,null,14554,null,null,13872,null,null,17394,null,null,8944,null,null,3437,null,null,8339,null,null,6841,null,null,4604,null,null,6473,null,null,6013,null,null,2564,null,null,5659,null,null,48
943147,4975,771947,5459,104398,3747,15557,2227,88841,3748,31693,2346,2192,742,29501,2273,26733,2472,3304,930,23429,2373,8376,1292,1047,493,7329,1370,4975,null,null,5459,null,null,3747,null,null,2227,null,null,3748,null,null,2346,null,null,742,null,null,2273,null,null,2472,null,null,930,null,null,2373,null,null,1292,null,null,493,null,null,1370,null,null,49
254851,2815,235881,3405,3222,745,75,110,3147,738,11407,1459,845,334,10562,1426,2538,635,690,440,1848,583,1803,627,501,433,1302,524,2815,null,null,3405,null,null,745,null,null,110,null,null,738,null,null,1459,null,null,334,null,null,1426,null,null,635,null,null,440,null,null,583,null,null,627,null,null,433,null,null,524,null,null,50
3120692,13161,2601131,13615,207664,4990,43758,3338,163906,5235,132230,6080,12664,1760,119566,5871,125679,4102,24014,2302,101665,3624,53988,4667,7947,1515,46041,4262,13161,null,null,13615,null,null,4990,null,null,3338,null,null,5235,null,null,6080,null,null,1760,null,null,5871,null,null,4102,null,null,2302,null,null,3624,null,null,4667,null,null,1515,null,null,4262,null,null,51
2768076,8506,2220535,11202,208853,4940,45811,3727,163042,5835,125155,5571,16129,2272,109026,5028,176145,5468,43076,3229,133069,5039,37388,3371,6931,1356,30457,3250,8506,null,null,11202,null,null,4940,null,null,3727,null,null,5835,null,null,5571,null,null,2272,null,null,5028,null,null,5468,null,null,3229,null,null,5039,null,null,3371,null,null,1356,null,null,3250,null,null,53
722125,5656,697736,5825,9984,1381,1319,591,8665,1345,7842,1547,558,439,7284,1351,4169,1005,581,323,3588,937,2394,791,86,102,2308,801,5656,null,null,5825,null,null,1381,null,null,591,null,null,1345,null,null,1547,null,null,439,null,null,1351,null,null,1005,null,null,323,null,null,937,null,null,791,null,null,102,null,null,801,null,null,54
2326998,7745,2113126,8092,107809,2941,21879,2076,85930,3225,58168,2908,6561,1021,51607,2841,36637,2332,9721,1391,26916,2092,11258,1398,1303,558,9955,1374,7745,null,null,8092,null,null,2941,null,null,2076,null,null,3225,null,null,2908,null,null,1021,null,null,2841,null,null,2332,null,null,1391,null,null,2092,null,null,1398,null,null,558,null,null,1374,null,null,55
223619,4088,202423,3946,12787,1858,2259,823,10528,1560,5034,1119,826,627,4208,905,1793,626,211,216,1582,612,1582,666,0,197,1582,666,4088,null,null,3946,null,null,1858,null,null,823,null,null,1560,null,null,1119,null,null,627,null,null,905,null,null,626,null,null,216,null,null,612,null,null,666,null,null,197,null,null,666,null,null,56
1208438,9900,54173,3515,1151547,9534,809223,9955,342324,8095,1819,607,495,278,1324,531,534,323,311,252,223,202,365,275,76,119,289,249,9900,null,null,3515,null,null,9534,null,null,9955,null,null,8095,null,null,607,null,null,278,null,null,531,null,null,323,null,null,252,null,null,202,null,null,275,null,null,119,null,null,249,null,null,72
1852518,12189,1755289,12100,55293,2923,12337,2010,42956,3128,19140,1899,2099,772,17041,1770,16613,1464,5722,1215,10891,1403,6183,1189,1165,595,5018,1148,12189,null,null,12100,null,null,2923,null,null,2010,null,null,3128,null,null,1899,null,null,772,null,null,1770,null,null,1464,null,null,1215,null,null,1403,null,null,1189,null,null,595,null,null,1148,null,null,01
248468,2841,199950,3697,11267,1485,1152,566,10115,1474,9038,1592,745,409,8293,1454,14688,1378,3409,950,11279,1391,13525,1166,1486,428,12039,1111,2841,null,null,3697,null,null,1485,null,null,566,null,null,1474,null,null,1592,null,null,409,null,null,1454,null,null,1378,null,null,950,null,null,1391,null,null,1166,null,null,428,null,null,1111,null,null,02
2519052,11479,1826923,13866,490932,6793,74579,4457,416353,7909,72422,4163,6572,1316,65850,3970,60003,2951,12000,1574,48003,2836,68772,3615,11420,1323,57352,3343,11479,null,null,13866,null,null,6793,null,null,4457,null,null,7909,null,null,4163,null,null,1316,null,null,3970,null,null,2951,null,null,1574,null,null,2836,null,null,3615,null,null,1323,null,null,3343,null,null,04
1142718,7341,1060044,6973,54435,2921,13711,2204,40724,3083,12003,1662,1022,476,10981,1628,13108,1569,3315,944,9793,1656,3128,899,370,293,2758,890,7341,null,null,6973,null,null,2921,null,null,2204,null,null,3083,null,null,1662,null,null,476,null,null,1628,null,null,1569,null,null,944,null,null,1656,null,null,899,null,null,293,null,null,890,null,null,05
12944178,15703,7244036,26470,3344873,19072,674516,14068,2670357,17736,769689,11453,123222,5422,646467,10059,1427369,11074,379681,8154,1047688,9824,158211,6096,32887,3075,125324,5833,15703,null,null,26470,null,null,19072,null,null,14068,null,null,17736,null,null,11453,null,null,5422,null,null,10059,null,null,11074,null,null,8154,null,null,9824,null,null,6096,null,null,3075,null,null,5833,null,null,06
2108992,7767,1728146,9140,249454,5731,42136,3320,207318,5778,64454,3987,5780,1081,58674,3712,47987,2610,11795,1419,36192,2489,18951,2558,4165,1187,14786,2296,7767,null,null,9140,null,null,5731,null,null,3320,null,null,5778,null,null,3987,null,null,1081,null,null,3712,null,null,2610,null,null,1419,null,null,2489,null,null,2558,null,null,1187,null,null,2296,null,null,08
1357269,7141,1022644,7241,167190,4764,37163,3130,130027,4940,117688,5028,19655,2326,98033,4645,33669,2344,8573,1501,25096,2128,16078,1853,2212,621,13866,1881,7141,null,null,7241,null,null,4764,null,null,3130,null,null,4940,null,null,5028,null,null,2326,null,null,4645,null,null,2344,null,null,1501,null,null,2128,null,null,1853,null,null,621,null,null,1881,null,null,09
351085,3936,302880,4390,23127,1419,5297,1232,17830,1622,11583,1812,1982,703,9601,1598,9925,1147,2336,759,7589,1160,3570,896,65,80,3505,896,3936,null,null,4390,null,null,1419,null,null,1232,null,null,1622,null,null,1812,null,null,703,null,null,1598,null,null,1147,null,null,759,null,null,1160,null,null,896,null,null,80,null,null,896,null,null,10
281241,3152,227743,3439,26008,1775,7264,1429,18744,1769,14268,1915,1119,672,13149,1614,6361,913,954,426,5407,898,6861,1306,1823,774,5038,1057,3152,null,null,3439,null,null,1775,null,null,1429,null,null,1769,null,null,1915,null,null,672,null,null,1614,null,null,913,null,null,426,null,null,898,null,null,1306,null,null,774,null,null,1057,null,null,11
