B10051H_001E,B10051H_001M,B10051H_002E,B10051H_002M,B10051H_003E,B10051H_003M,B10051H_004E,B10051H_004M,B10051H_005E,B10051H_005M,B10051H_006E,B10051H_006M,B10051H_007E,B10051H_007M,B10051H_001M,B10051H_001EA,B10051H_001MA,B10051H_002M,B10051H_002EA,B10051H_002MA,B10051H_003M,B10051H_003EA,B10051H_003MA,B10051H_004M,B10051H_004EA,B10051H_004MA,B10051H_005M,B10051H_005EA,B10051H_005MA,B10051H_006M,B10051H_006EA,B10051H_006MA,B10051H_007M,B10051H_007EA,B10051H_007MA,state
17741,2272,6352,1444,3197,936,3155,921,11389,2045,3865,1137,7524,1641,2272,null,null,1444,null,null,936,null,null,921,null,null,2045,null,null,1137,null,null,1641,null,null,23
56484,4362,22060,3259,12859,2483,9201,1497,34424,2898,14165,1821,20259,2172,4362,null,null,3259,null,null,2483,null,null,1497,null,null,2898,null,null,1821,null,null,2172,null,null,24
74734,5725,20300,2961,10714,2225,9586,1791,54434,4511,17787,2373,36647,3912,5725,null,null,2961,null,null,2225,null,null,1791,null,null,4511,null,null,2373,null,null,3912,null,null,25
113763,5990,42196,3097,24388,2544,17808,1924,71567,4823,32509,3176,39058,3286,5990,null,null,3097,null,null,2544,null,null,1924,null,null,4823,null,null,3176,null,null,3286,null,null,26
41048,2958,12772,1502,6678,1123,6094,1145,28276,2497,12632,1773,15644,1770,2958,null,null,1502,null,null,1123,null,null,1145,null,null,2497,null,null,1773,null,null,1770,null,null,27
43229,3997,21771,2895,12840,2460,8931,1515,21458,2885,10328,1901,11130,2228,3997,null,null,2895,null,null,2460,null,null,1515,null,null,2885,null,null,1901,null,null,2228,null,null,28
87360,5260,43507,4109,27285,3442,16222,2501,43853,3235,20268,2237,23585,2822,5260,null,null,4109,null,null,3442,null,null,2501,null,null,3235,null,null,2237,null,null,2822,null,null,29
10085,1628,4412,1099,2074,737,2338,759,5673,1237,1816,633,3857,957,1628,null,null,1099,null,null,737,null,null,759,null,null,1237,null,null,633,null,null,957,null,null,30
17407,2168,6464,1488,3625,1240,2839,814,10943,1578,5717,1202,5226,906,2168,null,null,1488,null,null,1240,null,null,814,null,null,1578,null,null,1202,null,null,906,null,null,31
25072,3075,10398,2031,4350,1064,6048,1596,14674,2062,5403,1271,9271,1617,3075,null,null,2031,null,null,1064,null,null,1596,null,null,2062,null,null,1271,null,null,1617,null,null,32
20924,2958,7455,1663,4670,1341,2785,1055,13469,2274,6163,1666,7306,1428,2958,null,null,1663,null,null,1341,null,null,1055,null,null,2274,null,null,1666,null,null,1428,null,null,33
72947,5163,18330,2790,8681,1989,9649,1706,54617,4275,12509,1838,42108,3718,5163,null,null,2790,null,null,1989,null,null,1706,null,null,4275,null,null,1838,null,null,3718,null,null,34
13601,2097,5465,1403,2944,977,2521,943,8136,1605,3840,1310,4296,1102,2097,null,null,1403,null,null,977,null,null,943,null,null,1605,null,null,1310,null,null,1102,null,null,35
155143,6516,47835,4018,24736,2610,23099,2809,107308,5296,35251,3315,72057,4040,6516,null,null,4018,null,null,2610,null,null,2809,null,null,5296,null,null,3315,null,null,4040,null,null,36
113155,6981,50929,4516,29344,3416,21585,2813,62226,4812,25784,3043,36442,3504,6981,null,null,4516,null,null,3416,null,null,2813,null,null,4812,null,null,3043,null,null,3504,null,null,37
4136,1035,1832,710,1210,604,622,332,2304,724,1190,575,1114,483,1035,null,null,710,null,null,604,null,null,332,null,null,724,null,null,575,null,null,483,null,null,38
160888,6106,70120,4668,42401,3243,27719,2791,90768,4584,41142,3374,49626,3810,6106,null,null,4668,null,null,3243,null,null,2791,null,null,4584,null,null,3374,null,null,3810,null,null,39
57463,3387,30570,2417,17247,1790,13323,1571,26893,2192,12673,1677,14220,1534,3387,null,null,2417,null,null,1790,null,null,1571,null,null,2192,null,null,1677,null,null,1534,null,null,40
51449,4758,16276,2565,7157,1483,9119,2167,35173,3489,15269,2601,19904,2805,4758,null,null,2565,null,null,1483,null,null,2167,null,null,3489,null,null,2601,null,null,2805,null,null,41
159581,6953,56607,3117,33178,2505,23429,1961,102974,5965,42546,3832,60428,3850,6953,null,null,3117,null,null,2505,null,null,1961,null,null,5965,null,null,3832,null,null,3850,null,null,42
13361,2088,4825,1474,2752,1050,2073,945,8536,1429,3115,1049,5421,1295,2088,null,null,1474,null,null,1050,null,null,945,null,null,1429,null,null,1049,null,null,1295,null,null,44
68374,5939,28617,3569,15048,2501,13569,2010,39757,5072,19226,3324,20531,3723,5939,null,null,3569,null,null,2501,null,null,2010,null,null,5072,null,null,3324,null,null,3723,null,null,45
5416,1020,2545,720,1463,563,1082,426,2871,765,1560,637,1311,536,1020,null,null,720,null,null,563,null,null,426,null,null,765,null,null,637,null,null,536,null,null,46
108812,6522,53749,4703,30523,3400,23226,2917,55063,4466,21787,2508,33276,3091,6522,null,null,4703,null,null,3400,null,null,2917,null,null,4466,null,null,2508,null,null,3091,null,null,47
224325,9972,100529,5974,57369,4842,43160,3651,123796,7603,52711,5178,71085,5151,9972,null,null,5974,null,null,4842,null,null,3651,null,null,7603,null,null,5178,null,null,5151,null,null,48
46256,3711,14805,2479,7492,1770,7313,1543,31451,2898,14165,2184,17286,2124,3711,null,null,2479,null,null,1770,null,null,1543,null,null,2898,null,null,2184,null,null,2124,null,null,49
8770,1470,2709,845,1659,679,1050,414,6061,1225,3012,861,3049,826,1470,null,null,845,null,null,679,null,null,414,null,null,1225,null,null,861,null,null,826,null,null,50
99189,5582,42615,4288,21991,3129,20624,2779,56574,3868,23526,2843,33048,3218,5582,null,null,4288,null,null,3129,null,null,2779,null,null,3868,null,null,2843,null,null,3218,null,null,51
77465,5237,28384,2948,15502,2389,12882,1982,49081,3853,19622,2512,29459,2830,5237,null,null,2948,null,null,2389,null,null,1982,null,null,3853,null,null,2512,null,null,2830,null,null,53
42596,4248,22832,2918,13373,2260,9459,1854,19764,3174,9469,2626,10295,1634,4248,null,null,2918,null,null,2260,null,null,1854,null,null,3174,null,null,2626,null,null,1634,null,null,54
49799,3798,16305,1920,10340,1611,5965,1144,33494,2975,16217,2054,17277,1876,3798,null,null,1920,null,null,1611,null,null,1144,null,null,2975,null,null,2054,null,null,1876,null,null,55
8946,2373,3950,1452,2471,1160,1479,642,4996,1624,1266,561,3730,1385,2373,null,null,1452,null,null,1160,null,null,642,null,null,1624,null,null,561,null,null,1385,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
70559,5139,35189,3990,21545,3153,13644,1878,35370,3249,15489,2441,19881,2061,5139,null,null,3990,null,null,3153,null,null,1878,null,null,3249,null,null,2441,null,null,2061,null,null,01
7345,1595,2281,763,1419,671,862,392,5064,1508,2194,1104,2870,911,1595,null,null,763,null,null,671,null,null,392,null,null,1508,null,null,1104,null,null,911,null,null,02
68925,6253,25864,3650,13689,2182,12175,2445,43061,4207,16358,2713,26703,3288,6253,null,null,3650,null,null,2182,null,null,2445,null,null,4207,null,null,2713,null,null,3288,null,null,04
53610,4187,29245,2842,18708,2664,10537,1442,24365,3120,12213,2330,12152,2128,4187,null,null,2842,null,null,2664,null,null,1442,null,null,3120,null,null,2330,null,null,2128,null,null,05
240636,9284,71694,4746,32872,3091,38822,3180,168942,7623,58427,5324,110515,6308,9284,null,null,4746,null,null,3091,null,null,3180,null,null,7623,null,null,5324,null,null,6308,null,null,06
54953,4345,19521,2431,10838,1969,8683,1414,35432,3607,14039,2372,21393,2599,4345,null,null,2431,null,null,1969,null,null,1414,null,null,3607,null,null,2372,null,null,2599,null,null,08
30346,3174,8309,1830,4726,1399,3583,1035,22037,2351,6633,1468,15404,1796,3174,null,null,1830,null,null,1399,null,null,1035,null,null,2351,null,null,1468,null,null,1796,null,null,09
11554,2369,3958,1301,2206,1045,1752,712,7596,1716,2129,867,5467,1486,2369,null,null,1301,null,null,1045,null,null,712,null,null,1716,null,null,867,null,null,1486,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
